owner,count
4Nt75eeeRbdYwKYU6cnZ4RxSEXGhrXT6kW2JaAbQ4WVG,2
GWNcGB9az32tcdhtYtFEBpcCUky4mh1uYarrudvAggnP,1
Ceziid5Z1wsk8ZXkcgu6hYa9sKpYrvTydrVrHBakaQtd,1
8ZpeWfMwUo3RNmdmAieVS9Lw9FYC9xYVfapwxsVNG5cv,1
9ezwhqQ99YzpCRQHahkYPeEtCYPWRqvE2skp5buTxJ3L,1
81eg7veeFvFp4bnR4PNRvZkj6FgWbAertgxkWB19Jfr1,1
Es1YghGkHZNJ8A9r6oFEHbWsRHbqs4rz6gfkRJ9V4bYf,1
3HS3mjdXm8yiwbX7uUxKr2KuwLCphaQSx75rFXzFEi6z,1
GhiWAuvTDiTy4SQh7ZKsc58PDeYeztnwZMLzNv841cNo,1
6r8pxTYmSrBxLc1Akcf5VrfNRru6dtku25sKtNcmbhEX,1
2krAv9SrazMzg1Fc68jR4rz23k83Mc9mEYNi8xacv2dk,1
HLVUXPeH2bQLDEhswMqAZLpDtfXTLDS1cctAKQEUr4hk,1
6mbbxc5aSkrwr4vFS5tQHQGnZSyBB6n4yBMcC6A9aMBE,1
6k6qVRD4Tjc6ehRRapKDY5iUNBdSaz2EGY3vL2wV5XiC,1
24GVVs3KpEMyHbGSjayUxfSdzFu9jL2vQjEW865kTTXu,1
4f27WNrJbC8mz737wQuRtqLVvG6fqAo2aeZX8s7dc87D,1
656UNGUvoGUUxiXcwnqyxdtk5pgXJfxV1RSS3zpSJ121,1
25TqXN4ToREvj3CVYJcTP1MWbbi9Dd7uUeQ7uTW7pmnU,1
9Gxa5nnpugzBh1D4A5aA1htmbKgGecXXGb7NVsShaNVK,1
5d5kAwdEY2DL5MRMkxbha13i2FGFKnh9DXCjSfFLCM5k,1
E3xaLmoF3BqomfgA1vrPcxw49Z9aBKhwQvjrFMuxXdjn,1
G96BDGPwUBkeRbZi2pbnp5fK5HrCPV8D1MjzFVebf8Z4,1
B2NiB14cQEThA8UG84B9sKb6LoFdRrTzLUt7NxmLjYzV,1
zYfdPVdWFnvwTDWc1FA1kcZhnq86yF9uhVxXuuq9YUe,1
7ydTrw9mYs2qfasAuf2hxJ54CjBMG1SSbU8A5e3vCqe,1
3soRBGBjj4aJnQGvbma22y4dEiaKssiFMygcx6j2h6ap,1
3m5FkvSwLwwhRqeBVdMDtvKJ1LtpYQvRdsq5M4YxZcS9,1
HGx4BdmvCVNPwxLDY6iUR2hvdHYJ9V3mSHN1CiiCxt3d,1
5zTm1UsEjys8itdc3WAsWk4xp4MsK9sB5DfKoy9U2R6u,1
Ffuc6Y3yM1jHcHiXAqmrRojacvXdXqwD3gWEBYcwWjvV,1
25tv4eJ6keyVvCZdU9JxrSRw3nNEMNYq7EbZ9CwLb7vD,1
FLERPtYCG9e3gFfMxrhavuZcEYsko62tPBEcsr6RjZ13,1
BA54JLEWWntAER5uhWjVfCNHinkPjD6EcJDfeQf3C61U,1
51xWDGGKj8YTaTpxFwmU7RnEQPTQ1iEcYLDpAB91tAYL,1
DGHNsFDXk8p8G4NYdgoXyZ4SEEt5VjW3nXW1BpnD3R6,1
2667eLcfUwNFnBu1tHHdjNMGqVBkhq3iT1Uq1QE3xNb3,1
7ZZcPUmXWqMraMcFiZgX2USiftaYTMs4RCEshYhyfPoZ,1
4DxNof5gzWs1KKDjLhZqHYk7XCHRMc9gHLGDbVyqqCLR,1
Ez2U27TRScksd6q7xoVgX44gX9HAjviN2cdKAL3cFBFE,1
8NGWUn24LPkjyAGGHPcN5ZyyKuQmQSYARXH29Cb9633K,1
HYhTsXziCYUWbEHz6DrWTDdQioRtUakpdV5JCecjpTmX,1
4a4GTd8ZMywBZ64nJHnDwJcy1ioBSBSXQMTmu2fv1omS,1
9thcyP7hYuzGNJNCtwegjic1sHrzPBZnD13cPcAaGEVq,1
3e8YuDuo5RrZramozKXK3iw8Y1x5wi7Yaux4E4rvih36,1
J8wjPkEzDYbon8A8uFx3TyYaKHUBZYrzB74ShHS19bHY,1
4DZi2Ztr75MdYJB98kHcQku1E3MwCVUMBXoWVwsLbUZk,1
57Cuyf4wAebn2w1eEH89nUrf4QxMrZoujCj4GZAumi5G,1
A7fCYoNu2jK4KMUtmP7j6skn6xgizJdYg9CAFFbZyugT,1
4rhuog8U12oPGt6SBq61yV6j5oMDL1WdoYnQgq7qAwyC,1
8yMUDVKgYVQ9mXwwsifkhvauF3dxseN3bv3Wye55ziiE,1
8vUTyRDmrZBPMK8GZccQxgVfE7qDLvgfVR7xPKDSzFgN,1
FZ27M1vbTVXqEhDCtZcfXdRfZ6LJLsSG2QDX35dyTzBM,1
7hu1auT8N3aJitdEDP5qPogaCdNb5aBtLpJE5T7whrKa,1
JwXHDmQcirtgYHrgbxEHJUPm1QVg3NGdeCdgL14XN8X,1
ELJiPKnY3VWUNVzQ6rfMxkxMCqwscfELbs1HCBrGrktJ,1
CsKFoW9fNJcueYufg8cPEH59nzM1QH5FwPXUvLwS7GMD,1
6vPSfwbAv3rjpQBNjTkykYMaRKzFBKbmMq3RrCvcWTa8,1
4Ych4gy7JdXsnNaWN6qdXXa7jxP3My7f4uPU1gtW3Aeg,1
ianCQ8YLAhPhqqJAsLaxcnEwni9aCKNBruH4dMmMHq3,1
2j8Dcw2pwDrCQgcgeYWQFXDg3tj9mdQYSXvPH63bgeeH,1
3HpunBhpvBWuH3jhNCnLuJciCfuSjsQVs2z7oKQZigqA,1
FkY2pLayeB4oxL4rPdWRFrGXWDZqnBzhRFnJPhyMH431,1
8uke5LbC86Gr93bVmeGzZoSp8NFYd1XFUMSLqVsPYtCw,1
8bjREzWdYmA42SdnYRE3bqoozEt269FfH19A5G34gHxu,1
9zrxxfoE6qq3oyspKoaWJNXBizB5cRJddatiHte1zqwC,1
4aFkyLo6HJSj7M1smy1Tapw4YG4EAJuzs3FhWdjdTAN3,1
CAP3AmvvUSTHXG7imdHf31d6kNMJ84uos8Ro4AbhKWHS,1
DxnS5ETWvwyinefxzf8aGz6jCRE8tt54doZZZTSimZTH,1
AmTo1CR2HCtRS7nQVvHP7PU8sVPGzgTf9MKhfhCzLNA5,1
9GQCyDM2Ctboay7j2eXtJ35Nt13aWACR7vEBnWEMRRRs,1
A7cEtMecrDniXaTsM6uqjNTN6Tk1fF3zM8V2LKTcuLYG,1
23k2Qyicy4SFrsV8f8rthjFUfwW5FCbLQRPak59s223h,1
HuwD9S5xXDrw45yJEkY1UG6syoGHJmkvTAZS996VZD5Z,1
2UFMpXiqNVTCcUqbbYbpUxL78aJvKdWiV99dRkXkzCge,1
D8x4pkcjugn1Mo2Tt2fMLt7puarF93ATxPF4whVBEEc1,1
xFN6UiQUAPmJWofCZ95yY2V1BnE6tJU2Vk9jcuRvP7g,1
Ajoc3SYKJtoxprayTkXCz8EhBPzZMBAYbnrwAJ5bvD35,1
9akNEG6ehHFNcjFRCRr4L6UE1gcmZb4rLuEmsXWPSPZD,1
DU4EJnA2z5HbnW8CzAuad9mVoe3cGycjU2HgAksTWVPp,1
3RHSR6UsFUWszNC8fDm8393BB42ak1i8PokSFrN6Nu2E,1
3dgvv6KALuyhUd1namHbKiMMefskPWojhgN4crmAHkzt,1
542t7VBdYcHvromaaeqdx8g7x8k5nPLeY3jYUkA7zALJ,1
31tZH4HLCZNRsJPvRQC64nZqaNPSkmEP15qh7HE7bhSC,1
G7mV6nuU6mAUV1JpcGmaNEYVQNBLgsZKcenFsaM57n3i,1
4pk1cMgbZsUY2txgDyXD8Pypm6kJGW1pZwqJeM2yD6cN,1
H6ZgczyAev9ix3gphHDSPWPRm4Tja1QMAbvRBMXQ18uo,1
3DWjkw18MxUHZLM8hqy9G2c8wDRp533cNxhSaewXdGfC,1
24QNv8vLRKojLX3iyLZVevQk8SChmaroAqvJ5APCSFiQ,1
GTVD5pRMRyRg5dSe7zdnKM6oMyMnyoAYjMffJuxKsPeH,1
91bVs3GfJ9gnpwJyxTerNn8DE5EubuwVX2XXKgcgknmi,1
Gia1N641h4Vgm2xGwuswuDHT7rh5bLfDcD7jtpVfR8iL,1
FfrvJFVapdJd9rjb37x3rjsbcQ4FQVWQP2yPuQVWbF5p,1
4x2TMq4vN6N1gQcqGrShbWzL6Lakn2CcphQQYk77BT2P,1
D8KL2L7kYEwuiqFaHXZt1F5BxVuVZLHPdXPwFatTVop3,1
