owner,nftmint
25TYJVvSFHdjiuu5YRMDspFmg4jMmJB9PZfw6SidN1je,JDmuyby3gYuiUrTJ3Pzvxhy4wgJ52mGq4aPrHi5xg8Fm
E29Q3rqQg3KXMtiDMUoajAkW6sU5Juc4SVk3j3MdRh9b,Hwh6Z4DB9MPPbWBhrTe2NKoefzf8SPdwErorpncMEoUC
25TYJVvSFHdjiuu5YRMDspFmg4jMmJB9PZfw6SidN1je,HtZnzPMtm2LvtZUwufttWGtmD2Dmky8VorpMELjPkk4M
GA3oxX4JsQXT9SNE6Vqrk1Fa4EmT3L3SQcNasBrbGFsJ,Hrniru1oMrtHfivHAZQeXxzweKt8noZPuFsQPyWNj5vR
5HNtipZjTpnuEcZQD4eqmhT2CLiJNU5QbiqtC8tEs7r1,HmiSD3wZEWNvg45APYYa9SAtA22m25XgXGbG2S5k7fTs
9NW4YN13ZQuUTQE7WFNJPdTorQFAoK6yHEdaSi3atVv3,Hi2WFmEk8JKhcC5VrN3iEVGmcFMJCLeXF29eYzfwS9zw
Fs1PohNSVHCUw7GF1Hhr1JwU4Di2UkFP8YDkbYTYw6At,HeehpmBQzkKQpJouRbTrMJc7fDCfTwymJvEkK4LKkazn
5SpWnKGJveXbuQ4wbJoDrdHy5CdW4htESRnjJHX66vhm,HP7E5SmqAX8j8ZVct5wA4STCSUimkkv7REUDkpscXMJv
DmFiEffxpZepu48z1cyRvFBwCHoF3BbTV1LQjytcpHZH,HCxdnKBgGbs4xDC3rUA7SCDVJrAaxJemfd5N7esxJEwJ
25TYJVvSFHdjiuu5YRMDspFmg4jMmJB9PZfw6SidN1je,HCg17e7MLS6dW35CWDtjJQBzeVtYVUY3ArJrmmoakdeQ
9dugDA1zXnTQkwjNh6oR5d61ThnbSELkoMuH2mQPhAQG,H2x5Xhb7hWJynLczBALMsAyTHTitHHLN5jCDzEtwhjJd
ABCc1v8dony7DErYUu3h9R7YV6pmBm1CjPFLVxZvasBo,GwCG3GUVyskubugrtHs8WQ4pUjHMH1rLRM7yPVVh1NVP
3MkVKDAfsPZGcM2KBQTfiAtmuEATiF5YQZrEk7PvvVvX,GvzzRFjX5M4HAHkGkWVMRRmUYv7qzTUGScnT4zkfjYsj
84u8iRASPjeXoZH7Roh8E6Gz9W5wp773aKs839JBcKHY,GkAT75EwwyGg42zAWRon8rhyZjDAr1DzGGLYSBP2xtTL
9pUv872YW6vQ9Q4stiXFvDUHZKtJiDwGoCTK7AYEsxHL,GamJH2F4rJEjmu9Cs8f7kK8cgFWs2HWPNuSG4N1LAoWm
GBUVTTtPDCmdTRb8UUy21Myqr3zv56RN968H3vQHwGrV,GXLKw7D4MRossyBx2wzkVMWJWY8J83fk1W6AiNZSq58F
CgurL8SLVEbhYfPifQvkrVzVVXK22bz6by2XFcBMrtDx,GBREHSaARCVNWpJjeKgArf8FxkjeMJoR4wzcxrd7EZXF
37tfJzEXugzJUBrbzktgk88Qjq39v5bP3skRDUghD2yi,G5gSsJj7KgYPf49UoiPvDzUWsezQeKupQRVUyVBiKsFB
2MGJRPYs4iYt74qQwr5fchcn2K3XkDPg2bnVp1XQFpG8,G1WY48HPaGYCH45Z7Tdky14a9R2WJpE7tg55s5p77zye
4oGEUdypZxv5oREivPNjR6tHNwo5s1RDuHnKCSVQjfJn,Fxk7LhGULxUD6Qrt1LWsDNn5a4fjQwFy3sHfNVJeygnm
28TA7tG1xGD4wbL7fhysPLU47Jwnke4qgvfH7vyY5b2H,FdLCkxrG7urHZeFTN19XYiLxYawiq4XaZT789xAa1y9h
EFd7BF5u1ktLMZN8jEvqnyLTQjJbhVb6z5QvXPCiUNrM,FaN9eidufUfLvDAFyabrqjJ7cuPs4GkMP1UrHVS5fkrx
EMWtNsxRJAADuYgcZgLTD6QY6FMQZYKusm9XSRyPZBMm,FXj7v2yPb2buSPqR9cSMVXreTMtsFJeMMDKJ59MDmrXw
91gZWLAAqWZuL8H8ZtezCSxaNQBWtSCmqufbSUh8oTpw,FPF1A3QySpVbXjMfGJHb2ztSbKTMJURMYvAdoYJPW23E
2pCCPWtAoocryYuEwxPBAVWxgnT2Ugokut8F2dYhFHCb,FCeSPYKtKYrAgBAqPrYFkydYRWPLmdyh3BgJfevfjKfz
3okHrAx8AjvdyAqJjjGchpSYbTy6N3hnBDtbAZTt6GN3,FBg3qVpxwZCeba3feiZCaHchubDfRE3E2jVa1j8DiPrN
4YKMod9CZUBMMtAypUgykxuCtpafrhnViNHvPHMLLL9e,EvzsfStzMGpqP6B4iuiGQsdmFfLgewvX6PS1JtYa7Wbn
HVDWpTkVit5jMjQLsxzgafmuS6fUN5ZGbDtvYzJM4vKT,EqExgtEih27XCuQruBWFd9sNzH9aYiMEWsEo7q4h2kFt
3AGL4JrGTmHSewSZnRjkcb1Uvi5DZ3PTyyMipPhrf6eA,EmQRQtEnLxkBeDpM115Br6hHFK4KMhRorYH3ZfYTMdBr
5hCEQGsY1sGBWgrGwXcMGqbzVf3FS15nDnEuvh145UQa,EhyuQFRsqmFXScNA3ymaXJuJTrXXwaq53YEjBNBnEoRD
F4yT2ScLqjryvFsvjj3xhs7a7XFw9FQmRXDPuVAHc67h,EfwRKBMwXGr6bS79MAC3n7RUinHybG1JfA5NMszi4y4Q
3LN9HabgcfxiNNMxCsqSM9VnwhzPTaTZaFnfXBqDEsFP,EcABFw6B4UyDuYPFKiHw46UuohQ8cTVa5PFWrPFGgyu4
4baS9rq8xdR4knhdeQdZaYJW1VcJEDQShi5SSnAiHhUS,EVAnsb32RLGnAFjrNNVautJrixjvT5WQUaJqgfhiJQxS
FgVsdAWiKFK4CknsRKoygmh1qZvPZv8EKGm9GJoUZGuu,EQzAnKaRfpsaVKqAyXBMtPdbjErQ5epZQC6kgtKWSj3L
