owner,nftmint
J96NdCtkJrDTPAJUGnUqY9ZMJSnHA5tf3LeBvhHXfWkz,JE6PRwAtN8cA7pFjNh5uGHEihsJMVFiRxtTof1bUwccW
BYrJuY4y8rVi8KBD4En6Nj3qNP5Y328EnnnRiYWVw1z5,JE4sZgV3MXtzQcY24HAAihfbELRa97K5keX6DRjdLoVk
5m7nfpkwbwWGQrw5DYZt8fpDR88dN4kb6mgkoPadW3RV,JDynnhc63y5C2tvedSQC9mvSKKnbZSj3pbnk4zqTnBMx
3hTHyrJqC6H5dxoTr9xrc2EfSx8LFp5gCzKoMqy6DzgV,JDM82nr3gNZ6eLs4qbWYD8iWEQh9wPW1BZKEyMUx6GsX
CqHtBv8b3jjDtcXbTjLJUia7J8dRhRaDsj5cqc91NmJi,JDA3rXzFFLZArPAXuEpzjcFV4mzX449v5PQvADitJUP8
GuDWvGPQEuNN9RXaJPZ9d3HS3yypsa5e3hpVmqCKfRb2,JCz3qJxS65bybDEatYaCtAx1h9HMp7a5r1Rrj4NduBpR
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,JCrdeDQUrpfph63SUPGzUKrN1TrSmVQkKpUUQVu1RZub
GyUaebVe6jQ5w5scixWsuiVvSep7hoZQr1i2YrFa8wKY,JCqT2RGxZigz4FFth7iyZKdTC784cFQXnzoFwmCBUcpw
3au4Q9ZP5bcr4uHhxC2yVGmDfjGznnTC8RubmLHHpeW5,JCn5vfrKZqQ7qS3AY7XpsNfgTXq3ySLihnWJbDrGeEKo
CWuY2NLvLaJRDh7SGCRyd3cgQmczNcqBwj7hgNiHk8sY,JCi56SpTL7U3cxGGT4uRnWhCXVCrrVagRpVtog3v9pML
J96NdCtkJrDTPAJUGnUqY9ZMJSnHA5tf3LeBvhHXfWkz,JCd19TgDR1hp8WBQVZpRTSgg7B7SWn6BYmXJKoWWDMMf
3ogCRvkP49FGWvq45HYHYzs4vsmJvjzRC3Dmjm1Kmzt2,JCT47zbQK4r3jgjTxqyaE3yoXKTGFZouBQbaTqAousXS
D2wtCkojMiYZYAVQf1CJrNfxUQkzFkBTqbXTQY1Q13H1,JCNFLDAvSVExYEHyJ7PBHCREr2t8z6G9YgwMmAJBtJK7
5Y8wE3ndJ9Ti6uEiYqvgCWQQvtFUgcp6wqn397DPoJnM,JCGZKjxNNodFfRaZ5jH8PtnYabLXyaSatuZ55RASFDn3
THyaG2brqtKaaow5gbu1upxt4U41ERiCrjrVcYTLLLh,JBkDwbvDGRCdd6BwjQFjwVnoFpgyjYuSaxSLeM3pQtLb
3RkUTGMRLvYCbTAiHJ4J3GBHPgadAywsofTstvsNmKkF,JBifzdReEttjgUr3LAoMMYBuXZ6Bsp4UrYbHvVgD5ML1
CfbC1TahBkc2hywKq47cVBpyYvTGHeYqAghMKNiHvn14,JBQvEEEbHHW3QhmeGuqLTTsUfyZQPxLAS9yiTF5aM7GZ
3LMBTTsJHjQxj1rvAXvGKug3fF2MXCe546C4hahKyatr,JBKe5QqoqjtPsYV2r5WRfR3ZRSup7qw6B7RnGy5amV6E
J96NdCtkJrDTPAJUGnUqY9ZMJSnHA5tf3LeBvhHXfWkz,JBJEbVXYunYnU2oMJUaLAUCDa4R2kCRWeP289LEps5hF
7n4TBDjGJUCkotuG7pjTfN34QteZ7WUq1PUSbkuAucX5,JBHunYeRvFWWW9d13QcL9kfLxz3XStiYqQF1oKFVewta
ofZZyiXbiYF7XZcniKL6wcvyZhgKKEzcTUfvAEiNhCx,JBFmwXc3CyD3TkHjN4jTRB5uLBmxZDxnMJwsaF8PPSGJ
BvPQsthXAnMcipXYv6sBrvkdgVgt5Drzsrc27p61gKVB,JB4oV9dYfEJY4uzoujgrSQ5qfCKvh6oDpAumefhr5HfT
BJ53mj7KLVxn2xwyMY9PNVrxLmeF1bVVC7TaGUAP2L33,JB3iW5wWN4Z7a71PKNvWY75TsJHso7Cv54YDGo6UkUk9
3Yw5CR8PgVyGkyKwFity9Uuccz9Jwvcxhkaf53Jxj9Dy,JAkgx5ad8UqdR7avyJZV1ae1PKQF69X5bAQHAcexPLWo
GEtiBSDajZUdqrtT2rNdaibybHf8i4kM6xVjC1AR1ooa,JAisHQq3x9WdbCM9B17DVRgYh3PE3gFZudEBQn1hvToU
HkHx7ruUJyK4GwhR2yad9YZ6P1TMtXYgrxyPTRvaABTE,JAg9PSjqa51txwUKQRzdCARU3GCb3DYapvH2D5v3ey3R
BQdDbSnjnShyQ2Nz4MumgTUywPsfP3Uipbbwt3M2Wv7a,JAczKQT3EPGKot1N3vdcve5Y5vi4mxAiP6CUnNvvBkyc
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,JAcCAUnCLJ4RVBfpCnst5YfFhHtQPcvg5xhTiX4Vt4kv
J96NdCtkJrDTPAJUGnUqY9ZMJSnHA5tf3LeBvhHXfWkz,JA2GBaS1z9NML6QrFn7PNMDAQzECfV8Mw5uDParFHTzQ
GWy6Tmx6cYpQtK1S4BntxewaaN8hqZSqbtAHRujmXqym,J9wHdGHArPC26zsYNn7NH3Zg8VmDbpX7TZuWsz9W2FaY
CUei9gWpL9NFM2jnrRTtgrSkUk2jR16nQj168v7Pb9vx,J9tLyY3yEk7jhRaqyWcCNRE7pPLsFfoFBzM1QQwzgNX1
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,J9Cj1rvh3KPTUN1HTvUHRLPUDNSw5PHZz5nnX9vQTQ5K
CUei9gWpL9NFM2jnrRTtgrSkUk2jR16nQj168v7Pb9vx,J95EPgF3ByRnowqGTkmGLWevSLUygvsUCTV1mWXkBKBf
DuemArQpWvko1FmYvv5h9ZY1npaG462WQiSdEEcXtYnH,J8y4BpgjudzWBfvQw4MTH2WfP8KBxvZBp5FPJDx5xtP6
CUei9gWpL9NFM2jnrRTtgrSkUk2jR16nQj168v7Pb9vx,J8vXzzJZsc63Zx9ZJZHM4deSVCeXYCiPBUyQgTreMeVR
H3zUh4pfsXDemaSduBPtoAuaxLPuMec7MKTWWvQ3qA1N,J8sYTNHq9eukgweMCuJ1E3MG4VM8EbLYoqWzYo1vcEvi
HTn5PrNZtBikWZQCTJbC6QoqT41nCbKdAmkBJ1BoanED,J8nSR7miT5EZ9evsvKGdssWvf9RpeyYwX5nPMjxmKSr5
CUei9gWpL9NFM2jnrRTtgrSkUk2jR16nQj168v7Pb9vx,J82sEjmbj5RFhBHzES2cdaeBwVTjYr47WZAuvjy5UdkD
