owner,nftmint
D8x4pkcjugn1Mo2Tt2fMLt7puarF93ATxPF4whVBEEc1,JEDRdZNXS4uCzmtitcnJfTpddx2aQ7RznqgkeujNnsrV
24GVVs3KpEMyHbGSjayUxfSdzFu9jL2vQjEW865kTTXu,JEAh9ek1Yu6vU68eT463JGmYQZiAZWxmBzowNrx55hpv
D9KQfLZnraRg1o67W7eC3dwTXDHwJcpp2C5mPbSY6cgD,JE5s4vgsREDm7UFBtV86aMT1KnqSXBaTuKtuvy4H2wQL
9WWP8LyfJRG7DeK1h4F3p7fhbeXieoiNNqASb8h2niV5,JDmjQ2FTinzAH5sN1Fjc6szYNVPwFrvBsJa7A88HARWn
3W72ycz2tUPrePXN7WjCg7VTC6UJTr7pcqoH2YjSaxBG,JDTS9oDK9N6mN8JTY9SzvypvnbuA1WLLnFcVnbw4iG3Y
5vnoBoq4seHtFh9sjjEcNmBSciL4gtiUgT72iAp81Hw2,JDFxRyVxTmGCtgnFjUKVDME5LG338REwjGYHrLvJ4SJG
B1Jn12MtNQY9PE6NbSMUAwEKBpKtuHwMeBhVnSm5DS94,JD4XHTEeZPD4y35aJ4y5USArYtFvt54GbqnaQ42WMDoh
72TBeLtdC3KBmJCsjBRCnaaNkSscoV5sAL3Sp4tx1rnh,JCtk2Qp2M2qfmMtKwTquhoRYnMHAVKuwptygJRk3QLk8
D8x4pkcjugn1Mo2Tt2fMLt7puarF93ATxPF4whVBEEc1,JCpNqHzFhFxqCPxFQcUebd555mwptRUPyA48gowsWf8D
37tyAEMWypXRvdagephXYXBHBVus4UVpChot5cskCtQU,JCfz1n9HSv7zvqsjFSg4dBcX6c98VUB11zWCk8BNMLCu
24GVVs3KpEMyHbGSjayUxfSdzFu9jL2vQjEW865kTTXu,JCLniFxckYHg6mgZfPbEyBrNtVdmBhMoNBw1LzWnFWWR
24GVVs3KpEMyHbGSjayUxfSdzFu9jL2vQjEW865kTTXu,JCK9YeZuE7v7JpmNwf7tQB5CiNDavaArijGjEuMLshe6
D9KQfLZnraRg1o67W7eC3dwTXDHwJcpp2C5mPbSY6cgD,JBztDRENVkxN4C68zAjWGewg7nHQJaL2uygmb4LxQThP
D8x4pkcjugn1Mo2Tt2fMLt7puarF93ATxPF4whVBEEc1,JBdcwx4GAagZ6iZfbgXNWbmpMZoZZKz99gfjoWr8NWw5
24GVVs3KpEMyHbGSjayUxfSdzFu9jL2vQjEW865kTTXu,JB4KpQtPcZ1Aovu5NPGmvmLnCMzFgzded8G4AKaWiR1V
3HpunBhpvBWuH3jhNCnLuJciCfuSjsQVs2z7oKQZigqA,JAvGDNa1D1aBbxoSiaqcYfaXyg5hcy1KQShMVL3xaGZH
5PLiBAkno6FxnZ8U7Ui7JNvSDeDsQMR6PPcFkA78WxtV,JAgqqYv6V9A82Rg85gc93y6FSNLmumw2879XfaH5sGA5
9YNTUJbnUhWwiK3Xz8H68voiokTevptNQYPx9hQjc9L,JAYGgoVUncSe32isbeJAQd5MiiVnydApKSUebAtvjkFh
FB21Ctg3EqdKap5i9B2cFiMxmPs8SxMvoWoMzENM4f3t,JAQHzyKEUMYcgyKEoiK5gJzHwKHtt7Qo9L3RE1bMDA4N
3HpunBhpvBWuH3jhNCnLuJciCfuSjsQVs2z7oKQZigqA,JAPGk3csPrms86cbyzWVPtHnjtnk6mCvcFsPjPV2a3pV
AenLnYkyj8nZDCEMrCwcnyAKh7qvmmz7GUG9iHw7SNGX,JAHGsicChmccA8GwAwVyVcv8U5fG3388A1a1fZwNxxpD
C9pWtrAtzZyKQPoM2726TrKCGL4Cd5V7YCg5HWemc8Nb,JA2fgtPKSskJKa9oGaV4pCeDDDqxYy4qZFh5M1YSmEMc
72TBeLtdC3KBmJCsjBRCnaaNkSscoV5sAL3Sp4tx1rnh,J9piepmTJi7TwkCEZ6Au2XDrBaU18jwP5arDyTW8CkDB
24GVVs3KpEMyHbGSjayUxfSdzFu9jL2vQjEW865kTTXu,J9ibLbd26TRYw8YnHcPifVh1jEPjJAw3veUtwgkWcRxu
D8x4pkcjugn1Mo2Tt2fMLt7puarF93ATxPF4whVBEEc1,J9aGYdYwX5okagpUoXHLsaDUv2TJp5gp5stiqYS3xpLX
9ezwhqQ99YzpCRQHahkYPeEtCYPWRqvE2skp5buTxJ3L,J9ZsVYCnkhNrooJwe4Jau7i1xPCpb5x7a1iwaJKGnevr
D9KQfLZnraRg1o67W7eC3dwTXDHwJcpp2C5mPbSY6cgD,J9KrACJViRkAqTEybMDd9p3JKo2hP8qyGDmiwS9d97G1
72TBeLtdC3KBmJCsjBRCnaaNkSscoV5sAL3Sp4tx1rnh,J9FL8zLUsAUR3wFGFFgWXLkE5Gm8y49qprVy6MWutaX4
72TBeLtdC3KBmJCsjBRCnaaNkSscoV5sAL3Sp4tx1rnh,J8oXkJq9wSWSVeLPKCNLSoNSfZtfaMEcCa1K4vMYSD54
