owner,count
BLZLBdGWxhRFKhti35WPUHHPsim5U98rTTRgj48xceA,2049
3ukVQkntQ1Ydosb5yMrwA7xuDbbRij2JNSb22zYLWCQT,1487
A1DZeL4TBtGvKb11ei4eBoAs1aRN9fB6wjgkLY8ER2dg,969
BP8j4NFDsnD4y2EMi6XkFQP6DTVcB12VUpJvKEVMLXDQ,522
8Q4fYfyDCD9vHBxYqdFww32SBSVWFy3N7mx5tyyj5KZb,504
CyRzuuStoZQebUE4xQM5EUbvcHvMzGxgFes6xdRh9RiJ,446
5bX34x84ZF2ZKaCDBTTjxLwjdXghHdaJM3Zx5dkmS5mf,419
APMZny84AZDWCY33trBMF9noxrLAMRzH8Yanau8hn6Fs,375
ECPQGL4oXtuk7HCraTcT3j6wS7yb9jn368un6JyWkrJi,341
2aSJBUGpWWUZty3dafov1Z8Edw3YPA6Z1e2X3aqXu27i,338
9B2XQw3LsWph3uVhvJ6A2QeoR3L9vXmYropY9JXvzCva,311
7dy8heSXUKaX3nRLkQ69NetzQxZYNQgUQsCsvTeV8MVt,301
FRiKTTtBFCraXxAdN9WbE9gHsJHauHzLKf2t53xiyFRR,298
3HpsMQv5vnUHW3Pc8sbU8U3KTGVd98Aa6pJUu7zgQwzU,293
1v6MRkY4Z2dBAsbibySvuaj7kXssvJrvYefLbSsWdzC,248
DenXVLRxRR3yrXFzwMEpnuizCcP6YMpaN9jUdZy2N8hB,226
gCv41sQZpWwVx7K8ec8GqtMqVqJBkmb6p1bXwbNZEUJ,225
CznHKT6fmpds3H6Wrp67CVkoEfybMnKvQAVuSSCfNnxa,204
B56NDdqVevb6K6aV9QwFkNN7VgNY3ZdjwMMCKSHZzC6L,197
FDiLdtmNPWG7JikuvgMqYF7umENSzqJJtoJHpSVGBnPQ,170
DmsFcT68wqampP78Hm9E29DBLG99FuZJJmZAYw34uvrF,170
A2jMES6mWyKgzUdbS33ECAknmjwstzdpS6WFAbDfKU3f,149
ZE4LyYi6TyjoEs4yPvGfCfXYAbmkptN19J7o5wPP8KY,147
EKeBStmHfjFBu3RHaMCtZivjUvBwVmeNSoVthJGoXyEe,143
G6bfDikmBmntCLcLdFTQhZ2zhqcuWygDpgou2Nq8YqX1,132
HGDgNDA2zuYXdPkiU2JCgQ2h8NThYFCTvV1Gp6Q2vyw7,130
7yEKqyfRMMw7idsttmkqXp2Jtc1ooDgT6aZ6jm3Vmqgn,114
Cp9V3qLnjjCH7SNrEAtjqywqeztZKpXckDK13BA3EBU5,113
E3oCYcv9yDgwumzx4pCe2QoLUXoftBgb33McjLX1yckE,113
HMoZN3FEvxuecjGETQMa8EGPsCvibAbPfXP6h3cL4E8b,112
5RRzt5impbDhzGepEZj44JqTu7o6NmXNRKSM4rSQPX1z,111
BgcawPEFkpza27UD48Ja6NRFozLGxwrMEZTmD8L3P1dB,110
GmFonBFUe4m8YEmd2rNsjxFCV5nNwFwN5s3PT1tR4rev,109
7s6g9JGg3P5vZMnW1NXqfCWMhz7q1ZYrJVaQL1CNsqmk,103
6LgoGQ1WoToJsJpzzUrwKKu3Ah6awF2JCmrxq7W56pgj,103
9xdoAzBMTQ27U8jQtHE6CjZvQFRGNpdv6FhA4GHRPdYn,100
HjhaWHdqskx7WefK1erGUtMvMou6ANDASJ8PArZhH3cm,97
C82C8jRXM93upcqzK4ftDfdyfrtqfmNEiW5N11Zzwyrs,95
46HRYafCqKcAaWzw3H5QyXuEATGxR2v3bgQYyW2mRRdb,92
BbgTRsfwp2F2nR9eE3raNUGvXgraySTFCWyvvXz1GiwY,91
FBUfSHC5vyH5GYiS8GVnnhq5vFXBxnurDn5j56TCjfdv,91
vCGmz9PjfTrMh2uK23RkqToZ1Jn2yc44D5KiVNaMt9S,88
BLjtsrixbNWyDd3w5z33wyrttZ5MoqweSsnUJU9CBknJ,87
8UfB2sfsFsb4B7xisKj7wYKWbQrmEd3nF377AaD9yf7h,80
7rvBfawgMo7BvPyT79CaTXwPSWycrFLqLzyNZcT8PmVe,79
HbiQozJSpAT5mdDkEtU654kmsQyUHwyzRaMWbWfdpoD6,79
HuFJ34mrFK2LCwgaTL8vBr3m7tZ6QpNFCjr68tw7wetk,77
2YKUB15BsLa4a6WVuHbMtjWyuUq492tnmWgJ3BZ19An5,76
B7mTXDioBJsmP4tr7ShtRGCr6jDvNbYyLxZD7nz2c9QJ,70
BgcHttqUndz3koLtVUqZELci8hfFtkbzJoxh8TWZJHVv,69
J4BKzARbSSrPYUn417JsSRnHHwNAKf6YVeQPpokaYMnQ,69
C4yo35zPv7x1MxRpMYeDzvAYYsaWur22mrZ282b54ySM,69
FTrH7Q3jJ2gkPwvpgR8KDGtmewRbB2RKBeKYaZH7hiNy,66
7pLVofwG8ydYt6nyhgsH46ZxchyUno5RgWBDmAeDBD4b,65
98x4kCEBreSSi1bLccGpsyz6oYWSnsrXjgEu1nxHgVG6,64
4dGYLP4sAsAY2oh71EXbq6gzhc9rT4RgcV67c7gXcjFH,64
6tzGsLw4DzxFw7vXsGZjkgYxtRukUyWQ23jTTVWgvKXZ,63
AwW8emh1xvdm4JQGdksquDajDe8rpcajb1m5G1i3XxNs,63
iCgittSbtE5NecVbUSJNQLNu9Ln2gaqky4n3uo66GzU,62
DEoo1D7gLk4LWtEeWhMCvdpNV8ZvAB7GwPaSAccaxQZx,61
