owner,nftmint
E2qG4cawU5J4FwHh3TLqwocdUUYuFQvWifro21m5A4Yy,JEJ61pLQyBHy44UC5ppncts2DqJ9krnL3nSignZvm6A9
fb69eGeSoNP3wSxdnTrbUufcJVqCcRe3LpdnG3WeZsT,JEBD33i5cNuzDNU6p8g48RCfqm3GbNim5vv27rHBQKCZ
qHTCYKjvZ1PMDx9DzDePB19FPJZq5oYjaW5rkygSoww,JE9RZUf9hBL8WDGsRTenZ93YnNXZr13avaiDz7MXUB7S
7H9nBk8eecxpQ343y46ifsskmSqxqzdfew1THUvfoNuT,JE9CMDUyYUQ3AUMdDi7D3VSRdWbgPLaAhiHty2ofhA19
2iqgZTWqNo2AT6gt1zUbT5yABtycWiEhft4nwpGV8RK1,JDzzEiGL91oN3VShGuepL5rtaGUQUASGtnXCj1xK68K1
9VtF5j5r5vnvWEtaTQD686dbehGPCnZedSKwikUXou5R,JDhXfNgsdCSLUpSTk2NeS8DTgVVtSHMbS9gouLUbCBnW
GHpmaYCQpsHdia7qJLzSANwCXjQGhBaqrjcJkQF1WxhA,JDh6KSrtuRDUR9twArHck62M2aWwoLzvsf97yc7zwiHd
667dQhNc7BTFGqghPckCAp7Vq1ZAXK5NZ8DYMfYwJ4La,JDX6nroSniLF1BcnYptCeNswqhT8uyJtSEE9MxSPnopK
9YGKydzYBg2uxaGjA4r1Dy9Dvy2wJAtotB7pJaVBF3Gk,JDQBmffWQdcH8dfTFcRng5WE3PwPPKcQDZWQGHNv15Zf
EC46bStYnHzAdhVSvtWwQevrfWTMwunqtg6YNiz6o8gx,JDHWWgcaxTUFiUXWRijLpLD2cve9SXXsmHiE8qvxxHyv
DwTbNfZ5htgfPgicNFHB8hDP6Sqs4cYtJ7LWd36s1vbj,JD5WqGaoQ6x1Ugw5uYEvn5CrfsgqqnXsTYYkZCZWD3PF
Cv5KoLtvmoDZirCwjBw5xmzuLRG4HsFNJK9cLZV9pdCx,JCsXXZAYXnTYHws4SrRMijXEjubpYc7bwwxFDwq1Gpfw
9b6VPg8cpCnrWQ93H8213dWzhPbJk6cTXWLeP2CrQeoq,JCrFwxWsHjhMPcsegZGnT3kG8MJZBrAt6JGLgvvm2JJU
HX3AHY6LB6dLD2SizWPucDof7fugJLnGt1g7wu833ioo,JCktwZMmoE2fV6VUkkU8zmVmVPVtP9A9c179DFkjkdAF
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,JCaGArQM4t7Gnqo2Ys1MZV7pFHzbqGG8RNntvaayAsiW
7dSYv3cmDHSHEh2QCR4EMZgFXRYW38syChP2ECHTWE8a,JCFsjqRt4cgRnTWjeyTV2mYQb34RE4jYFybafW4QhKg6
dxwRXeoSsxzNQmEXcFtCvLq6FrEDnEcBLKrdUyQUeM8,JCAQf8xAUwpEae6FXCKLioTzQPeBc9KNAZfqMUxYByFN
5ozDv7RQJy8qSbY4Ni5KBEt5WMbBnLS3NSdubvy2h8G8,JC1DjUd9XVWtWLnaK9KcAQvyNnsFAABRLFfkG791XL1k
Gx68bek7pK8Aisr4Z83WbPRk2z4ztFLNQwLyJZGyEpAy,JBv1KN3t96Z9wHZeAZ3o8zMYJKYcxhu2Vd7rFHsdXzF7
5hqoGACTE2KWmjwLujNHK9m8ydCxUPjwSaC7XuLqH3Dp,JBsPXhjG9kJ6tL638TDziF56MRJkciAppTdJdwuejDRV
CZVu7eNNSZ3ZD87LDne8f31x7eJHkZ65XfLGuogLKSTB,JBosUP7A6Ab8TqoSJ7YMjRQNvjFGgQBcYrcUBoB3HUZV
7H9nBk8eecxpQ343y46ifsskmSqxqzdfew1THUvfoNuT,JBhPFWeMA9EUGEAnWsiZ8w4E6fTLRrE9d2LRTR82bVhP
BxZuDvSysj2RVr6DZ1Q4uHjkpxcVEB6qCudaobVSzqLi,JBeVYqMqtuApRXXr8wwTm4UD2GkmDb5yTg52CwNb4L91
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,JBbrokUCRineg87JTc6TkHCRCALcRUn6DBY9297ngvWF
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,JBaqQYAotE7eRfghwqmVmm9S8qAo3QBszJZ8kzi5rbYp
DAu1HKyYzai1A8mKn6yEmfye4PRaHVniGPRF1xjAvnBc,JBDqusSJ3AjxUmAkMJDHQSgUwT6zHRNtetffjjjdgpUE
DAu1HKyYzai1A8mKn6yEmfye4PRaHVniGPRF1xjAvnBc,JAwacPd8tcUQzZnCuUPWBexsJqK9dGnTLq1TvCWFHLMY
BXbiqFwegiLrJGfqyaGyt7arv5y6NoN5vcYjfCDvAD22,JAjuNRGU52PgM53N479TKpCXQnxQMcgh39FmMi1i5T58
9eYVLaSDi32HwN8iT4bgAt2LWuF4RuWoZdJ3UKhJjp8o,JAjdQTxiahAT3aGEsLojagZiTZy1KHVkp9t5rn5AdwoD
GtFDXTSTbP89C3Wa2DLg52AvAV4Ty9kNiRHmvPyqnoQp,JAgn7BiGJy8TThGvA3i8jJbAxRWdKSdHb9SPVYwcZhDm
GJVk1hQr9NdeLG5hUm8WHPqyJ6EqpsMqQeeqq2URES7y,JASyjijTsJxrx9h8mhCCvnNFZyLsuRrPS5EJA3BpTJR6
4iQ13zfcv76x8JayHZgGwj4bMUG933gfbTVk39CeTX4A,JASpdQPVkrsqimfLwBgzfwzjSX5xUNXFrqrDsZqNeKnK
EsuAv9EZtYaLUDzBSQTjbm4jF1Cz2cKw3Gi13YyEYsBg,JAQCSBjP1c49eAUKhE5BVsN8KCGMUtwJkfqnJcMgzmZB
FFrRzPComrnS8sDYjTfDUxZKXJg9Ssp8JDySG81WM4az,JAFn7j1riVDLbqD1jjLGmxRHtporf9QNpBWTvsgPE4g2
FSVp4Krph7qdNcS9QfwHF1GkUNyuaDktjLdwB3w6Jqwy,JAAuL4WDC4WPuM9AotRoKpC6RNSxRW2VkvX7oKz8y31e
J1XA2eYKyEE6TjHrCMhP4kDrwwr5cLSumjz5FdRye8Pn,JA9SEeaiHuGCGejP96oeBN3mybrjfqRJQPfqgZ3X2CGu
23oWKbNEK7KZaeVBksNMLXhKfmzkoVSFQ2SZPkxB8tXa,JA48VMBBfsKDjpnd2rRpK7SWAL7qgYvGS4vGQm65pqJx
FdKbMoNe6UD5SVPByAm1secgUEbNftsD6T7aheJWLeU6,J9xoSf4sMKKFnpnjhwDpRGA9HDe2mjoKppMjMGPxnTUp
Cf7FY7ELHNXTBvqE7cap8TYQa2hJRvdMPXrVZnDHSiws,J9wFdVKqBTP3sCmL3RS4mRCUWLa2uZieDMtCCr3Fb8W1
cHPFZA1cF2WjrBjumHnTd5pDGfFyGfiTWsu3JdqqRnu,J9oPihTP3jsaqbm4GpeVCEr4jR1AXnwSxUViLemHJpoC
8vun3LjPETnj9noV7LG1T9mqApw2Ck9ZCAH4KZFQiTxe,J9o63wySAVazwYC5NJEKBq1SLjiW9nWq2DU5drLEcbdk
AjhHRWAUAqz4ZM3wZjQwgi5RASE1XwddjNQxNQM6AzGn,J9m5gmKgXReLQVPaV7sFUNWL6cJPVJ2LgS5R54HueVgR
BdhTbXkSLNo2MXXEhMpBhyxWFnYtb3YxePx34HGFacr,J9f4MNshfn2DZGYA452znFBmm6FZucH5zKwGcmMuHzmQ
DsE3HVUQvgusKR5vNhMaeMjn3uJCM1YvrWUSmDjaCEwt,J9Ut5oYKt7ADyR5QfWi55F8DU56M6TSAX2dwp7qu6TsF
7H9nBk8eecxpQ343y46ifsskmSqxqzdfew1THUvfoNuT,J9LWymbTRbBXZWfTcrhenD4XT77vCjpru6RNNn2m89Yw
5hqoGACTE2KWmjwLujNHK9m8ydCxUPjwSaC7XuLqH3Dp,J8vhZiEDQHoZiucj6HfxeTxtiU4mDU2XJUJvv62UcmWB
9YGKydzYBg2uxaGjA4r1Dy9Dvy2wJAtotB7pJaVBF3Gk,J8jEojAuwP31Cpgx54bpwCuZxhYbK9joscrCFc5PKiFS
