owner,nftmint
Ejp6tGuozZcbzbG8FXAcPHGuLjV6mtNGzsmu7WBZpDKH,JE639hS1bmkdiExk9z6P8Vbk8VegN9uXnKdLhtT1HTFP
B3MFgFo674BYQAxZzo2cNKPPB6sepEnMwH5HiGLvPc63,JE5PCAFtnGMrnHF9eBLhdnDyG6MfgJtpse1H8L8LBdqU
51Ymirxx9mZ8WZwcGvHyPFJzpaEA5vnEoX6fC6vyGeXU,JDsdaAxrimZzAcuHyvcRKcbT1dEZaVQoTVVhLZ1z9evY
HEoqe7SV8vQbLsWZJHYQJ1FB5ASem1Jw63UjyXRcWjnq,JDgyMWEW7oUkUG7hGLgvW6aQhafVsVoM1cSmBzCTaQCL
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,JDabLSzP6D8ZL1Rycaz4CcWacNtqwZ19tYq2askEQLe6
GmodBomhyeWFvqWU4gBeDNG8MXThRXecUeAPvr8N9z9E,JDZLHDQq2xyX1eb7E5UosA8oRuuoayMGe3DZdCS4Q5ET
7Utjn9SDMwnHV56hqvi9TwoEPTvPG839oBLQxuMwVZdX,JDYe7RCB1JH1pW5KLxrLULKF4us4bvjcCni9vM9pEJcf
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,JDXsUoue9noKxjjCteWcicmkHPkJBiHHumoQzJdo4LYZ
2J8GR3QEKfWdc1S4MLBYXptBV5jpC33aQtt9LrJdGm3w,JDTb47rpthhd2LQcw8Z7R2HzGTytrZAG4hgHL5qJiSX2
WcyCoGXb6p6mgXS673qbhb9KV4M3zSqyZkrMRLrvfvQ,JDSh1KpFb8M7ELWyTbgBBek8ijeW72KKUtcSKTc4UcQb
DgzWqku67fPeuWgmyZbNa7U7yicKRhbjM7nB86Yx2ojQ,JDSf4o3EHFTQrycxgaLUYCQMS2TUJQNY4cYPFNFvDDyb
ERQ7cSYZrbxbiKD8scJcDFyheyL9AVXeu6W5u1rZtSC9,JCdx1kRg7L7BHCnRqeSwPjAaRJp2vMApEtkd1ZLyPQb1
9A4XxeT4rW9qDb2daEtQZ2BMnAio3dhuDmZHQQU7sfKb,JCP3ELugGPskwkpbLpxn3NmS9JS3zUzXaEkUc63Ngk7h
5wv5743gL7vtimvaimVK8iqHWhWPCg2njAwnwvPxamww,JBkSoxqV8h4gyJvNkt8JLi3djBGXeRF4RWDrN3Tp67L2
EzZ5R7cFhBWe84vpJ8fDgiWh8kNjaRZqSsk22GXRzNtV,JBgk9jygt5wC2g3TMBDk837tghrvvQQYNbyP7ctXE5Zk
7EPKuZNuriYgBocy6oE5HtAGDKeP4baE9Xs9dY6v6sr2,JBejjBzGDSL8cyVs7EeHwzNPmwzxKwZ6hHeayZU5c8xs
HEoqe7SV8vQbLsWZJHYQJ1FB5ASem1Jw63UjyXRcWjnq,JBR4CcUBe4xKZEmitDiEQuyZtvDvSc6xvh9JDZYzuJ2r
5Vm7DuhSAFdVZL6yaCruXz5oa9mdmn1bu585xdkTtGwC,JBMVusSX5QK3VBHVhWsYHhPU7pyyhCmftMZLACzsweeh
EvTDXK3R2fagBbix97mrfYWkZ4h9PDufQDhsuX5Xq497,JBHMv7Xya4KCH29Hq3J7rXavGb46BTouDyHe6TMuzZmZ
ALHKWzETiCbfDdFsaQHTrnzca1kX57Q7eefJzEBLoYHT,JB8sn3ChePCgWRo5vbvJCV9TtWQ8EuEEveNvCUXP1vLL
7dUAauiRM6YxSXPyNqK6MU2x6hFwZXrw6eJmjv45EoKU,JB5NpSpuXH34ZpvP8GSTBkvad9k9frBeeG8qtbE4UvM2
CccUdXroFH81QMLpB9HeGBcLXEYx7fNDfJ4ePcCWJFVF,JB36GyErZcjfnP9ECEyojLPVeh8rfs9jm2pWZqBVvUSg
AgutR4HgVQuDdcLGFWcgq9FTjTRMeCXJd1UAFyqkyjUz,JAn9ZTnES1exBv7CBRvDnqSoZtPU8of4faFdv1FvFGEj
EXqjfuu3iDazoqidA44WPamv4XKBB2mmJA6Lzj3ntDh3,JAfGf6HSuNeJ1QtjxfeWpMuG6HHcMv2J9MP8Cemdqhi8
3Uq2QT9Yi43JdPUQzhEd2uUrFhwbXiKFSE5D6tamnnNZ,JAZHhcQSPctEcGJTFBGJASkJ4acxuepX39THM6dQFtMA
Fzx2MEY6fuwjoL1g4Mh5D6dcxp24HEcdZ1QsrVxE5sfs,JAViMJ1BiYzQJzMLC72MfEFM116GyqW9a16ybcMquB1y
8kkaxBaFimCohNZEC3BqsNcBvpxKcPmarYYfz13EEEW6,JALTcpr8xusTTHX29YBNXgZ4RETqDiV1WyRm5Ueh7TT8
2FjG2ERAVdTRUQqfBEe12mWaQGAN8AAuEnHt4Hsb5TTX,JAFgAZ2PxvwutsyutRoERyBncucxQBghMp1JmbKggsSE
9X5n5i1mugTjgGPhqf1KJDt8r4kD8TF3s62ttbxKzFHa,JAELf6TcT9exqub1dKFH7LWa79QWun8xVKgpDzY1u63e
9CLcBpYRPs1cth2hd3rCcJRo8pN4kNLoHUDM4K32esRA,JABBmHm5XEb1b37jXaimg6gY2K9r2pLSLcxnY5ZSf83x
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,J9w84TzWtfAREbFvDzWeWN15sxADt868P1pC7HfLs8Em
5wjTT6GLANCKd9ee6Qzpg5oRhmDS21PArsde9rLRbCHx,J9usFoeJUND232XKjoeqWoBCBXnL5Ja8tDiebBSgA4Bs
BTfphzERw7Kz2jcSbnx4dBgSTCS41kxxnvW4TL2asXj5,J9f5pbd7b94yZNrcfTWRVq6vQ5CA7bGn3G6mkNhTCyZs
C5ZNF6DVKi7wcdeqo9cQcrpTS8W9omiu46ydfWxZXNdK,J9PyiwsH8wYBBcqnWLLCXeFKkfYPToWCAJBcLUQfRFmD
BQ5BaLCvXTPt27pKEgbs5yTQsbb3mYu5aPNTQHmBqLnv,J9PbcPTFVwN9ho89Bxtwpm66wHLAN3Dk9MxY7uFWHN4o
8PkNALR5zmGpwpVg9K1TDrRGMmJdSzg4RXtj3Emji4s6,J9FUcPtvPyebFqnvHaxyqR4yYhWjZ8uGx5RzMxr3Mgpc
Hkw9YE6U4dsu1xmFTRuLiZYbTFwA5fhePs9eF1esAV3,J9FDABHcAgWvpDSuDJY2VGr1GH4p8AAZdGiTU5dHCp6P
