owner,count
CjYTP9jJVmCqnmdPf8tyafTHxTQtAjsFckVGZWMwprca,63
FAEYozsZVkxhXwG1HnVJn58Ks3dff31zjtA8b3KezFJ6,10
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,3
mihXvCaJK9QnTrxJVLLEQXgemMrw1DcsrqkxpVw4tdh,2
EdsN43Us8oUT7FvxNbkqnYGvbAF19XN7evv4seBJ8uSz,1
RMCuMCgR5rW1MfZfRn9Ry3CZxQYhTtN35y1Z7WhXAS8,1
B4sPLzfPv8ZszXhrbjyf3Yekrq2kY4UwTd8iGQbv2XhJ,1
M2mfoQqghdS2JA4YPhVhx219hQWtmXNFFV7oNTLLJdd,1
Et8dPTThN1EdPj4U4UboVzxz6A47ZSepFnhLXU3Zum7,1
FJG8CZQXcgRzULKDuZCFC4n6Q5KnW5YkVYikKcJE8hvX,1
KfxsYDfifaLxH8uQ85tcX8ZCUN4BY8guqxFE1AnkAzu,1
7YYZE815j6bE3C1tgiAXKWh4FGwUagpxV9oUw6dgE1mU,1
49pUSJ66XzE89uNJSzyupmtVKeXMFg6R8fh29K77Qwfb,1
GsTGWmPA9XRaSkzFd5np3SpnMZbrHf9nujeGihHa52H3,1
8sV942m3q6NWxHPvSWXqAVykZXeCUHiEBC1hCggWjrTA,1
HHX2R9dW5DyPqjg9pDSEjj5zEy11zg5AGr356PM6Exaq,1
5qAA279oK7WmR7nzAVVgS7mUAvfNCG1qnt3hXxMQ7oUw,1
3XN71ShwyPNYZ22fV4phQCnyPj6E6EbMLAD5ReLRvdRP,1
EZLvwGdGyeks3jQLWeBbjL1uGeGbqb2MYU4157pDP9ch,1
HPwfZUd7wqrBAyLUgkU8GmGvG44J3HCqXZ1mhXXpe6um,1
9iwKjQvv27KVaeexgrzzoTFQQH6nM4DWL7CBt7udgBEq,1
Qrw6y2DiogvivGah9Dj9BuDu8Cr7qxCRUEh63Z1dmpv,1
E8b7cCV7JjJDSVN3KDF7syR5oHZEdnNF72jVqZfcmZWV,1
EuoVktg82q5oxEA6LvLXF4Xi9rKT1ZrjYqwcd9JA7X1B,1
G3M2y4xeGR841kY49KBzXLkMyfp5v2qrTesYcKhHQGaB,1
EFJr68nHAgLUfNagqCWp3rnusyf8u5xKWLzLXJTdrC1q,1
