owner,nftmint
3YN6SqK7JEymcLxpqZ2DE68euapSJNhY3Po9y2WpfYuR,JEJYXauWeRuz5u9ysiLa7vVEsCpvX9RgzdiZE1jbZTgh
5nAG5CdJgck1gCpbRPC56nQW5bZQWUzZA3f2YTyEC4g9,JE6HzoEaYeWZJFdsExSHAdSsbkepue5vEKNZdp1YaRLU
8yLah7LfhabPStgwJFWPGRNESExEn44DtvzhnLSWDqHU,JDQAbqKZoVojvy2aXWb7eDCi3e6PpoB4x5ifGtY1q2Xo
4aPDCDsnH5xx3G8odLtewLVJeHG6C5vtUMmDQ1gv4GJb,JD5TWCuJfStkRkNTsUGSSXuQpZJPxf4YggJfm3qWguVn
6vvoasDtDVXR4bZoEVVuv8t2xrd624pREpN17C44h88c,JCb7LfcE8WjbKHe8J2m3iH3KkYnd4xMgPjtwiWxAbCqC
CBnYmq4tVSvXTG8V99shgvh7txaSykP87SKz3ME7YrmN,JBxRTGebkj46F35UkqbDWQC3MCED9rQfnt6BC2ka71fi
5sg4sx8vbMqXvP2FPeGo8hgW8ajWpJWiJLcRoWjimXx4,JBNqGp8nA3cv82CnUpeQAXEy9yRepXFCKr8fUnnDwD3X
6Q6BStHeNHCctMZbBU4mpCWZC6tL4zqCCjesGuC8K8xz,JB1n7QiJjDvZqdtZqFHkfGAS7TGsbo4qKHh6wz4jh6WE
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,JAeRWznvjeSKTBrfRbKqMSSKHNZghiBmp6WNh3vayk3F
DeJeTRetTo3Uq7kAxzJKNHwmGy8tRAv4MFckf1vdv1wx,J9jcvWmmA2QeWTSdg5vzirH8SSEfFBEgn4cG1N4uU9AB
4XtiVh3hQBs4tE8e3s1dMpqpmE3caA6YUCurc1BsbMYC,J8HzKMzhU56eVAeMxMe4KVAY7dxp4cGhYamjmFZmDBdh
13ETs2ULCs2J5MEwSehD4o6jHibZKK34jBxQTyMb7mkH,J68CTHpWyQL2sAobxywkdo4RgagesovBGCj8uvZUmGtr
FCDUA2ZYG32s8hX8cjg5KtZg3Vq8GKQBxUjJwtJtGkKM,J56gVbpFgzfVbmNzBunL4yAwetwvSakiuCtrG6wUos4Q
5nAG5CdJgck1gCpbRPC56nQW5bZQWUzZA3f2YTyEC4g9,J4TRSeisjZDphNAG2cuvm14wrMCKsA9TvZETySGFvc3c
6vvoasDtDVXR4bZoEVVuv8t2xrd624pREpN17C44h88c,J36XoZEhvxURbrSQQWxexQAw2HttAdb1HU4Q5rgL316f
CXVp8RPbFYTsNSx52H1pjdQUoSzAuRrk5rFvLQHXkxPM,J1UbB95AnNVtmFRhCqyy63kJ73Jr9LBRwojJHueRiQ6W
EMnbu6webVanGnmUDxhU2WbvbDY9AEWfwSCjXsKd4zqs,J1HJ3VDNZNByEQXYGGWjmiFZZZKJfevfxZwQXSXk3vpi
