owner,count
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,176
srgPHxmybW2ErMzfig18NsKwE3umS3KEuYdKP5BgxPz,157
FffrafFFv3mnC7PbYBddM725bG9MAnwskXLzjrMHKkPS,153
GbmFH5bg2oGBV6n6xKVAkj3d6xC4W8Kfm7TK876GFVHY,139
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,118
Fzx2MEY6fuwjoL1g4Mh5D6dcxp24HEcdZ1QsrVxE5sfs,112
DUSNZ8CRkYfysHAXRMF5pyhaekSAjdcHn5KzG2AThXr2,110
CQhhzNxjGkgMm9HcoAHMjVCZRaLXEP3Ct7h7Q7PY1EhY,104
91GBiM6pBxVsANodJd4nGjnKBDE8XRJbcvQD9C1Phpyb,79
CtLWXktxQ8sWwNLaYuJP39j3PHpMeqm3BfPWgJsY18R3,57
FaMThtVerP5Yesw58JhcapTiyp8xmxZRB44hucFccV8H,56
BBYTPp4iGJdUtTiysPcGBDfVAC757ZdEx7WnuMMF2bhc,55
81YXeRrzi52bVtsE2nBuY1peiR4QrvS1PSHnyT3adFmt,54
EmZMgzCC5TNKhPDYPUdgiZHAC77ykT9rdXF4zgS24ScV,49
2rQV1kwgEfeCiAMwposR3iEicpCdZ341m6aeqepJbfzr,48
rrrrbbSm6QZokVe1tMdUL4Qwt1c3F5ctWhtXR4tjRP9,47
AuZtDGEsU9WtWgt2aEZ7dR168bVmrzEVCN8pDbX9BuWs,45
3ktPdtLCtkB7bDcY9mEmbZXXtP6rtQ8SPK4GpoGD1xsA,43
8LaUZQHpxiUbWbSh2oBzqJ3yfEC66QHBbq8R4WbahUAR,41
7EWVmRS39upz4rxmj69eJsTEKHEPU5FYdD8Yjrba4kjB,40
BLQE955emXxru5LvtM2vpZ622XV4bsQhpFkRawEXzf6Q,38
6kZUFXLoNwDARuFkrHGqW18SdSwnkZEL3zoZ4thGuLgD,32
2UpzojSHycrTunbz3xn93Ci8k7QpPTjdprcLK1homCxS,32
4e3sNj1nsg92P3MjdgeUaBURiKoY2Q8RaLFh3LXW7i7T,32
Ca4aBzJtre9MbmwbzV9Vh32eKy11haZ2qtdhCXhNvqDi,30
AczSKX4sb4XwVJMjTYnx9YCZbF4BToj2cDBwq2BU8XVr,29
DyBMTRZnMAtiL6Vg8pRn2pyYBDfMoEUzMjLsorzhi6HN,29
