owner,count
Fb8dJfGpizV2rb3c783DAvWnVrJTF8RZKcLvHPLUdn1a,90
FDiLdtmNPWG7JikuvgMqYF7umENSzqJJtoJHpSVGBnPQ,80
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,61
85YK84ReFwLbpjBf5Pd16XuSHasvCzc5WQtTdsjdK6r9,36
BANKSvL1aQ2nXyVNLS3DUS7yfq7EABGcTjZ5U2GNRHtm,35
5rVVvQb9Y2zh6mNPSLF4haNVYmDDT7kVXQyGSHPLcLgM,33
BU8XpHexE7vJsmNXTkXL3fwmhzkirTwXo9uXbVu7Sni,31
9PWSuVBfEvrUTRax73g4iYufJRC1FUez5asiaBMwXhKQ,31
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,28
2afpXhJnC8GjhrXqe35vHobJKZd3KiG6gZGtB9VpSYCQ,27
7yEKqyfRMMw7idsttmkqXp2Jtc1ooDgT6aZ6jm3Vmqgn,24
6fPeCrroRH17Hra7tuztUJ3RUfbDETrrVYSmEyG19S1R,24
Hh5bt8Lk416bUfPT6stiBsbyjye6H5on87wB5jzrcDor,22
5RRzt5impbDhzGepEZj44JqTu7o6NmXNRKSM4rSQPX1z,21
HH5oT2AvhS2iyd4J1jGoaWiCbC5zzbpmehCsKSXdcjnB,20
48UiKUMumWnJJ6U9VCeoLnsYLxM7WsXb7Pp4ZbtoSzU2,20
DaSyY4Azzq6h7k3GxdCby9PdGsg6GvoCXp4XPgFrSjqt,20
2qu35BmQ98uRV8jSarry4ZTpTtYwveLx9ASzzMwBM5Ck,20
8sFmZeZ3sDpNex3kJiF5z3XE59PgNDoP6eXwm97JCAxc,19
Gj15k2wbW4eswiyE7BEELTzYFXJ954JHzzggUzFErgry,18
DhfAkBZWMAmD6pYsWdpMb9Q7vKHQECv9m5eg6Yu9DZSj,18
BYNp7VUPXNdYREe1E5Xd3mMPSNpYRkHWUcD4RXotHUG,18
68hjCvKxhKk5CUpeyFkXm2LVzkYYTkSt1eirPQSnC7Ay,17
26XiuWDmXpj4btMCN8qJLM2Thik4BVU7VfA5orAUgQEF,14
5SNPWYJXMVv23atTMj2xNvqs8oSJ6Ue4Vkbnvn5CngAS,14
8Pqeg9MCGKaYkX5Ri29SfT3eUfPFDzjbcM8cZKJMwQ2p,12
DWcFRJrpzsrn624983W3qTuYccYnwLnL582gQ8CLohvY,12
5kmYpbL5SKJw5U6ijE5rKsS7z7g9ZJhKB5k1T8boPWzt,12
3jBd3p2HeyqwbXeqTtE8AfD1xYesxVEvUseNAeNjADZ3,12
73DdHEcuEZ8MhmSdK2vJiHPR9sWwfBA9J1ZQ8MXHtdzD,12
4piWQGJ4b6c6ukEzuxYCYWJk8b21fBGXTVT3nVR5FJjL,11
AJxWoTnqez1BwBgxPPN315qnfq8Fhi16NfUn6BqiBuQy,11
GPDJxGX4S9DmhtzyDbdQdBd33VNw3oMjv1ET9aeW7Er8,11
Er2u85nrcSZjPHCw6Y3mXpt7kkbJvzwxz35xuoemp4ke,10
7s6g9JGg3P5vZMnW1NXqfCWMhz7q1ZYrJVaQL1CNsqmk,10
J3KAkrKMM429iJRAUm2t6Gweeta8qnnEY1iRMztZTMcU,10
2PS94D76WNetGuEP38AxX391WPwJR3Zn9DLinpaGmVDD,10
8bd4vS98hahqAs6pyxxoBts9syj61AYKWJtDK632zn6H,10
2Q6xikZapyRmyA1fbpAw16RAtZhoUXsJw5BEk6CTUrTU,10
BhsjZ53LfL7atW2GAXMj4gQ2bs6iBRM7Cx5wrpBBi5vS,10
HgHX1o9CT1reaDGswR3mWywj1uw59N1jccUGAZQtbutZ,10
4GzSh5dzT6cy5PQQCrb2yfNah2XETRv9RobnG9Ng16Uk,10
3uZbLCuwQ4dWqX5G6cUwBxyF41xL58CdAENRZJefn9Hh,10
EtWNam7b9i1jU87EVRZPzpbZVBab7MpPdivZ6oHy6BcN,10
EobdomwXEg4PaHfxwd6ieDHPXLjqX6CGjxyryA7DDxCd,10
ChuBBY4QKEn5yBBae16WrP3EoXmoSeEyGysXXDkucAKE,10
7DC2JmnUPa4RnUMff9NmUWjp2psFYeNYQ9GufaEho2Cv,10
FZn86xGAHtQKrWB95AJnTuWnxptMmrjkvH35xHvQDfT7,10
4vYBR1AkdtQ1hTeVyKyNMH8B1iaANYhnBaT1HbXx6zw6,10
FT9Lr22crwZRhTcco4m62a8fbrjVUqa4ppHPaCbeDTc1,9
HbVpCR5NRmXSZtbP1JazWiTscWsQxfyoneU2WdAR7Za8,9
GShK8kZ4KVTrzMYBe4UCiKU8d9QUFWsSz93Z3hGDe8wG,9
FATDbVNCXx3TpMjXtQypqTA4nrJcLDjeJggkfZ8gzvaZ,9
GUkRs2gEr8jDcdi7kCd9mWffUxRLUPeJpfsKEWKVALdy,9
8rjBZep7iTKBec3fHXh3KaK47gmujbvGQzVqZ18TeS5W,8
GtMNRD15EejVpAsM8xqMLM4UYd9YpQBYFd9rE81ebCfz,8
DNRrDnPWMKfQsSLCZCa9th1SBsd2n5TYAzqcfEGZafpH,8
GchMJEkmd2nzJHRBQbPyjqwFpBCxHPbQUzW8WRChPmDp,8
FweYVpbjvccrJYx6NxDvimxrLtju3XiopW2BbZGxP1KN,7
HWH5F8cLteBF2BEELMWZoZ3VQ1qrR3fxnb7VbSZ86aV6,7
5u7YxcfWvh2wMf5yQP1pujNmxQTohzSgp1w3umJXEASV,7
A1DZeL4TBtGvKb11ei4eBoAs1aRN9fB6wjgkLY8ER2dg,7
E8CgzJCSj94wrfMS4Da7ZyqoTZmhhoYkkK3WdZ7JXaFY,7
mWWsoNqDCTZLAohpxbH4hkbuvhLTPJWpTY7UNju9M2V,7
Dfc8UPuSpYtPaMLc7UjcUdMXkfW3X1yojDLzp26WVzWH,7
35rUwH1SmjkJCAtrDVdPXeo4D4ejm9VXHAD1K6pgfwnt,7
Fr1ro5htPoVfKe4jRBKVLbDjpUGqKrVxEsi8UpZPxDYZ,7
HLTaecCNtcZuReVbnPnEgkWpRGAKjpGHMX3VDhYV7YgX,6
FRURkrX8j5bXYhWng1HzkuFD5ihiGJD78mr6uczhq5cV,6
5i9nPYuEZErLgeYxQfLCZ8a62nS37ocue91zDZpfw8fV,6
9ixHpvQJmVFznK3wu5VCLqicdvWpvk38RUKFQnTbaE2v,6
GZDZFmuPbpMmpey7RahXzWoE6exgF6uToRcEFzD8fQSE,6
4xRVhs1dHvEHrGUN1kRfSU2NvA1kAqR4UTw1Pg6Yi4e3,6
3MMbPP7hewvCsWjdbq8GmknNgAxQ1z87qbtZaM7BDaXV,6
8Kypb1jatQfZBKuFD8WWSLGTKpVuRAnfZoLRsaKGoHUE,6
HTW7ed3Dmh5Mb5btuYz2b1XwzQYabjcPE7DRYPxUeF5S,6
Apj8B2mKz4uMMoiQpV2DHjqfSMywfhSYktqJWBq7KaT1,6
7LDiVjq1hv25AEQpK2S6HPr6DzBq396GCW44h6kKRP4b,6
CifS4Rw8iLd1ApmAPgALnrCcXLECU6ewAoJeAbU2fzcP,5
GFyZoB8TEcg4zZcYjeLbWM3YrqmDw4GdmmvTQBi8oqq9,5
C2koBfj7Lrku5Xe5JAnETSWoeFW34ReHdLWTZTj2m3iy,5
6M78Y5bgWTsipiYszY9jMvHqGxJtzHHZkoye7kihzVHr,5
4x4hqBEMJj85TLYYzMhtCGdPUHc4gyekyQe4M9ebmsZJ,5
HwnDqr3H5CcfYMGQqC3c3hnPjf1jj8XgGoHkrY1ACdfH,5
EssapgUQjzkqPEWsjNedAiAtryiYwUeHo1kpLogv4Aup,5
FkuQdGyvdKBpo4me4DnFf9u1Wz3PUaG4yv5n6viRzMBz,5
9T8nuteeVWqMHUGd5UnhgoTEC55W2oiSW5VehEqUMgsp,5
G3eheQwhdtdb971VzR3xQv6CxHcGLhCmtjfkkmfozjak,5
4nftFjLmRSZtKAAAiZspjiiLQ3WjeBSzCB57vcskVBAj,5
JSBx99kVZxAGG4sTm81wZRPMWfjn4fLN2KH8Cor1UGd,5
6Fqkb9UC4jsm95ekE7dMpNVJiVb7VMpCLWcHVxnpoVkL,5
6HZ5BjrnLRkxC1V5E8mW2t9V8SxPhzz1RM8mBUQxxQ7Q,4
93ccg27u1tHK1FzqoyRtaUVh3kRwbvYNJcz4NbWWSt1P,4
BdNMWL35qtTSckUQrnBy5tUCKvcQjBTMhdybDP551u6C,4
GBSLgRrVF7KBTmVzaZimt6quoi6a7QmcRmMBHArMYTX7,4
45a6jRcsnC9yXF1zzvu2KbqFSDxdtGA3hFigoC8NZHSz,4
BqAe2oQx9PMdawKAe1Jw8PPwWsFCfiLG71Gg3omU8u1e,4
9YoKcGjGQq6EErBYNVgKDoy3hKppK6uNDFRa4GLT92yV,4
AMaybhkytr4eB1CwAbub4TWXRXsGWCYegfT4zSHgosi3,4
DUyo5efa4j16CdJga7vbXtPLZRSSpfrNLrB9hXfkCALv,4
DrwaAEvSVYo1eP8KaQ2wMs4LcC52FioHPjfYw4nYfMvo,4
8gQzxZtvM3GwAKR4YPbUqCbCL6f1pgJtMHaMe2ym9eHC,4
2gWkQUaApvpdsHRGfVB6oYoTfaaD8wWGzTsJXC9hLF39,4
4zKWiR7E2H25x1jV7mSyRo3ucAvtdTXAUjKKvKbYXdJq,4
7uwUCfRg5oyBWKBSFcM3Rz8VtTW7u3h9ZbvF24b2FRFM,4
HFfJCpMEs7vqgeNorkEJKGpGjWDNpYc5UJWAq9F5MDEf,4
4rzPrKwC9ycPjKWkUnPsvYvyx4M2Jpwco5UD5oGx2MWV,4
68qZUb4UviBobRWxaMJQPjGzEpVkb6xuY5k3YMfU5zCN,4
5hSpZpSHBR5Mf8tafLF6Bz2Z3uDm2n8LsZgED6e1ZgB7,4
5RrfxsAXTHZHzqBkqdYH6kJAuWnek4bdLSKDRcdaVjmN,4
4khoEeQcJy6xy5ACGNsFqnyHnPtPnr8dtLd1dJoYLAxz,4
GHpmaYCQpsHdia7qJLzSANwCXjQGhBaqrjcJkQF1WxhA,4
J831GuJtTCiLNymq4RW9bsEjAujhFvqsDNXbcHP6uxdU,4
Hk7msejLhc3Ra7F5eGZE462YXs9VHjTMNHRDg2qhiiCC,4
5SEhicCmWywYKC4WsVmvE36jKayjSBEMoANCdvqufzC9,4
13SL6GULz6SnjAjzRdaArGrcHX4TWd4v66EKtWbYZi7r,4
3DKnStcKsThLN5kse9RmNWAmof81zRpEZzhkVs8zj7Uq,4
5UmEZCPuvPFCGPyZ5HmrhNZscxJrHUGhtSYz7tJdG3cC,4
JGsER6vkXBReSyJbpH2vSyws4n8czRgmzeWTKCjep1h,4
CU3MJLRUvSZWCk228zYTDoQodTWoNir7E8nPWmKkSkGE,4
H1yoCzK1pYrxKXT6Bh8eaPrdHFPmkSYu6h22u9av26uL,4
EYW35YfGunyAcgQL5Ewwq7AxFFJG5bHgZzKMVjoqGu7T,4
H1U7e2ciYzvuVWjBVGWwg5jws9KuaBWmBanreBx13ETX,4
AzFkVUJxCQ77xvbpzn28SSRer3MQWbuTTuXHyiNRN6ec,4
DBpM1VfDMts4PPQT4mmNQV1L6i8p35s98sx3yBG8m45F,4
6hezBg94yF9Job3gb7PSgxvEbKPbwiZNMPLTDSRRkUFH,4
98ccTMQkUkJGh3Q3anN5pFa34PeBecyzmsc4pMV42MKg,4
4n3J58xezLUorD62tR2gDE4QSahsEmb6U1ZhF245dW5r,4
3t7GrFKEjY3Ef9dZdgqYNpfctRVkC413aN13EKx1Wwcx,4
CAH8MBL3B5L9XzyxF3srx6tM4V48MajtBoqLL9Ga7Rf9,4
BPBpowk2grgf2x95MZkRZhNwVhdW4eEMxkpUqPUk6Ak6,3
8GbDMiWNeSvK3q14akvpFCtDH4XwLM9ATJHS2ydqBTqN,3
6MbGnUQRdXneLqPZUcBEYEfpF4zCBcvYPg4ojesD3ws9,3
5w5cGfKxNwxYWS3AEL9EDRpsF9EkVqj4hN3L1HcpsAJr,3
B979a9nhMpQtdUm7eM754t6Ci3XR1s2QEbw2pWruFCZ3,3
F6qwQhpZGBdgSrZkBFWehtzWK5pRHa15ra7CAUZmPpxF,3
6QFmUMjs4RX8cmq11tD72UD8stkCzgaJopUkiib4NLXh,3
Ecg37N2jjaf1gm2fUPfTVLEPob5w9KnswJnkCkJS15eR,3
H8jQTnXqbyZ9keygdQDmonbEN8Ttxb3Cq4cBzxGk5cgQ,3
3o5MzmynZvxz4ZfmYmVLnChHCyRtRVmj1Aaca4FyaFm7,3
2VTkHHsr6vkXmMrsfgFLj31h6cyN9SxJ5vMuoVAi9xAt,3
3K3q5eTDfJSUBzmnuFUSyNZGanWPtY75DEubQ2TbcUp6,3
D3MXkHJGJGWMDTwxsEjwEzygr7FYjikMUzWQFcewdDpm,3
4S6R63jspWE8BfLJJMFz4uC8WQgGXnVGuKAmkov9kXvA,3
7cqUqoHjnZoXDz3Qb7kBrtjggKTBRKYwoQAFJ1swQKSH,3
CCcFqw5jv9SqAyyhcZX1yw6WNAoKRhuAnKZQ2x2uM2Gf,3
D3fnMfBaRDwzoXBkY6EKEvFp3RaURk8Gzi7qcbHRpgYT,3
5mvZFRMT4aguVvpQCKeaQiPD3tYeDiGaBzh1zC1hQNoH,3
4ULth11nsRntrLb3TjaUHPAr2NWF2jDPWjYEkCkGFcF2,3
2iVT6HPRieoMWED5WqYNMueSU5hSBUp7GRGzqX47NtUn,3
GvugKZrUqQ8b2g3DYDJNd4yqnFTTxGLYwhSVvTpgyd5J,3
GHAzzBHB744TLpQNBwuiyceSgWrnsuNgCVwNiBt96rVS,3
4ty59C1EM1XpA7nEE82zbBJL8hzPdxxki8PWsuHUtUQD,3
GCnsNEC59Er3FRMpdBVsWoJepNP2XpZKdLnngcd75M3G,3
2SkeDrTcQu9HQhRdRskaEAhzzPShQG9o7613BDWfNnZ8,3
D7XpwXgHrr66R4w4iukiuvhJAqtaqva7BDufncqQLG86,3
GyWDFgRbYeefQr8k7EPn9mzcMNFvKWdQLkokVqujGQeW,3
3LEAuhVasjqvvZTYGH9f3ELCewTAh3VUTQVkq19mz7NF,3
DqDksj1tbRAKmBhQCT9UBrRA2gi7r8i8TyKwYfg34roL,3
AwQM4hmepeZeCmnHLibA35Mvaj3Z4aVV6F6Duq3k6jT6,3
B8r2EqZtFm4JsJdXTedudUWdtUSmX9WkpZ5W1ZPhSoQw,3
555v9UUC4z6aJaU2zeX1ES6AiZBHXEUTVVbeUufy1QEb,3
Dt3UgdJ2kFag3Dmb1DgSeKgYSDXBjnhDkVoapPHRtbXc,3
59MPK1LnkhD64Evb8Hw1E9zeT4WcpmGsd25sCqyYkvRe,3
FepBit8n3u4126z85RKSkgeA7h1GdnHTJbsVzgbH8qVb,3
6yDHA4KqVqo8KNzRJZwpp54QhM6nQR7WyD88XDBXwJk1,3
YWZqG6SbuuN4feD7749w8mLbT7nMa2ha15KyagXbfL3,3
Fh9c4e5gtvWJowUCQy2BwHrNZcvUgFbMa2e5ik6KXikR,3
Fx1DGU8PHmQFn4zZUwiuMQomfaSHMLaSCaW7Yx82NbAm,3
DtYQwUSMn9AuHDPJPWcjZ1jsBp6nUfPj2hkwnaetRt3g,3
EwVvCTRvf7p9SZmiNomSndM9EYepU3TqVhgTtBNTakkS,2
9EiZgoq483T2c5PEqQC79ACva6opzNNSTCGkZP6qiPTN,2
sXbQxtRg4GuwUq33TQxdaNLXf5z1sQuHcwHAa8HDZrV,2
3AeLCFTWWjD7fdtmHUxYnDvhKGKTDiUhnbmmwLe4YGnm,2
3PRscKDmrWrp3bkMDpkaGXhZWo5uyRZMqR9ecWLaDREi,2
J1kuHGJF5FQey9eVYvBSaRFiWBH8u6RrLQnZmgHYjrQg,2
AwxnQeEskNcZcR3oR75GMsyQN9wST1zCyK1TRkcktpVQ,2
3FTeNsneProe6ewTZrN3McP7MULggjbybJuqHauuF9mW,2
DRPeMowpMdNNLzmsq6TydXPiMUosLAgtcJGmxPAVDNYA,2
8B2tArEWo35YqqHKv4caDztShMBPP4FK8o8XmuEmiKe7,2
HazsuX3HbrGVNrbhdSx4RMZxnuhN1eENECeSKnjL1VMV,2
BdxVCVmCbpHAa5NR1SoDvg89MQMCh8gnT16p9kMh8UpT,2
EP1v5ch4BC6TYbAdPuvFrdwvSgqVTKrYaS5yowufSEsf,2
6goGeBKrdhJCLRcTdKY4bTbqGdKW5FXerz9hcfnhjGSk,2
FYS9uoLXkt1kaLfoD6fRRrxcdRaQ4tuUp1GcxGHB5G9t,2
7iiwWT1Yvd18gDRX3P2c9QhArKKunnwZng81btQ3KgLY,2
GRRrSA3f6AHpVXJBiFQgvBoGcZB5azWGHmvVRz4PdSB6,2
2kvzMbMhfgmXaEQpptSHckUCeYQELWLinBZP4svR8mSX,2
7JBXTEyaxtDVf881CUcJ1P6mZ4zJRTKiQEAjmBEjWZgb,2
84R4MzASbWiufm5wGbQP9mgq32Ndo2VWNV9297gaJJcW,2
7RXLqie8YnukVPJtE8Z2qaC8Y4VrZj5vVwEiu3cHf2E6,2
FzQYfytjijjig1Pgi2RSjJNiBPWj7GVZiMaQHdcYPAuC,2
Chpw2CMLVTm5yYZvdRAsCkFsDiZszJbqCMmyXcoYMDyy,2
9jEECaB7yMJZym86zCFTfyzpaLrdDDJcBgKYEmfpBcXe,2
8pdJHyButK9Z4eZDC3qGgB3rUqYrPyMtLauwVNTnxZkr,2
4vL9gR3nfhh3Gzg3kpyBQ9QfSirsJhqyFjVatkFSV2yg,2
5TtQwdrvWScZrsNxF7snYE9rNS3tkcVef4DBJsXndfRm,2
G46y1sADk9zrQStAxRu4W8ad1DK9ceccEzMVMCc2XUTM,2
AZkHPqyjzCx3FfTLVRNSjvLgtnpchUrZcJQfwKS9koJm,2
Bdz56n2b53VioBVVxSGabBd1WGZXyxEo5RN5QkQQ8yP8,2
3E924AfkxptCqm13Tm7vq2cJkLQDBiYsXTCBVf3vjwft,2
GK3SXJFkBsqzTyCpreNbXMJ89ZBMa9g2yJgH5xgmvkZT,2
GXAdZChgvHLgCwp5uSEkTDfHT8bmPYK8QibbtK3w2nZ1,2
5Bpa4tToxC6enfi8FrCjN38FDQc6edxf7rBNoKAfv83K,2
Hjz6pQZhmPFb3uMVf2ggTRU9hFpxQB6xxW9t5bi2P55x,2
8guaBkWV8YF6LjDE6mukK4SbZ9K3uQ8Y2sYAQzWHeRC3,2
5d8KyfJeUqDRXc9u9Q8JGKno2RAxNB2V4JgZf2rJ1dry,2
6ny8vzuCpVuKd4Ei2CY9HWj8k6tRcVEULbmtjE8zHFqo,2
2cvvkGkdgBCJ64qr5xrtF7cD5VhfhU2sDJFxhE7meFV6,2
5vydv61FL5MG9opEqE4PD2VrNpRdzh6UL7syTidKeKqz,2
BnAT3xjyvAbTk8rGgYzWpGUoHufEUpGZvgvwinKmsqs2,2
FBzLZUcQQx7PXymcg7Tt1uFdhberpTtYVqEH792i5Hpb,2
B1CQjxx2DwnDpCPrADNAV7FrCU4ZeWvUiEsZkpfjh3JS,2
Ds9ZESHreCg7FtSAbj2srajdbFPhcaEiyVEUdxjDD1rS,2
FKhNzgSY8ZU12ydREfNGks97ew7dBgyRu2CWhrwnVZEy,2
CRZUdacW3tzgDvPiEPeiXCsNzVtSBCgztuUwPwNz1JYv,2
BLjtsrixbNWyDd3w5z33wyrttZ5MoqweSsnUJU9CBknJ,2
Hev1svvAGVPbyAw6Bb8YshvvBomRvscbSEY18DpoPxF8,2
3c3VDcBQkjUMoQhRXa8NGLJxwpJ4n1oR25JNhxxfdMZ9,2
CsFxxD7pjeXt6FMGE8sT5LzMkNxxy6GztjxPFUsqBXeC,2
8hrnPfrEUgRKVRE6Q7bCHEsHHj2VpBWFPzPRa1hzkuYc,2
GVF7TkjLs2vKevVuVNPoaQSpRtut7bseVsRN1HXWGAWX,2
E7E9WewcokpvBi8unYept7Xi1zHizJXDviPi5vcF5uZP,2
4ynhVo3L3B4r9PmMCbsx9KFXgYxTfcL9ZEy6mjbFELpW,2
4QZrTXjGfaGNxnxZzpKTmvKojQc6VFw6Bw56kjkq9aoC,2
4Bkj5ejVccgdZtxrDrTruhKdgJfX3Pf6CwU15kMviLTS,2
51wuraRqTamzownwRA6FXahzhaXAAdaoKzP5dE7xGHcK,2
EotgvWEELpjkxXvc9VrvWsvYQM9GSW9U3HdG6eXqdhNm,2
5LKmDC6wvZMpJuY3npwr4yNkPGQYJ2EZfRLguphiYkA2,2
GNdb7FNJfTznE3YnhA8zzzXGPzQZtqWE5uX5VuGmGfh3,2
GsuAHTdqADAn4UEKtb6P6mKAj4StfJAfhHT33GaGRog7,2
