owner,count
A9DsyEuQP5J4fizYuWXKwgGebThNkFm9NEXFzBbeaEdr,1371
8YY5LrwE1dyUwohuusNNJbqEXg9vGdUFXTqyQu7gZ6vn,1131
GQ7Wdm1Uj1NDbCeGhGReMKvd59Zzvr9hvmyY39pS1cmc,749
Dr2rLYBQ8X86mAbkJyJ5X1mPzXeYxchHuqPsvGjwKhEQ,331
H5mB3XnQt6sdYvh43EUY41ANxGG7LBNScAPkYuFNQu9o,289
6L9NE2QwAcbRwn9aga1g36ouHCaZ7HFuvoNqFR4zK3fJ,222
52jTdrpRwiYGtMSUMnCFhcCjdEUMJRFSrb3YxQGiN1Vx,190
FLDBXMYZfeMGGiFKQsmuPepAHWqWqUTp8Kynyeg2PhV9,184
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,177
5ttehpdwTeaCT2HCAKwvL6KcGUWaJBwAsh4NWkDAvMv7,170
EkkGT9eVeKvv7NHVYySYtzyTuqEYRShYw27wxgDdNvFB,134
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,114
sBNdDBxzoG7cYejvVmjSkxvTTBkueQSjbUyYCdcSNWY,108
35d9B63PtEvozBTARLV23TsdcMAC7ZHsUYKtAJwS2cTJ,90
CYb8cxPhHSiPLvSUTxqrFdMkxsRrw8do6vuFQ3CWDBK3,87
Hb3maPqD4JMrWKbhU13r7vpMLvB6ma8WnSk2BzKQcjDR,71
5sT5z91eXrj4yprqJkiq2GrWhSj82oDHvYgaxhFX3QkL,69
9kvVd4N4HWNRmeEoP7HJ5VcpgXj2Xq8pWJT3zKQ6xutS,63
ABKEurgD2TQv1gmJifGy2fkuFvoUUrc4eQX9msJ8mTed,56
5dJKFxNFns7hfjKmg1PTUJskqwjAZEEvzyCP15gFG4XS,55
AtM16WxSX8tnUdNBmTMGB6g9tvdvmuufz4trNnf7K76z,55
7GQj1oHQZQMBWzt7EhCP79r4cuWcEcpjCsjqLG7jAo9T,52
ZVTVAxkekztnQAXv1o5Vb7abG5eT8PaXM8ECMDN2XqY,50
CwUtegA1ruvv73iFdni52FCTK4ov2MSSkzEWn7Y2ssrY,45
3HQFqiHEL8jNfHRsXBakFXfQKcVzjZVjwdD4gdAeEqsj,44
9mkZYpXhZxzKJ9JHHZMwwVDTqsb98CzTuBiGDAW4vSq3,42
8pmDatagog7rQmhZmtQp1vkoEuUsh24bADyxiS1eXXd1,41
3QLmeLCLgCmwmurz5i2QGqMh1HeS3GapxAShZ7NtWwW3,36
9LNEYts9qGR4goSVtuWenoVo8WGxfMrZf7KtCqLBRF38,34
6nCfnpMYSNJqivPtxmfPNqMsCXmZnzA8Bs2qMvqJMF7z,33
Fb1T2CPgSCLarUAhRDXWDmx2bnmfpcoSPeM9iR2rceQj,33
5zFvrYisXAATb6LUDmwbz8hJXmYznUZAeurP2gZ5CrAz,31
5mc6Fv34JBkeBRhzGbvozEuGarysHPtcvaATxZRJTDTM,30
2XTxFsfYwK2FULnNbxfGiLpQMS7r8KGcHFrrYXvkg2WT,29
