owner,nftmint
3F21SJs4FMpsakrxmd8GjgfQZG6BN6MVsvXcm5Yc6Jcf,JEGruwYE13mhX2wi2MGrPmeLiVyZtbBptmVy9vG3pXRC
ERJ7qPjnGmS4uk6xoUNox6Ee2jCfXKiaoBXR18pQNMpw,JECLQnbo2CCL8Ygn6vTFn7yeKn8qc7i51bAa9BCAJnWG
C2Muffqf3Bm9PTnHGVLVArFpUXh3nid1Bx6QayYoYopz,JE9knx5TYxevHFqS2mNJC41cLHeuK999wec7PoavK5Tj
3147aKW1iH62sYExC5FUvthddJcJ6Pak9babnN7snmtB,JE5D5Vp6NQFT26YRwjeW5hiAU3B6ttXma6ztkPxgDhTD
F798uRiw4eEZtqMHLDsJho9r7h8nhtmRSAaU64CMf5HV,JE299A4MyVEynUh8hSnHALSSL15CtyuQ6fp6UvLL8uou
DJAGvFELvLKhzhyJxM93Y5RmQCMStzPvaAaGN7EHpZyR,JDzrfLzutcKLj3puywqkpWDhzeabizaFa52nZStFS1RW
6U3Z3M3VzBvqqosDqb4AdU4f7mfU8xo2dbJt282pk94m,JDxc3WHUCTbNw7Jtc8kDUfz6Tpd1SDzjPzcSFRmkqg3B
DmvJgd4Tfwp1XtH13YfZUKjf9DVrtCxMkoQ8LopeumcC,JDtdTLzb7gpBBsQrKWDYX2NCfUZHkzATH2QX5dFrTL7H
8C34ScwuhZyjgkDobbj2K44T923QX8iNhhs5vXtJgdBd,JDs1t8xQMexSS3vGyZHH8qAJ1C7VGMpuy9D8hbH8kRkR
6YFy9Vcprn9q1qYYCjXcZzKRUiddySyjQnpR596UrgeS,JDocGd6V6MEkL7h5gwCTvAXxDwudzsdpD6Te9ddxzRDD
76eD5WhqRZghsXr4a9Lyko4NQzKazYL2TM47a4qSAYST,JDmNnGQNVxm9jAXYnjhTML5pXTPK1rDCr7c1CRYMpypt
Efx1LHEbVZQyqxxkibrZ11ehDP38nxPXCj38GoUn4i83,JDkb9PivArECZqpXC7SLTp9FDoEFwsq6CkTtUh4ywwJU
E8frd5VSpTZqP39yuuBHk4eRzoHEM5PozyCgtArZjUzf,JDjsowpkM1wtjqQY8AoDuXEho29ZVF7BBc6qTKGxLk7y
44mfn7ZRuQ19iqQN39L8R56jNLZ45tDj4fdhoquGzH5c,JDjPRJdkoWKmFNGvqqYyFTGMV2jDypQFT6HVMMvgS5sm
CiRNS9awwR28Z3YrQfFosbZgP7tumUe8CF35mLGynC81,JDgy4uese3b1vzaF6ffjDhUcDNB5RecwgUgnWy291Pmi
41xLu4jcXR3u3N6xw1eTW81f8QN7Yb5KEdJkGQpn5UoH,JDfGpHJd65b48DWWnHH92Ft8p62pQiCefsSP9wfeKGpv
9pBDRP2av9e8V5vc15o2Z2J9PXFy5HtxHkcM5bY2jVPu,JDUqoCiJfd28933hd25ekYjMdt8y4dtc9cTtH5mppv8d
2iMBvYsRjMZkborfH5zyeu9fXPrQWVf8AWbenmPZxYpV,JDN4riPCKgKyPWsBopMpVvfQ5va9dAdgqPNBjpATcLM8
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,JDLvmNXuHNqWVc3ExYhgcPNW1UTschoHoree91VJDpQT
AnPF3KKcV1xHk7JWTF9nq13HhPi7hC6YQZSqip17xQG1,JDAjC8uTvyNMKRBEw2vSGMfTFDBAzuybCFPrFLjxZ9QC
EWuejJ19ZVwKSM6PVA54s8GsDSDQ4926EQGu3D3ZNoPC,JD5xs2aJqoqWeHrb6hrj5aoaXZBdBmHF7QPJESomjLfC
89U25guFTAXqwEt64h4hufwgdBi3bXoKhBSyGdbe96hm,JCy3jgxNGYKKvnNo56ZC4ahpfjVGjtdCXejsZxez68wd
4RrzL34AuT3gBjJ3SfNrnAXdno7UcSn4TVFtzrNqTvnJ,JCdygQ92RdLUdjRYnnTHcGtujJSNvwGScxiRTtCHQzCo
F1y4TrtEpWHF5bCHo3z9Vu8mikKvTk94TkGsw9rLA6V4,JCcNHRgfnAZxj1WsBNoihE2uUKH6BrejguDj2c5sMHcS
CbSKdjmeR8ursxzJHXqk6sQJjQUCCC1sof6NLtABoTC4,JCYnDY9kmbjf4C8RFsVBiH3WkTnid4BpWPu1xH2NxCy1
