owner,count
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,316
8Ew6iQXcTRHAUNNu3X9VBn1g1bJkXEZJ9gFD2AGKtdPB,300
AhpZSLfAz5coXCQb7CqZXqGzkUTKZCwZ9NXdDJ5Gzvja,110
3SJph2jfRM41NQ4UgV73q9Q98mWW4HLwECJyUKtHSW3m,90
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,87
AEQ4qTvKkV8BKgpYv2pRhwHHHNbKP34isp3bHZGSXUAq,77
5LTWnNEBtprPvfjsmaKMYLU48FgVv9UvC4SzLJgDr25x,67
Fzx2MEY6fuwjoL1g4Mh5D6dcxp24HEcdZ1QsrVxE5sfs,63
9grrSLfZ5S1cosQh9uGxAvrf6ZDPnJqA7R4CKMXfAB8A,61
F76hj5zSHQJY5LtcH2bp5atGnZtL79Wk9C7ndv8gybE8,59
3kyJ6AwrE9B9617pA7AVUfCPZMrcA67cKfegogMSZyAZ,57
7PxKiRm9cMCHcMghCgbKw6VH5mQqX1ZpvarYmR8btecj,52
9Cqz1iNELmAywtjWwf5oKTU8ZS3FSnE9wKt9ibeNnELE,51
wYFQi5GyrXC5taP1j5VHPgKg1UXoiiLvkKgS19TwU4E,50
6Bw9GQAZwJV6pasoayh184rB8uNGTpjUh1ducCcZ8ZZh,50
7bkeDJjUSSkxFFrwoPdfKZe7ktajsWPyr3nLtoNTbuNX,50
5jeHtN2UhtbacKDWQhKP9hPVAyZuekdZPMGrMCZHY4Gg,50
4q4JP7HiBAboeCsaWiYpJACEU9Wznrroec2xANPg27GD,37
927dWi3xLNNy64q4kStWSXNMboFPTUQ74u3L6q2NX9v6,30
GCnCesT48KscB92StroDGi5EoAL1Vuq8Jr9cS9RSEtRg,30
Hcq3S8URqJLQ2JUnNJ1BmNiYwtWen78jQkyirHufG2jf,29
BvfaA3kkz2FU11DbjemXWGzi54Z8uCQjRuZF7SVEwk3g,28
BaBQKh34KrqZzd4ifSHQYMf86HiBGASN6TWUi1ZwfyKv,28
5spZwaiLpXnLrnj5ZwPqBb1cV3f79demxt8KYj4TGqby,28
GJYkXHR3JpZwfwEDGToaEbhgL6GHw1NKrCmVSNBMrsdr,27
Bak3MY9H7HpjoiZy447sig9tnfPGMZVThRr44sR6m7TD,26
HtGS26JV7FQ5iU3AKdGkveaM56JHZ6bUwDi4PKLRHLKE,26
FWiJXAC3jNTC3b7g5eQBfSfuUW6vDebxBB9zm8aUUwAa,26
C3ZqzagscYfaJDf44X2D2s1oPRWgjsVhf4zrXHAGeeFz,25
6R47ZG8tJE2tSKCZpsY1CsNyPPH36NLwDLJEeWqEamqb,25
BDw9cp6JDBjeih6HsFwFjj2hyHb2dtkAuu6kmUGzt8v2,25
AAr4urT93mF3gU7KiVF8ZuYyMLFky2WphHKcHUjuJGVe,24
C9tFZyXZovmtgZdQVh2wS7dGW9aUAmNkb6QivDRmHrVA,24
3sP4VqAzjHDvbLsS6UvEbps854fhKDw6mr2C1RSV1FHn,24
2Vj1aGPCVcZkPRMGYo63vpG7StEG2m848GdUs996GkGz,22
6NHytFm3RxvD86FPbS63b4bPn1FFP1245iJumpNY7Lqa,21
Ev8WSPQsGb4wfjybqff5eZNcS3n6HaMsBkMk9suAiuM,20
6ifRiwgDGhrfxCdnnbXXxePwSzgpQDyQXTQDwdpszZvm,20
86uqbE4hY69m7ouk3jHvxFju4APB55KPwAvdMRxux96F,19
H1mK1mocQNt5bJiNAq9Y2VAfLtjPe2wt15hHs4hni4YB,19
CdRTkJHwinqec3chMn3MD1RMmfbqHjPSg8AV3yqyXdiw,19
7YZHmv4D5UTQedcWdBp7LbnYe39sPjkjwzNh67q9npMT,19
9X5n5i1mugTjgGPhqf1KJDt8r4kD8TF3s62ttbxKzFHa,18
JCZjJcmuWidrj5DwuJBxwqHx7zRfiBAp6nCLq3zYmBxd,18
G64MC845iQSBLtscgN9wCzRE8f7cjr4uctZPyhAznEVh,18
EeTZTgffhf6qH4kvyb6tSgePaF5uzcyLzMTwyGFjibF,17
6Ys7UEFwYtgFpHjU24vUyBdjf77wpvCtLiZYdAeKGCwU,17
ABp2Au56QfJfDrJZn7pAQUC2AmXTzqtyTbfKntHNLpU6,17
6QgwfbsEwYpch29yb4FijfKaKfPGtd7MEgoL5gxLsuXe,17
CTxbqkugESafrdiNhrxCREna9nqqFxqTZD3sSBBh2Wkr,16
TvkiA8NtzQgx5efwF8nMmRoUn4WR3tke6n63MNJt6uA,16
5iM4vFHv7vdiZJYm7rQwHGgvpp9zHEwZHGNbNATFF5To,15
4ja2N12Zczh9K25zGFTfao6yPdTZSfA5Bw4QueSmQCYJ,15
FQHtRw5dHCZw315KJt5HDnJEGp3Ei3NpQWaqPVyF59db,15
HZkpo6nndvRu7bJJ4R2e8Qm8s7TYTx4YvrqppxTr5mQv,15
DcpYXJsWBgkV6kck4a7cWBg6B4epPeFRCMZJjxudGKh4,15
FTvai3r2QdxMSxqbaM4g3kHjdyVQ55kSkr8p3y7TTUzb,15
4RrzL34AuT3gBjJ3SfNrnAXdno7UcSn4TVFtzrNqTvnJ,14
5g6mJGtmHG6EkH2gDaUGVGn3tX944pU19N1jvME8fJqW,14
FEeSRuEDk8ENZbpzXjn4uHPz3LQijbeKRzhqVr5zPSJ9,14
EE5Amii5FUpVuVRU4aaWE64PdKLPbMbTqej9DEuWRAXo,14
ACMVUQuWdWnwke1sJbLPm25V6CyoN7VC3mANCGqJUntJ,14
76eD5WhqRZghsXr4a9Lyko4NQzKazYL2TM47a4qSAYST,13
DWoNRP8JWqsSxRExeGxr7KNdY7dc36MfZabQys93QaBA,13
DNBsTnpUVTvWnwGQ9jMXUtNa7uVtv41fq9CoRDp9h13r,13
8oaVYeiBV2Niqd8FQ6QQjTdGxnVmsejqpuEPHvia497,13
EMVHQWNYCET3sSKFPJnEpbrSavA1agU5Z2d8hkqcCv1a,13
4m39tDyZcK9dgqYaBaX7PiTp1kjAKrMhNYmxDcVu3hNp,13
4kkGFS47eeFquRDFvKXD9CFqe79nbKARNFgLnzZ3rigR,13
FdambgQEaAnZNknWcLuQ3nVD1okSamgtGbxUwVK4Uh78,13
9hvA6vfj97noF5WKz1s9RxxGNu8gbvXZkvFooy6gENya,13
7PBZv1sg51NdWVZ5nw7w7odorWVPJ4ZSdpDKeZJJZwBs,13
E7LZUZRoi3yBGoJXhCqJ3JxFN5HiXREidvvgua1ir7Xf,13
B8v5dFq6Tmg4ZJY5M9yYcaCjERqrkFTukMpscmSaMRZh,12
CQhhzNxjGkgMm9HcoAHMjVCZRaLXEP3Ct7h7Q7PY1EhY,12
6nCxdu3YLx1ChZ3fcjBg6F3csoxZ6jjFJwTzC4mqVHA4,12
7QE3ZRYQyWLNKh5NZzaGZ4JViW8CedDBGZyojVo8tobY,12
7B6YTvdmyAE8poeJGyEhhGszzTM1JDM7DtmSd7SkuZHk,12
ERrzqhDmw7GPzkyDLmCA9aJUw8rMAa15mLgT8EfMR2Ye,12
4R7WxoifU3uDKMUP9vYn1FMtaXtV7LhicHGAYpakGEZN,12
Efx1LHEbVZQyqxxkibrZ11ehDP38nxPXCj38GoUn4i83,11
7xVVHrMMG6Vdy9LkPePXNteUar96G73ZMGqXsHfGar3i,11
E7Q7rydTxACkYmnvjwh9iHep75YWLvoPGrLJKfvGzwd3,11
EBFukCfMHVLxShF1iUEczQmAfLLfLfTrywk9Z9Q3oaQG,11
GK5e86xbrGdUgzVqJouBJz3GduF2qJkLXxseZuqMNEHM,11
EWuejJ19ZVwKSM6PVA54s8GsDSDQ4926EQGu3D3ZNoPC,10
7oA9PeZPwepWUpcrPnVD4Y13FEs8WToKFzbB3irbZ14U,10
3w4Ksi14svxuPcwfhNJrWAk1tni5kVXxux7xWFEoWLRm,10
RQo2EwXzrb93xUXRY8KTzbDJGgyXfL9qad2vakBqyf1,10
