owner,count
4UxDXJZMGvBFjbEuXVeuBBWsCzUSZkWf6fVG7Uw2VwQm,32
6pDXWs2ZwA51UESv2iFRnjLezbJdoiKnnNmK5syMrGkk,5
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,4
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,4
DNPKGAvdH5FuxVxMRsKMigy13nfEiiWSoz3khVjrSeh1,4
D14i5Fi4SBoF6YjUATwAfaFc59ftqCem5yGk4PyBLGVB,4
AXXRH6NVXjUNxi6GvVWV4Pp6q7k9xkqeqHhRx8sW41TX,3
7MLUFSFhNzk4H6HeZ8eNh3sDKgkTCdfjvzV4iGJf6sT,3
2JfsirF9fAfn61RaqhDKc7R6w36RhX6cv1Pmwwbhmst3,2
EuoVktg82q5oxEA6LvLXF4Xi9rKT1ZrjYqwcd9JA7X1B,2
6iXh5CdA6EGvRLKn1UFe6GRvUjFYxXTQZpbgvM8F3H96,2
Fp4KSbigFEhCQ82EXA7oqHpps8wLXinD5VKf7ZdUsbq3,2
HJBVadEgXB5TB3V65vn6gYvUvfeXtTzEW67kiR245Grf,2
EGNPfLtNe4WAcAQpnNwmehmEANCgj7FnqLUHfT54eVgV,2
BynJrPRktNqGhbGDNednvYYLfF7vpqADnVnLppkg9P4B,2
H5RJoNy3ArtHWY5WSDdoJR7TX1KoLacqpotAbFB7ViEi,1
99d9AKDA4kMSTQ1UXfXv5YYwP4ezv2L2K5uq1BvNhZmB,1
Gt6HHU3vYnwLpVyhdaNGKygJAEEdHjk54vMerdhdBg42,1
9Fio2QyvE5QvBe4JPmhV4fsHNr8HZmLdbxqGi3Z8DArz,1
A5r7QNULyBmx9KSqoeZZ7SDGNj8CcKkhgxKwcTu8BFTz,1
BMG3em62jwtuVxtFTZE9ujoxEynAmh6g7Yz7vCfJoVqY,1
2sYcFiicJkPaH8gozWatB253v5h9GyeSrocE4THEvdSc,1
6iZCzTsBw2N2dHJvxT8NZ8iqdwFWyDZ1ubh7CbLku5oA,1
yvbvWFzSnYPH18Sq23V8JdMmhMTreqrtGVViiqs6pHX,1
HhLJA5EWvJygtKksWp9xGYFYgdSdtrz4Mpd1VhPzC5Ae,1
BAVjpySHMMGDpq3whU7qaqCCRE8ksCeGwxa53Qv2i8jS,1
9HmQpZSU4xAeqGGoT93pfidDzYyJeCkpyrx9gn5jrwc8,1
6AcuDBWip2KsTeRzwCRyac5c9qpueD6yTJcWqkFachQD,1
FpMQjjBu2XQpYMaD9VySyExAWg86XnhYXNnCE8UN2x1R,1
8zpK86dHcDsu19KGt12CoprL6ECgCLQ1RNRxRixYHhEo,1
72atq9yFfE6fmv6WaDRxWSnDCPhsDMgmZiuJxMKPRfPY,1
9WZ2izc6ExG3YBJcqkHmPFq75gQR9jrj7kSbXiMePJjN,1
4f3aD56jHQ6MfrSegbKSo7BqyxXTuXNKxxrpGniHagyK,1
AcBTURLigChdRNYLZMiCij2DHp5J8DcJ82kmFhfGe4pH,1
49pUSJ66XzE89uNJSzyupmtVKeXMFg6R8fh29K77Qwfb,1
Htz1d8ynVkmBTpEULtiSytaKLF6jdMWxRASgF4XvHvnQ,1
