owner,nftmint
2FAH98LnJdvYMN5TDw4jhMYWKoR5zaq4AAxiK8jD6fRA,JDx4pYkUVBH2PFfVRUkT7KfYqmPN6T5FZzgsmA9WhszG
CB8Pr9uzrrFw8BFnCqworH1wMa8DsmbSKgUNwVWnDGrL,JDuQ3Jy1isZLUXrDVKR8BVYnY18M8ckfJkaFKGzRnB6b
2m41rijH2baSjSFpcnNsDF1DMvbqZiWkXf5ntTvCp8VC,JDirC6UmvWxhU9f9QbYCY4GZebaUGapgH4b5JuMeZA54
2rggHsDvqXukhLV8iawdhWip2gX41MKnxATPtc1u2uMH,JDgkvEnD5yime7JqjZqPoyx5wudXHKPA23dBivnMVzvU
79XzZSKfHVuReDz9n2VtfccdV6V63NyrBxADYgmfkw8m,JDeVJXUjEC5MnbmEhFUfySBvo8ASegeEc7ZNKUzieoMy
DtjWY3aZ12dpf6iUaELyuHi6EKcb9CkCDBHd33mnvhdy,JDas2JUB18F3iHVHUTecpydDt3SE5QhEiz3MqRaycmn2
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,JDSmH3iBM4wNqbZMQYzizSnUtNJAkPdFrtyPfXVJvr9c
APnYM8bD63PkhjN57Ky5Cu85TyEnvDUpnx1rUVA8Ezw5,JDSPj4sPUd1G6gjBgB3hZGC9MSjvqgRupHLc2nvy9LPD
2BsQXeKZkYXYvdNoWS2GkWyXhafWYJ24HcEe8zCGrq2B,JDPLyXUiN9oS2tFwfubMQa5hrt5JWZQEn4HNSZTRvJ9Y
ES4VAQ1KDzJsE93gNMpYzdutFLhQQhFFXx4mCq9Xy238,JDH98gd5uGrqzDC7jFT2BGL3hX8WhrZEnoEH6VeyeDsU
HfQJ5SH1cSTqkPvy34nfnuNoJp3iGhda1rS2nFvmR5da,JDGTKrmqpjvf8mxJsDg1VBFrZ3UknkezQDXDrQhuhqvX
5bTrxh4QkAnDyNGe5hvyk5Pe2U6RqRfD77hiAPriw9VV,JDDGqCBLSSUez6aLSCUeuPtYTF6ZJhqoZbydkayS2Dmw
hPY4rUftAKLZvYSzhR8MpdSFaNiFkvLZPL7ai27abig,JDBn77UVdD9AP94VVBuVK1KrbNGCn4trgNhwd89UhyG7
3Es1rHzp7ixq5LPouzA427eqKCZYKkVr6FuQYFttd417,JDAgDWujnzDLeaFkA5QeRpPzJYdypZus4b3SdZRXHM1m
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,JD9th35F2YAkfCYP6G7UAEFAYqezNwYn7Win8d6KY37r
9dm41a6y1rtxYHzPGWHasbvVL6JHKuQjzn45nHhTuofA,JD83UqxMUxHFWx2MJ5aSf9rCWJfPKzk6mwD5xeai4m8z
E54e4hPduhb4uCxm4yhYqzGURAGgC9kirjK7hBswEuiz,JD7JXpCtyDznz4buvtn8BG9RP7jKvReBZN4DZQQWnurx
4VoTBK18QuDjC74iz1ubRx3ckvL6VC5RDpQ8sqXYA1QF,JD5HShufA2oF9DkrBxVc5w9CNdvdEWoZezqTfWUos9i3
2hhbBKmx4Msrxwy699eU4j7ZX7s7C97LdEGCQHu3RZ5o,JCiJcpRss8JmEaXZB26ks4bBDuRcharyz5KVaDwBL4Zj
665uf1Pz1268DoVx7FqF9kVtqntjWhD5HK7n71oUEq4d,JCewxToKMQQuLm69hSeBw965hhSCkYeT5ZzRrApBjMae
HRLbz9R6R8xbHHdLpG3mk3N64t13VzYvDgznTcB3biEi,JCaZsN4jFzktcZkC5fp5rzcPK8ArHUj2z5SrUArK6yvg
4ohdQygKDJ4be34wR2FHLup8Lj1nYCZx7mzD3e7o2DMR,JCVTZJ1CuvRzNs7WZJoQosk3RyZqc4FYogbDNX3BAcNa
Hdcogqc4mxkKRrEA7oUqu25bwWgwNeYjGy5BibXuj6Eg,JCVNEDVM5cksbewwNCZnMYM8G1NkNEeQPVebK2pgJLXG
i71PwTktZgHJ1vqhcG1JiE14Pj4sULzMc4Ybbszy7cq,JCU3TD3R1RFx7vCruXesfZ2xUzhPMcCXw4qSJybqM1NB
4dmKvyq9ktzKp98GQKZoLJeSqB1PxJzthia5opQvCG8o,JCQTs6xihYu4z1gKdQcbBX6p4HfSyZuSFCJYFjXRQsP4
hH6dcXW5iYUAX3PfSJHe9HPoZ6CmHp6koL7vdjubsXj,JCLnZjs9UgNzgocTgamR2sr2Bd7nmJerkGmdC3CBE1hH
