owner,count
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,521
CB8Pr9uzrrFw8BFnCqworH1wMa8DsmbSKgUNwVWnDGrL,148
tpVvkAaY6c5zBxCneG5qWR7nP3RVkVEYdBSEpeS8hSN,144
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,142
AyYa1NUgnaSUjK2AKgmMv4KjxBuHf272uqam3TW6KyRy,130
AdnWsHUZRcd29B3Ybqf6qXkAV4tkqpWqLnSVosDJ6BFz,81
BDw9cp6JDBjeih6HsFwFjj2hyHb2dtkAuu6kmUGzt8v2,80
Fzx2MEY6fuwjoL1g4Mh5D6dcxp24HEcdZ1QsrVxE5sfs,72
Hdcogqc4mxkKRrEA7oUqu25bwWgwNeYjGy5BibXuj6Eg,70
35UzaRcBDL46Efaq5ctYwkg6nMVcSc2XLSvhiWuKrQVf,67
FLC777psNQXeegmVoGUEwYE7iKMar3owLumrnzq7p3uu,57
cEuAHzWCq76cKKn5MEQ53wGLsfWgczzEs1eq3PPYXdH,51
8DP7NbxWGZGt41o7Sy1jRU4vCm47R3Nrs61hhafQP8FF,51
EKbYjQuaocGyBgbF9CcXn5ovVoZsZa4aPd6CwSa3XUra,50
CqA42zXaf5zXk7EW7jtCLfL2uH1efuB9GtTfjfJ2hzoq,45
6DRUB2ZGTKYqSj4cfLtjHujxtpHmNg5dA4DAtnM4145k,38
ANUEEcPcCYmgiMKVmhFxpk64rFovmeMQEUBQGNJwkcUF,38
C3GNnjf8V2wyTKfrbdWJ6U3nYUbGgxFBoVQV2xrNzp36,34
NAWQCgcrVkyGPgrULXshGbvxF3N9kJLPGk3uj4iVNqu,33
GDq6ChAETYT2VuMFEep6nSVvU3vFENPp2dJ2UNgLxToz,31
6XT6o35TGjE31jNwLC6SNBZe9ARsdEGX135Jsxxs489R,29
HCiCGCsue6bSgNyhVt21NUyts1D54BK3oQu2wCu7kW1n,29
4zj22pu8yRyenFHwLmue28CqVmGFgVQt5FmVvwdP5fLa,28
AFrAt3anZ2EzjbNhm6AmdcNccYBK2rWa3iAjxe13ePg2,27
8UjgCXwMnW4HkSuu9v3BdU3L3CdpMCmPppFqc9jTMshY,27
MeQpHYtFyc1NvWKtaT48JJx4h5zvQxiseX6VVoeFfWA,27
HFPaT6WKk9SkwtYVZ5m5Sqw7ZbyehGu9GHjsctigm49S,26
5JXwLznLEevh2nMPZeCEgMSjvo5C5xGuHP1E8NhHDiSN,26
BzmihZRHaystXW6b7bHa7NJu9tcatcTDnqtBtnS3uuqr,25
AEQ4qTvKkV8BKgpYv2pRhwHHHNbKP34isp3bHZGSXUAq,25
DKddE8exaGxn3irDbUaadSSxY7W3jMCH9k3TRogoGM6v,23
FWznbcNXWQuHTawe9RxvQ2LdCENssh12dsznf4RiouN5,22
H2WbaevpDeo6BiNC8oZw2tzhN33vzPazKMiwi2j6Z2eB,22
HUcS8CK4N37WcM37HBsoxwG7GbtgzY671MFvbnEZswh3,22
GWWdEjHjjr1WvKeAcHHTqQsn9obnNygKUrXBDgyEW55J,22
8AnaTKrAb1EiQVhuNrZn73fVaFXecDSuCjQjykY7wJ5r,20
Dav6suLg6CwdTMqn1ZYCsJfpbeUgFqKcG6AeY3th2LrV,20
E4MNRP6zqgKQuoFmJEudtxwJN9f9y7gyQqi18TxmSSNK,20
CkxVhktjqYuhsVfNQzqEZkwQ2gMU1wEFPM3FSSVXGjM9,20
AFCdXzVSAiQCaNweZJ1Eb6Yo4ZgntyDi4fGcVCtAAYGq,20
EudkR5GhKSmq323b9rYmkMBhyDjjyX76S8E32jYm4TBX,20
FtW1VGsLDoURv7Lkk6Rr79QX3hyDcnBGne7BMSxkWsUU,20
C6tYwQ9fE9Q1qTkcySgMN46mrFmDcfM5MUdcSFfZ6iEx,20
BqQYUeLsABXf685SdEP7qdYAv2fZQoz1Qtf8uhsrnKtG,19
3DZb6p7LdRm7HcDyvVk64TXxkooG5rZ35fMFK9PSyZmq,19
okayUwihYTTNTo9WVQtRHrt6f2CTMJsdBH3TPZoNTrG,19
4nqpsc85P9DCR9ARTnrYNmcysTnjQkcVmfJqnuWP5Yhy,18
9YQqfV7cbMNT6kFhd2ENMCJz72Pb566k8rytZZ7jfPm,18
5ffiGRp6LAZBFCbn1xP22HQySFFmAbjFCTHrUjsXSTYA,18
ES4VAQ1KDzJsE93gNMpYzdutFLhQQhFFXx4mCq9Xy238,17
7E5XjQqWTvq2VPW86uXRQcq9Y3L6pxLh1diEkvgKEz1w,17
Av7eDERUkvvhQNm9nmZJkxrZsiTNocGW6VSy6XhZBhnn,17
HRLbz9R6R8xbHHdLpG3mk3N64t13VzYvDgznTcB3biEi,16
BLr5uwrJwLnyoug1TLpDWWMtqiZ1XhfDYhQYXo5yySvx,16
HDspb4L7yG6acEp952SmKhvWzikoHKrtyy68xtAJ659S,16
BAfSP8fqeeyGeewgdq6C8rQHVvjoFjSUUfPfooCSWZFr,16
7TSJ5K2K7Dsa6DRJ3ap1Ai7N9uesJ9TfQi8Nxg9KDFba,16
FVgCkW4jvBvEDHTCKVPtRwzDzz643ursKBivuiWyxgM,16
GpNLftwbAPy93qgLCAerBZsgNJbV96P1VEKuSHwujYsM,15
FJQbqM3nL26EfyqzkqMyhwQbU3RgwqWPpM1i6HBLKy6X,15
DncwrPaxNPwCQVQcYGfmwLm6XWGmz8ehaEaMuUFTrADH,15
4Bh3TB2QqBb1TpNcFDcAUf7rPmKE4Jr6uWubzM5RwvMa,15
3xZzkpbW1aX7wap5YNW3XiG2qSLeehy1kB2GEALimbfZ,15
HvDf4Cxd2evdYueLhK5LoaiEvDXFXgb1uRrkoYPdvHfH,15
4ohdQygKDJ4be34wR2FHLup8Lj1nYCZx7mzD3e7o2DMR,14
HDic8tesxZppxtqr9qLsFaqxVm32emsoGFrqRXnw6CJz,14
DwJcfpat1J7E2e2Fy9wUfXZ9qBWLRij7mhwMV2nKV7ju,14
9iE6ai4K4W1qMKZc7XiS4NFryAqogpkhyLE3S3cAyWpL,14
7TkY22C4PZG4f6YbULzAtrS5mc6X9wu1MaspHuMgE5Xs,14
CPo76cw52gKMTyvCS9GpnnZfvmkQQxovLwQFxonZrCRU,14
CQAyKyay5nUDznXTaeaPiN1iyLHZUqmhkkP9xSp68aMM,14
275sTRGf55VcfE6zEH5LdJ3cy7FYNtWvBD7ic5VysAa5,14
GUc3z2pfiePVhE5QGbXYyXrfsQMeXEm4KZNWcZHkNZNk,14
HgEQdV6QpasACPuvgrgarKNuEyjrS9ezb4WNdpF7fs9P,14
E1CQmLuMTPAGih4iRZphN36X9y245qhARTwwa9aZDTKC,14
FnKbdnMNrYmQqU2iiwUde2oM2GRDurUke1JUM4Q7EJbj,13
BbS5e7aiPcEciMKwKXZpUByoYDZB9n8wPsR2skxrzf93,13
6MtgAmvyVZ6X3yLWRirGBb8A7sCErGUcJVgicyFi1axj,13
