owner,count
2aSJBUGpWWUZty3dafov1Z8Edw3YPA6Z1e2X3aqXu27i,242
sAgA7DBhzB3pvZAPUEnioNPVPjW1Nb7Gbh5haydSzKQ,174
3nL8ARyiGBEZh328NqyWzH5hNXbV4Hoz8QhrY57chxoF,53
CR6QZwmhhHxgp2QD96JdkSVqsRPwYRcVGMnCGYiTQNDf,52
EdpcdGbwG1Z3hcWMpvGjDpqenT5mwecQ8DFvT5iBFe7M,50
auPZSAxgnBy6DFVnTc9yHdp4WjNEu4tjNKkPtPUyy54,43
HV71PfCQwVEoJGiuvwrffJ1iVLZiAGM165aDx7LLmKeA,41
733gGAHKr8DTAg7dbYVP85nrCtSMRty8672a6NFKUoM1,40
58Dc6iEDW1drqxHu1mcautSi8ckshx8rE4K2qSNPjND4,35
8McVhmNjsYSkwQ34QXJb2ADgLWERcHcpqxSzRZUCRZfQ,32
66y181hfgZ7cs7XwgkseFEWN3N1c4WwhMa8DMCpTFW9T,27
4tzfgyqfipoaos12mPrNRyZYzgTjwcikhQEFts3AawHN,26
HfytuF7AnyhVmhZsMZWYj56DdsYzUvZ4rEHaSP1tEZDE,25
357fPF5gEnN9evr75ZoPEzky75uWDAwuonm9diJjAhtH,23
4femWjK1oDZxCwSpEZaZBQqjzg5fc2KJE18NAEoNXnPV,23
BShZTHvn1uQF2zhXd6fKxSx3TARubCY6JnGaTX3twLja,21
FoNprxYzYmwnYzhM964CxEHchhj17YREieJtSAXg9FMU,21
DXZQs9TvuqcdfZpnyewtJSGQPRudoryRoKm1ZrXS6jpj,21
3au4Q9ZP5bcr4uHhxC2yVGmDfjGznnTC8RubmLHHpeW5,20
4gssWvu7Cx5zKLKdcRWo3cFiBR87tBHtn7gopcqptt9e,19
CybB3S31khSiYa7CBdzrn7jVDcdqEUxHQait1oBKUbU8,18
4a9GA8MMNYJjC7BXkxyoqmMtFU3urRNkm3KKAk8wgho5,18
Bqr8mh3gbYzTtWiuEUGbV6gbedYYaEFnLw5pCgT92zGs,17
CH45w9Ujzxb4fkxTKyYkbcAWuGL2g81khSruDxGXKtzU,17
925KRepdZndgoXwifzqd3aE5yQDsEGbuHVrKSGLe15c,17
46KiU5jAAvrY7oEmtgFdKsLLPL1RfTQsKySge7SQPxXu,16
4gASkJa4C7MaBvmHtW7tw77t9vzERX3qNeE7kgMhwej1,16
BYYxpTYY4912rjsJDJ8t5p9mVwsHp55NNkSxhYoF2Nr6,15
91j2qiwAkk8xxDFWj6nQKG9VhYqRqPKpdb4s6aRYHkmL,15
G9xnGF74uUqhoUuifnDEBGR6zpKkrcjp3h5CGLLy6ESa,15
DYZdR88LEJwyzboCfBUwRLBYduDnZhSFWTPyoembSRHj,14
2M1rbA74N8oSGcpM5CMfS1NY5GWip2g5Nk4Mk2VX9V2R,14
7xM4u6DmsTYnDwhYrygz4vGcBU5PgpaSB1cKfSp2X4rf,14
2CutWdfUTWEKA771aGVZh6YodCjnn8L82qRGjKFgMoG4,13
CNMs4vy1NLLkbVtzAYNYW2BKh7TUeaad9PxvXuqE4tVb,13
