owner,nftmint
6n36DvqgjTD4bZrHoEQXiRwzdEt3171CKdEmwy3QtE1r,JEEkjDwzzxCung5WWSTz4iR9HJfqVVpM28oV2SBFanx9
FHj2ULTM8zTdtvHZ4NT6hJc3dZYJPGTzJdjCicWafWDm,JDsEteseqm5B4xQDBMpKXuhqjTGiGD4X9VU3By45jnQE
6QQWLpHx6iWECR2dSUwaW9JBWEe4PAqiZHDrLEsemuvM,JDXRdmEACmATAMMqTRQYQSMiaatdByAN8cUYsGBEdxvb
3g2TUkrZf86bfGQXcfJ7xMCFSmnssdpeTxe5V7y5GDpb,JDUTLrtiXp8boqcbJQYuhoUZp4jAqSP78u6tGBwqvD8F
BMVBiN928Ne54xzj31vVnd94qPKgsR7Mh2SkcRw2EL1m,JDDkxfd7rrhLZf89dQef6XeH36trPrCpy7uBQK6bsib2
8G73CkB9y4djR9pqKpDnzuPWveoK8x9daijyfjs2cDLg,JCtzqLMhUJd6DCrVuCSacUbXjRWaLau18qQkqJS7svwy
5ryxn1VAsX1vrbU6gGnFyfZNvzVZQprapQWsdXqq28Ze,JCnAqBTLHH2WUy2LLW8XB4rfvwKgny82bmYdupayX5ht
2bUBMYeKRkXh2p5ALTp3TbjX6XNzE6fJ4EnHMuupd8dK,JBqdooscqmKiTj8hovD3Amh3YZjwt8mMF7EaBGWxffoJ
HsKizixwsDcJajLF9gwYwJhrZiCHDzmqZJ8FxJEkLKG2,JBiGp94fpDaABujJigh6ZwwwBAHYJfA83dKKZgcJ2bte
51QKufwJTNxtsQF31NmQu6SL1Ka75aP4ieykqbHVcsLC,JBet1Y4Ed7dAZK7NawtxnRr6WhtJcXjQPmAUxocQDFDD
Ez2U27TRScksd6q7xoVgX44gX9HAjviN2cdKAL3cFBFE,JB85XHkWzwHWWRJW1B8YSCA3e38VJNbbgm7PofgDPYu7
E2Uhs8i3HFvqS6tFsYm5bhpekomTqYgKdkSw9c16o54i,JAhX5axFnKy1m9Q2ca6vyiwtu3C1EpAouot4EEd6Rzxz
1WzYezvo2stiGomkVBhbUzk2uKcxvR5vRUnnLdMXXoK,JAfVmdiReJCB4bmghXW3evNV3F9E7SQdx2pfJES3Fin8
BCcVc7M7MrUgM3P3czSUe6C4hix7HN1fQJAjf7yUS171,JAa2i5fZvLqamsg55FVBcoLzagNaLSiuUQeVMmFez6gb
2XwqzthuTzEeXeZLBn44xSJLDiA92b59xvga1QXx88Gt,JAHnMXEZnj7jHv5Bp88rDg3Dqupm6yvV1WSAfM1JC3Hh
9BgYgcdC5EgjfAr1VxAi63wA32ibV7NjxQF4MxFrMkda,JA98HXM1UUEx6avJSPQjTG5BUSKX2johpeAtMyjV77Ne
Av1FTaZArBDBKtU6AyrtCcjkfsb5r3hjqHkzvmZpq8N3,J9sRocMGhEt3nUV2DQ8eMQnsyPwxwRXwB1rPFWkro62x
HFPaT6WKk9SkwtYVZ5m5Sqw7ZbyehGu9GHjsctigm49S,J9ouBkAEMm3Mc39U6qXmGBudzaRoTeY9XyKRRdmW6pak
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,J9bBpTvKq6NGNmcvbBrhQMEXfm1PseBT3z8kDuuAYAww
8SP25XczeweASbvMp3TXNU7nbtDhDLjPAAFTiwNfqLKg,J9augCCZgrGY2rEWBT8McqugVT8hitt11uT9AeEyuVue
8fZJVX11FBLMksiEe3d45ciipRx1JQD7RssTndsnR6qF,J9WdQfpAbAtGNEL6v54QuACmcNadXEG8skCrLXoepjso
3zWxc26Qk3zpPxfuR4vFGk6ZWYAqVjKQAzZ9f2nny18K,J9UjovhAR1fwvifhsv2bmPhKk29nMwcWbWzHzt86p1Yx
5HB2wtHn4kgWcW4buJx8vXyefRjjpnLeNEhTjRDjEwNA,J9NxPdvazPbGqW6mkq8Y2Tf8nQomXmbsZ79dMBsVr7LR
54hxH3MFkXrLg1BFSbL6zcQobyY2tPJBP1rhyMuyA8G4,J8nm6ieBZkf4J5SRLLC7ng3wRsQoSRiP14cg7yDwzG7a
