owner,count
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,264
8fo62YXvPhPPEwdqTSSrNSfwFmf2AyKGJ91d7sJp5AVC,219
2XwqzthuTzEeXeZLBn44xSJLDiA92b59xvga1QXx88Gt,182
9D9XpawZjQ5oiUUv1aGMGuz5Bv9qv3HvMo6wvmSGdiFW,176
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,170
HFPaT6WKk9SkwtYVZ5m5Sqw7ZbyehGu9GHjsctigm49S,151
3g2TUkrZf86bfGQXcfJ7xMCFSmnssdpeTxe5V7y5GDpb,150
Ab5ogknAVtJEUqkyADGN8aDEjkuy7aRX3h7jQyzxtKcw,149
Ez2U27TRScksd6q7xoVgX44gX9HAjviN2cdKAL3cFBFE,137
Av1FTaZArBDBKtU6AyrtCcjkfsb5r3hjqHkzvmZpq8N3,124
FHj2ULTM8zTdtvHZ4NT6hJc3dZYJPGTzJdjCicWafWDm,123
6jsXJ4BUrfnyZFwuC8MzGZyx1mJ6XUvUyDWF3xsY3FLc,120
75NuX18vMRXTTbxDj1a5d1dqrBF5iK8GAmcnzFQT5hZ2,104
8G73CkB9y4djR9pqKpDnzuPWveoK8x9daijyfjs2cDLg,101
9iXzahXp5svje1A2dYGjLbppf9gJXy1qk2Dgc6jTqxjq,80
54hxH3MFkXrLg1BFSbL6zcQobyY2tPJBP1rhyMuyA8G4,73
5bQNHK9gtiogZJhkUHZNypAuqcWVCnQwQmYuAn8kuUud,72
E2Uhs8i3HFvqS6tFsYm5bhpekomTqYgKdkSw9c16o54i,62
3zWxc26Qk3zpPxfuR4vFGk6ZWYAqVjKQAzZ9f2nny18K,54
BcmbGCLqk9ifH4jY9abDbqfHCzMAaanyQJ4zQ1ft6G1,48
497Dh6LZ9zC72aGWnp5thrzQZfLXeEQQsqBQxvQNENnC,47
6n36DvqgjTD4bZrHoEQXiRwzdEt3171CKdEmwy3QtE1r,45
2jBX7vdpkboBo4MdcKQtTgCLqhN6PprQ8sfL4ViDbtfQ,43
9akePztUmnd1vX43SkjD4qHiSYC8qq2VWCMtvgb8DvVF,35
93rgdeoXeNxNS1aXbkw6vYXvL18c9nApVJPT5TGue6ge,32
5JzZbgiDiJwUo9PPJAzcB8wfZbkcJEytQTh4HB1G4Npg,32
8vMghzGaKdo7bkiiMbGv4T5dp1998ZwVasvioc7kp1p,32
DgzWqku67fPeuWgmyZbNa7U7yicKRhbjM7nB86Yx2ojQ,29
62WfMNepig4Lgxj8jZpHh8PkHbUaBCTm9T9yquxCd7DF,28
5EcJevf5bj2MKFC2ZXkKJjJtC1mpqHygUKe7AwUycnB2,27
CKQHkbV4T6bdAVpNLFP9foedvJinyNjSJr4Ds3XhiWHe,26
HzFB4fbj5RkHCpcc3SzwtKKt7ZqK4Vj5BkonhUEzh3SV,25
5QtqzXJDQbbVZrrWJhWcEFMZpCkcEM4WqBJLbGiPTQy5,24
BMVBiN928Ne54xzj31vVnd94qPKgsR7Mh2SkcRw2EL1m,22
97ZQpBtd8F6VuDr7kbLBQ4xeMzNzq944Rfm4kaTYKmYa,22
DuoHVLkUbhRMGu7iJanQMWFYapNH5zDahNYNb6UD7nqw,22
Bzm5BCDS6L5q11aBVAQ2ZANzjFDHMX5X7WvWbhgfCXYs,20
EaLaug4c9azpqYphPLZ2biXQwKTzJ92yt9iu7xkmxGrx,20
4fzYvJ9e2Ld6yHMriDFcwtR6eGPKdsyRA9rzMsdwzPFa,20
9vY3vV3thzxKvGidyTBCVRMbUrC5t5Uh2qzsZxjJDBUT,20
6G1ntgjrDHwpyTxztLsEL9cRX5LQDiGVAH4QWDcsiW18,17
677uhLazfasHXJ7CtAT4iBW7hhQRkLvLrWzd1VGvQMat,17
7riXx3JdtvkFpd9FMrvAqGU6ASJnW2NqngDdBLTc9xNz,17
3f6CsoKNQU3ZiMeNeM2n4ntUgFDCT5twwD96FT6gZEzy,17
2bUBMYeKRkXh2p5ALTp3TbjX6XNzE6fJ4EnHMuupd8dK,16
GS8X9rtJADZFE6AagCeytyAt6d5TAqA73sMwoVVWnqCq,16
DKAwNDSvknT15az4W3ayzVAvMn3dJLZAiT59z7mK5hp6,16
HY4p67Gisn2sCFEKVnTwiGRjFD3tvLwhQcBHmsBdtyxF,15
AAyh7PCHEqEKP7bn2P5atWxtvY4gNkzfUohCTZ14a6ur,15
2KBctsB4fgTEPrMvkyCTwfXkR19Eh6qkQ8URfV8moyQg,15
Gs7vJAQamnHMfZzRDQyXtQCuMS3A6x8T4Ypwg9nhtt8i,14
HmShYZGbH861HRXcMFzvR4ALwTxcndybHjXZxwfDLi85,14
Dzw4SVnJW56dNz1dXH8gjMKAAt81WHVCZnyaXkHVRhZh,13
G25xvvH37iEnuYYfuBg1mppboCspkrtJSqay5AdJetqF,13
2DGgmJBmZ98AWt8RxuX2QZyy9vikPkWEgnf79XyAiekK,12
ExoVuEQEcnWHyaA2BNphCm22vwpqAhRo3r51Vt2kTzQ2,12
B4yruqjJc1oCGKAHjVjmVsZqH2Kn2V9gckqY1m4W8MNC,12
EeRnNBTz7UGL42wnxU8r9Umh3ty5wD8MK8VaxSGwL7Je,12
59cNbG5c1KJdSTHFMq2up2EvnPxiZqCb6abztHnyKSW2,12
HYsEUJNVDWoqE13cphRNGopiBg5fQmueWmiFfzqPMQMv,12
ATStFyjqeNcPjTDhiTown4LLqofZAsLLju9tw5ZzCSXm,11
DuwpFfMC11GZyrmXZz61Ds3TGe57BvwgnFhZW6ekgVHJ,11
4urTfUK5QcG17XacJwfkKYUXb31p5NEnNes8rZFXCMEs,11
5ryxn1VAsX1vrbU6gGnFyfZNvzVZQprapQWsdXqq28Ze,10
EKz2YrtaXfJ1J538sKhvpSDAhSLinxoCsKwH6s1pHfg8,10
3gFsSwv22Nqy7TeY8FVtsLSx6k9PKDPjcEon5ALTGaBh,10
FVFiwRxvEHmkGE4wBH4LrMyBrcMGgmnWgUeCMYFKnYMH,10
BA7j5GcwmMpZQfQH81B5ko1vjK6BDUp9bXSWZXvsVuLd,10
C1UjC69axWaWFBYrpE5s2pX4k3VaT8DyDZJffXexL5iE,9
ASFCGfuYZPrxFCcYRfwkQACv73dsfG9JLnA3eUuDg1bL,9
AjW8omNkjqqA744GrLqpkpwrKeL6YUYeiKkp53ZFPpmX,9
6QQWLpHx6iWECR2dSUwaW9JBWEe4PAqiZHDrLEsemuvM,8
7Q9vB5PGafBrmSFwK9za4FF15dvvLR9sTrF2keDJ8sGc,8
4Y8eYVV5HS1dKrqF9hGajegkKJY6aKT5UaypxTktws9C,8
FXKTMRiKkDji5x3pMamWUHiYz9ULppTaAMUpWeTQ4YwR,8
BcazVPNjoYtA5ZWFab828moWgpx1fSebGUGuHYXax1v1,8
TJjnVZkcMKMx4QAQavnTwgesKVrZNJ9z43Es2rbrhog,8
GnsAeKpB6Wdt98aAYS58kWGMUPgshyhMHPgGQweZM1FC,8
5HB2wtHn4kgWcW4buJx8vXyefRjjpnLeNEhTjRDjEwNA,7
5MxJkP8wDNALSJnSFWy6jWZKgBrKNy99gtw5UKBrdVAH,7
AtgfVMHGvrZof1nArwQDT7HU3jqdTKPa7cDfnSy1z7YU,7
2fRmSefKNRnPV9JLPPFkkHNX5NHgikJAnffXH3nKj77H,7
VvcvxquhETeFbbH8xQRD8SjCjh8Ky3srqDfJeMVWdJX,7
4Usjgp2h1fbyst7bQvfLf8JJWRXJPR1Yf6XdfoodQ4Dq,7
GP1a6mRHxmgwA9mpDCsfmu16n3L6T9Rar7kqxobqnSWF,7
6V437AGDhW9A9G1yVSvuyN4WwxhnghhJRuHLxpS64ntc,7
794W2j1mzQ4FJFectdTq49cDK22wppQUadNzJUhZnStt,7
5neKbYUzjvHeJ3UhqgQfSbN7apmBGoMNXotL4RbPvav8,7
GWxBSiSD9nxD71GCLqYKbwUpduVzvYFZmSSJ6WUUi2Do,7
7zszjB26j4y3a16WTUiyLPKnZAHuiHiZ21xLA5A4nETh,7
C8mgrCncLMtpfh4QzkJsPfrWd384yQeSYpdujw4LF53T,7
43AdhzkEpuoJZwLouze3z4G6E8xJ3xJ2KVxGu6tEVLrn,6
CTe9kaDxyGimSE9ZnUabGmi1H3L2FeFCZgTXo1N3x9Zv,6
BY65FqktUKA9kSZnkBLjXnWZeZDTwaggMBE5ZSn3L59U,6
H8Xzbon82NEJ5gLwouWXtL4rYFjSaF2sU3B8P23JmxK7,6
DfgKdiMKvqWC2RHFuWZr6Mfkqor7KgouK5Pohy6AsYPe,6
BWTebVr6atspiRNrKuF7qMPfGUqFfHcWeVhyVDN4uSKr,6
9HFH8QG513beeYTc21DdJDqdEqECL2KtZnXG78HW68Kd,6
HRwxz2TPjdMfLmjXCULj8nhuDahpHdwitoNb185oBoNQ,6
BUENSK3juB67Pk9BKLYQh2yqHpf3mFmRotRWzFrTvJbm,6
D2PGbvGku8B2okWM7HoHyzCt647XXv26kdmEWtEP3Csh,6
B75EkcfVNtj7VraWKxazcr8xRsjkXTZFidAuPh6kwc5o,6
58jyHpzByC83YGJKwAdMgT2GKXMmVUubjeFd2YNf2tb3,5
57fCDfRkHi63bzZKvoAG7mUGBX75Av2DXD5Z1bUfkKCH,5
2ZGoBLAojXrKpaCu1ubYkGrujXy9K3LW3dG9NkhmTqga,5
DjkBxevcw7MNUAiHWodiLVNEgyC9n6S8uVDTdyfAcoDA,5
FY5UBDXZ2mnu9rvaD9V3PMPkbWy5hJ4SWYWnhiVeYfSM,5
JdxqCASfjh8tHxDZdwLVhi7TBfcs19DteX8Z3kM2yCR,5
6cEJ6ACjsdr7Nie9PcAzSDBxQXvMHxhp4GZeBC6FkPxS,5
4NxEQZ4WzREpcz1faGomhjDotiefcPqkxnh36Ea6XPzq,5
3MapvCUT6JRyFJXSbsbenCjvVnq78rVMgy1EJNA6xLZB,5
7LeK7U6uTwYKfa92ZwAa5PcetUSa913NuhYF9nS13pfs,5
8LXGbzZvRmcv4kUSxsgp4c7rQ8Vk1iyvQ2Ygd1SosJWb,5
uNJAraEVJL26kG5PHYtGPiGeaTA9QTk2tVSZwwTQxmw,5
4sxFXCxetJGRBuMbBeEw1wNFpxFQevY3sxcXwCQpuzRv,5
DCF8QfHwSySj2ghJ7UnrPg8jrdtaA6sqwyEr7CjzismT,5
AryXuhQJ59cTwv4UNZtirGrWUjz9xPNjR9TgUNoK5Uuu,5
D3zSf8rCxybsMTY96mhAdG4j5nXBFfukA4tbYduBtRxv,5
9r6DPys3bwxQYTE96qpkVQmLrDQHP6bePy1mP6WhXEGa,5
HirPiXu4X9hLCiFPxTuzz5ZqVumUJ6jzyJmvTn9Sw5i2,5
7ALqfWWLmNgiBASJzdoSY3z5K5AWURYTyfXmztWpr3yL,5
8SP25XczeweASbvMp3TXNU7nbtDhDLjPAAFTiwNfqLKg,4
G1TuRcqQQJT7zvvtDEGPmmUz1tTyfWFxTLAaNDQVzKB2,4
9nW9JaHbaCrxzEsEuR2okwRsUCo4xnm1hTNLcsEgMqof,4
CQWYUvRAzAUtpohzHBSThZxY3pj4cRbCDzHiZtT4CqPG,4
Ndt3rhBgstLSGwDhioFvP8XLdDHTDgJBchpdwfXMHRU,4
2tv6nXYWpx1wSdYXsQYXYAHFCMKaGmDvmtJ8sVQVK1dP,4
HB5qVvrwX3VFzJFWt4eYFQ5S2YQ8mr9MtyN9QgXLz2Gz,4
7bpfbR4c8zJXQCtwzkB24vC35kWt9voLdAugGVvZ4NLv,4
32Bmr9mrsJ7JEbiNwDaAG22VUvQ6Pa5xZGEggMbmq56i,4
F3Ev63z4yMKoyjAGQv1NLV7itKvRjovGoUC991abUhin,4
75WwpZVfv9GZ6SsqwtAK1RTgLDwzCfRfSoudo4MTw9jT,4
2eji6aYhKUUXp7qgbSJFhHvkKPMHw9kxARTPHADtdPhZ,4
H4oD6mSUoJhXFXC3PVCf3KqKmwdQqjk4unMrB5EErD4k,4
7Sf33hPZ62Pcb3JrG2N5ExLU4Xn6A15naVEG9SDrdegk,4
342tqFCDTtDJXnrTd72H6TMwJGvsr4PveZLpmqxEJb24,4
CBQjNUZRYTWg2uC9BfHfMbB1X9C3UR2jZSAiTr1Noa16,4
FzeQfg4G3Cz96wJXtavBLevaQqyJofNGnT35NPsQFqhs,4
285FnWG5yvxSHPhNDFeuuZuboc4wPQpEZWQceyqSGSQP,4
CWQkpGWjwCRwe1eJiEokSVaigYz3ZpuN6qep7tf7EnR6,4
J7oho39HCb2NgByWwcutqmi8EJFXAdnjzPqe8Pg2tBJW,4
9fVu5HvhX2zBr1bGUYcRcxWfrGpzeCH5dsgi5aqS8W7f,4
dPsXwzaJFzG5LNxvf43TEYrNVYTn9StPGu5gwkMmij3,4
BxqR756u1JBxH7Mx2EzG79WkVWbDY1rZwH3iRayzdJCd,4
3kdGQe8hqWFtaMfgf3yBdKYB1vLjwheftDsXKj4BNrsP,4
6eQ59JHTkbZQ39oLtFJ16jETJ2jQYRP7Hg3HRTYvXhCM,4
77yxycLQR2jbrNNNLPz78gfuW4XHRazjPd23YMAZjpSv,4
8QSPmmSHGmSyQCqfAJbmXqAjhBwgbzdoVhabAMsn1WhY,4
emp1EbsPB3GJ2c9b8hTtJ15wkDHWYUeyyxv6pDDN3DV,4
AFkDfFWPXyA4eopNsAUbxHmdpQVqbzc7TCepRLqmR751,4
