owner,nftmint
DTFbPALFNfo1JYffVBqC7cBWxxWSo9gA2AhfrpZR99dy,JEJo9JNJrQw4DQ22suKyXYXpyc3yHxPsq2RUPAkRbBqr
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,JCH6Ec1J4Q1njXmBtTZuRH334qW8y7gyERbzgjLTqXdR
zhuLsmZh93aYYHHb9yoHNXza4va4YguUzvXnqygrmVN,JBxwLnkiaJEiMZcvfeQv8nXkPgNu7ooUw67yAJGtDbKQ
52ZtcH2FvB9TDrpRbyhjMjiiWXceDtdzkSBcLrKy6u2X,JBpypiyZqfnUUv4ifUNGF6HSMQg2U2tLeyAmEJsKmsU1
E5C6oajsSPy9hH8FmR9iYccBHq2taDHU5pnAGtmiVA9A,JBXkjcL6WDUQjfnf514NpFZ2CJ24mACArA1kVzjNfniw
CT4p9cdQ62iBAb8DQGJ1aF1kgE36mL9o9TabQKDLjNF5,JB4Q9SJpQ7tgEpDYGne3W8ugHpUfwud5NuuS43E9eMae
2QVqp1nRrYkFJesWuTy6NMZRnW9KWZAMe45tu2J6rbfp,J9ksNPZNo3KTFyW2uF2Utfh26sezZ14f4jGdzzd4K4vd
7FKNLAy93x8rGGAHJYwERBMPS85ChgaGMDSJP5cQn3L3,J9cCYdDVGmgg9mqEabMgTDKY3r4GtAzVTdsDzkzYgx74
7FKNLAy93x8rGGAHJYwERBMPS85ChgaGMDSJP5cQn3L3,J9M5vWHbpyK8yKtUqUUaGKmgPV28mVLuBL4XjmRo1Guq
EW3dNZNkcFXXz1PoGykE5bQR8J4PZbQbsauW2eD2x9bc,J9GFdwsp9FkiThPvdGxD61p7mnkEcSbUi5vBAUYqdQj5
3mbeQns12nBK3VWhcz3vAZEfkR8uvNKQKQqT1bqWRk7a,J8ySqpwGD1DvzNg1ppJ74qeBYVYHpYSXW2LJK6scuFGa
4SwmaMipj6qHtvZisL6ktNf8bmH6AScgsAgAjmfoqh8B,J8iGHq1Uuz7iGp86G455gWWo49JDuPaizfj54gJW3Mar
A7C2kCCPQhwkdSJR3mHnfgCwn7NXMQBrvFHdkwg1EVqz,J7QevjSRF55o1sa27ztV5WLVKXo8fpqVUrAEoy8GD3TY
DjYCz7zVkUZcpYvCRfjEa5AHN1oRvBwPbKxJoS3dJ6zM,J78fPvRYjuVDA6ZnFdPLMDuhfnB4mwgD5YX3KhQmza2E
5yPG2JnbUYDRfTFmRqhFKKgwwbvFD6YTjdgpubbGg3ir,J776KjNthvuM5pYFmFZbk5ZJgHibJYvzMPvgr94zDx9n
