owner,count
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,483
ComZZNn3GCnzu6GJ7yzuzVFJpx1Su4TdxGvFNU8XhauG,282
95YbCH3BU1y3dcCKMaLDZNnymQYAkrjnBo2PYo1DYdE7,269
Bo4nGugF3usS4N797H4LEm2r2d794kvht6HruwNCVe7Z,245
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,191
5yyBFEX36kDEV2bGdQu8kKChkRs8b5s6VpZULr6jtgtn,90
GE7wfkT6GwWtPVHNvGvB3nfvRA5QUgXNoWuG3vFGSvzX,82
DjXKETEYzkkG6YzegWgy78vpaPH1eBxaiGTVoQrkQNFP,75
GdAoJQ9eej7Rj5zBKnzHgzZHciyFBPAb2AMFvnyxwHg7,55
DQ2mRV9HcHN7oUZQEzwUq9xpCwbosTn9m72qL3ANkAqH,47
HcXD5mtbYVF5dhomcKC3F8TbaDmMqADkkZ4hnHQKfYt7,47
DZek2GNTxQULRPsUbEXCby55g6WjPGE1qh3veh9EXZkW,46
5hZcRnL3sxfG9AdcAb7WREMGiw1ze2JxGf1jJL5srpWF,44
8vf7SW7Rs9DVbdrYNMHhd97LgSntJXsG252b3hq4xtxT,43
4GzSh5dzT6cy5PQQCrb2yfNah2XETRv9RobnG9Ng16Uk,43
4bCDn6SjBVo78HdXtCcB4w7qAsmK1rufpuWF7En13ima,40
BAMyRie4JmsYJRAokpRkJWxZKEcr9MPTexMbP7pkwjkP,40
8Uak4HuVshnGi2xEUjq44ffjpvLRhEAKiVDT1kFSdjsu,32
D6UDT1QgSEUuY5HfN5g16LQ7NDTWAkZ8JRphSSZCkfNw,30
4fTpxnyNUkXSjDnwNYmRNTLvNuwLzxXzT8SiCDK4wzjq,29
Amqe5mKpehtKyt7eGvFR8wn7CeuEqZ7YH8vTBUfvrYrZ,29
AYmH3CXF8iCghx8ensV9Z8U3ta4r4CaPmF4onihh9SST,28
6aUvbdxRrMdg831vH9AJz7sWPSrbwoN2gXopZk6w3zt1,27
FB2iYzuV1NC5JsNXL288Ck8ThVgutdnfrFC2eUpN2zyr,26
49QJUxiZMGCunw33dUcPoQS7hrJ4e5DH4tdiwjUfxhmW,26
7pfp67B68nxQ1eb9TZ84WKQDoSbG4xwHxqcUeduTALx2,25
CHbQj3jqdQyk7MAhEn4j72h3LGnnacyeALpAP6y7uzpN,23
4iAiTV3YEZeJFt6Mno67ZWSDZmMSb3yRyScccySmhs18,21
CSnxgmvzT9xVzwf1Rb7mDk9cmCJrTZYune3Me5zuwmc3,21
