owner,nftmint
4WQnDY7SYmWG1rNsah9Ad9PGhfNB14EHCpJ4mBJuPike,JEG7GNFPJwEwPseTcwgXofoPy4DgsZyspFjiShVxDpPb
J7XdoUKrCDyw4kiRdh26bT6wcf473FzvDcjchSgjrYup,JEECDVSS3tFXrnqERYs9FfxuXHNet2R6zQxfPVTiJZvr
8nCNGm5sYuYzyGjSijH8G3BS98v2eHotK2uLPw2WzfeP,JECGEh2B6pmKyCzaJqXkpCEtWXeANAQ85g187uM9pghr
H72gLvUAjzzwUq9KPSyRpNp5UJLC8fYvSGDsMgHu1URu,JE5MrPVdcERTALBnQ3sJgfXK19mytJ91h8CuL1btxamu
5ovA32hPzQCcMefyHnGYx96uYQx3FLQsMWZk4BxoLbjc,JDvVnU9YHeh95QLSEQ4nidxfGhwWune2dyye2kseKoFH
HqmrPh8EzVN5WizwA1iAz6S1MyJKKhC15J7kTyfaVgBt,JDUBf6N6orNQVpdAWXUf8qBJFtyBMSNo8ijVvzbSSgvW
H72gLvUAjzzwUq9KPSyRpNp5UJLC8fYvSGDsMgHu1URu,JDRb1Whh3Tt9Bxxg8QCUSgaGrZBhybaibnWcEVSH4BP9
B7QJA74CxKF1ZaYM1XmfW1Ln3p2H5Kro7jcT1KzScyfr,JDKhXd2zwqeDo7gWZr41W7Wrax1Tm3F8KbVfbFxGC5xG
8zfLjLGt75FrT3iY1f3Frzpr5owRz7SjUMH9dKTvuUCs,JD9tPf8msW9uUZ47bP3GDP1vCNzDKTgSsXdYFBqFJgNE
2aSJBUGpWWUZty3dafov1Z8Edw3YPA6Z1e2X3aqXu27i,JD9c3JLXdmjiNmVFkqXLPXUijYVBePiFbkc4KARPq3wb
7rjjGVHPJrCTP8qpoxt65fYzJQ2EBUZstewWiBDYwcBk,JCkq8gmZ7aMvNqcv6c8ZTxykTZ48qbn3YT2QzqqNttWJ
6xHanayzUCLStkPKYbfyn4fs14YCDmBNbfuZALWbCmDe,JCjkQHAtibG1BXRVRR3C8bwezctb7Ufp8NTVeidTAp85
GnCWLptNfPvCeJ7qMZmJUwjxHQhczpfjRB7c5BV36zWy,JCcUwZx5jJ4EK5MVQQEnse9L9XfsA2NpozD2AFGjXGfV
BEodZzU4RqgSf9AvABLtGN7DEprsgr1jBZji5PuB9CUo,JCYeHMnEmVkPQ1Unn1kSQKGNEi2Tt88KFR2ji5S3uHWs
q6hdrAdqpTJd4bB8zcTGm1AvBFe9tc6g4vdA14YnnGt,JCXUE1b6QQpRLf2JodYNLDELxyhyjsPRbD2X8xPiUDvU
HgVMf2DuuwF9qLD2BpHdaZXqyejeTCYBkJy9tJyBFKb4,JCWPPz4YEETLVFBWcFYw2kArh8zxgNUzkstXJMHZgSTw
H72gLvUAjzzwUq9KPSyRpNp5UJLC8fYvSGDsMgHu1URu,JCLvy7zTmqzyCdz8qGsa1SDYfgFW23TtiWNr74Qjtzdc
7ymnXA4EQMiagQb55XLomrNC9vtp2FWwAjsoiBBZ1f7a,JCJvu6krQbgDT6UxsJKLNhyUauEccfA5Y8PCnG7j4qGs
BQjdHveHoBd1jojAsM8QRPbQhuKobSdFtR8wB5SBCvEw,JCHsgCnWQ72Y3yPv7Hxf3nwb2bt39xVmga6vy6xuodDU
GCnfzDaGUU8WCEynufmcCNVWkmdbPs3pvhTTK1eB5Yx6,JCADCnsRfpFpauE7bnY6wUy34recBFoPp4iMj3vMGWKM
B3y2jUSgGpWauxFnfyMEunbbPMcT1rNwVs1peDantZwS,JC1cwHEHJGWEHBBbuzFvdTZwnSZb4RH7soV52mKzWfZs
Ciovtde1dzvFtYquyJb5UEaY5MwvhoGXLwanaRW1tLZ3,JBZ4JLXkQhv9YfGvEcBTwQCzDezLQ3HuTCQAi16fhoko
Ag1DJ4XQ61kA65qRZyNcDVXDm5u4woaEyMw6sYz9VYcK,JBWrZVC5LnatsLtLnX9JsmGNgAzy7Yb8NGi1xJfakyKL
GMAtw8dnDtA8wr9qApzX4C8oNWEokC2oyBMyxkgHEayX,JBV6fe94NgUumfT4QeD85pnnnf4uTLEVkr9fYBrQUigL
8ztARJUGqUt6nfECyaKZ5UhqTLUn4ZEx3Gj9kqQaZCbZ,JB29ZUr9dcabYgWP8g4yXkcS9hsJR9kTdG7oTUApo9zA
E1tCsHDJDfi9yL3guVySRD6BmCYAx4soj8G2VniHqQb7,JAve8w5XPW8EGfwFSXG473vwvNeweytuayjLH4RN82d8
EoYzR71DyXVK59Gxk7zsUrki7nYhjMbmqQqCWGAAY2gn,JAYSpXTVrEStXkC8qGK5ioxXZup6ygVU2wLhC7M8GSRQ
Ay7BcaUwkaCX3EtSYjX2nHmrhrSFDHXonSwQvP6xnkTj,JAYC2Nd6NwhojxUEsAziHi9zUpxLx41vPjXar4zvzZLY
5AEXmSa4xBJTftzMtBwM2LZvUNSTzCNqbW6WVnXLiNom,JANoTPn3ikyxaCMHncee3ZDPMd7QRfhXUSjvo27pBv4p
BY5iTWFziMWEde3FDVmCGN6mzWw7c3vU7U8WNABwypFG,JALZPHApDq1kfPw48YTTh6v82gVTPr3K76i4Dd8vEzBe
AGHx4bPrWXA3XH2TZywyF6ArEptSFCL76H3NBofkCG7U,JADAXA3eo7w6U8pjACTuZUkmpR1aa1qDevuc8fptjkJN
AUEhHKsVQBGg8F22F8Ry34hUXeN3UEQXEwYoEJbxdqDG,JABfkRPAauMdUDqAfdCtPX2FdNQWYkDFtDXHVkHorffq
4TrVrU5wL6wzXFyWjKnvbPzjPWw3Hp7a4FuG7JEXKMAB,JA6rqDvBRgZcqLL19S1VX41mNScqdjENasRm4cRdvvzX
DotNSXpX7ZpkvFdTLfkvVfgMgGLBS1MzpVd7UCjNWwnf,JA5jwAc4cn9U66xLEQXe18WnNsb1Vyd228KzHVp6DnpS
CAMgm4qD3ffwF5gCa8PirYVyQ3CbNNULm8Js71xSNsaL,JA3CCX4P54iowmJTfLNZPuME4xLAWa3WvUo8ME8zQ5oA
H72gLvUAjzzwUq9KPSyRpNp5UJLC8fYvSGDsMgHu1URu,J9zhhH1Bai8TYJapht9dwuyX5SRyJyMRth6pG7Ms7EDd
DpcvaofF2VN7shBeDFFigKvgufXoP9RFSd3oVcadEPS,J9sQyqLmYnU3drcVkeNqftUoPUSXS7Lt41dG95wLqQjZ
3G5unWUAikuxGdPsBKtdXfKMTZcC6FVczRtvLQDgvtt3,J9gwstaYRebREGRsrUGABN9LMZrnfKjQvrBvSf7UP38M
H72gLvUAjzzwUq9KPSyRpNp5UJLC8fYvSGDsMgHu1URu,J9gsaCnG6aieyAjJF1HYKDQ8JCZzMDYLLvDa3UKmYFj2
H72gLvUAjzzwUq9KPSyRpNp5UJLC8fYvSGDsMgHu1URu,J9QPkx3La3bNFeT7vhYrSqq5mZQmkeg1QARZ9hGaa8wS
5aG8nwBXVTaujyLdVh18qMwwMk3CrUBSisyXzjW2TNvL,J9LCpsSnR4try5JYQ2hNF7CxZ8LDxkYU7vkjQctVALnG
H72gLvUAjzzwUq9KPSyRpNp5UJLC8fYvSGDsMgHu1URu,J99g1949SoipDChbEbaad8hfboaYf7UeHvdhgEmkzfSg
5eVpXqZpyWpRe5BjKNpdx3uqm6EYZKstEi4Q1NAyhBfA,J929aZ9xUqVenPEBwJYha28YGzyidnd4WqjLxNqmgLKv
FEyJzwmfQgvqe7YCxH6bteBzLhi5r5XkYZgrXCCZ1wFG,J91mb6LHQGt7SpZADwkbG36pQHqpTCWRWGyGpnvozkvn
2S3KbHDUY7tdSu5FWnMoq1FD3sSL7ByCLPjvbE6eNom5,J8vXGCtWfTHiHkPro5cjeBhdCUvJSV24qXKWtwrt95Zt
6naAjmwdPBFnhFF2yNX86CzrFoG9k5KyRrjtppUhDQJB,J8tnbZ154fCuJXgCcbAL3EQ3a9RZENEnMQF9vC9xkyjN
5YAQxKwAXyRqgwYoCa8EUJGnJj1aTUstV7fVM7BnWkvE,J8pzn8rDcb8EVP5yEMbk5PAvq2eoD9CH3mQXMobByN76
J6Awj2Path2H93q79s9qMmZBAzcaW5GvAz4JGaeKEDmq,J8prDgi9oUmELcBuvNu6oS1NVD35xqFVijMXJLmcGkrm
8i7e616REzxnAHmtjCfeDcsyaN8dqVD6QSno6HqWRN3g,J8gVRReJhkNaxdPx1aezcXR8xU1ym1jkFnhqvQL9G1Rq
4gKZcgPrBAJBgt2Ht5CFvabNE72ds9RLS6wLs7aySNBQ,J8eeD57uEGdcYnDG9YF8XmaDpyTSQpNfiEk66JtrxVGg
DzVExw867FQ911aJd7D3Uf4tLAkuXa1HdzFkxKqZWJMV,J8b11e41ZD9rMuZLPfSvXQPURJGjBhXhj6zaJahDTXKB
BA7jHWZjNjKAiYHfB34moxv7sEmqmEGHU3mAj6tjppzq,J8W7eNs2iwKHGg85UhkqtPSu1jcapnjm8hzCb3uzHHfA
DyRBNkpUe4fF7zqGfZtpkY9ZENYjKopvJau8XuguMSRT,J8SkXVvVWfkakcdwjYXyTFn5XWZgETgzPwhkKBGYrtPz
CxfUZzH1tJEb7pw2TLfx3XEnx3HzZ8SeAF269pNbWgQg,J8NYuab1XdyZ7qoDn8ciNcZUndXbtUxK3c7DRvUxjGwQ
H72gLvUAjzzwUq9KPSyRpNp5UJLC8fYvSGDsMgHu1URu,J8KhwJGKrw2RfbvjumwJkm5xEphVhT8ntTzGornR2CBW
H72gLvUAjzzwUq9KPSyRpNp5UJLC8fYvSGDsMgHu1URu,J8Gfpa7q2dgvL164RAwL6yW5hAhFnSieoSoSVE1czt2r
C5gmEToG8RwoCG6vvgHvb2FC48Q7WatHXupZe2LaFbNY,J82VqYDoM12TtbdEzSiZSb4m7Wx7WLGeDK1pX9jkCdTm
