owner,nftmint
ADmoow1bAUR2kT3g2Lyip2ZWzL9qLCmq2uTrJeuB5iRY,JDHnhGE6WQfdjwCE5PEm8ooUbupQn3BzWDV18CJBY9qH
9MSygCP2RKyYEK4xdCtASEGgnfuJYgcg48khe7oQuxfW,J51JuYUf8hifoHYLQMv7VGUrTU2CZ1hXFg7SuXPg1KoZ
CVjwPVFAa5NzwMR28rMwUxMkzeLerUB4bWkg77q21DUe,HyuqG5K61fTomapox53ouGWVwAYBoisTRWPRBvxnpBqP
9NSX1m6BzpXmMhdLmqsxWkjdAkaxzsmNhmTKg86kQxrR,HxJUhMP6zmbpVzHgDTLnaoGgkFatKBGZyfZNDkzivzwF
5QbFEV9X4Ewt8Y9sM3UGvbczPhuTj754Gt49nM6Vutkr,Hv91CVi98U5R2GFTRfiFEt7smGneMnzTzQia7EJZ2mZP
BMquu7BHXtNokuW5Vaa9oLniLH32bddVtScpqQnRRU3E,HmT9NBRuQuei8ctPpXju1DYtbvpykxarqBpcSKnpJGmY
2VYMJXQVFmR9eBCeD4UQDiTMhCJuPL3gnAquYXssVAYR,Hbjtonee6x2WdhvQ7mQcDeNVgypkhhNsARP522dTCwEx
eL1ta6XJCc84UsK2vt3ZAZsrojs5EHuB5tfqadAhPS7,HTXMrcKCUS4TsFc7rQyf7YeUCjJ2PHiPTzxfLA9Jr3Bx
95YbCH3BU1y3dcCKMaLDZNnymQYAkrjnBo2PYo1DYdE7,HLBw8s5KFzXiFiWVCSedo66mfD6A7MUWyW8peNHZaVTL
461XhhiRwvfPpe6eCngcEQMpvCdni5jXeDoJhvvccMp8,GrjQ2wP5qwrf9woM1RGP2u9H35qseiKkxXqFXKMtAwk2
CXdiW1gCMoCdtiHUw6XYV3kMaUz99rJkr3RTg8s1gLAh,GkBh1FcVUwSNSpL43KPjE1TykUgqWiSfhadnuUDJ9AMY
bjPxWFQnQiReyoM9JFV2mkqWLcBkSLTWcNEHzzZUiTK,GYcmk9kFRkaCreGEeYMZV7JnynKniZvzr9E5XRhtMoje
9vwVbQL9h4UEDJXfXtGZEkKMZyii6gG3EL68TSbVBHFK,GNuF4QDsUeoQt4KH6qXM625dCdQiBUa7eqxJquRNxC7M
