owner,count
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,310
Esd1nJdgMv6opWJ3tf7nv61y87vEHqromogEHAvLSnyk,224
8igPEbrowqUoqPAnaAjryxSzJypLh8vRRQ5BRLXBUB5P,166
6MCgMvMby28kciWwGZhLcaE9YXJkVZnyH4KxTYY1uU1W,116
4Uuay8hqDH9j9rNu9dRscDckQfXvJHCxJ1e11bjbvk1m,113
GpQijgCF4FhkUKHi7TvN7zJRJGwQQZxmwdrsrQRjWiwF,99
A18cNj7JowNwTv1zHhLxHfwcZj7idQWAkcuBtzDH1GMj,81
AwJ1SwcvmbAVZ89WpnqtoqZ1NT1uZXhB2Dk5nEb4CWXv,76
A1uEtUZUMJ2ZeMX4PTePcAmFN4neXhmxA7SpmrV23vu5,60
F3ve5tVEoteXh3oMBDCS1rNahNRiurHbdkKmXD1tVBKg,57
Fj8sn6bTQo8EmNpMt56izgcTLCAeJdo5rYJ98b4sVWJC,45
Ew4xSc3y7tTFF9WW6U2s9M1PdVRyXnPbzG1FBL8FUwGQ,40
F1vemYM26aTs5hJ8UWx3wVzqXhH6KxmAqaZMETrwGoNx,35
49KrdH6pcPoenSaTc9Wbqr4e6ZwUnP19518YwQroAM6E,35
CbWQ3ksmBPmKbn44nZGFLAtb8wGPrHTYursCnKRxAoZ3,35
65ybNu8zhRicm83W8URxbXsVdEFeFcjdiMsZfAstqo68,34
L8WoFgma9QtGWj9ozKLBBGLJTGrQJdS55YsG9mZC643,31
7GY88q2Q7dYSQP4EXopNeSPpArZPpzhHLBrrTQ4oBG2X,31
GDqB6CAcTTcbKsnwLj6sf8mSNW8RN9pApnH2GPgfjfwm,30
FZLimSCAtCdxZBjeYiGmoLGZnfH6knvepMZZJv4YcbKy,29
4P5Eyp3XfpujCRWgP1AQjFeRPArtLE4cEa3bD3qaJvFh,29
9tWcnQNUfFKykTzaHPmjFU5XNGK9pAoqRC6UF4xmVEkX,25
6h1BJRv7Y2uEVDN9JsDuSWLtQCPnDtLb9hRBefmCcEpw,25
6xuZG8CXqMZs1zWqKhrQAsjBLSd6c4XzzSonFZuDBcEe,25
E9SSWZM7EsyG7kM1saUKSQ6hFKBZwKq3xkWCtCa1UsWj,24
4xJmoXk7oYU1iTbFbxSmqVZzZoGvMCNS2GdHULhqmqpf,23
2DzYEHSAdipFTSnajxxE1ihLaQdbAF4hcBSk5a263W8s,22
Duky36UqnVfkysDWAWnTN6Xd5KaBwxCBkofFms4sPwsF,22
NYEUStuaLQ2aqywn48JUZ5aDsyLwcEcNJtwNXHycqdq,22
8AThr4fWUn4jALMtCvZrMR8RXZxR6nfnjeEK7w5gebR7,22
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,21
6gBoeH9o96ydBaMoHhkW3CsCwBPDxPNAMJDzLqdSRNHM,21
FPboeeSgB1dhfxTpody3DNiEdvgct7u8KqNQUrm2AiUs,21
