id,img,item,price,layer,rarity,type,collection
barbie_c1,/1_background/barbie_c1.png,Barbie,69,1,common,background,LEGENDS
blue_magic_e1,/1_background/blue_magic_e1.png,Blue Magic,206969,1,epic,background,LEGENDS
bone_c1,/1_background/bone_c1.png,Bone,69,1,common,background,LEGENDS
bonk_sunrise_r1,/1_background/bonk_sunrise_r1.png,Bonk Sunrise,69420,1,rare,background,LEGENDS
bored_u1,/1_background/bored_u1.png,Bored,20069,1,uncommon,background,LEGENDS
bunjil_c1,/1_background/bunjil_c1.png,Bunjil,69,1,common,background,LEGENDS
flood_r1,/1_background/flood_r1.png,Flood,69420,1,rare,background,LEGENDS
forrest_c1,/1_background/forrest_c1.png,Forrest,69,1,common,background,LEGENDS
foxy_u1,/1_background/foxy_u1.png,Foxy,20069,1,uncommon,background,LEGENDS
grey_magic_r1,/1_background/grey_magic_r1.png,Grey Magic,69420,1,rare,background,LEGENDS
hero_moon_u1,/1_background/hero_moon_u1.png,Hero Moon,20069,1,uncommon,background,LEGENDS
legends_black_c1,/1_background/legends_black_c1.png,Legends Black,69,1,common,background,LEGENDS
madlads_u1,/1_background/madlads_u1.png,Madlads,20069,1,uncommon,background,LEGENDS
mellow_c1,/1_background/mellow_c1.png,Mellow,69,1,common,background,LEGENDS
mint_c1,/1_background/mint_c1.png,Mint,69,1,common,background,LEGENDS
mondieu_l1,/1_background/mondieu_l1.png,Mondieu,420690,1,legendary,background,LEGENDS
nepal_u1,/1_background/nepal_u1.png,Nepal,20069,1,uncommon,background,LEGENDS
peachy_c1,/1_background/peachy_c1.png,Peachy,69,1,common,background,LEGENDS
pink_magic_r1,/1_background/pink_magic_r1.png,Pink Magic,69420,1,rare,background,LEGENDS
pink_rain_e1,/1_background/pink_rain_e1.png,Pink Rain,206969,1,epic,background,LEGENDS
purple_c1,/1_background/purple_c1.png,Purple,69,1,common,background,LEGENDS
radiant_c1,/1_background/radiant_c1.png,Radiant,69,1,common,background,LEGENDS
rose_magic_e1,/1_background/rose_magic_e1.png,Rose Magic,206969,1,epic,background,LEGENDS
sky_c1,/1_background/sky_c1.png,Sky,69,1,common,background,LEGENDS
tern_c1,/1_background/tern_c1.png,Tern,69,1,common,background,LEGENDS
the_lfg_l1,/1_background/the_lfg_l1.png,The Lfg,420690,1,legendary,background,LEGENDS
thugpink_u1,/1_background/thugpink_u1.png,Thugpink,20069,1,uncommon,background,LEGENDS
van_lfgogh_m1,/1_background/van_lfgogh_m1.png,Van Lfgogh,694200,1,mythic,background,LEGENDS
