id,img,item,price,layer,rarity,type,collection
ape_black_c2,/2_character/ape_black_c2.png,Ape Black,69,2,common,character,LEGENDS
bear_brown_c2,/2_character/bear_brown_c2.png,Bear Brown,69,2,common,character,LEGENDS
bonk_dog_c2,/2_character/bonk_dog_c2.png,Bonk Dog,69,2,common,character,LEGENDS
boogle_c2,/2_character/boogle_c2.png,Boogle,69,2,common,character,LEGENDS
chadinator_c2,/2_character/chadinator_c2.png,Chadinator,69,2,common,character,LEGENDS
cryptodeads_c2,/2_character/cryptodeads_c2.png,Cryptodeads,69,2,common,character,LEGENDS
dragon_green_c2,/2_character/dragon_green_c2.png,Dragon Green,69,2,common,character,LEGENDS
fox_famous_c2,/2_character/fox_famous_c2.png,Fox Famous,69,2,common,character,LEGENDS
gecko_green_c2,/2_character/gecko_green_c2.png,Gecko Green,69,2,common,character,LEGENDS
jester_c2,/2_character/jester_c2.png,Jester,69,2,common,character,LEGENDS
madskull_purple_c2,/2_character/madskull_purple_c2.png,Madskull Purple,69,2,common,character,LEGENDS
monke_c2,/2_character/monke_c2.png,Monke,69,2,common,character,LEGENDS
penguin_c2,/2_character/penguin_c2.png,Penguin,69,2,common,character,LEGENDS
quek_blue_c2,/2_character/quek_blue_c2.png,Quek Blue,69,2,common,character,LEGENDS
sagamonke_sol_c2,/2_character/sagamonke_sol_c2.png,Sagamonke Sol,69,2,common,character,LEGENDS
shark_rogue_c2,/2_character/shark_rogue_c2.png,Shark Rogue,69,2,common,character,LEGENDS
squid_c2,/2_character/squid_c2.png,Squid,69,2,common,character,LEGENDS
tensorian_duo_c2,/2_character/tensorian_duo_c2.png,Tensorian Duo,69,2,common,character,LEGENDS
thugbirdz_c2,/2_character/thugbirdz_c2.png,Thugbirdz,69,2,common,character,LEGENDS
