id,img,item,price,layer,rarity,type,collection
3d_glasses_e3,/3_eyes/3d_glasses_e3.png,3 D Glasses,206969,3,epic,eyes,LEGENDS
3rd_eye_c3 Copy,/3_eyes/3rd_eye_c3 Copy.png,3rd Eye,69,3,common,eyes,LEGENDS
aviators_r3,/3_eyes/aviators_r3.png,Aviators,69420,3,rare,eyes,LEGENDS
dudes_eyepatch_c3,/3_eyes/dudes_eyepatch_c3.png,Dudes Eyepatch,69,3,common,eyes,LEGENDS
fomo_shadez_r3,/3_eyes/fomo_shadez_r3.png,Fomo Shadez,69420,3,rare,eyes,LEGENDS
laser_eyes_l6,/3_eyes/laser_eyes_l6.png,Laser Eyes,420690,6,legendary,eyes,LEGENDS
lightning_eyes_m6,/3_eyes/lightning_eyes_m6.png,Lightning Eyes,694200,6,mythic,eyes,LEGENDS
monocle_e3,/3_eyes/monocle_e3.png,Monocle,206969,3,epic,eyes,LEGENDS
narrow_eyes_c3,/3_eyes/narrow_eyes_c3.png,Narrow Eyes,69,3,common,eyes,LEGENDS
nouns_e3,/3_eyes/nouns_e3.png,Nouns,206969,3,epic,eyes,LEGENDS
robochad_l3,/3_eyes/robochad_l3.png,Robochad,420690,3,legendary,eyes,LEGENDS
slit_glasses_u3,/3_eyes/slit_glasses_u3.png,Slit Glasses,20069,3,uncommon,eyes,LEGENDS
solana_vipers_r3,/3_eyes/solana_vipers_r3.png,Solana Vipers,69420,3,rare,eyes,LEGENDS
thugbirdz_shadez_u3,/3_eyes/thugbirdz_shadez_u3.png,Thugbirdz Shadez,20069,3,uncommon,eyes,LEGENDS
toon_eyes_c3,/3_eyes/toon_eyes_c3.png,Toon Eyes,69,3,common,eyes,LEGENDS
undead_sockets_c3,/3_eyes/undead_sockets_c3.png,Undead Sockets,69,3,common,eyes,LEGENDS
