id,img,item,price,layer,rarity,type,collection
banx_bubblegum_l4,/4_mouth/banx_bubblegum_l4.png,Banx Bubblegum,420690,4,legendary,mouth,LEGENDS
blunt_e4,/4_mouth/blunt_e4.png,Blunt,206969,4,epic,mouth,LEGENDS
cigarette_e4,/4_mouth/cigarette_e4.png,Cigarette,206969,4,epic,mouth,LEGENDS
ermagerd_c4,/4_mouth/ermagerd_c4.png,Ermagerd,69,4,common,mouth,LEGENDS
frown_c4,/4_mouth/frown_c4.png,Frown,69,4,common,mouth,LEGENDS
lipstick_u4,/4_mouth/lipstick_u4.png,Lipstick,20069,4,uncommon,mouth,LEGENDS
majestic_beard_of_the_raj_m6,/4_mouth/majestic_beard_of_the_raj_m6.png,Majestic Beard Of The Raj,694200,6,mythic,mouth,LEGENDS
meh_c4,/4_mouth/meh_c4.png,Meh,69,4,common,mouth,LEGENDS
moustache_u4,/4_mouth/moustache_u4.png,Moustache,20069,4,uncommon,mouth,LEGENDS
pipe_l4,/4_mouth/pipe_l4.png,Pipe,420690,4,legendary,mouth,LEGENDS
shout_c4,/4_mouth/shout_c4.png,Shout,69,4,common,mouth,LEGENDS
smile_c4,/4_mouth/smile_c4.png,Smile,69,4,common,mouth,LEGENDS
smirk_c4,/4_mouth/smirk_c4.png,Smirk,69,4,common,mouth,LEGENDS
teeth_c4,/4_mouth/teeth_c4.png,Teeth,69,4,common,mouth,LEGENDS
