id,img,item,price,layer,rarity,type,collection
bonk_c5,/5_suit/bonk_c5.png,Bonk,69,5,common,suit,LEGENDS
boogle_cloak_r5,/5_suit/boogle_cloak_r5.png,Boogle Cloak,69420,5,rare,suit,LEGENDS
boom_og_helmet_c5,/5_suit/boom_og_helmet_c5.png,Boom Og Helmet,69,5,common,suit,LEGENDS
brero_c5,/5_suit/brero_c5.png,Brero,69,5,common,suit,LEGENDS
cat_suit_r5,/5_suit/cat_suit_r5.png,Cat Suit,69420,5,rare,suit,LEGENDS
chadhawk_u5,/5_suit/chadhawk_u5.png,Chadhawk,20069,5,uncommon,suit,LEGENDS
claynosaur_suit_r5,/5_suit/claynosaur_suit_r5.png,Claynosaur Suit,69420,5,rare,suit,LEGENDS
crown_u5,/5_suit/crown_u5.png,Crown,20069,5,uncommon,suit,LEGENDS
fox_suit_r5,/5_suit/fox_suit_r5.png,Fox Suit,69420,5,rare,suit,LEGENDS
gecko_suit_r5,/5_suit/gecko_suit_r5.png,Gecko Suit,69420,5,rare,suit,LEGENDS
howdy_c5,/5_suit/howdy_c5.png,Howdy,69,5,common,suit,LEGENDS
jester_cowl_black_c5,/5_suit/jester_cowl_black_c5.png,Jester Cowl Black,69,5,common,suit,LEGENDS
jester_cowl_red_u5,/5_suit/jester_cowl_red_u5.png,Jester Cowl Red,20069,5,uncommon,suit,LEGENDS
lollipopped_suit_m5,/5_suit/lollipopped_suit_m5.png,Lollipopped Suit,694200,5,mythic,suit,LEGENDS
monkesol_suit_l5,/5_suit/monkesol_suit_l5.png,Monkesol Suit,420690,5,legendary,suit,LEGENDS
noot_suit_r5,/5_suit/noot_suit_r5.png,Noot Suit,69420,5,rare,suit,LEGENDS
purple_dragon_suit_e5,/5_suit/purple_dragon_suit_e5.png,Purple Dragon Suit,206969,5,epic,suit,LEGENDS
quek_suit_l5 Copy,/5_suit/quek_suit_l5 Copy.png,Quek Suit,420690,5,legendary,suit,LEGENDS
raiden_e5,/5_suit/raiden_e5.png,Raiden,206969,5,epic,suit,LEGENDS
silly_dragon_suit_l5,/5_suit/silly_dragon_suit_l5.png,Silly Dragon Suit,420690,5,legendary,suit,LEGENDS
solanadmiral_u5,/5_suit/solanadmiral_u5.png,Solanadmiral,20069,5,uncommon,suit,LEGENDS
tensorian_suit_e5,/5_suit/tensorian_suit_e5.png,Tensorian Suit,206969,5,epic,suit,LEGENDS
thugbirdz_btc_suit_e5,/5_suit/thugbirdz_btc_suit_e5.png,Thugbirdz Btc Suit,206969,5,epic,suit,LEGENDS
topper_c5,/5_suit/topper_c5.png,Topper,69,5,common,suit,LEGENDS
tricorn_u5,/5_suit/tricorn_u5.png,Tricorn,20069,5,uncommon,suit,LEGENDS
wif_hat_c5,/5_suit/wif_hat_c5.png,Wif Hat,69,5,common,suit,LEGENDS
wizard_hat_u5,/5_suit/wizard_hat_u5.png,Wizard Hat,20069,5,uncommon,suit,LEGENDS
