owner,count
HFHF7xMRuBquw4sntNiEmvHQQh81nZ41jVsA9GqEqkHh,93
6VqzFgtrJb33nhvbug4KZoUx8p65dD2iT1QuAeAQgYiw,32
Cn4tWRvX2pJhhot88yHKX9xJWS5Rkzy1QoDy5PA7orL1,32
67mvcnEecy8SPtqBq6xyDEEmENGdKub1NHXAL5zgCnxz,24
3bgWiS5HTvJ8xu8P7q7qLPztZgS6Df5UskCbjntKUS7P,22
LaC7SJ6LZfEhWVyt9aiZ8TvY7hPWiuNuTog6tNra3rt,21
7WiZRgTN6ZvbUiSESFuRYEfT2NnHygbJvda11xDyhXPZ,14
F9JeJG5v3ktJwupE6RBUQ5kV5uK7HCi42mpGaTXZTTLP,13
GasgK6CKRKLJbCMgWSfMMmK8PbAsLnHvdzyLuux2Vx2Y,11
nanoJ48qn4ppUiYRGngVYonGRpSfY9AaSe5jQApg3VK,11
EidDMjSfcHVmbTTbUVG3hesfSMU7hHJKiotGFercpXMV,10
CmeLDG1AtuU8SbPNh9293v7ouwas8xB3Qssa4gsnWpGv,10
4NLQAfa6pQ1ihF2s77jcabnxA1ymdjbEQohaAmTFmXCo,9
Gm3KfULKPzTG4az9ugLQa7rJYmUH9HbzQSS1aCEeidH9,8
GUhRDf6cnL1SmZ3XaXPrjbgyhz7g7Bq99dsN1qqXDfQE,8
5NWq4PX8KRrq8P3PAaAkEqNcxA7hapWJxsANW3PXyLaA,7
AvStKPD1bHKLbTLErXtsN347e7BEAXZWEyWC6XS6RX9R,7
8kRQuces4JT7nNqSrvTZXbu9gL6rcQDWDZmCzH1SVzUC,7
CeybTm9ZU2LXF8SSeuvuv1Y6RTT47kHC9KMtN9uoCMgm,7
3WW1dArKrnWeiyS551FFmcSdM4cS2EmPbakY6hheBFvu,6
FWJVBoBQjzx6A2wybjxDwbkX7KREDsyuYdbrsiTbYipR,6
5MVmuTEBVcJzmH4x6snhiYmpZtCZcJwr1SfXGtzcosL9,6
DmAsMuqubaZbBTEBP7gaiiLRgd86dUemSTQ8yfMUpvUb,6
69qWg8885gobXLTWJWHRiMaRDzDzi2U9Be8HeUhtP6u3,5
G9M33xtMcP3W2yX1Tvwg769bvQY6pkDpDaShTU3KLS51,5
EHPHxDHKASG1kUq5ytudpF3c9g5RBtqxbhXawQzGsmZA,5
FHvcYvoKH5dW5XyGcPvv13MNFkVSx7zymhM5HPJyjtKW,5
FG5kiTnhGwCRb6KaHmBzivg9d5bxzFHUjw8jXXk1UNUQ,5
Akx4s5Q79L5LyGgUgZmqiifNW6twgYMccwkLKNGaqrrJ,4
Ecg37N2jjaf1gm2fUPfTVLEPob5w9KnswJnkCkJS15eR,4
3VfqMMZA1vokhNY3M5ceWVeQ9ndp3N67HQLmXmW9Dv8M,4
Fys6k6xG9Nded2VedJvVf14PoeYP9tMmuYcu1k969oAa,3
GTm7vqznZ9q5bt7jpBrLXgEogVPyQZcYz5bKnr4qfekJ,3
87TAmBuTw9gNLLgVQjXP9x5TcWhoN6vEYZZ5rnisRZE9,3
7Am1qdTrum8xYeJBZivwXwCG4dDtic5iWk7hLinmfses,3
FdD9Px41twZPd3mXvR6QBXig7bMSsWLWkeunDb9YEQ7r,2
663BaTQdj6jndMKWpzcnvUjn5yGZ3pBhawyVCkTpjaVd,2
C4mnH2ZvLyx7XxH8iUeJWwFU1ZGw4E4FTt1oeQkSnAZg,2
EX4AHoumKjRoXN5YjVZiGAgcCi2nxzjV9KhVZa9BSSDD,2
oxn5mmFJQkG4bxYi9hP5zUvziFNaG5KwQwZHb2o8xt2,2
4c3gX2MjqVCY1XFjTddaqogSBFAgpojdqpuuUWiEKsz2,2
FxbGsj3osX4AzJxhANAvGrgwSdRxJruGKxybRnH1rVDX,2
A5XfjrJfYznBXQ5asMLqj7HrM1w9qmSUQb1wtHsMpL4C,2
57eMXvmysfP1SwPazxoxXdax1SdpTDAG797pj4PYzwsS,2
GPK7yx6ZdPjhSPfkvswu6VoruB5LnkWLgvSx629nrZgR,2
DNp7YFhUPLWzc4TcNHtbKkWFk5SZjyhbakqycYjxFeXV,2
nanoAgTVWPUG612k8NpmVwThJgGTMbRksgVNT1m4eNE,2
FPK2MMXSHUzHMMeWqoFv72GRvpE3ui8htGjvXJWyPE63,2
EYdNitfwbgvpEWt1Smj9bo7ANsvojYq1RTcXfCVBJ51q,2
5tfuSWfNERXR8Tsp1kg9cQ1BB1EUWuKZMaJDqpH5Y1cK,2
GeXq2F7dzkGWfm7po1yGnvDkmm5DqcjrFDR8zo4po7M,2
8uDncGPHZJtFnyCktVSbdWmgt7xAiHgwq8ZmxKaK5ZJ1,2
7mcAGmZBf6q1cDpoCjDznC7cPs4LhnZnKxnMaErWzRWQ,2
EkExbysCPaWtPyvKYKsPnpuZxzfFubVKg9Ri6qrV5gTm,2
BiJYRdamfoFHETUP3rsf4HypVb4e7YmUjt5ZgVeRXH9D,2
BZMCL9ZaRXBkfAJJnA2VKmBmGL7cak3uqPD1kTos7k4w,2
A43un2G2D1JShFytCWyh3U813CJhgssTbiKNWgVsdmmf,2
BLrosziLi9426a31anBcNeEizXjk1FHfNAwUpa9CuqEc,2
5ThBULpqnXvcND5BY7k4vP7VtSDnPPrEcAL8V9Y5quij,2
ADBRXx8ho5DFbmt8ZJHB8mqYmWsT1LQpPLYSVLUVQMxR,2
42d8s3ubRK5D7FAzxvKmVLKEic16vBBH13mHE4RhdJSn,2
5iixaVQLzYssvqEYuo2eqvCUqscorwk2nat3YbPHZzLq,2
A41UF3Zu4Rrqf4uPW1ipjwh7XDkGJX5Aiz2Hm5DeuH7L,2
6TZvhcmBzSf2X2jExiwmLZMeHcengzvWnNw5EQdbqV5x,1
4VUE76iyXsUh5NRfpqfWhKG3Rhm8vCyBQhQrjXPjUmXL,1
3Ggvbn7WzuByUUzj4NoE2h3dVvjt2o24KNs7BSX2eqtU,1
GZP4gixEYkeGoSrG5HQ8wAQAdMKLEpWQBdueQrcr1zRZ,1
Fa7pmkdN9JrRN3e3LwZSkZFWqV4RKNsGMBC57U6dW7aG,1
GmRC6EhKtBEcKM1bjCBzamWDy3qmP5z2Kc9tYjQuc2Pn,1
8TufJcupusNnUdP6n1vEBDqe7d7xZvkAejeiMiDW1tEd,1
HtaazD1FeVBPWQsbn82bZFJ9QxJywYkowtUTg8d1zR46,1
HNtbHcezG1pCAUeVTY5wDDfGkTRdFB1UkEQQCSxk7qyM,1
ZisqjaRSu3KiFsnBkJS5RWT81JnhTBWTVbD1pu2Fen8,1
EWzBwdzCcuVPThtDqrpJqPfEpBMacxeQAK7gMU1GA6oo,1
pMrSm3qxPth5yViard9dSMN5oKQiYk3ii1AtrSDSe5k,1
DU4EJnA2z5HbnW8CzAuad9mVoe3cGycjU2HgAksTWVPp,1
2QwzBUy1g5hgiZaZAS7yvVhf1QRVqhwqTXDZCzEWjkbj,1
D8KL2L7kYEwuiqFaHXZt1F5BxVuVZLHPdXPwFatTVop3,1
AJi5F6eAB3oiVaVp3bQGb14nMoHgNZac5jscEmoRuf31,1
h2yvKuLGpXpCDwN5zFx5E8nyXphZFhiX3xC1CLzo3bx,1
CjNUYXY62vrN5iE7dgzCbcKE6U4JSDhvmkotdHcJqoJ3,1
87xMCsjSjqcvC43wyPEsLJbRKpdQGagAMpr1eFjhJ43B,1
CUC4b5UEUN8umNF68Xrb3SXB38itqMA8mfH8QDeFqS1D,1
