owner,nftmint
D6Fvj4suY2dwWjLFDyTc9SNtq9SmLtEjPbePuZo12B5A,JE3zVgk7i7ANbt4wGRrAWpkV86vkjkEafuLKsTyJM1fy
5MCzkA89ihNEpqnD62oEjmW5BEFxWeenz7z1he1TEsoh,JDq3RQgawAiQpmzuDhSf6ZTKq3QZCM4pQmG7hL5H4Ro2
AEPTrkP5rJy8E8MDgGcPgjWhUeHjDcYExqM8TcGG1Qa4,JDhMWKFTEtqhzZNCNUbLPtJZnSQFDqB133mMTBMNctYC
7Vzo6Hs76aXr7rrb8V29BNdMFuknVjL8m3T2CwYux4du,JDZQpCFNg3MyJa1P9e25M6e9sySqrhrpWL8sQd4v9b19
2jWhhf7jHBHZSsH6J574LGRiQY6THHaxfFV3X7YfcC3L,JDPxpHKd61Qncpn9FJtT6KaTZvbEKdzFTaXAEWDbkkZc
A9oAuiNzweYKaRmHyQ1ecJZ6WsetWBoYmwKh35QyoEQ9,JCZhBghYrqDPHAEJUHUt81Mo8bhu4xfBHnZweRzY7Agp
GRuRPTUvJCoag6L1gVuTC5gsm99DPmD8fjTyVM6czAv9,JB2evQGSxYgKgj7LCvvhk7dZb8f2GsL2kK7yx5dRX99n
2PqT2D7E5AFCAha58zi6KH7mTYemGB9tBhS8BBC6FWzE,JAoGKGFzRehttz835nb7PHEAFriS3NVFgm3XGrS2RLBn
7jSzuRvAkXZTpuS77KEyGvm2c5tfzButY7RGDKrKUhzN,JAhqmiZom7wiYYJjcXY9ECeF4jRGdA3NWjtYtUTtyrUw
DE3swkTf9q36fDg19sVtg1dLRUm4MsKfRc1LrhWLLfba,JAasMJD366X5uxHQXWafgveFmJVYS5uTjhJ3xsr4eqxF
4oUjZWT7uUbmFVpKKfqeNP1sEe92QhrZTcygd8Bk18Ac,JAZ6fgdQXjbL952pa2B7kW4GTjuPhBrLwvXWWtUD3iiy
FZHzWN74Acq8JuSKijbqhZqbvMUJz1Qxtd9FuKC3Bctc,JAJWDo6iPpciJ4oUQeufhP2n5LVynua9HeUtrrK4SnM6
5MCzkA89ihNEpqnD62oEjmW5BEFxWeenz7z1he1TEsoh,J9Jyr3RSi9r6oSZqs8xYm3t8UJ5hYAj8shTKhu4XRrau
V4RSZJC12i2WekA6QyfxuS9dzcxQhpk178CANUQ4gLh,J9DSYDHNAYoGwZAAXSNqQsJDHM1X4L1Ns5fcgP8ngLrL
73nnTRU3VEPP9DrPs8DNySAxhQg5vTG6Ma1KJCKFTbzS,J8wFwCCrgkyFxgn3cErmiMNqPZfXivd1FQ2dh9GFUKXN
34RiVc3L4PBN8z37J68E1MeFo3B1SAujyxjpmHmcrqVn,J8X23QaiPKNUb2oPtHT7bey6a6ohAp2BQEvQfnaE1THy
2XTKFNLxcFD3UMsmChF4D6D4yz74cmTjAMutbSUTxTtx,J7U9hGVeJvPgoKyeUuNkx7wxPDbibjcpM143Hwtmheg3
5MCzkA89ihNEpqnD62oEjmW5BEFxWeenz7z1he1TEsoh,J7H5GTcMZzsUfsXXZrWHRXMjoEVHQ3MFQ3CC1nuVj9Uw
GP4HC5VDNZ8QdmTgdf5V9NQSfWybBeXAXhHYn7L1CcSq,J6rkwtbELDUz312Gnc37PTPf6ft9S2wQmkxmJfVuPDiu
DE3swkTf9q36fDg19sVtg1dLRUm4MsKfRc1LrhWLLfba,J6A3AhS6o6NnCZHhTGnA3FnHenxz9ZSeE4on6kXHtZhi
BD2irjZqQhJJ5cZgq4AMUXzNqrQ2fgB2npMJzYZ3f7L5,J5yLdJRefT16aFLgtHYYQtejiypih7KaFJiRsUd4QESY
Dj2BD1VnXpwv3eUsEAnbHtzNQLP1SD7J6SXr32EsdUEC,J5iGxKYfRg5R8k9YqwTYPTc5zE4bi2wEpLu22mRYMr6h
2XTKFNLxcFD3UMsmChF4D6D4yz74cmTjAMutbSUTxTtx,J5gQoXxQZwskydxKvYVBGNiNep2FQriBoVbnK3XHHvGs
35WNhtVKp2Q8gEMm1uZsMMUAFMDGKVZJfDZ3vLQFDGQn,J5ZPdNibvevKCjRGMMbbiHyLLojo5FKhr8fZTFncvaS2
GRuRPTUvJCoag6L1gVuTC5gsm99DPmD8fjTyVM6czAv9,J5PrMTXX1WkwZpQMtUF1fVKjim4Jj8GU9zwvHk3xAXxu
ExQvqAG7dFRSZJi98nxYGHAwvu2cnsH8Ym3vSaKDbjMH,J4LmRnFqa9cR4ZeEEEtUWCrfpsnx2wUtyhk1XKMEcMVH
3qo8Cxo9TKXGjrtNaWedaMGFYPUwQKy1R2W4cCX1n6MP,J3fqDfqCe83iYy55RAaqmPa1g4aEF3nL5rtFbJZTLVoB
2KhW3EY94w3uYByk26gadZJSUEWnLgz9PG6k1ECwmNWf,J3Hfhs5JSAsEXyRmRoZ2tzLMao8QusG1i3QgFgj8sPvs
AEPTrkP5rJy8E8MDgGcPgjWhUeHjDcYExqM8TcGG1Qa4,J372W8jk682SoECgwWYN7t8qqYUDB2E1NCHT37D2XEPd
F6LhRumjtYfRkNZPaMZiqZRvx5DRDNHXGCPwVqSE9nRm,J2N1LNw2Anyb2V7Z9bdtZKMM2i6Fhyk3rjr6fwXBbEFA
2XTKFNLxcFD3UMsmChF4D6D4yz74cmTjAMutbSUTxTtx,J26NouG6WogPjEPmpGaYLSj5EVethA2os4QKgEYU9XbL
2XTKFNLxcFD3UMsmChF4D6D4yz74cmTjAMutbSUTxTtx,J1otZCpJLdsm9nD9PJJo5BknhRcJSod5aqSJh8ot14zT
