owner,count
9zZmLSCujtS8i1j3FFFQoPCwf3ikTumVMSsyQodCVRcB,187
7pYxSDRV6qwSSHAxxJ3MtGUycEenz85rSdmnQTJD73wY,149
3gMUR8MpBS2NEeyHq9udauDpkqFeW1an9mVYJih6GWfT,86
FsGWFFDdaFirdTJ8kUhKEf53P9NMeCQiLKvhqnT1A3ns,71
5k8SRiitUFPcUPLNB4eWwafXfYBP76iTx2P16xc99QYd,66
6CHbMmUaDG6AzrAHWPoCsRh8wffaU9xdJhH9YpNp35i6,55
WifP1AtvJmDWpD7zH5M9eMBmoswWn51VTnXrcw1P9LM,43
BKTstZMz7XYhiene8w4D84XRgkJMa8Pt5NkD3fMMUww7,42
Ajokk9EJc8HxPhcGBXDBBQPEneeWGZPSYcdu3c225HTj,42
5ibeYn1BQ4y3MdBfA8wSPxEbKcwwC43JECQVBSeAKJ53,38
Ci9CH57w9XMGbU6jxn5wDcEcbfDqHLhztSdzgmHoXXP6,35
HS3k8pZSYcXY3B7JUkLmthJMRPfpFtN7NyAe2YHFuVHY,35
Cb355XH2WGPeQUGTTXWiQZT4nhnyHCPkhScDezUGhXQF,34
Br7pa9F6DUXs2Z92zvSD2RekRzmvoL4CtRXf8RrWbd9g,32
F54ZGuxyb2gA7vRjzWKLWEMQqCfJxDY1whtqtjdq4CJ,29
6DjAS3CQbqQjpm8rvXovZbBqNKSzhLSrufNGDury6pPu,28
J1VXJu982QBxGwyucdT6Wm95J6R9QnN8KKxz42bvGsGM,28
5gJx1UA12V2u3Gpk2c1vcxxGJ6m4EdKV8VghKXdDt7kz,28
HVyLh4qV6u1uKpLoYwDH2fU7zyaU29c7EJNGMbucy9Jm,28
Q5D9WZKwC1kpfKZUPXYN5bru3rcDPQj88SiifxUfzxC,27
8bPrFtY4GDb9LAwgzi2HDD7z4zuP2NAmadUxMLMNC2Fd,26
3pCPxo1vagvv5eZ2anvh6wU5nibu2GhYDaTprptMeJWr,26
9fiaGcpQN35cyy7qSwwuVPQG2pDPP2nKcbTEVhPXC2QP,25
D4uAhxYtkBV8nMr9J53d7ZztoX8X7us7a2cD7ofj7pjJ,25
zyQjqxdTMSkJykJtFwnVZbxen9oFRhtZJmrJ1eQYKA1,24
9NzGTxEy8vt37NNRQ2mmZ4iXqzWSbpFP1fLAVoNh2L5q,23
FL9RgNiD3fomTD8MwPCefXuxd9sF1rQSGrqXgB9ZDbPH,23
DxTPGwFVptXuh2iZb5bxxzDrHEwnUme3z1RM3dkdp7Qj,22
AZoSZwoWH9ifZhvfKucTaXJ3p1Lc2z9yHzXxY4uQ5HGo,22
q6hdrAdqpTJd4bB8zcTGm1AvBFe9tc6g4vdA14YnnGt,22
DU4EJnA2z5HbnW8CzAuad9mVoe3cGycjU2HgAksTWVPp,22
6R3ULdQkoUbRWNVAiWpiYjyab6rnXzS8RbDemHwNTgwr,22
B9odnraH9GsQ4X26uJqDQpey8ms9aZRxTqdcD6w688Xc,21
Aw55CBWeMi6NvPqYJ4Xg3q1c3xGLbfvsX646bB71SAK8,21
EwjZNHVVcKdu2Dkvp2fpYdfFLmE9E9TierKefdGBxyS,20
98s8hfv5wKpiaCS8jupk6o8cufu1PcLQXC8wWwc3F6gA,19
EooYHStwvf6acPmvNxUTBnM2SCdEDMMm4DR1pY8zq1nr,19
3fsDCvCwnWfecCpZmKY8rb1giSfgTYbGgWvrz5mBFcfV,19
EG5DUv9GyihkpnShYRBVqqrgnArwRNcoHPGke3wF6CMe,18
7y9CAwFG135e4PD58UKAopvA9RHMi2V66i5xKQ5p7pBX,18
68VhXhZSQxBqC1fBLXnFb2tMiuh3tmiizpZKLTYTwgNG,18
WUaFjLHh76f1168o2esLHxTt2imqTGuUj7RZ6L5uUZ7,18
5dtnjUhg75bBZV1fBiP8sLjfTkqd6UiUcGNTW2G8g6jX,17
6iC4yUzGGRyu6W8aEp82YpAXdG3vuTQL5ggyjBXxmeBT,17
2EGGxj2qbNAJNgLCPKca8sxZYetyTjnoRspTPjzN2D67,16
3uZbLCuwQ4dWqX5G6cUwBxyF41xL58CdAENRZJefn9Hh,16
762wnpDYMCW8G4Hy4ToNmHezR1zh8xx2rVzeMzRu5EuX,16
C3uNozmFKqZi6zsXPNdqZFGRSr8eW1m5REzXK7SrqxkT,16
4m5yEuSHpXrF7ZMoBHEFZg2D7oM93zoPWgxecjnjRTVN,16
Gm4FvmDqQxNCqRdmynNknqdYcMwitLMfqY8aLFaxDwSq,15
232PpcrPc6Kz7geafvbRzt5HnHP4kX88yvzUCN69WXQC,15
4dfzexQWsUdMeVXzi8EfuXXZCfHNhLC1cZQLRGWnkkBz,15
FXMgeRk8HuntmwCszzRUjzYBCjbduki2x1Ue7PQAm37a,15
5nPpra38RxpWdkfgwLsQiSryxtnP7BLjFgmfxz2ar7qv,15
A7nh3G83hD6HcyLospoWgSVXEeYXz8UNcEZoTcUiSG4j,15
5n64TDYozuNb3eXkutCstCNazZrd6NZ2H5ot6MSp9typ,15
8rhHesd4JAnEQ67Hr6VJeqGccQXX7fuJSsQqmtqWT9W5,14
EV3uKB4BsdTjrFAhPcFYUyKZrCSBjYBABxas1QCFC299,14
