owner,nftmint
6YkfVzrzEcJbg6rpHZ8QYvYdM9RSv6iW69GPoHnJxpKv,JEJUp4Xs2hbwFK9yXaUjhs6jiDF4n5e9SGGN3VLPA1QR
CFuKzNnWYwn8k23DaiuBadakkELjDtE8onpVqkHEx47n,JE8kj31yUoYgkwM4nyUfdLRYSC1JwmrUVmQmQeKDswUi
HLUizohnfnf3Re5pX4UTR8hhkpsf3gkTxGRbkAggQpLD,JCvCLLnerbavQuAVc1Wt8pCVMZ3aNpafbmbhBKGxh7Tx
2j8Dcw2pwDrCQgcgeYWQFXDg3tj9mdQYSXvPH63bgeeH,JCZrmRNg8GUtqMiiyfp7FJMAq3Y37oSabxmvdBPKionR
84AXJi1eaSZ3td5rp2RFpdcUXmCmZvoYUwwzc5j55aMm,JCYz2SCpZh6uNRpoB5DZsnHCJomCBER6WL4KoaaDuRKn
ALhnZ9aJ5i7nbavs6GKvWYhvFHZ9447zJddWWcSTkMxp,JBwUMMCzbPeWW7dfy7bni7xt1SrxN5gmQXJzdRChC9bg
GxtoKTtsaaTmYR2q5yJm3bJt8yP2zYzCpNonx7zymFGd,JAtQ2Vpd5y2KEbMNF1HKGm3zHTuK41mZWevxSKJfzupW
Cavm3UoucD3YKs2M8hibXWxD6zkDuswZv8EjLySW8t2X,JAiAWyp1kPWR69AiqdtP2eGKAzCTRenJGyNy5SLLRX4q
AMqzMqDV5XibHD6ewRik5MGmwzCwpoAMRCq8vyetxRby,JAi3A1psmEarHFudNcXtMW5okJMcNaVxpZUyiFufYz39
w9H69bZRR3NNk92XBVNwhvueKyxZeV4CasWtSdkJ9eM,J9h1GwjQq1gDpMRYR31FAp5PGp4uiiiu8a1ZxUmPU9kW
3bXi3m8kqS6g6VWcCbSBU2TWhGfLodYwyxsdyPGakbHa,J9SaYAFxZ1mLjNZfqYej5Z5wL2fwQojxG49fJbEv8z4B
CcE9XNktjmNNZc1irpaCenSvDnFZCHZCXjxwSZUd5Muj,J9QA7T7pE6iC2B9CkCVifaxDuoTjQdx3Y5mqRerLD855
7gXThLG3XKtZN9Uic263KBTviSzFzyhMqodAckmDCbS2,J9Pc2PLCehkeqKE2YNxAnbYCKvLDPBeC92zF9Hi7sMEi
7RDhHrbQF6st2fjodzmHZevy3cb2G92WcoNX53syBCiR,J9PDfb4AAK5ZTwGt5m2gwm4kLsbsSGwGRSyT9EzBqPdF
EUaHhHnAu1pJ7wLsyHYBiNKBHHsECmoSzmHh68wTKx1D,J9HqytQzFgAHAbfLSwaSWzntJHX66STCMFRW9p4XeKuc
GHxrUWnGZdPSLayZFAFMZs5yAuSHhFvAgUbRNaSE9CKE,J8wxxsX51UGLmzCRRj8Xs4B7JrwquWuVZUNqpAzsFZDg
ARBtLapXDsZwJFw4ZbLeNcmMX7xKiSke63LhnTkxpBNA,J8gwEhmMviLmokvLtZGtcmDqa1nzs1tTfcxC9mSaps66
DxH3tRnMwafbo2Dt3mupzi2b9wwChqWxtNUBPHP3tVD,J8L13FJ9Bt3rc4J4dQzLEcnrwzSP8MQm35ZmdS9PD6u5
6txxB7mWjTDJsq8kkqKUhaTNfy8T5YuBvZcGyxnyfDCU,J8HT84oS5CfCEFSry8YHbxj3HY8xj2WXvSkcfRayNtfm
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,J8DicZLPVrDK7bMnAHUrnmYW7onS3woJSuCgq6rXFhBf
w9H69bZRR3NNk92XBVNwhvueKyxZeV4CasWtSdkJ9eM,J83ta2jKy9Sr5D274AUynyyoFv9QSc81XzvJEvpnJCes
9RxuxZUqZyu6NXj2Wz1eHJvy18msUWKbkUW9htekdpWj,J7LXGJdJ2qzouvpPZeSBKPbzQPhg1bPPA2w6CfAhcfgF
AnLBRbdsiY51AeFJfw5dSxPZTB7cscwzX6XvaTQADdYi,J76LnrX3gm7amqgbnvKR1Bmjzw4pbD2ghQPyFpS2NqFQ
4fMd2cbWoxxHmPXibVy2jF2irf2EYT7csM6H511wP6Me,J767g5aMgT8NJ6pPZyQ1L9gZ8hZ3aUqQtHK94kF29SHE
HLUizohnfnf3Re5pX4UTR8hhkpsf3gkTxGRbkAggQpLD,J6mWE1x4gcLnae5QPvxJFxCSh1ff9QFvswJWyv37qR1V
2xS71Z92hUB9cKWuHyYdGqEjGc1VxLBaRBPx1McZdVXu,J6k7MjbaaB4xMWig6tZNC8o7N9jrcEnmYRDNtk42YHW1
J7S7Ngkpf69okgWQQDenJJhc8hH22oAem4X2zy9QDBo2,J6X1mDFnP2xvddoAaDYyeCp15Cq1p6cZpSfTRcuNejZu
FXiUDdGNMdSDEPcFbjzWUCXUMKT9Ai9hgfuBKeoiQN3g,J6EaNyBit3ahDDs6YLU3ozf2bKVGk8NDoXiA8nPzHPEr
Cq5DXm9v42ceKwra9L5enGFKtxRujmDz59oCRMzbeM7E,J5v8jTXHQPRCPdm9RZ6WZCLBKXzSZGLELSgaU9Tk7N4A
J7S7Ngkpf69okgWQQDenJJhc8hH22oAem4X2zy9QDBo2,J5XD46ZyigBmSvKwHWQdKLU5peXPuNbYtUqVTU1Xg6Xr
AnLBRbdsiY51AeFJfw5dSxPZTB7cscwzX6XvaTQADdYi,J5R1fF1sY1dKyvPNvoJri6MEAAwZ9XRBXc5KS8FMeUwj
52GjEMyzLzDetEzHrFij3AFh36EaHWKLAuV5sqjEtiJX,J5FV2xKk88uJqVZBuV5mjAyTRgGMfFWAKtCokiz4FG7e
2xS71Z92hUB9cKWuHyYdGqEjGc1VxLBaRBPx1McZdVXu,J54Q9oiYdynVJkt3W9uosN9GvtpNUqdUMSP4QjRpx6yy
J7S7Ngkpf69okgWQQDenJJhc8hH22oAem4X2zy9QDBo2,J4zv7AFQdVXTk5ZNwRLSBHhBcWZFA8rfAWsFB91NjCFs
6AG3LvV7ADcuweB483eBh6Ae7P1QoR7YUayUtym4MRJU,J4LSUBfMq94J4bT1cRSZ7PJb4ssjuNQAHv5MKWpiW8o3
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,J3ec1h1UXKD1KqQu1HMsiPLAHdXQ3oZWHX3aZLoB6VpQ
2xS71Z92hUB9cKWuHyYdGqEjGc1VxLBaRBPx1McZdVXu,J3BuFHLC2U8ADhbPB3dC6tVdxiAfMWxjDpYqTksgv1Lv
6txxB7mWjTDJsq8kkqKUhaTNfy8T5YuBvZcGyxnyfDCU,J31T3xTH3ccZ45DEVacFEHgY1VevkFEpzAo5wya5GYK1
AmoztPbiAHnRXWLKNWo2uUcjtxi5yXaALBpwzRDxdv7N,J2jQTDNQMgzKByeLP4feWy7ZRMAJYT8BfofHs4kT53rz
C8FWu8bWB8w2HKYKp4kKjHYif8z9mPTUgDjQdLJzju9S,J2S6RWwtkBCoYCBVW7E53ouQ7zQ32Q3GcTGPaJj87LvV
5rTRUS8J94T4d4Y5yW9nPvT9oqJJNBrNmbRV7qC3dSci,J2QdcdaDePR9Mq8F9WzuWNEJ18Q3DQ2K1F7NbAmPstWJ
9oeCFus3WC5mXtRTaMYY7GSFCf8aNcAyhbHpgm2tKQz7,J2M8GaUwKd3Jqnrc2HevpHEbDjWUgfjLVYupS7wDu7Az
89MiDQwsqRJuyCQdEaT78FdUwwqkE58TEknSLP671gry,J2E6PcCWP2fn3cAVKwnCwEFD3xrZgiNx4yCDzjdnWa5R
9t3jSCXFGB3Xmf3qffd6k5CBZczaQqTP5zqbLq9JDTEs,J24wZnKoAExF6cArHDPHGJ894fsHJFBx8M68xtJwTBts
FgQuDXxgUJu1yyhJyPSPUS6Kh22uVmCefB5uycLziQzL,J1wT5ji9Nn86VAA8EqgDLLTP5GaHzdKCd992cWRyMGya
J7S7Ngkpf69okgWQQDenJJhc8hH22oAem4X2zy9QDBo2,J1isqsgtC75Ffesn56xQQz4sNLjRZ57o3RgAuuPMUcvH
24ook9pvPs3y9o72Tm9dxBLAMKpx2zMta1rYQr69PYXb,J1bwkRfifX8BoypQa9zZaT5PBdXKviKJf3DbysXikXYK
EUaHhHnAu1pJ7wLsyHYBiNKBHHsECmoSzmHh68wTKx1D,HztWuXkwoHe7Z3nDu4X4zXyzDr4UX9RnkZigaFwtdBEp
