owner,count
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,174
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,155
J7S7Ngkpf69okgWQQDenJJhc8hH22oAem4X2zy9QDBo2,133
w9H69bZRR3NNk92XBVNwhvueKyxZeV4CasWtSdkJ9eM,104
2utXo3MXeXT2T2w5xfFjHcj57En5QVp7GPc2xMuStcVu,87
CFuKzNnWYwn8k23DaiuBadakkELjDtE8onpVqkHEx47n,71
AmoztPbiAHnRXWLKNWo2uUcjtxi5yXaALBpwzRDxdv7N,71
2xS71Z92hUB9cKWuHyYdGqEjGc1VxLBaRBPx1McZdVXu,65
HjQWCZDso9z6mfKWCUgrrCrrift481aC3Ac1gtnMQR7M,64
FQbxWyXZrDnxD9dTYYSVRmddzuSa14GxCsiAuRirUpgE,59
HLUizohnfnf3Re5pX4UTR8hhkpsf3gkTxGRbkAggQpLD,55
6txxB7mWjTDJsq8kkqKUhaTNfy8T5YuBvZcGyxnyfDCU,51
FXiUDdGNMdSDEPcFbjzWUCXUMKT9Ai9hgfuBKeoiQN3g,49
ALhnZ9aJ5i7nbavs6GKvWYhvFHZ9447zJddWWcSTkMxp,47
4fMd2cbWoxxHmPXibVy2jF2irf2EYT7csM6H511wP6Me,45
3KBpcftPr2yFjBkpzGKh1HcWKLQRpcFTYo9xfv8T19Nj,43
6AG3LvV7ADcuweB483eBh6Ae7P1QoR7YUayUtym4MRJU,40
FZXcdzpfzcUMiHC3cVJaCDr2SPf5vFoiXBN3uvz7ud5e,38
AMqzMqDV5XibHD6ewRik5MGmwzCwpoAMRCq8vyetxRby,36
52GjEMyzLzDetEzHrFij3AFh36EaHWKLAuV5sqjEtiJX,34
13EX6iEHfyCKFgYacaBkKNs56JJ4dFJXfgyKBv1f1wMk,34
Cq5DXm9v42ceKwra9L5enGFKtxRujmDz59oCRMzbeM7E,32
EUaHhHnAu1pJ7wLsyHYBiNKBHHsECmoSzmHh68wTKx1D,30
5dAa1WBTRKRphTm5NPGK3itDN1voCtY6ESBNNDxGNF5z,28
6keWQ24N5ippVUk7iq9dHe7DeQho8kYUg4u1e3hzCCmN,28
ARBtLapXDsZwJFw4ZbLeNcmMX7xKiSke63LhnTkxpBNA,25
Cyimoqy76wF2jRdHiibg4KZk57zAUcu2n8y5Ap7ZavSE,24
86Q4v6WD77rcSLkxrTUmGMDEYT5gqWoaoxBnZmV2cCbA,24
93fEEKfEuWKv5qgMGjNueW3ZpKLUipYyZ4zUBFbBrywy,23
Cavm3UoucD3YKs2M8hibXWxD6zkDuswZv8EjLySW8t2X,21
BYWUThP5brDmZQhK4tqw7nPUTPaUV2iq9ZAmRvSekjMH,21
2j8Dcw2pwDrCQgcgeYWQFXDg3tj9mdQYSXvPH63bgeeH,20
hcZrNh2P4VRMTHGEsfPrP1Fg6P4yJUqCxuhrRVqqiEx,20
2U6oLVVxRknFT83CS2U48XGFXRyCypK7FNqbngEUBnrh,20
CAviYjcvh64iaBGaL9XzHH1nRs6KY5zdDDFqWwmX1n1a,20
E7E9WewcokpvBi8unYept7Xi1zHizJXDviPi5vcF5uZP,20
Fx7ukiHPPDLkdvvHx3Awsb5gTm1dUFxfWjKvAmdNGgJq,19
7S5sbBx3kTTgaYyN3jaZVwmhAwSeYaeLTtABLR6UBWU1,18
9oeCFus3WC5mXtRTaMYY7GSFCf8aNcAyhbHpgm2tKQz7,18
7RDhHrbQF6st2fjodzmHZevy3cb2G92WcoNX53syBCiR,16
5rTRUS8J94T4d4Y5yW9nPvT9oqJJNBrNmbRV7qC3dSci,16
89MiDQwsqRJuyCQdEaT78FdUwwqkE58TEknSLP671gry,16
8by2YcreV6F5EamV7U3vFW9pS9p5cH4vZqMiRCY37bAA,15
3xCUAK2PWFSUKJELMod5CqqneDJPdxd7bw5omehFQKna,15
GHxrUWnGZdPSLayZFAFMZs5yAuSHhFvAgUbRNaSE9CKE,14
24ook9pvPs3y9o72Tm9dxBLAMKpx2zMta1rYQr69PYXb,14
A1CiBbtfnSjHD1kXsV4UFyPqUzdQKHSNWQjpPUeUp7zy,14
2HegnJrgwEs5zNCkbZHwGeHMUghLu6Dku2iEM94uMRzZ,14
5EfTHngPDgv9EordBzixNMNT9hJWAAvbzMoYdi7iNav2,14
FDVXZhoAJMcMPPjAPNCJbdGvmU9G7LWoK832ts7iCX84,12
HBaYg9chYXDSiZRaD6YEr9eq5xtxDEZBXx8i2TBohWAN,12
EQYUWtYbtvN9C9ixiupXPjHyFWHsYa7dUh4DSd6rxbzt,12
F7pwJoH9VGbVTG2SkR1QtbnTwVdLHbHfFTGHLoW62Vp,12
5EStrZgKzRPTumanhPRSijWQB2sQow8zAykrQ9tU5Ycu,12
FgQuDXxgUJu1yyhJyPSPUS6Kh22uVmCefB5uycLziQzL,11
4wVocCZaaL9hwshGiLcc3P6cfy3fLxjf2h7Bb3SWG2ib,11
CgFS6TLv6dkYmFttkHYDKi2NMqvBaMqe9QREiWixxuRo,11
7bWG2TRVuHM8iT7db3xSxhHKgu4sPBKzwzqS7r7mW6n1,11
HzukfVz8CT3NE1APRfMaBs73bqDPz3EPCvRaK6tGhx8Y,11
AtGuTwYkrZnUPsKvgqAF2nbQ5iEXyzo5M667EzAqhVyA,11
3mKPQm6Re2WHx5CVBMwCvN4GkAu52EHuTVeYgnJnJaHJ,11
2iMBvYsRjMZkborfH5zyeu9fXPrQWVf8AWbenmPZxYpV,11
H8JjcJyq57U3ANa6oaEc7WcB7YvJjT41HYmzhjfoRqse,11
GxtoKTtsaaTmYR2q5yJm3bJt8yP2zYzCpNonx7zymFGd,10
39qJUAbDNdsx7eWsCpZqUGWjJqmLWZDktULak7mapvXu,10
5fhq5XXnMSLFk4FyD9ixSN3nw8sja3xbvW9A49nNgfZ8,10
d6Md5gLQPumzn9DJXansgic7j25HzYYzBBSv5yKy2DL,10
6bC7VvmYY81qwYLf2AJfUdxhJdipLtUu4ijCAVe2bvHV,10
733zvyZDRewmaC87SedmFiwdtmfHPyNNUNtvrecPJsZW,10
ANXaWmVgFPKa1ngqx1KnUhKi6Xi81B9KXvmp8cKqtqcp,10
Bi2o1z1wg3bDWz7UXqLD88RRH7AzDaNSjaocGvdcdGAP,10
4tzYKKvGKuayL4ythhaSMfVRVDrMY5CMCHeRUFtHYhXo,10
7irD8xgJW4sZhwtTi2aFaCmrGabLitJSmRmAVzGHzQmA,10
BvR1ouHXs7JtD5GosvCsnP9nEcJZ4YstyZUQhKhmtMSv,10
8S8kfQrqyAMqJkB9ZcJKbHgHwFBYMhfCu35n3wvF9vZh,9
9fGMD1yQHNu5TfVsJRo7x9kCBTgqx9o4eRFcPuZfcr1c,9
2snYEzbMckwnv85MW3s2sCaEQ1wtKZv2cj9WhbmDuuRD,9
CM8PWG9RsC6DfPauGruCvThss1M5GPRdrsb2HXRnGyYc,9
GefkwpoQmJV2jB6SmbsS9vH53u4YbwZM1FhhREoP7nMV,9
5aAPkEiAUxHRUuB59kh8FNitCqQTzJmSRBRT34PDajfS,9
Dtd1BRbuh9RzCvRDHEANPe5CKcKa296fQqrDLwJwkY1x,9
DxH3tRnMwafbo2Dt3mupzi2b9wwChqWxtNUBPHP3tVD,8
BpyhJ76cTwqN1pGvCveFD659CyJM44VLWXMdEXmuCdBH,8
EyMuiRSCwR1FSTCSW8BYLsU71knHTq6d24pUqg6bwi4s,8
8ryawRYsGcBn4VduJFvDUbb3CV4tUZ1cjk515hJcFTJV,8
7GWNfmexWq2RdrByWH1ADJbHC1uiEEjpbdWFkVzKA1HU,8
3uZbLCuwQ4dWqX5G6cUwBxyF41xL58CdAENRZJefn9Hh,8
v4nKtLXG9Gm95JStbvAyqb2k9TJLsnFQziqS5jujp8h,8
ARcbr2hydxr8vFJiqrHa9PcQHru2MeHUqT8xHRTu8BsE,8
4AezzLcg5HszS8xyQfqjcWncDupsZuuZpg8WAd2DtoBw,8
EJ9mw2e4ttsb9g9gnWYXiSyFE4Ww1iTuSrgk1u1JnStq,8
88GW6eSHhkyYr6n4YemzFYs8T1swNBMSVpxn3GrLEXKv,8
CfUFT2BjTyC5ooYjDFUcAr9TgyXr3BtmDDipCEC1PdTW,8
875XZi6haACiifkcJJrQxsXiYcsp9F8LyVvuWaHXXXbq,8
FuuhcWQM5nYEvnBnLNS2BESmzCXJVyx785vY8SAS6wgk,8
8fQtj8QQMbGijTMHAjxphaUZaX9jARwQoJdsMsEbHnoV,8
6YkfVzrzEcJbg6rpHZ8QYvYdM9RSv6iW69GPoHnJxpKv,7
HXovyrg9cZvSMuNW9uPm1sHmLeKtedQcPvrQce3qgHeC,7
67KwKAa7up54Tdh3sKuKK57dBU5cF5qyMG1ZsToXQyFu,7
DnvgRHHHfQ4Czs7buWAr8hK8GdvkXvjVt4qRkrSbYrep,7
9obQiVbynaS55rQRJHVW9uDEwQ8oWFesKzazBb2Lu2gD,7
4jXo9FKmzv16UoHsv8XcgscABrD1VmVV7YrUzo2mXwBh,7
6Hnvr4o7L74VbWxagtC4AuMmpNjFpfM1wCazm4WM9zER,7
CiS1udKWfC9tQqMLE2pDCryHMUyoCaL7PNWY3hm5o49x,7
7rcXbkQ4RtweJwEr4XBzcb5zUifisyEHHBSZkfG5vysY,6
2D8zLuw2ZhnhfExBurxf3U1ZhdiksHVHyTwTpCj1bzqr,6
5LMv19bZTGS88vMPVZbD8xuusJcyVHGDXx73bJYCmpbb,6
3ag1pgAQEW97FwxYK9E79o9G1QC47yt3wf14HntHFHo6,6
2gXY5MzJcWuyhHq31KYRENPPisyu71mCtRtyw5TwFiX2,6
BmArwWweKjMmQ9nLGvPUHWA8rkDBHB3ADuxnvh5NTftK,6
EbnzVAhHUzWYvP3u8iTKDCFYkgY3iWn9bXBssWStxD4,6
8zpK86dHcDsu19KGt12CoprL6ECgCLQ1RNRxRixYHhEo,6
BB1Y4KZo3i98MbmTHBP2v6sYkkzwyaXBde57cZf99d9j,6
wZsPZ3Tjew4XpExExMqvscGnPknFc7mb47Yed2AWLss,6
2GsbFztMbe6pH3tPPRpZde11WvPC3EiiWTZPAFRZm2vj,6
6uELewxnQSC6CQ6Hjzv4QALkb9TosaC51qAAJYa3S3X6,6
34ZCLEarBam415nQnFTinLEBqAPgvERsGMEzJGp4HMoi,6
4u9F8YJ1vdJc4ifXvQfQ3mNasTihsbCxktsVheyYhCWK,6
6jj9LR77WCNyLWER2NkHK5GMhk8XWqZwuRYvTVbUQu7j,6
Enfe9Zh3fnw3U2qcQCJZun4YjVAF9kycrSorEJmPbBZZ,6
Lf2dWfN34anbHXL99S7kgEQkmTyewnsdrNMM6q7mtGw,6
36vYPTW8WTRsD6QiZqcJBzGkCu2HHNupEHgBc42sZTYm,6
9BgHMWC1wyszcDgcaJ953xWZ6eDLKgKjwqEVdBnZ3naN,6
857YN2siGmZKRMqdNsaNWcG9QDKwjYjmujcmnML5WFFk,6
4cFkjekgGzdqU9tj8GcFaNDA9KSJDr8P1KJtNybVANKu,5
4HpJnX2w1XriKmJ34ZMgvv2nAZjosQ9e21stgmjQgTce,5
GLT2eq7SARXQCFsFRXJp2v9t4K63GXa7mdE4Mbtk9Jot,5
3s2M1pPar35oNyKbMaCPGY4tNbpxSUPAueNGLKdQdBud,5
47b2jfm66L998bT8KYmn5s84rZMnpnXsA4tfrsNYJXeo,5
5r8BhkSMkVgfQRZiT8T1Q4QgBsywoPSWdETpUWvSUcgB,5
22EANMhEmUM223oM6VjQfQ1iBbjJhXCAFnjekP2ZSCMa,5
3qragjibZ8fgNk8DA3AbQaDNuMjrENXLMZfDXMWeDvUp,5
5x4G4CbcVE5Unw3aGmZPk8vzJBXiWfGSZJBnpcCtfzdL,5
FK48sf1ELdWUaV7Xsfcp9QMD4eY58jjjL1pUemfkh6cn,5
Fb7WL2m8tFrGZXaZRDK6TFHKA8EKDwvdquc26tXxpHVx,5
3z96aTPNwGazZtRUBULXMk8uv6MKbqM3PC5RiHwGL1bC,5
DZhL5ghbGKTBUvxQ6QRFDEov8JqTymRPczTkQvcSpmo9,5
5xwE8LWtmDazKpf2v7Dx2p48wPcKJ9EVLZXRxCvLLjr7,5
tioEGUcmaUSRJwGkddEYZHuhnUG47uirBmds6aELE1x,5
GiSPojxEUvHF1Z2J3pqkbimyRxzt2ganVWCYE12Abbxj,5
wtbPQS7tqi2qA8aJ7iY78GPPf7XZQuiW8QNCbu5Rbt4,5
78svtFd2HjxiEY51NqB9AyT4MrfNk8MLdhmBGVHWzPpN,5
7gXThLG3XKtZN9Uic263KBTviSzFzyhMqodAckmDCbS2,4
C8FWu8bWB8w2HKYKp4kKjHYif8z9mPTUgDjQdLJzju9S,4
3PqjUH4U5qTZe1oFRd5okXL5ZUMU9ETMFzTUMiMAdkUf,4
F2hry6JgCj4ocK14K5SyyX7Wjqqx5qu7hQf6EFxLt5CJ,4
faraVvDajMs9FRwLvjRKdpfvDwetTBqgdwy95MsQ6VZ,4
FZLEkUG4fqVYv9tEWNzmTHTdpoXXmSGMi9abwJxSCA15,4
BpH9Y3Fbu3yqNQ9bzFke6kLeAiYA4JuxLzAVdroYvKHx,4
9Xjh7AqD1gM3qbBMMXae8aLq5qBZzqm36YhyWLuixJrU,4
8qFABfwHQQJAg4b5W62LekVCTvR2GXgVxMLnPomfUeKu,4
DggtjCRWMNZTvhYYJKa8uTKGu7XUakbC33mFmznqyeVF,4
5oSpmThu9HSJu94aY7mZpJUmLChh6xM2bqfoFg3oR9pk,4
FssGM9Jcu2jq2WMc9p6Ew8y8mzEHsU7DVw3f3AYcfhQZ,4
7tWC9jJvWohtkNysHGwPpBqsuY7XSNg1CYXjHHj1dxkB,4
9aHBseWqnLthLNjLxKWMYiNAGHPdNTZeXGSoxWfv7Jp4,4
6kU22XxT98yXgtUhgVJE8gacxKVUCVLd5r81doeyoae3,4
4QUZBp5RvB8jzyXmeRvUqfgrvikf3R43VkRYssyxPBLh,4
E1hvBYJHp14U6KaZfLTNsFcpcjdzF5bSkVuabp6kQALN,4
3beZrrU74jqrJ8thPzHJA7489V44JHL6G23vv1814HUi,4
HNF5urHHS3BGiSDChnHSS5KkF3pAGWn322ozxYZXV8yn,4
Dwjeqz1CsbrsRdMr9E4sapSq3ucK8v2fjjEWGNpagHUb,4
3fKqHEXu2avZH2ShSeU3WPvMFZoTs9dM1yVf6bNaKBxZ,4
FyhPPXUcYj3hN36VvfJrp3mALMYACj1eoUu6TWcov6jg,4
3FvHaGEUYCmx2s4EoigthkGmpySs8SLCQ1DqEaqgNGtr,4
Ete4MYbBX3iRUmXCWuDWsvayhUYqMz9Ny6ob8s7N7Gar,4
