owner,nftmint
DEonxigof7WCjPkYQ1z4spdwTMYBoxU1UPxUAXwpNLd1,JEFESW4ySfR81ytmrQsZSEn2Zr16SzFYvbVMC2oepUJz
5aXZdi9QLt7yUbvJ7XSD4PbVCArmdrw2XvjXFp7EtsTV,JEDLGTCBbHKDWjtAqEq4jmjyj4ewXWsfMTs9modFmGUF
wQG7GdWArUur1tgo4BHhtFo96Ci7YthoFjka1jUkUxe,JDqUc1nPaZwViyCsvqXAx1JoP3HFERctLATN3X7XHBAv
Bt9vz55JpTf6g9rRK7yqbafU5f5zZM6TP5iB3sVy1Se8,JDiPjVk19zBRTG2iVy8KLoNRzFojLranQv9gSFSAYVcs
66TGgHZKcqs92oQYKKNyNyryGX3ak3NQyWFV7m7maeGs,JDhoaV39isMXqVnc2tiKySSR6GDcPx7TZRZsFPYpi9jN
UGN81iXDACqYgjmZyHacvQ5HvDHngrJGC65hMhrCp8T,JDemmmnvB1qSu24pzJ8kQMj2TivnrBSJBuQJ1ooPgg4W
3vttzYdowE2PWAjqyHjXnjTStMoaZkp2fHgoPAfEP3XR,JDZT4zFR6EP56AqMSU86uSetbyqyqpvtFU59Dzdnf8Yq
A1pKq52S9sPCQqhPCGJQGEzZ1nLYgguM14FU8sVvuDm2,JDJM5w9svY45vSNzFAvmaDvJVjEgw6z9YaRKggk1aUAN
7tsQmwvJLQZhsXtQfMxTbssF89nyL17Q1NJu7NR24Zi9,JCt4NySZrrrQiPu9jJTiVWiWbYMhk3g2B8BuEpVwwBj3
38BNfD2qpEJ1JpdAnbUdyF7wn6zJc9yePRcC8rPyAGBh,JCqCGrGeFSRhcrzSLaqQPHVVnfJPf1HcriJAy3uepX7c
9hFYKCAUNzRkrjfgUPuTKHuxEcqE1fQkSaH3m37brSAD,JCmpGiAiD3FBgJeAFkE5X7saz4qyPBam4Vr3MRYysoR6
2iMBvYsRjMZkborfH5zyeu9fXPrQWVf8AWbenmPZxYpV,JCXBPEbHC9ESqGk6zJusLACf1yeNnjHX4bo9j8cGtBbi
H9oN7JgPb9qnPhyFE24Gp1YVvF1PqsnLjcP9agEgqdFp,JCDqCujDkhfrrkijN38CsRbZpDSLhPpZXGpkqwQsFoTR
87xMCsjSjqcvC43wyPEsLJbRKpdQGagAMpr1eFjhJ43B,JCCNqbWmMUNHwC6XSezHchEhDXmyXBp9nX8jHQVyHKqG
qbBb7SefGJcrVTe1T1ijs14SgPpmsYCeUVRfeiGxLan,JCBsF5E1gMXtFQeduzHfgoiZJdJcWV3kxRAwz5Lzqcqj
6uCyyHUgczmMy2FCCn4y7X3EygQgNt7om8XoQzDtSfrv,JCAX3uKwg7ZytHbvH44HCznyoUrEZdLAxR5fwztfaHnx
wQG7GdWArUur1tgo4BHhtFo96Ci7YthoFjka1jUkUxe,JC9XQ7RkCmBMzjyrcJouzXDqFHoTnyk7dG194CjZQGwH
F4rsi7ZqHPaqsjcavvAehSFSVy1AYbBRFss5hdFM2omP,JC7KVB3km8vZApczbc1q1UqQKxtoJzCNqYJABDGtNw4B
7bsGXNkKqJTtpohidd7J1ftzfibWw2jq63agWKVbF5pr,JC47RYLUHnrVQNFCivaN4yPfsp74xmSds7Ux2cjPYczx
EKTzfdG38a1SPiBLZSnLDe4VJChCQVsrcviYGsYAsYEG,JBsW6aSeKXcubLPB8mfPzqGbK3CvJbihs3hVtUQkmAid
3UfViMHb2mbVzxetNFD9jKV1hKs4BWrV3jR8yefxsWBB,JBm8YaErQXCz2aV21s56yFSnXeHcvAusvF9tycQ1Bzcu
qbBb7SefGJcrVTe1T1ijs14SgPpmsYCeUVRfeiGxLan,JBm4rfYSwVmELV9wMw8JvvzebpMkRbYnQysErzWH3sAP
55KGv3JH2fjr8KtEwTipktyanCnxQumHh8yjGc4zVdQ,JBeipWq23m7DH3dapoNExThiGWNuycJcb8ZfwgzQocMq
DJ6gcjzaedUYpjVeVa1s3iU391BzZ39JY338aYfQtmNR,JBMGeEPh6q9e4M3ziBZoRjdcruiZNFajVj5T9qAhFWGF
478DELPKAJ8WXuq8jHpKLsTxCh1ufkq8RayE6n3Kgjtr,JB9xy2Jk2cRZcg7627owNFkGGpSMLUGPku6YcunWQ5oQ
2iMBvYsRjMZkborfH5zyeu9fXPrQWVf8AWbenmPZxYpV,JB8L3HsK7uQCeAa2g1QtModm8qjMpgyn8Lwfswnae3VC
2EPxhfyjzDqqfxWEfvP1XfVd3mE1xGsRefjnfjJL8sP1,JAySeV7iABNYfn9PxNF9PW1eyoCrKNc6WESfAP1ecTpS
Gu6faGp621MczGbkVtTppFNjJaoBSGQTM51NsQdJXLyR,JAxZcA1eitPGpcNbuytZcpqEcqnbZrfwZsEu6pokD7gU
Bt9vz55JpTf6g9rRK7yqbafU5f5zZM6TP5iB3sVy1Se8,JAsRvG77y2pKHeWFaY2jXEmozYwJYxG2DEKvEs6ULsuc
HsHmks1fffFsYE7ez3atNtWCaB9TEDxV9hwci2ArqmCm,JAh1987XFKwyuGhT38qV1zRxHWZwy1Th5tAPtSv3M7H2
EJkjNwsKdfWyHAhg1EDii3bBYHRWfD2o2T2uVeE34NLW,JAavP9ivLZjGydoEcu1Gfr2TybpMzdgCzfVPvzRiTiV9
8526uPCepabV5ZkZKBFrw3AAHJ3RHZ9bUpM6bGjHPNoq,JAY1L8dhNojH1v1Lqpyd6P6x6XAgufMddrYZkqYdirS8
GDRpHEHSrx8VvCJVzR75UKFp7CCYPT11fRrKZYYGFok2,JAT7M5JW8HGbnaQay378yykM82yjhiUEgYmeRmqrwyii
9SkKSStx42FVAWFUikgtdwxEFRwi9g1fVNsyqf7izfzq,JAPvZkRBgKk8GVAXo64G3gqqjUS3emSSpYz6jjC2EhoG
Gu6faGp621MczGbkVtTppFNjJaoBSGQTM51NsQdJXLyR,JALMxUP44SJqKvzD6pta4dsjVeUQh5NSzrAvBCaY2zgn
2MNLWCUs7TbGa9t8AHbYKreJ36iukKGZqj233EEyrwCG,JAGXQ48Q7CzKhNgCXMpzb9Aude5ozwwy3zFQ19JWW94F
9xRj97xx2PzHBSdxTvdTB2mxxX9eXbhkDHKVUaK9zW82,J9n29UBqxmyf4VPsjKcugrt5E7vmnRdoaiRoToxV42ba
13zYqAmzH7fSvQ4mnhnZdin4STQHx2RMxDpXA3TfL24w,J9gsBZh6HRVjAcGpQoUcSnK4urNquLhTwn7kxRguv7Y1
HsHmks1fffFsYE7ez3atNtWCaB9TEDxV9hwci2ArqmCm,J9dx5s13uw8Ucyg48A8FC7Aj2S4Nqha54435BAz9baB1
6RscwM1tgrK6M3o1Apacr49upaTQLZ7biG9Be3D1gzda,J9X5zrGiuD17fHCjy4V2WaEkp3ZE8BTyC1fZa6K3ySSt
pDNXSpYcxYFen79GYfFYupJsfVhkWGsHWiKrU6t58Yn,J983y4d9zvVpZhESSChkvV2nhumpYem56n1PrKSBjU7c
6srYmxUs85EZNgw4Hf4mT1QxGVN5T7YDJT7hYmBDKw6y,J8yxtk5uKwG1P4DzDgtfeHGNAb6xb6myqbvboKanJJGM
364kNi4LbCh8iDuNvmbHbPML4N3xbg6msZnaj5dFSJbL,J8oVQDCeaqEyZSXEo5GY6h5cGouCujEXbtqxksRNgJ6q
q6hdrAdqpTJd4bB8zcTGm1AvBFe9tc6g4vdA14YnnGt,J8iLuYGecaTSc1KS1SiFdcAQV2STJs2yNtiLTb6RgVQF
CQxJndgVquxGosmxuk44iWR1tSrAF44PxtJSv5SDmkiL,J8fmZBLATPKVWdoCEkGLEUwiPEzTDdvhxQ8rXp8mVZY8
