owner,count
F4rsi7ZqHPaqsjcavvAehSFSVy1AYbBRFss5hdFM2omP,326
2iMBvYsRjMZkborfH5zyeu9fXPrQWVf8AWbenmPZxYpV,300
q6hdrAdqpTJd4bB8zcTGm1AvBFe9tc6g4vdA14YnnGt,190
38BNfD2qpEJ1JpdAnbUdyF7wn6zJc9yePRcC8rPyAGBh,159
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,127
wQG7GdWArUur1tgo4BHhtFo96Ci7YthoFjka1jUkUxe,110
pDNXSpYcxYFen79GYfFYupJsfVhkWGsHWiKrU6t58Yn,110
Ej4u493marpGQRnxzVTMbW8Q7pz8YXJ8zraYF7sp2XoS,107
8DWxJE7NBR5S6m15QiY1XN2mLdQLfwqJVG8BXXAU3bUF,105
ZVTVAxkekztnQAXv1o5Vb7abG5eT8PaXM8ECMDN2XqY,100
FPNMQhpGtXRdh4LcMBQs35KZsGpwQYJDRicPgD63gUj,100
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,96
9hFYKCAUNzRkrjfgUPuTKHuxEcqE1fQkSaH3m37brSAD,90
B5GHNzPMxJH92tyoNdGk4MVrVuAgBraNfrYY1Ywd34Mq,87
478DELPKAJ8WXuq8jHpKLsTxCh1ufkq8RayE6n3Kgjtr,86
HsHmks1fffFsYE7ez3atNtWCaB9TEDxV9hwci2ArqmCm,85
3vttzYdowE2PWAjqyHjXnjTStMoaZkp2fHgoPAfEP3XR,84
DEonxigof7WCjPkYQ1z4spdwTMYBoxU1UPxUAXwpNLd1,83
DJ6gcjzaedUYpjVeVa1s3iU391BzZ39JY338aYfQtmNR,82
FR1PHKpEjvfutqgTKJc8RNSiXH7qVoDAxcZ5aBrD47hw,80
qbBb7SefGJcrVTe1T1ijs14SgPpmsYCeUVRfeiGxLan,75
7wY5ihwyzJ96x4o8rHbhxvUTzVokPvVR9EYfrzqP6XRY,75
Bt9vz55JpTf6g9rRK7yqbafU5f5zZM6TP5iB3sVy1Se8,74
28PYjqGrN7vi5c2kccYQrdhoFvqLnUGcuELPtDrYQTmb,72
GVwXELaULfTXFTYqGXRNwd3wZpgqbRXgsuxqx3oc8Ra4,72
mBanxXnE2Fx433fc1bR97kcz5rAfcniUdZs5HLXDbFq,70
8mfoVhgap8EKDSaYLqv3xoXQKAmJPGPmbVZz9h4ZS6af,66
Fzx2MEY6fuwjoL1g4Mh5D6dcxp24HEcdZ1QsrVxE5sfs,64
6srYmxUs85EZNgw4Hf4mT1QxGVN5T7YDJT7hYmBDKw6y,62
HgHHUG5UH93vZLjTe1Cmxjnodq4FfXvH3XWbohRWNMEW,61
BiJYRdamfoFHETUP3rsf4HypVb4e7YmUjt5ZgVeRXH9D,56
UGN81iXDACqYgjmZyHacvQ5HvDHngrJGC65hMhrCp8T,54
364kNi4LbCh8iDuNvmbHbPML4N3xbg6msZnaj5dFSJbL,54
8G91Vg6QMwqQjhFRJsZCWcvuDc1TqrGi76FK687HAkJH,51
66TGgHZKcqs92oQYKKNyNyryGX3ak3NQyWFV7m7maeGs,50
3nShJkiG46TtGR3QuG8J9T4y4KzPVmwmvvw5qb5HrxSg,50
