owner,nftmint
BA54JLEWWntAER5uhWjVfCNHinkPjD6EcJDfeQf3C61U,HwAGqtr8yd4eGjv2xNPnmKJL6wDNgenhRE8UHRPuVXRq
13r4qYE6MfFA1ijskwQ7RRGtiqJEysdmdZytLkTAb1Fj,HjU11ferNzFBvs2nC3kSBbHdeXZEUB1LBzSvRs9Lv6zm
CAP3AmvvUSTHXG7imdHf31d6kNMJ84uos8Ro4AbhKWHS,HLT4xRBwhZtT75a8Je5cXLQJyR5bqFCspmZDPgvZzKv2
AmTo1CR2HCtRS7nQVvHP7PU8sVPGzgTf9MKhfhCzLNA5,HJYJWoMgPkBCmpYPTkUityoZfJGPc5a4Y4meeDcSGjrJ
57Cuyf4wAebn2w1eEH89nUrf4QxMrZoujCj4GZAumi5G,HGrpMigrWQ51QCfMmv95cZL2kDKHjUGdHrHB6yGrhm8u
9fzJeAZGnHPVpWEjrssnzx1Qf1QJeKrRGF6f4jzWM7CD,H4J9JC3j5ChfdNiqiddyFSsRoNW21d17UbHSJ4Z6d8mE
Ceziid5Z1wsk8ZXkcgu6hYa9sKpYrvTydrVrHBakaQtd,GvG2BYd3cceLhCDxNmpQok6sanaBXXc1E99oWqYckebA
AzswGrvZjn3NzziUhJuTY2k4a3mgVCGn1NhzkMVqJDYR,GZ7WQtuJornkPE7wNMC1UZCF5PqnBLaWsivuBKKu9Mfa
E7gCJ3Cn5ggdeNS7RG8xmHiSr1uho2fnTo1ZRHjdaRwt,GM4wdV3vpQcaiVoMgrZJQt9ibf8oFbPwR7AwKe9JZrFt
DFC9rZ65SeRjTnfoJE692c3Tdrm6yg3crS1yDQZcD2dZ,GHtR5Q7XaxjjAUcsypPLQEib4tDFpF4QckaYyCumZQdA
3UZr12QqZF9aHH1t6BzmghjYaJ7k8z9Jijp2VzdYX1Vm,GFGLTgTzvLkrJ9Kpdz67Q8SqejfTFfvR4dUavPLv4YL7
E78qZ4YVrTevtYumg6tc2vu4VgvD6XWPhHaBTqb8XARx,G1ENatNi2td7UxpjRwanx2DUKiU7GCiJ8KfLkjdNJJoD
GbdJgF5UygQAK5cynAeXEXS5nBT9EVWu6vUnCJnvqHG,FpBtvayFn8Qe6JDEwJ1CkeLXPVLnhEu8EGwErfvUmTZm
HLVUXPeH2bQLDEhswMqAZLpDtfXTLDS1cctAKQEUr4hk,Fgn9ykSPSaXmGw7p1an3MwNCJvS1WnccBq548b934hxx
8yFdxgddxnEjd5JVu5XscC3tkVn7cSj4ZVTXzNzMMc7a,F9XHRskZEEy6oK9iHgUWeAbBboT5aPJMZp22zUWmMofu
DGHNsFDXk8p8G4NYdgoXyZ4SEEt5VjW3nXW1BpnD3R6,F8TfsYdAPfiXJ2xRPVzBYHcZ4LqTedACdkTReSftYHy6
EpFhcVvpFGuGz1VqZoZRjBBQb23zDT3cmgQS8W8pSbjT,F7Kr5UgMBVkKsfnfVVjVMZbc1v838mAR4XcMDrdSerWy
2yHqGCB38ohZDSCF4CiyEFKF2TpvL1rZGtv6W1dMsAtp,F79QtC8Lk1CRJbABo29WFFh9qFXPX8gEfUofyamwDz7s
2ASeHtsFGrMfSmuythwaYCNqnbUm5TVw6BAyoXvjnPde,EQ1wkSRRyhNPNfh8STRVdGecL6RobijbSsJUBvRcH5N9
3qmQjRTADyeiEsX7NZTvG9nF2aTmA71FLrus1U999z3n,EPPUmYp4c1FULxaLANQSEbZeZCRoiJPidGTzEzKb4pWp
xtRDQ7WibXJsC6ewoXCxiVjB2V8PRKWj9VxCzGLBZeH,ELHU4FnaSFyGfZRoNx4R2zNN47rKBD35WxL71NDvYrcC
2wSnmrQ2VKi3WNZJEjK1uba3YCEkK9dzpzM2GYHdh4Nj,EGyxnQRAYxAtgQFiycd3Tv4qNxonipZgFUBtVyC9KUwL
6PdkWCAGbHiWsVfM2md1Z8RiU25NLBwgiwU7MnDL7pTv,E2L8Wkt5CYCM6Dvm8cz4d2aCD71AMCPcrckWhM8AspaA
4f27WNrJbC8mz737wQuRtqLVvG6fqAo2aeZX8s7dc87D,DpiN4UkHeCMHWAkx9n6a4HAcRc5m7J6CMg2FrTFCBwRz
5d5kAwdEY2DL5MRMkxbha13i2FGFKnh9DXCjSfFLCM5k,DozmZXxyxTADbZiCmQwynHdG9ZmwcLpGXSQe3G9FLNdt
GWNcGB9az32tcdhtYtFEBpcCUky4mh1uYarrudvAggnP,Dnzz4iE4xhL6xKar8E1o6uWAxw3gRJKx7FNySDuLcoHS
2JA1idETA8s4cQqviJeXEcyjUq8NZNSmwbLY6dnSyHKQ,DkMgZU6ZWKp9ZncwP7PGC75iBek8kY2udMWy8i5jCoiQ
DGmBy1kv88BFCE25o9BipXcfZBBfMVCPThU6P4NRZ53o,DjS63sBJ4k2fsotZbddRFJA42kDouqpngEs3b25W3njo
UCkuKHE2dMWcNsMKqTysaK5KyAr2UwCatfHsDh5DxZ9,DegeuuqvBaBGprd4i1EXqd9r2NSsDFZBn7gXrSCoB4iX
HuwD9S5xXDrw45yJEkY1UG6syoGHJmkvTAZS996VZD5Z,DcNUZXimTGA9FoFSGjJBgc5viavDRk6EYHzLNN7nXwkQ
4Nt75eeeRbdYwKYU6cnZ4RxSEXGhrXT6kW2JaAbQ4WVG,DaysRwQ6rV89kRp883CULrofZVaGphWq4671i7taUuet
314gMXzYy2AEHMwL2Xz5Cb27i6GEyrfHyCpUcitYJVGb,DMvYqZVU4jzJpSSgGmeAQHtBYwJKXXzkBk1QaxSsM7qm
CnDKUX6eUZJ1VGUL8K4PF8um9BETqP5WGaP8LP7e9yLB,D75tiWxrB3m5vUvF792EQztWQPQnxGoHoEnvekhgNsUd
D8x4pkcjugn1Mo2Tt2fMLt7puarF93ATxPF4whVBEEc1,D52RfrnMWT8VRkaDD4Ei3bKV9DQauKRSEXmw1JZAfUSm
sUdKzUd3NYDEXZzNF2S5tcPJt2nPrmmaS5WMAx3Zw5H,D2w1XBCHSQ5GhUVVfvKhcjCuVnhfpZxHGLiRvVfMH6wp
63sPw3d8o9RZbKQ5mSNzLE4BgSyAF4LUh3T5rZKJYU87,CnFvTJyVRfvh1i5oiFbjgfuaWGzi8Gg23yNRte9jNvsd
7V4HLjkjodRi178XryYGt1T9epTsvgSBPXaYeS4U5iVY,ChWH6jcbxLUn5CA8ka3sCBfMrXZHY1VtJJQmAqatvyEN
A66SyemsG8u21nhn3T1RN4W1exRfP8hcs7gKWMnscqEX,CdL49epWRhUDS2kx25rZ8pCTYFwht2EFA8ddiXWiLzR4
9KeuKDa9NGYuraT4vKVuDkn9PH7wB18mtTyBiS8W7qQu,CUiN2jWckzv79pcUHCZg2UDHrUemy534WH6UMLHX42hH
FcbGjZoVk6e4WSJm3BfuXJB3C5fLAzMhw91oe1seb7DM,Bya5gygtricooja1uEJ62Wiijqt2nhziy2zUu8YSqpeC
zYfdPVdWFnvwTDWc1FA1kcZhnq86yF9uhVxXuuq9YUe,Bvx9XpS67jqPfi5ztTzcmt3ZWgtoDkXNKdQJTse1YjwM
4aFkyLo6HJSj7M1smy1Tapw4YG4EAJuzs3FhWdjdTAN3,BqbE4mKAKB8JpeaAsKTTQF55EmByw9kK4sSiUagqAY2E
3X2RCc2vp1MeNvtq3fAXUvm1XSp8vuzHuUVnA7NNcsYp,BjHYs9jWzctoiwN6wdNoQk5FgJbtp2izKNBw3fQSDDFd
6vPSfwbAv3rjpQBNjTkykYMaRKzFBKbmMq3RrCvcWTa8,BWNMUYFwadmsC6zVEVJsXtQTMKpzrBXm2gY4XfpR1TcW
6U7zkqiwzFVZT9oT6hQL18FAQAVu7fHMuocjWtbC7HCK,BQCd48c4XM44rLHTx9h9bzyMkCmyZt5fMLvfuv5fxVPW
8yMUDVKgYVQ9mXwwsifkhvauF3dxseN3bv3Wye55ziiE,BPR7erXn8JrKX1xbBUgYWt8D9fXGKcuooKpZYY2eZh8P
4a5iqWoGCk8nXku4SQxEatdsrDxbxhC19fEWiFio2Pid,BJ5YtjGsginT2LVHZwTKGYAkTjmaZqE4PfPwe8KvLLnt
AsuNMoKKbAFyzpDkQwWWq4FqZBrByWTANEiihN2ashzv,B8r4KpqXrFuQ54gxeNpDFtJp14cHDVgbMWh6UcpcSyP1
3jqDZmw5isvbeSFP2ft3TS58syqWhf1UXy2Lh7MRGR2v,AyV8xAX7rEFm42fiEHdDYV3Cn7dR9uFdbkPWfp9aUfH1
83DZs1NddfB4KQLF8KqWJ4AUwEnNr9J8ueqmrY1LHcjP,AtYLs57CTAeqnrUpiDeWaL6iDN3XCVT6srvLyYQqhY3p
HmoUoLxxVbX52DkHiWyjFFokUckeZQqW7HeEBTxohrjt,AmPYutHoLPFSPUrtNjjYoxH3umTkG5htiRNjehsHC5w1
5WFEPtAVjHs3FwWHzeidqREoR7JW4MHkSxDzpWKJLV6Y,AjF1RgisE6FsPqfoFmZ9SdBeeHHtobG99xzP9c1s1WMZ
4rhuog8U12oPGt6SBq61yV6j5oMDL1WdoYnQgq7qAwyC,Afi9RPvyqPujw3PzUwH2LKNHjpT6DFZjKGaPAYbhCQTH
71mnMoAnceQUQAtsxC4BofyuYjckX1D9homx1sNRT2hy,AWaT9BPrsCUqnjVgFreGorN548rKocnusCA8rdPocT9C
3gnn3Sd8Kgm7xFXGU9tg7kJ6FkBEdFTkTRcY4PkNaeD3,APHmET2jsJrV8mnbQw8XT1iEtiofWXmZY29TDzoPen2h
JwXHDmQcirtgYHrgbxEHJUPm1QVg3NGdeCdgL14XN8X,ANti7EjTpcuXYgmUqfb2vnuNwTAEC5Pkd5S9WTMeXpQ1
5BtndEtHBQjgQXUMgnhxzsWvJiG1gMA11soWnKVeHqjs,AMLG9tjD3ChPVeQ2t76mxouZpu7n7uv64uTaqtaCRq4B
24GVVs3KpEMyHbGSjayUxfSdzFu9jL2vQjEW865kTTXu,AGCG6m7ufZBRhbU7vBTn1BnoPenj5BabkcETs4Qt1n5H
3m5FkvSwLwwhRqeBVdMDtvKJ1LtpYQvRdsq5M4YxZcS9,AAWY3NbKrXFGyjg5U2Uivc64J84KEWYkAus1ZfZSyq3R
9SG2hg3R5Jwr8dPax8ukykwxkX3SFh53eMFcYVPQaA3s,9ux1CTY7xPLBNoaFBTPtqDtF6UeJ5KAC2kkX5nw2saHm
3irh8T6rYc8yrwn5YVd3vKYTLaXHsLFJah9zp8GJT7gB,9sSmjcDSHR3Qx62sbXKLhSj6WTSu6qGSnfj21KvEmEKt
4Nt75eeeRbdYwKYU6cnZ4RxSEXGhrXT6kW2JaAbQ4WVG,9pAV2Jz7f9x85ExZDC4sCeTRTBdW2R2C9FhYzEWFcG94
6AY7oxkJQFj5grzkn4icxum6MgVW1tUgKBcV9S4nGNjc,9Xx1B3v83pkyXTsUT4H9MBNNtg7v2XJriYHNyqqSUdsf
B2NiB14cQEThA8UG84B9sKb6LoFdRrTzLUt7NxmLjYzV,8yCuuPb6oJwTCnq34RijSdomsmpPiJxjzctLMdrLyKXf
3HS3mjdXm8yiwbX7uUxKr2KuwLCphaQSx75rFXzFEi6z,8SztLhJSEKiHJX3VBEMwoSF7QK1pAocLFV9Hg6UpN7XH
8WcB4hzDNBB5zdeKgQFfLte2DCgtxLAexo1KTbXBWKjt,8SoXEohoTzGvgdRqsEQEywFKZh1iF6GGyton35rcZuv8
HLigFV9j3M5oQbuggUrHoaf8Lf3vqPAF4rCUJPysfJLT,8PxGc7pgCLTuiKbkwH2wmKaKzecaX4pFjgYpfGpxm13U
jgNbQXRdkzdTATjKJdHY9mMU7sEh8mzH9A7PVPqc7tF,8LntTdCF2SZj1r29cZE5oqNzEkVSByESaHds1vAjgUZ2
8i2RWrPjZTC1ntbmvSSyS8bjgtuoMHwL3sEp75Yiksjf,8KqN9C3PVmkVYhKzskrsovejUQSXAPeedSU16DyznToV
3RHSR6UsFUWszNC8fDm8393BB42ak1i8PokSFrN6Nu2E,8FtNvekuZBwGNRgPnbzi46igBU53s9uXAwm3nGxHqh2q
37tyAEMWypXRvdagephXYXBHBVus4UVpChot5cskCtQU,8AHuhDgDyWN8NR8kQqZigE3DXRqdzKJDKrDGVHF3Vr7h
EwTxgLhG9dBB1vXUEx52vtqKaZi3pP8fC737ucke16aG,82R8FzqQYWgrGcrCyVobEUsoroYTRK3VbThLDd1udY7V
3HpunBhpvBWuH3jhNCnLuJciCfuSjsQVs2z7oKQZigqA,7yb3dEF31DzXiunUqR7LpvaHE52TEoFqn2GUrZ8d2ZoR
tomypbPrBNjnHKNX6HMXUWYiezC6JjwHDxHRXseY3d5,7rmDz1AFgDsaa8jNW3B3gcg5jkdPzvm8NhyXG5KYSfVU
B7dG2BAzppnAnNwcC6BNVY1t3kszua2cPfKp9mCVqswf,7osDgdVCkh4QV2cDJFtb2B3RkQpL6467qkuWhefKNg4S
8yEfi3mN8MccbEd4vq12BASSgNu1Hoh9Z58bPMi3MHsw,7hd5QLJk16LrQDT1ZxBJoxTEUt1e2tuDgS9jDzN5AEFt
EMSAc1jUXwEjqGdicMSgXfMhjNFnejjaqaLMRbVhn7Es,7hQ1wxacWBeur8tcfX3yxdK58ZW944YEenwZ2BPkxKec
HCp8oLnYSJ1bAku9CCBwEe3ShUMRASAF1CW3r6k8LeXF,7WRzasYRjmJFms3EQ4kMWwxhagxLX69FzRkgJzqkSdzB
AcHayqakW28WycRGgP2SaPfDbbf6mRs5FtnZ5hDfxB4U,6p6JXWanPdLZLTntpSNJkeB8CCiZgzty8zJ9zDRvD6zT
2QNiBV1Bnj8iFmMoSJ6GbyPauz8Cyfb3pAxULWeGDQ1H,6dQsoo6LXV1eBvNUwuap3CZiypoT9gGMmdKZKBXSq6u1
AvuLiH2xgBwSGKt5RAY8MBQMbb2tcZwj12Uegdridu46,6B3aYHkVpCR8Uepw88e9kMYdYsCrwxcZ4SGa7tAJqxYT
FLERPtYCG9e3gFfMxrhavuZcEYsko62tPBEcsr6RjZ13,5e114VnWQ1xj9o9riN5pXbVgKrFQ15hUdHShSSb6wLkG
EkJFxuPaM2LdY3XYtRfpTafqJrVUwWoYvHGcQnQarakn,5XmxSPKkxun7pybM6ocqiXBZrJjwmwqdPHVZyuLcAkwN
UZNHFtZ1R6DCuxnmmg2Lh545xKDCSUBpUVNWu9iWZhF,5LCfPpQ66GDsQpyoSiUZvZDFEnELuYd8PkyHvfa4Pthr
3soRBGBjj4aJnQGvbma22y4dEiaKssiFMygcx6j2h6ap,4vzZSjMUSJVrvfYCiYJ7gYWFXw2xiNvqPfwRD6pn1XPj
9ezwhqQ99YzpCRQHahkYPeEtCYPWRqvE2skp5buTxJ3L,4M4zV5ms1WuBQtqHH6sZ9Y1xieCP7Zm2HPUrg5nhsCgF
Hev1svvAGVPbyAw6Bb8YshvvBomRvscbSEY18DpoPxF8,4GW5GT4jC5ME4y3B9UsMgNYJeSfezntZC3dRUfK6BimT
FDRBGMJc16J75Z1NhhtX3FTM7gD3FCWYuHrmEZtUG3W2,4DUBhUUtRBfkK8vtwJGXLmHsBMUW6R33kAjNGb2TgWMJ
5fmXFGZMfUmQX4invEbMFg16cAf6aSbjNGzMFUUKPne3,4DTwxTVqEPVWXPv15WT4wjGxn6DFAaagc5zer2jHZ8ER
F994h3i39bJVF6btEaWpijb7PfWC5iFQ4DyD3A4eeMZD,46jdxmuztuAi61pZbpKeUxqyPTxmYCSxZJrjSJqgAWaQ
9Xz53mqVJdGcz5s2gJz9xcA4gPaAbY3bTBuBNneZpCZJ,44oZJC4JahujvfxhNGZBpiENuAUMAogTkfkgp3fCQrkT
FfrvJFVapdJd9rjb37x3rjsbcQ4FQVWQP2yPuQVWbF5p,3UgdCrMJqW4g9d4h4sgLTpkBQR2jUGmVomKJQgvJfdBV
9jjwAR4u3r9wvMygG9yzBfVkfVK2CiWCMLjeCQrRwFiD,3DvU28DmYn87WCcwjhK676H1YwBBV4bnkC169C8ewgGw
4ek25KMj9XJhXHg9kYnz1WhM2tYgHEMQFwvhda3i8Txk,3B3ajTi79kHVJ1coBgoRUSbivu6NpjsiX9Yj3GrVD24o
9akNEG6ehHFNcjFRCRr4L6UE1gcmZb4rLuEmsXWPSPZD,33TJ9q2CtNiFtMd5Wimjwi2MMXrGmCgkvPQUYH9cPUhU
9xxzx1fMSXk79GDwmSaJXBddPjRd7AH7FcqiE4BnMNxW,2xsHMTwQUBsVJyfbyBqcXN5Bq1yURdrvdzQm8BqZTW84
A7aWuw1wktVvm2nRC3D7tYFeC2bZSczRf4LFEKdEQJMs,2n36ufTgVx9z7Xjn1wZCeLAjPC7AynbjymHm54CYD3JG
HD8yVzkYbRVvA7PuWo3rzgM91rumhmRLjZr8GzfGt7TQ,2mjFyEzUqikE4ueRdPTBA2L3fYoxgjZCJzxorodoMdFz
G96BDGPwUBkeRbZi2pbnp5fK5HrCPV8D1MjzFVebf8Z4,2cT9vYVEeEbN1AqikLPPAraGTikECc7WQNtUSSULTigY
GnC7afeZQHtZJSoWBAcZHJb6xfp9rb85JGAPuxm2D31e,2bMJyHHPVF9oPRWEBv16H9GRLoh6K7QCqsJw11EgTZ4e
HHGeK42eKjTwWuo7Luoy5ViakcsTiNdmk4DrJXvihyrT,23ZQc7PRXgr88HG8VzXRSr7sd3vshionKbuNx7KmQHqW
GYf8xi3nAHP7CbgEvYfyEuuBSdX28ksgPPQ6Rv2biHSX,rd8QSM42eBDNxGjBSsAH48EtNcFVzo39bEZ3L5EvHgK
A7fCYoNu2jK4KMUtmP7j6skn6xgizJdYg9CAFFbZyugT,hBaHBmAMVFKXFGEam32iztxdAdA66aVytg8DmtBzeuz
7DqCC5jP6iX7GS1oxedpzPVkk3uAH1gFdJ5KuPs8skzX,A5wjinRdV5NYZLaj9WgqgX8BJGv6XwcYak45ehQGZaH
31tZH4HLCZNRsJPvRQC64nZqaNPSkmEP15qh7HE7bhSC,6NaWXbzzcBoDycBynPBfrJPydLvw2XZeftvwkHm2abm
