owner,count
4Nt75eeeRbdYwKYU6cnZ4RxSEXGhrXT6kW2JaAbQ4WVG,2
BA54JLEWWntAER5uhWjVfCNHinkPjD6EcJDfeQf3C61U,1
13r4qYE6MfFA1ijskwQ7RRGtiqJEysdmdZytLkTAb1Fj,1
CAP3AmvvUSTHXG7imdHf31d6kNMJ84uos8Ro4AbhKWHS,1
AmTo1CR2HCtRS7nQVvHP7PU8sVPGzgTf9MKhfhCzLNA5,1
57Cuyf4wAebn2w1eEH89nUrf4QxMrZoujCj4GZAumi5G,1
9fzJeAZGnHPVpWEjrssnzx1Qf1QJeKrRGF6f4jzWM7CD,1
Ceziid5Z1wsk8ZXkcgu6hYa9sKpYrvTydrVrHBakaQtd,1
AzswGrvZjn3NzziUhJuTY2k4a3mgVCGn1NhzkMVqJDYR,1
E7gCJ3Cn5ggdeNS7RG8xmHiSr1uho2fnTo1ZRHjdaRwt,1
DFC9rZ65SeRjTnfoJE692c3Tdrm6yg3crS1yDQZcD2dZ,1
3UZr12QqZF9aHH1t6BzmghjYaJ7k8z9Jijp2VzdYX1Vm,1
E78qZ4YVrTevtYumg6tc2vu4VgvD6XWPhHaBTqb8XARx,1
GbdJgF5UygQAK5cynAeXEXS5nBT9EVWu6vUnCJnvqHG,1
HLVUXPeH2bQLDEhswMqAZLpDtfXTLDS1cctAKQEUr4hk,1
8yFdxgddxnEjd5JVu5XscC3tkVn7cSj4ZVTXzNzMMc7a,1
DGHNsFDXk8p8G4NYdgoXyZ4SEEt5VjW3nXW1BpnD3R6,1
EpFhcVvpFGuGz1VqZoZRjBBQb23zDT3cmgQS8W8pSbjT,1
2yHqGCB38ohZDSCF4CiyEFKF2TpvL1rZGtv6W1dMsAtp,1
2ASeHtsFGrMfSmuythwaYCNqnbUm5TVw6BAyoXvjnPde,1
3qmQjRTADyeiEsX7NZTvG9nF2aTmA71FLrus1U999z3n,1
xtRDQ7WibXJsC6ewoXCxiVjB2V8PRKWj9VxCzGLBZeH,1
2wSnmrQ2VKi3WNZJEjK1uba3YCEkK9dzpzM2GYHdh4Nj,1
6PdkWCAGbHiWsVfM2md1Z8RiU25NLBwgiwU7MnDL7pTv,1
4f27WNrJbC8mz737wQuRtqLVvG6fqAo2aeZX8s7dc87D,1
5d5kAwdEY2DL5MRMkxbha13i2FGFKnh9DXCjSfFLCM5k,1
GWNcGB9az32tcdhtYtFEBpcCUky4mh1uYarrudvAggnP,1
2JA1idETA8s4cQqviJeXEcyjUq8NZNSmwbLY6dnSyHKQ,1
EgnZzr6HNnNZtSfPX15g4VSo4RyhTDtGgzH8dMgL139w,1
UCkuKHE2dMWcNsMKqTysaK5KyAr2UwCatfHsDh5DxZ9,1
HuwD9S5xXDrw45yJEkY1UG6syoGHJmkvTAZS996VZD5Z,1
91wo5S3jADbH51GCwpr4LtnGpQkSi9BQLss9nyPcEZej,1
CnDKUX6eUZJ1VGUL8K4PF8um9BETqP5WGaP8LP7e9yLB,1
D8x4pkcjugn1Mo2Tt2fMLt7puarF93ATxPF4whVBEEc1,1
sUdKzUd3NYDEXZzNF2S5tcPJt2nPrmmaS5WMAx3Zw5H,1
63sPw3d8o9RZbKQ5mSNzLE4BgSyAF4LUh3T5rZKJYU87,1
7V4HLjkjodRi178XryYGt1T9epTsvgSBPXaYeS4U5iVY,1
A66SyemsG8u21nhn3T1RN4W1exRfP8hcs7gKWMnscqEX,1
9KeuKDa9NGYuraT4vKVuDkn9PH7wB18mtTyBiS8W7qQu,1
FcbGjZoVk6e4WSJm3BfuXJB3C5fLAzMhw91oe1seb7DM,1
zYfdPVdWFnvwTDWc1FA1kcZhnq86yF9uhVxXuuq9YUe,1
4aFkyLo6HJSj7M1smy1Tapw4YG4EAJuzs3FhWdjdTAN3,1
3X2RCc2vp1MeNvtq3fAXUvm1XSp8vuzHuUVnA7NNcsYp,1
6vPSfwbAv3rjpQBNjTkykYMaRKzFBKbmMq3RrCvcWTa8,1
6U7zkqiwzFVZT9oT6hQL18FAQAVu7fHMuocjWtbC7HCK,1
8yMUDVKgYVQ9mXwwsifkhvauF3dxseN3bv3Wye55ziiE,1
4a5iqWoGCk8nXku4SQxEatdsrDxbxhC19fEWiFio2Pid,1
AsuNMoKKbAFyzpDkQwWWq4FqZBrByWTANEiihN2ashzv,1
3jqDZmw5isvbeSFP2ft3TS58syqWhf1UXy2Lh7MRGR2v,1
83DZs1NddfB4KQLF8KqWJ4AUwEnNr9J8ueqmrY1LHcjP,1
HmoUoLxxVbX52DkHiWyjFFokUckeZQqW7HeEBTxohrjt,1
5WFEPtAVjHs3FwWHzeidqREoR7JW4MHkSxDzpWKJLV6Y,1
4rhuog8U12oPGt6SBq61yV6j5oMDL1WdoYnQgq7qAwyC,1
71mnMoAnceQUQAtsxC4BofyuYjckX1D9homx1sNRT2hy,1
3gnn3Sd8Kgm7xFXGU9tg7kJ6FkBEdFTkTRcY4PkNaeD3,1
JwXHDmQcirtgYHrgbxEHJUPm1QVg3NGdeCdgL14XN8X,1
5BtndEtHBQjgQXUMgnhxzsWvJiG1gMA11soWnKVeHqjs,1
24GVVs3KpEMyHbGSjayUxfSdzFu9jL2vQjEW865kTTXu,1
3m5FkvSwLwwhRqeBVdMDtvKJ1LtpYQvRdsq5M4YxZcS9,1
9SG2hg3R5Jwr8dPax8ukykwxkX3SFh53eMFcYVPQaA3s,1
3irh8T6rYc8yrwn5YVd3vKYTLaXHsLFJah9zp8GJT7gB,1
6AY7oxkJQFj5grzkn4icxum6MgVW1tUgKBcV9S4nGNjc,1
B2NiB14cQEThA8UG84B9sKb6LoFdRrTzLUt7NxmLjYzV,1
3HS3mjdXm8yiwbX7uUxKr2KuwLCphaQSx75rFXzFEi6z,1
8WcB4hzDNBB5zdeKgQFfLte2DCgtxLAexo1KTbXBWKjt,1
HLigFV9j3M5oQbuggUrHoaf8Lf3vqPAF4rCUJPysfJLT,1
jgNbQXRdkzdTATjKJdHY9mMU7sEh8mzH9A7PVPqc7tF,1
8i2RWrPjZTC1ntbmvSSyS8bjgtuoMHwL3sEp75Yiksjf,1
3RHSR6UsFUWszNC8fDm8393BB42ak1i8PokSFrN6Nu2E,1
37tyAEMWypXRvdagephXYXBHBVus4UVpChot5cskCtQU,1
EwTxgLhG9dBB1vXUEx52vtqKaZi3pP8fC737ucke16aG,1
3HpunBhpvBWuH3jhNCnLuJciCfuSjsQVs2z7oKQZigqA,1
tomypbPrBNjnHKNX6HMXUWYiezC6JjwHDxHRXseY3d5,1
B7dG2BAzppnAnNwcC6BNVY1t3kszua2cPfKp9mCVqswf,1
8yEfi3mN8MccbEd4vq12BASSgNu1Hoh9Z58bPMi3MHsw,1
EMSAc1jUXwEjqGdicMSgXfMhjNFnejjaqaLMRbVhn7Es,1
HCp8oLnYSJ1bAku9CCBwEe3ShUMRASAF1CW3r6k8LeXF,1
AcHayqakW28WycRGgP2SaPfDbbf6mRs5FtnZ5hDfxB4U,1
2QNiBV1Bnj8iFmMoSJ6GbyPauz8Cyfb3pAxULWeGDQ1H,1
AvuLiH2xgBwSGKt5RAY8MBQMbb2tcZwj12Uegdridu46,1
FLERPtYCG9e3gFfMxrhavuZcEYsko62tPBEcsr6RjZ13,1
EkJFxuPaM2LdY3XYtRfpTafqJrVUwWoYvHGcQnQarakn,1
UZNHFtZ1R6DCuxnmmg2Lh545xKDCSUBpUVNWu9iWZhF,1
3soRBGBjj4aJnQGvbma22y4dEiaKssiFMygcx6j2h6ap,1
9ezwhqQ99YzpCRQHahkYPeEtCYPWRqvE2skp5buTxJ3L,1
Hev1svvAGVPbyAw6Bb8YshvvBomRvscbSEY18DpoPxF8,1
FDRBGMJc16J75Z1NhhtX3FTM7gD3FCWYuHrmEZtUG3W2,1
5fmXFGZMfUmQX4invEbMFg16cAf6aSbjNGzMFUUKPne3,1
F994h3i39bJVF6btEaWpijb7PfWC5iFQ4DyD3A4eeMZD,1
9Xz53mqVJdGcz5s2gJz9xcA4gPaAbY3bTBuBNneZpCZJ,1
FfrvJFVapdJd9rjb37x3rjsbcQ4FQVWQP2yPuQVWbF5p,1
9jjwAR4u3r9wvMygG9yzBfVkfVK2CiWCMLjeCQrRwFiD,1
4ek25KMj9XJhXHg9kYnz1WhM2tYgHEMQFwvhda3i8Txk,1
9akNEG6ehHFNcjFRCRr4L6UE1gcmZb4rLuEmsXWPSPZD,1
9xxzx1fMSXk79GDwmSaJXBddPjRd7AH7FcqiE4BnMNxW,1
A7aWuw1wktVvm2nRC3D7tYFeC2bZSczRf4LFEKdEQJMs,1
HD8yVzkYbRVvA7PuWo3rzgM91rumhmRLjZr8GzfGt7TQ,1
G96BDGPwUBkeRbZi2pbnp5fK5HrCPV8D1MjzFVebf8Z4,1
GnC7afeZQHtZJSoWBAcZHJb6xfp9rb85JGAPuxm2D31e,1
HHGeK42eKjTwWuo7Luoy5ViakcsTiNdmk4DrJXvihyrT,1
GYf8xi3nAHP7CbgEvYfyEuuBSdX28ksgPPQ6Rv2biHSX,1
A7fCYoNu2jK4KMUtmP7j6skn6xgizJdYg9CAFFbZyugT,1
7DqCC5jP6iX7GS1oxedpzPVkk3uAH1gFdJ5KuPs8skzX,1
31tZH4HLCZNRsJPvRQC64nZqaNPSkmEP15qh7HE7bhSC,1
