owner,nftmint
GWNcGB9az32tcdhtYtFEBpcCUky4mh1uYarrudvAggnP,HC8FwFkeVduGrS15gyZn2FDuQRNH8yfqr1ugZUJZJ7FQ
Ceziid5Z1wsk8ZXkcgu6hYa9sKpYrvTydrVrHBakaQtd,H8UdbGbLNh3r5Hv3G1wMoJ88skAnCj6xPnrh6pcpVVsf
8ZpeWfMwUo3RNmdmAieVS9Lw9FYC9xYVfapwxsVNG5cv,H7yngBPwp8WkiHh1W6xDBC64hS4TPTcNqMXBXZXfswgL
9ezwhqQ99YzpCRQHahkYPeEtCYPWRqvE2skp5buTxJ3L,Gxx9MwqjT4BaYmBJp24R8dTNm2SEEVT2Rwk6zu6JcPQj
81eg7veeFvFp4bnR4PNRvZkj6FgWbAertgxkWB19Jfr1,Gvt5PnXu7sGmRzDXMmXetwpZ7Pa1MTfpDhF7FXxgvnGR
Es1YghGkHZNJ8A9r6oFEHbWsRHbqs4rz6gfkRJ9V4bYf,GsywPmhFBF5HB6vRgEsK2PEqFxfucMaudL8gbkusfZxV
3HS3mjdXm8yiwbX7uUxKr2KuwLCphaQSx75rFXzFEi6z,GrcC1TnBBighPD6GQbt6v3sTJJThQE3SyrQbJu7MDAWg
GhiWAuvTDiTy4SQh7ZKsc58PDeYeztnwZMLzNv841cNo,GiDuC7CUiTKts1mbCfAKucErGNU4PJyTBcLDVHAMocCD
6r8pxTYmSrBxLc1Akcf5VrfNRru6dtku25sKtNcmbhEX,GesTgEnwXKr3YSaujeVJdscMvCXgsc2rEB9n1MekGZzi
2krAv9SrazMzg1Fc68jR4rz23k83Mc9mEYNi8xacv2dk,GQ2Uic5XxdxDvogqJYB7qH1aJJuNcE71Uhp7SPTdehpu
HLVUXPeH2bQLDEhswMqAZLpDtfXTLDS1cctAKQEUr4hk,GN7YvJaBCGToH31QuZM5mJJcqZ2rS9PR8y6CFbK7GeWi
6mbbxc5aSkrwr4vFS5tQHQGnZSyBB6n4yBMcC6A9aMBE,GHfioib6gj7m3NZWkZo2uZV6F71zxFXbRpCfviVyBA7T
6k6qVRD4Tjc6ehRRapKDY5iUNBdSaz2EGY3vL2wV5XiC,GFzAHaNsthZfMhkNrnX6FNoBr8JfoS9mG1xVt4FpsSQG
24GVVs3KpEMyHbGSjayUxfSdzFu9jL2vQjEW865kTTXu,EjoyRE216DtTraxwgHpZyJr1oCajEMVNzGP8vg5vhY7f
4f27WNrJbC8mz737wQuRtqLVvG6fqAo2aeZX8s7dc87D,ER89BiEGW727vU6pN3M3JMPMxsnAoYk9G5sjfMg5N7vN
656UNGUvoGUUxiXcwnqyxdtk5pgXJfxV1RSS3zpSJ121,E76d2ZSWm3WEqNALV3Yg61cJZha9Gbje3e1J49LqB1bd
25TqXN4ToREvj3CVYJcTP1MWbbi9Dd7uUeQ7uTW7pmnU,E6MEprwueRLhYwsX24yCbjuHMutr8yEW7L7TE1sstL53
9Gxa5nnpugzBh1D4A5aA1htmbKgGecXXGb7NVsShaNVK,E25azHCfZ8jaRyKg8wvgeV7yoWuUAQ3ARSKBda7Er89o
5d5kAwdEY2DL5MRMkxbha13i2FGFKnh9DXCjSfFLCM5k,DrHhNeNSQCSJfU6Czsw19pZGbvRpSmXhFRzemsTg5peq
E3xaLmoF3BqomfgA1vrPcxw49Z9aBKhwQvjrFMuxXdjn,Dh4gUmk4Mwnw4WzmwbuXk4EH1DciZ96ErAUS8gPk65J2
G96BDGPwUBkeRbZi2pbnp5fK5HrCPV8D1MjzFVebf8Z4,DWtY55WcYVswcLteZFP7dmoKCEiAfvUDRSSa1ZonhaCa
B2NiB14cQEThA8UG84B9sKb6LoFdRrTzLUt7NxmLjYzV,DUz9A98HTmCCUTAbGHt88hBivqFNrPucL52xmwd14tb6
4Nt75eeeRbdYwKYU6cnZ4RxSEXGhrXT6kW2JaAbQ4WVG,DFiPtpH3LwfUQEWSdRg2JgvyeaFC3FxGbnFrH8bu68iv
zYfdPVdWFnvwTDWc1FA1kcZhnq86yF9uhVxXuuq9YUe,D6KiS7ainkEkFedC5QrSZMGHBKS6NY24gzUE1fWxkp1Z
7ydTrw9mYs2qfasAuf2hxJ54CjBMG1SSbU8A5e3vCqe,CqYXDvHs5pJnEAsdisrS4owVJqjzKcGeFXRvL4U58W4a
3soRBGBjj4aJnQGvbma22y4dEiaKssiFMygcx6j2h6ap,CjuoviyL5BH3v1oqT2UFk3xyrRryN6TJz6fjjfT65k6f
3m5FkvSwLwwhRqeBVdMDtvKJ1LtpYQvRdsq5M4YxZcS9,CbcuWrKyvcX6ti3hA6XEQ9SqecUqvy7hTtSuybKWU8zw
HGx4BdmvCVNPwxLDY6iUR2hvdHYJ9V3mSHN1CiiCxt3d,CFi4osfvUEgPne14htTc6f5znSyaooJwUNnz9L5q7JRf
5zTm1UsEjys8itdc3WAsWk4xp4MsK9sB5DfKoy9U2R6u,C5MGGaVf45ijPqWSDS1D15AR6hUefUFpFEgyZFcPveN5
Ffuc6Y3yM1jHcHiXAqmrRojacvXdXqwD3gWEBYcwWjvV,C3C7yirUwvjeowKLadhadgky6MvTFwqHnFiAGHFSEpvx
25tv4eJ6keyVvCZdU9JxrSRw3nNEMNYq7EbZ9CwLb7vD,BqrosdkXSFxqDhkDLM18tMnSSEN3pdr4gCT2gER9QFrY
FLERPtYCG9e3gFfMxrhavuZcEYsko62tPBEcsr6RjZ13,BasxFN1R3heszSag7FAERZUjBKEs7nYKuiaxxFak6khd
BA54JLEWWntAER5uhWjVfCNHinkPjD6EcJDfeQf3C61U,BSNU7gBA7LSGh69aNADYYSVvkETA1FFh9vxcxwh6pqCm
51xWDGGKj8YTaTpxFwmU7RnEQPTQ1iEcYLDpAB91tAYL,BRuGUVDeahRdufVx6rrv5et4AD4UQpNt3N8nyiLqPKTK
DGHNsFDXk8p8G4NYdgoXyZ4SEEt5VjW3nXW1BpnD3R6,BGWAp8MXoHWABG2b7a7dhQNX6ggb3QcZPxDPvcUZmT2b
2667eLcfUwNFnBu1tHHdjNMGqVBkhq3iT1Uq1QE3xNb3,AfVtHUwHox3oCcxS27v5siHxYzCMDtwSyxLJjW1pJg7V
7ZZcPUmXWqMraMcFiZgX2USiftaYTMs4RCEshYhyfPoZ,ALidZ5Hxj5XVxWtpqcf49qf8aJi31wpcdQApm3owYRtw
4DxNof5gzWs1KKDjLhZqHYk7XCHRMc9gHLGDbVyqqCLR,AH4K5eb5nMh5DDvuz5BuuZHE8hLfV9NUwvoQbXAz8i7y
Ez2U27TRScksd6q7xoVgX44gX9HAjviN2cdKAL3cFBFE,AA4sDem2Av25VVSLpiciSUB9Gid8tFBGqzGvL8UKnCqa
8NGWUn24LPkjyAGGHPcN5ZyyKuQmQSYARXH29Cb9633K,A34L4bHVuN4e8usjHUuzw3hGdG8dB14woLgvbKa5Nbun
HYhTsXziCYUWbEHz6DrWTDdQioRtUakpdV5JCecjpTmX,9ykcAdf8yukHtXKV8Z693DcHdyMpyFNc1Bg76fuMkJQ9
4a4GTd8ZMywBZ64nJHnDwJcy1ioBSBSXQMTmu2fv1omS,9yQsnJmqGPof5U8Z7RjnLPnUJrEwgr5dt599agjoBSVV
9thcyP7hYuzGNJNCtwegjic1sHrzPBZnD13cPcAaGEVq,9VveVfU8Vfprga6waE4WvxzxWrqGi5x7QebPtRe8AsPT
3e8YuDuo5RrZramozKXK3iw8Y1x5wi7Yaux4E4rvih36,9VLY7Y7BgVVBEwnBsM4A8CXwydNYm1GDL4dmZUtsRzPC
J8wjPkEzDYbon8A8uFx3TyYaKHUBZYrzB74ShHS19bHY,9DgfsJU5RXNSNLkGJ1pZayc9HdfUsb2N9EE8LWvEyr4H
4DZi2Ztr75MdYJB98kHcQku1E3MwCVUMBXoWVwsLbUZk,98NH1VKRjWC6yEiJLQ5NRLgMwMtdqFWyU8QcRbGc9W2q
57Cuyf4wAebn2w1eEH89nUrf4QxMrZoujCj4GZAumi5G,95rHV9aE2AnJDBLAXUDUFzAGQpoQexHwVHnYEm3zj6jK
A7fCYoNu2jK4KMUtmP7j6skn6xgizJdYg9CAFFbZyugT,8swMcv41AHuq2GPqF5QWWMeX7sk8BipFs9CTBmTY7Xkh
4rhuog8U12oPGt6SBq61yV6j5oMDL1WdoYnQgq7qAwyC,8ictjZwZ2thA2WmZuK3GqqtRKdomaUUwctVkKGr1vg2n
8yMUDVKgYVQ9mXwwsifkhvauF3dxseN3bv3Wye55ziiE,8bcZ1X4vXnApNftHketPLUJsT8wuKWePZfpWvzvEdcMc
