owner,nftmint
BMquu7BHXtNokuW5Vaa9oLniLH32bddVtScpqQnRRU3E,JDxtG862qq9cYHwZusEfg9YAoW2V2ErrVpi4quV3hMgY
4UxDXJZMGvBFjbEuXVeuBBWsCzUSZkWf6fVG7Uw2VwQm,JBvnPNe4mqq35GMe9e4UPdmbRZ2wjMKyhPVDmq3HrVUP
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,JBsNWtdTEvHhpzeYMQbaaV15YRWwQdxqpYLsfXyfQXbF
DJw2ccwq6kLr2hjzfYqk6rAdoeJ5KUcsYRHeF5eWN9Mv,J9F8VUSgtHWwyNxHCYZrYHpXhR2kg5BMPwvxia3Jyd4P
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,J8S8KVJqYaxhdsf735NngTMwH2h5nLwPGsXtiCF6sMAj
4UxDXJZMGvBFjbEuXVeuBBWsCzUSZkWf6fVG7Uw2VwQm,J5d8TRmkCsMWa4RHupy5XKwvzgkeabZbFKNF8dHBnXKp
AMhZ3f2xFzUkqYtQJBYCFE339L3wshny4mUx77NAYqsX,J45uC1hu5YKkD6UdFWsoMvWV53e3ANCAXscRqZuPwzsA
9LvbZ2DCFbe3ePW45geMpCYNRZPMpydzuauvPUiEmPxK,J3d8Sk4Vz5seKSKRGbHEExvENFc5hgqAJRPQy8eGJ63n
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,J3CKjRnXqNinVdzZdYUtu6UNJ4U9ePnWruDs5PnVheFN
9bFZXi7h3MMuhUYmZZuYTMZvygxe4EL32SRwhRzQNUZC,J2tqigM3wDccoKcBTxczdtos1xWV3okRmmQsgNSvijwN
BMquu7BHXtNokuW5Vaa9oLniLH32bddVtScpqQnRRU3E,Hzdi2QfSSNW8p4gjyhCFVy8mrdH55CHJgUkXpbUFjpwc
5qLUQwffcHESZuVwjDYfzj7YHbZfhGeeTSiwF2aqEETf,Hy9DSwoyxCue3kedZx48W8MrtSYfyBTugDau4VcWYxp3
Gh2A8hP79DNMzVDUYhNzDCP4UdTqFii4nY2eywHSzaTw,HxowY22KAwZmT2j5g91rANHH5HwXaGfgQM3Ph8SRitad
FyhPPXUcYj3hN36VvfJrp3mALMYACj1eoUu6TWcov6jg,HxWk9CF9jhAmv6siQhmRpAhKsQDmguTjJHx6xc1T5uHt
HoGcbp1abDNPfRcbtHmMSjxkW7jJxmKrdTtKWyND2VPT,Hx2o8jAVf55LjLPJvPkZH9SgMHEibq3AwzMtgt7q1awf
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,HvCqUF7PLzwMqPszTeSngGZUDY9qwdrppX11bMfAMyX4
DRSDyahzF3kqAVGN2gFBLkb3mxiPjTuXQKSyDM4sMmb9,HvBjQSjth5Giu7rMy3mBLx2698ipgcbomugXsiBrNp2A
4UxDXJZMGvBFjbEuXVeuBBWsCzUSZkWf6fVG7Uw2VwQm,HsuDBWUNCxmXtGZamiK971jr6YbhnYoBZujNsJYwzXi2
AmoRXq81SmTSn1M2ZMSo6zuzCjrYAkCVimZWqXAgaLDt,HqPu3VjHJaMvHufpzEBMmSLmGaqYDzPYxN6taQLs2CYL
bjPxWFQnQiReyoM9JFV2mkqWLcBkSLTWcNEHzzZUiTK,HpacCDnPTEE63DhyVpuUJQcZqE4UUt4hdQVHjQpPJcL1
8zpK86dHcDsu19KGt12CoprL6ECgCLQ1RNRxRixYHhEo,HjHqVZSFaJyoP53jckjCoiayudCFUtLY9KJdifoSL62J
4UxDXJZMGvBFjbEuXVeuBBWsCzUSZkWf6fVG7Uw2VwQm,Hi61wws39BwDHqAatai5d6sZvCVzgp1QcWpUpLLFEzzc
AtGuTwYkrZnUPsKvgqAF2nbQ5iEXyzo5M667EzAqhVyA,Hi5WvkHGMiWYYL7f3Xz4PmirRskHgLVbsjG1Axyei3LR
6ZDWQSfHLr8bTeLaSU5wWwWdqmoUUGMy4NYaexySYzdY,HhGDo3zrE4HtN1JCK1h4rt2RxKCngi2C5ckGuZR6ZEiE
