owner,count
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,333
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,203
J96NdCtkJrDTPAJUGnUqY9ZMJSnHA5tf3LeBvhHXfWkz,200
FzefjLdBYcRRz5KuwXftgnhJ1mDwLEU3BYpcYMhBWLzh,123
6jf3aqELRnjpBpgS6YDt1tuPLw1xbSYdd7HsF8TMEKY1,86
2t2HBAeT7odXbKG6rpwRzsvKBSmaZ5iVv1BXk4fCK46z,80
BvPQsthXAnMcipXYv6sBrvkdgVgt5Drzsrc27p61gKVB,69
Dt3UgdJ2kFag3Dmb1DgSeKgYSDXBjnhDkVoapPHRtbXc,50
4desjhNoZdAib3LK35cuibwF1oputiNrDq4UZ9rk5Zku,42
G7RKtgDJacYbBdrSW7edvLtQ4DspwtN7rkoDcJgTZsU9,40
3QQJ6eS2Jz4Vrokk2X3pdSDgPQfbpC2MwmgLLdGKJw9H,37
DnjfXUkDJcF2B6JMy9T2omKKJnz5JmB2dzQ6j1Ar9gNw,35
12yhqBK95GENSocv83WHojvrKWdxJzJWRE5riXDq1eV5,30
BFtq3RfoBXysDeUxDbP5rYnJddNeHXmMzTfTRPEHbxiy,26
As7VTXqCBgLHkaLKCRqQr6ixdKzGru4t5MdXqnWF52it,26
HyRNkDZBM7QbNwtyt578QQkrSVfBUvB17CcwokU6Btyy,25
Aoq7hjRNX9oqdqkScnynoXjz5cLXZpBawS1njjYt96bm,24
Dg7AGBvLBk41aow6FZKKKoV9No92YyYNr7ftnhmTftBM,23
CfbC1TahBkc2hywKq47cVBpyYvTGHeYqAghMKNiHvn14,22
759txpyhxGEYbaxE4gBRG52BGKbxdQcpM4ognqwbYKJb,21
4rt7T8Wv16rS9pey2sncFN2ytunZ4KmBERixuDnLipcy,20
HoWuKmdWrmqWEDxqjLpWxSaNqfVZQgTmD1mpb64Vdq98,20
3wFbbofquY39zLj1B7teejaeSV5b6KH65nmk9BffBpns,20
JCapwSzWyHkjuVrT5ZTyKwBHzV9oYrTNhZguAMc9PiEc,20
8mYW1ymYcYFLkLLYqa9TeeiELnYoJRdB4yrsDebxb6f6,20
D2wko4M68sNgKK82UJkT2eA6U6YMHjsrWPHwCpgDEufU,18
95oHc18YoW6qnuPD6o3VDb6d9GUUYmYuPJcWwFwsgDC3,18
BQdDbSnjnShyQ2Nz4MumgTUywPsfP3Uipbbwt3M2Wv7a,17
2k9Rzmbq94tBqwUFHcyw43XNWPkRuFK7dYb24xztGxNr,17
FRjhfr5DuQ1LSiyZWMdxRhH4ouEBBP3UZDPQaKCsKoxT,16
FfrvJFVapdJd9rjb37x3rjsbcQ4FQVWQP2yPuQVWbF5p,15
72Jrv1aoVdoUA51Ktw2tdKrwWqUnC3rx7S6e95LdTzch,15
9c9MGoTfwWyqRY5E9ZB1BPUjhKxNWyunhTuFqTFetkPY,15
893ZUEC6shnn8GkSEcTohiz2B9Yc7o4ASGatYCm7YtVc,15
GKyBuJdLPKRJwBCpJcY5f1CaTN1PDEAfbSvUJobtuvEn,14
BK7SvmuNx5DVQY8F15fKYoM1MwurzFTydRhcjhVeAAhx,13
Bevy5eT6y4gss2j9ghgUnFQRU6p7BhjAMz4JvQPufSzs,13
HpNsjmBgJarce7Sb6uTtsaoHJxwP1yRyJaMKnVHJtgfw,12
CYMWqMR8GxWPJnR1HmadjE4mqtrhd7utaX39QUvcfxn6,11
Bd4AHKGxFTT4w3JLUsdx6Q6gCP9C82mW8ZtidCNz2cF1,11
op9p8Cs4yFkTVsPbYiZmSFfYAzt7AYf8w6wwdsaE6BG,11
7hF2t9bppkN6gGwkBWK2b4thAEvSKndnPXWcY1xSxxPR,11
E5aMF7H3aZ9t2bc8dGyiDJyC3MjCKgVtauJ9BiH9BDWk,11
F2Ae5nFCdXSSkXkfGVEEpy4k9X5qaY92JVU1LT4nZAGE,11
8ZNzgdbejzJMxzvsRSqzvXfLYwKVHVY5quvs9bJtbdSx,11
GyUaebVe6jQ5w5scixWsuiVvSep7hoZQr1i2YrFa8wKY,10
3ogCRvkP49FGWvq45HYHYzs4vsmJvjzRC3Dmjm1Kmzt2,10
7VmRtqmtzZasa8z45CCZAZwcD4bXJTKCdydo3EYhVAsV,10
3RkUTGMRLvYCbTAiHJ4J3GBHPgadAywsofTstvsNmKkF,10
3Yw5CR8PgVyGkyKwFity9Uuccz9Jwvcxhkaf53Jxj9Dy,10
GEtiBSDajZUdqrtT2rNdaibybHf8i4kM6xVjC1AR1ooa,10
BusfckqbS9sxfBP3tU7EExdpGLX3EHDspaJWZectEwAy,10
9xQBJeh6spipbK35WH6mo4U6sAy69BjwpuhLY2kQbymr,10
J8jWKjzsWqggfYy3sZviAyEyptASY7tT4vchhZFVRsKG,10
7cLNARWAN8yt8sBMcJq5TdVvFKnTxg9J74xbQ4VJ5qqJ,10
aGc4KvhoC5HZXqYfY2eMb19tUe6C1joCs6HoeAUECAa,10
yZ4BVT2Cww311frnyEXP2JN4GoXjhRMZySPFwVRtZ3X,10
BqAe2oQx9PMdawKAe1Jw8PPwWsFCfiLG71Gg3omU8u1e,10
Eva75rPos7o9xRhYgDzisxUA6fMfHTuTEgzHjtKaD84g,10
8yj3BA5DbVWTCHctAMgRbZkcYC5kCJRV1TXDYdikuo1w,10
3iDvqFVtDJtdqgU5GXLcyrrFYdsXrzED2onczoy6bWqu,10
9wdtamWP8HyGBaLfphXsrocuYaSUtm9aawtxFG9ZYYM1,10
6Lc88JhuxY35x3fR3TpTHq3wiAJLFGEKBZ97HaY58ej2,10
7Lm2QWdZY1gfd7BwXJ9uPyZFSgpHRXaSjnfQRUiwoLHs,10
J9Hrewx2StNEYmn38Wt58eaoZVRXPkGNdrqiqczWLFYp,10
6hMLv7TCL4ypLUAKPZmGJg2qVQbpo8jqbtghf6qXXwrn,10
CY9bnoYydq9Wyk3RcadXKPHx1pdaPyHbZ9e7vzfWYQvW,10
9Z1pwcmpzWnUg9ixsB9W8fJqXWcm7ToVekRe5NC6y34J,9
E1FY4qkfRsR98duQXXR5Ch1SXj7yNjcrGLoxerMsXn8A,9
CjXLn8wTX41UGX2wWXEZwY1M7zGQn4itSjQg4fFaxDQ2,9
AnGXsoAPdNH3rWomuRLXQaZEKi3KZMTnRXpYB764Ub5s,9
BFMRMgPKpKWm5dAhxp58NPPYZiJe7g1aHM5eg5ZFH114,9
FhJekFvTeme9GU1aLwQhrLjKAWxitA8EgqxtCaxEqwBN,8
D98A32DfhzB3Md357JitDjvCMRJzB5ps5vzCtnX3ehxE,8
8qu2u8eK2kdKoDqgeDhNScQLgisqi8WAWTwLG3JheksB,8
AyB5fajgFLmMbhyMAoLr5tehvX3Mb4xm6kAFRxAPin4h,8
43z4ezLXVw6iA9df2oPiTbVcGTa37gFhMcSmdJkzoJYr,8
3ZeBooamEmj9DFD4KkkbBiJkYwHH1APE5LNwKDgMYb4h,8
H9GQDcBMNL8K3fR6ufnFrp5mcrg6RrQf5VaQBxKr2FG5,8
8YtXyV3fQQkXJTty3auzW5bg1aT5thQF14VtEcxi3EFt,8
9m5mDcTHBxd5H4xnRxBbVMqH9wHBkaxN61VnzxSSXrbe,8
ez6u979Kis4N3oALByozLpdYmZBhLyZiKEx7D4TgWbF,8
3kHhBReGdsDSpCg8dhxis71bBJcv7xtpLssckTg255ze,8
5XptYj7HG1jdeuMdAnquQ3Lt8qZ5z4hbqZzrXWGrUdkb,8
AchcRZsRyJ9MdTZDPsUyo15QEypKKKyLeitsPYfiYvyg,8
CSFDK9FCbJYTahbUShGSbttxnuZxqmy7ACHVxGmHPPps,7
2x7wXEg8QBdDN2zEkvxh74ceq7aweA9KYq5EaQ8dvMTK,7
AcjHe7ku2JPSYgQXyDSY97d16pW1YarvJHo1AND6bGBL,7
GTN3YrL96zyCxGvYdHuDK4h1aAXWjRKe83pFgPnqibSy,7
H6Zd5N8qNzWHFV9zxVrokbrDtA74tjwv1Y61hqMHjRAw,7
1452aLWngFLSAhDTkbPXDUhpSt7bWoCgK5vU8fBquW2p,7
Ce4WMgX8tWq56pDXqfhyAWfvH8WjpeCMYKmpvwjGz1iS,7
FycGorwnw3QzRr43qa4mg9aaRqbkd51VydqXyA96u7qV,7
Er2u85nrcSZjPHCw6Y3mXpt7kkbJvzwxz35xuoemp4ke,7
DjXKETEYzkkG6YzegWgy78vpaPH1eBxaiGTVoQrkQNFP,7
GuDWvGPQEuNN9RXaJPZ9d3HS3yypsa5e3hpVmqCKfRb2,6
CCVYSkx4BFzhENLTMVj5HjovW75ENf7kWG9RB24tXrhM,6
HfcNgcF5SG2VLxmxxcYKCVdCgScsYKJ6kesE5KvB5u5U,6
3QZ6nZggxDZh6tXZALLBAc4xydeT3i9B2gfP75gqHa1L,6
D5JhLAUmrdNpPbutVupo7hH2aVfxjgyUMb1B4jE9WhYL,6
44tdKa5AtewL3EGuJ6ax6yMNGXXNqUCtPbK8VTcD1cxo,6
4aATgMGbxXmnTQfrjGPZhLon9PQXexM5Y3QVdrqFr4j1,6
ArT7JAQYc2P6az71yCUbJUUvGjbdVxxb3cYYun6gW7Yw,6
39yPbK3kAJvtjAZtr3zHsEbgwGYURLEUaZuZ5A71Gz5d,6
7gMm7GK8g6jPayj8VZ1aYcjDtAfMU11CrJwvjdKcD3a,6
6t3DdxMLyLQRbM9VNrpgvZbzKrZLcWg3x9WwgCvF78mr,6
HuWbaW6fLLeoYBhW2Vhhp4A1kxu23Gfd2ESWBGyoqEgn,6
3zkyEnQnYhsemGsobPvLRzqNwvQ45iH6fPgjfMWXDzi2,6
JDAHxrSf2HoWEUG6vNobPVNXWysgNAFCe4xEiHBuTH7h,6
3BYbfZU5dHPyZUKXjDX7ecMFodtbbvqDqXENHx5AWtHV,5
CU4Wqc9pwbjTh7eYBbFFph7GtkhL8fcuTLtcFcsmb4Dy,5
8Zs1geF79GZ85XnDkX7ky6J3pGgvaHhCNprpvXJnG5vr,5
CZjJeNP3rhFehdgNfd9jqFogNrkP5MG36JDDd64VddnL,5
BHBa7so27cAr3121EUoAu33UqYPD3431xGPAnHxngjWF,5
GMac7ZgE1TFcSyzNoGEtCVzbUthGP8WPhP14BY1jfmJj,5
Btq22E81JJt8zzb6mcDHm1DTojcQLn3r1KdSfrSSisvD,5
5Cf61hr95LHm3uJ2SRWPk5FTSHyD1NXXEaPv1ZWFerPD,5
