owner,count
3ukVQkntQ1Ydosb5yMrwA7xuDbbRij2JNSb22zYLWCQT,191
8Q4fYfyDCD9vHBxYqdFww32SBSVWFy3N7mx5tyyj5KZb,125
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,85
B56NDdqVevb6K6aV9QwFkNN7VgNY3ZdjwMMCKSHZzC6L,81
,79
8b4J7eyDsjfv3hJE4GKapKniYkMMTV7o6QP1LCdN6NvB,68
A1DZeL4TBtGvKb11ei4eBoAs1aRN9fB6wjgkLY8ER2dg,59
APMZny84AZDWCY33trBMF9noxrLAMRzH8Yanau8hn6Fs,58
5bX34x84ZF2ZKaCDBTTjxLwjdXghHdaJM3Zx5dkmS5mf,52
FRiKTTtBFCraXxAdN9WbE9gHsJHauHzLKf2t53xiyFRR,51
4dGYLP4sAsAY2oh71EXbq6gzhc9rT4RgcV67c7gXcjFH,48
9B2XQw3LsWph3uVhvJ6A2QeoR3L9vXmYropY9JXvzCva,44
DenXVLRxRR3yrXFzwMEpnuizCcP6YMpaN9jUdZy2N8hB,42
7dy8heSXUKaX3nRLkQ69NetzQxZYNQgUQsCsvTeV8MVt,41
33FJ87MowgDpeQQr6dhq5JwPSDMLPxJqESdHrQhDjWvM,40
HfMJnuvr1xpAm9Dpag7L4E1ewtfCwF2arXtr5J2QaJrD,40
4bbTZsvGrpcNzQUuE3WxhLg57c3HRxuiASbknACQTBW3,40
3HpsMQv5vnUHW3Pc8sbU8U3KTGVd98Aa6pJUu7zgQwzU,39
5BCtw39vXYiozpUurwKw5th46T4fu2nMTzm4LNnFuwC8,30
3oyCS1kQPoEnQhJzfTq2ATp4kc7iy22JKKojCPAFZS51,29
HTYoq7MeLf9ChHNPvDv9yPe5Vwsn34pmyA2xJUA9jeSg,23
87EMKVAPndRqD2Mq5jJHuSH9Qcvx3kLURHR9XzdMpptQ,21
7s6g9JGg3P5vZMnW1NXqfCWMhz7q1ZYrJVaQL1CNsqmk,21
52mA3o173dBNEH2qRwRKQKZtZAChv1QXv8pNHX16pzdJ,21
EKdKuE44UqsVuhMARRBvXDxp32dXDK3eKUzM1CPHcfsT,20
46HRYafCqKcAaWzw3H5QyXuEATGxR2v3bgQYyW2mRRdb,20
ZE4LyYi6TyjoEs4yPvGfCfXYAbmkptN19J7o5wPP8KY,20
A2jMES6mWyKgzUdbS33ECAknmjwstzdpS6WFAbDfKU3f,19
DmsFcT68wqampP78Hm9E29DBLG99FuZJJmZAYw34uvrF,19
FBUfSHC5vyH5GYiS8GVnnhq5vFXBxnurDn5j56TCjfdv,18
G6bfDikmBmntCLcLdFTQhZ2zhqcuWygDpgou2Nq8YqX1,18
7RpPUC4JhbfWKC4P1cbGpCFWqkiiahjmXciijvpYnfcS,18
EKeBStmHfjFBu3RHaMCtZivjUvBwVmeNSoVthJGoXyEe,17
7LRBhNG6mt8rtChxbi1CLEAxUfmpr3HGAWYgZQmTuv1c,17
4vt5Ey7PJZqroBiDEJ52YY3jfYfZtqEmzSLsugFiLpnc,16
5u7YxcfWvh2wMf5yQP1pujNmxQTohzSgp1w3umJXEASV,15
E3oCYcv9yDgwumzx4pCe2QoLUXoftBgb33McjLX1yckE,15
82wrMM7HaZWRyQn4tHLPBVgQSb9G7CQdckhgNmUXn8BD,14
1v6MRkY4Z2dBAsbibySvuaj7kXssvJrvYefLbSsWdzC,14
C82C8jRXM93upcqzK4ftDfdyfrtqfmNEiW5N11Zzwyrs,13
HMoZN3FEvxuecjGETQMa8EGPsCvibAbPfXP6h3cL4E8b,13
HjhaWHdqskx7WefK1erGUtMvMou6ANDASJ8PArZhH3cm,13
39Bo9fbqRKNzZvi7FftYbXdth7X8qSTab3FvMobCE2pk,12
BLjtsrixbNWyDd3w5z33wyrttZ5MoqweSsnUJU9CBknJ,12
ErvEmQWHfnvJX6D5VkPQorEWKYf2kKbVBemXLq8WzbKK,12
ABeZH1Hsivkcwq1Kngy7iqqMaTjC3Mo87bnrw1ytp1Ym,11
HGDgNDA2zuYXdPkiU2JCgQ2h8NThYFCTvV1Gp6Q2vyw7,11
HuFJ34mrFK2LCwgaTL8vBr3m7tZ6QpNFCjr68tw7wetk,11
J4BKzARbSSrPYUn417JsSRnHHwNAKf6YVeQPpokaYMnQ,11
7rvBfawgMo7BvPyT79CaTXwPSWycrFLqLzyNZcT8PmVe,10
9inbs7UHB1kuQEt9BoBaiVvv8PoznY7LnEFaAZXJXtpo,10
Cp9V3qLnjjCH7SNrEAtjqywqeztZKpXckDK13BA3EBU5,10
5RRzt5impbDhzGepEZj44JqTu7o6NmXNRKSM4rSQPX1z,10
7yEKqyfRMMw7idsttmkqXp2Jtc1ooDgT6aZ6jm3Vmqgn,10
7P4C8xShndcnt1uUVdNUx2pxCyzWLaWV2tCypiJn1Wcd,10
6zr7XV8KwBk7R8JMj4Qt7QK4RMN5483mJ34UuPDDKF8X,10
ZUUcxZPQkMGXyVpQVp3YUv275T7yDUjS65M9i1noJNx,10
9xdoAzBMTQ27U8jQtHE6CjZvQFRGNpdv6FhA4GHRPdYn,10
5FsrWC3vE2URqvP5G78Rj1V5CmG3zyYLJkxTFyYgESo6,9
3ddsSwvFCpKUNKCtDc1tXJWerxPCooSJDmynSDjTnkof,9
BgcHttqUndz3koLtVUqZELci8hfFtkbzJoxh8TWZJHVv,9
DyV7Xc8mf9ZVHAvNnpnNaUajhys76PCyw67dAdiNTRwF,9
6ccHryyBkCEiCMouZU1a2MqZqgJA5NU1gkmrS5L9ajsf,8
GmFonBFUe4m8YEmd2rNsjxFCV5nNwFwN5s3PT1tR4rev,8
5Mic1WZXEySfSaeghLahBkqbS52i35vwmG6eAPEc3oph,8
4qpVA22vFmP71dbqC5n3iRchbUTqWN7ToY75zwCYqge3,8
6y1y3iLYjcAyhoSyfsUNivkWaQ9YcXoXDAt3NQ86S2R5,7
8kxXmJJiBFosC8qj6HSu3tjqhD3gWVEdN459FWb1skGK,7
vCGmz9PjfTrMh2uK23RkqToZ1Jn2yc44D5KiVNaMt9S,7
Bry3WqC4yhHtTxKwk7oeK5aeadEqHtFnG3AtNjrHXfyQ,7
51o1kfbAJmEGuCbBg9sESpqemPwZgdaTc46wRQRWZ6WY,7
6LgoGQ1WoToJsJpzzUrwKKu3Ah6awF2JCmrxq7W56pgj,7
6tzGsLw4DzxFw7vXsGZjkgYxtRukUyWQ23jTTVWgvKXZ,7
5xmBzAQQ7TA2QaP5KyzRB2RybovQihpxegxhzjXEELFk,6
JCt4utCioxVq9YJ22qkyPfumcWbwcitcqKijj1FJKHUx,6
2dAC72r7qBA3sxakqSNg5RytT31T69fuhDw2FrvNxGSL,6
B7mTXDioBJsmP4tr7ShtRGCr6jDvNbYyLxZD7nz2c9QJ,6
A9KHxwCgS35QeVPBqtMvXrRfvLbaPXtad57GiRaDJ5zM,6
GCpdCyDoga1UhbKFk1kMBnDhhHWZJiXWT78CSsXkSN9p,6
7qys5ohMtxjZ6YyT2nBiux5QrNamjKG363DifSJCVSa5,5
Dzq4xKkitLrxEsC5zPmBr9hsbUL6oxmQW55SsRqBtkvM,5
BSBPUGW5RtxeXk3wD4Vu7szRdJBJBoe5yJNkuZngHaMZ,5
7dLXpRxX3pZw1icH9P7AxBC8gN1efkwSJ9Gt6BVexhL7,5
AHumNboiQrGr9ASM3Yqn396qMjNZxr1AEMpMwo5HD8Nk,5
8jf2oh46XVfatsquSLbkEwNNvL6W9w7Fqu2L6cefRrHP,5
BWCuJea51hJWxAgLAX5u6XsKjs22PfeJ77pfFzDHaLYi,5
5BwzhLYVkrVpoMr416v9yaNmhHv6xv9rUxCK65NifwqH,5
iCgittSbtE5NecVbUSJNQLNu9Ln2gaqky4n3uo66GzU,5
7CzjBhwh7CFXHyjLw86k7f63ZyJ8eLKR4b7onp4UL4da,4
9wZfVrquxEzQjR6fiGmP4s4Q5MwQFFTDFaGwJi762JLK,4
cjgXYtBG1N91c4nktMvg2SmC3nxUpGXr5JV7FgcZw9W,4
2YEeFacX77dSMVsEPbTTpXM3gBtXPtuyoqhbCeMjQ5rB,4
6tgfGvc6fYaZHVDKq4xSrbH1bmV9pXhhiZqvYwNtHaZe,4
AwfDrFQYKfSjaCEuu7UbyDDtW5LBHwJLHo9viGLRKRk6,4
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,4
349qENVgVzrmHS8MwH5UYdGQ7uSKS5K5w5PTrtyrSpSh,4
98x4kCEBreSSi1bLccGpsyz6oYWSnsrXjgEu1nxHgVG6,4
EDuKpEv7j2oUxH1PZiAyajBk2VfQwR2RiFwE9YQ9mSzR,4
5chK2zypY5hWBiJ8gs5wfg2V49NBGyNuypVhbQs2YFGM,4
66Aom3TUqQXvhoXtiHSmMXHfVT8zEg3z2dmTtFQRD1Xr,4
9vGPfVZNhdUfy9iRrMg3M9uw5zhPdEBwCS2qrjcPhbEV,4
CNcr1u2ABLqPm9Zvp8vhr39D4463ZPkiPQ8YNnFVxTWJ,4
FDiLdtmNPWG7JikuvgMqYF7umENSzqJJtoJHpSVGBnPQ,4
744TYMqNBjmRpWUBA3tvbZkS7W6dKz5VYigeRTkWAise,4
odpsYiKmwJjXXfZwaWTAd6uspSpbC6mN4Z4HJwirTEt,4
GzMVoF7wgMXsKEu4bDFiXBQibDJz5NjSR38PptngzDr2,4
5nBFfumxMQGc6jP6j6F3xJtzmvMjDGtWAnTU3XWRMHvz,4
AwW8emh1xvdm4JQGdksquDajDe8rpcajb1m5G1i3XxNs,4
CCutrzdqQw8RsFEbAWNrLachSy5umQJ6f1f9rqXYfyMX,4
HbVpCR5NRmXSZtbP1JazWiTscWsQxfyoneU2WdAR7Za8,4
9F91HmFYbAfMujt2uRAtV5vKRRC7GwJXuP1aBs9J69Yw,3
3Bq4YT5JhJdHspvk3FdaGKAFwabr2TNEp63Rhe8n82hM,3
pZ5yi8FJe6tgmjQSGtcKPr1yp6J1cd65P6eRebtYa6U,3
FavDQZFrutQvsVJLuHWVPknxA4YYKL3pSEdQ5dGT7mFT,3
FyxguvxMogMFQeZujPYf1UWH5hWk4r1n9V3SsevMrFTd,3
J38xEHfdguCqKkPtRkHoFzVwRZTQEcdSDhw3Cf6diXce,3
7QjpEYTntTZzdghCcE6hxKK1BM3s1Kyrtq5NuyzVE6sk,3
EAtBd3Bjzc4cmNZNnQAJyDo7sC4d26PoEC7aTFqJqpyN,3
8UfB2sfsFsb4B7xisKj7wYKWbQrmEd3nF377AaD9yf7h,3
D8u7z3LSFXX95vc97NotiPe6uGcxaMNMVKYU7DYP9nL4,3
4bRKJXY9EYJckgyJuML5wTfpxYMoujn67HnmMZdtut7w,3
6oQZnDeP1dzqD2ZhwqYibzeP2FAnZdxpvJ1R5msACu5Q,3
G46y1sADk9zrQStAxRu4W8ad1DK9ceccEzMVMCc2XUTM,3
2v3L9TKdU2PSy6t8LVWGKAP6SdkMNa1YN4SD5cd37kDB,3
9sJgTcsumo4Gwoc6V8i1P7p2RouhfFhaKP17VkUGZX9A,3
3UFmscW19Jmds66SbYr39CpYrfcGjoFnbGHPmZXk8Z1w,3
7pLVofwG8ydYt6nyhgsH46ZxchyUno5RgWBDmAeDBD4b,3
26N3BPGYnf7Rgq1X3etDwKAPWm3WJcj4XZQmdHz9sGKS,3
66k4bTVmj5J1iguxkFP2duMCwTGs59821C3cosz9DH83,3
HcSsPqbZevRR6sXfPC4ebbRoYD1391rL3iCK1cjD52QP,3
HYn8C7jiyawxxYjVwV4eUzUw2yndmHYDBZb7zCFScp83,3
7XTA9fghWkcT3rC4Upmi7egFqGhUBtCnJwNuRWHF3cVm,3
BkdwgAdiDndosGzCDJreCeFUWMuVwTn4q8BMSBWsMnLu,3
BF6nfYociJbQ1P297kL3WXAftnNwkVnfsb4WTM8oNQ7i,3
78ztHyTQviFMDWUYHgkoH4PvTgt2wtiHXrZucysSxiY8,3
D4JQJvYCHGpygknPBF4JPmSbHU1kup5E9uwBdiqFag9h,3
426eU46ksuvvEELGY4dkuLZmCTWNtR8yWvh2eszXmdRs,3
53CTY4qBXFwhoqSk8r37b9JkEg3NpEfJT2Q8uYbzoMqu,3
7mkr2BaLsRu3HVp23tM1USVbARKbawC6AWKDPAYAvbmC,3
DhfAkBZWMAmD6pYsWdpMb9Q7vKHQECv9m5eg6Yu9DZSj,3
6FpG1xuWHfq7FSMtjY8VZtq6XYkToLg3MBMcfqmkiP7o,2
3Q4UjHSntwDeGzBms8YoJtQw3NGcVwNKruw8ypkH9n75,2
6M7SfmBHCF43uLcnCTcUfQ9dgky5tYJjS5WEwEhApBDR,2
FwsHMoEpaSGCVNYxHVcZPgu6o7DwRDFBguWtwnP4xgtA,2
4cgUJ6zJtECp7NBz15ch8bLDCoAJujBNaQbHLUeTsgbt,2
