owner,count
BLZLBdGWxhRFKhti35WPUHHPsim5U98rTTRgj48xceA,2049
3ukVQkntQ1Ydosb5yMrwA7xuDbbRij2JNSb22zYLWCQT,1498
A1DZeL4TBtGvKb11ei4eBoAs1aRN9fB6wjgkLY8ER2dg,1006
BP8j4NFDsnD4y2EMi6XkFQP6DTVcB12VUpJvKEVMLXDQ,522
8Q4fYfyDCD9vHBxYqdFww32SBSVWFy3N7mx5tyyj5KZb,499
CyRzuuStoZQebUE4xQM5EUbvcHvMzGxgFes6xdRh9RiJ,464
5bX34x84ZF2ZKaCDBTTjxLwjdXghHdaJM3Zx5dkmS5mf,424
APMZny84AZDWCY33trBMF9noxrLAMRzH8Yanau8hn6Fs,379
2aSJBUGpWWUZty3dafov1Z8Edw3YPA6Z1e2X3aqXu27i,375
ECPQGL4oXtuk7HCraTcT3j6wS7yb9jn368un6JyWkrJi,330
FRiKTTtBFCraXxAdN9WbE9gHsJHauHzLKf2t53xiyFRR,314
9B2XQw3LsWph3uVhvJ6A2QeoR3L9vXmYropY9JXvzCva,313
7dy8heSXUKaX3nRLkQ69NetzQxZYNQgUQsCsvTeV8MVt,313
3HpsMQv5vnUHW3Pc8sbU8U3KTGVd98Aa6pJUu7zgQwzU,302
B56NDdqVevb6K6aV9QwFkNN7VgNY3ZdjwMMCKSHZzC6L,282
DenXVLRxRR3yrXFzwMEpnuizCcP6YMpaN9jUdZy2N8hB,261
1v6MRkY4Z2dBAsbibySvuaj7kXssvJrvYefLbSsWdzC,248
gCv41sQZpWwVx7K8ec8GqtMqVqJBkmb6p1bXwbNZEUJ,233
CznHKT6fmpds3H6Wrp67CVkoEfybMnKvQAVuSSCfNnxa,199
ErvEmQWHfnvJX6D5VkPQorEWKYf2kKbVBemXLq8WzbKK,198
FDiLdtmNPWG7JikuvgMqYF7umENSzqJJtoJHpSVGBnPQ,177
DmsFcT68wqampP78Hm9E29DBLG99FuZJJmZAYw34uvrF,176
ZE4LyYi6TyjoEs4yPvGfCfXYAbmkptN19J7o5wPP8KY,152
A2jMES6mWyKgzUdbS33ECAknmjwstzdpS6WFAbDfKU3f,149
G6bfDikmBmntCLcLdFTQhZ2zhqcuWygDpgou2Nq8YqX1,147
EKeBStmHfjFBu3RHaMCtZivjUvBwVmeNSoVthJGoXyEe,146
HGDgNDA2zuYXdPkiU2JCgQ2h8NThYFCTvV1Gp6Q2vyw7,139
E3oCYcv9yDgwumzx4pCe2QoLUXoftBgb33McjLX1yckE,139
7yEKqyfRMMw7idsttmkqXp2Jtc1ooDgT6aZ6jm3Vmqgn,124
Cp9V3qLnjjCH7SNrEAtjqywqeztZKpXckDK13BA3EBU5,118
HMoZN3FEvxuecjGETQMa8EGPsCvibAbPfXP6h3cL4E8b,117
GmFonBFUe4m8YEmd2rNsjxFCV5nNwFwN5s3PT1tR4rev,116
HjhaWHdqskx7WefK1erGUtMvMou6ANDASJ8PArZhH3cm,115
BgcawPEFkpza27UD48Ja6NRFozLGxwrMEZTmD8L3P1dB,113
7s6g9JGg3P5vZMnW1NXqfCWMhz7q1ZYrJVaQL1CNsqmk,113
5RRzt5impbDhzGepEZj44JqTu7o6NmXNRKSM4rSQPX1z,112
