owner,count
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,165
7mkr2BaLsRu3HVp23tM1USVbARKbawC6AWKDPAYAvbmC,129
85YK84ReFwLbpjBf5Pd16XuSHasvCzc5WQtTdsjdK6r9,125
BbgTRsfwp2F2nR9eE3raNUGvXgraySTFCWyvvXz1GiwY,89
B56NDdqVevb6K6aV9QwFkNN7VgNY3ZdjwMMCKSHZzC6L,64
8Q4fYfyDCD9vHBxYqdFww32SBSVWFy3N7mx5tyyj5KZb,55
3ukVQkntQ1Ydosb5yMrwA7xuDbbRij2JNSb22zYLWCQT,52
8b4J7eyDsjfv3hJE4GKapKniYkMMTV7o6QP1LCdN6NvB,49
4bbTZsvGrpcNzQUuE3WxhLg57c3HRxuiASbknACQTBW3,46
5RRzt5impbDhzGepEZj44JqTu7o6NmXNRKSM4rSQPX1z,42
FRiKTTtBFCraXxAdN9WbE9gHsJHauHzLKf2t53xiyFRR,40
ZE4LyYi6TyjoEs4yPvGfCfXYAbmkptN19J7o5wPP8KY,40
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,37
HfMJnuvr1xpAm9Dpag7L4E1ewtfCwF2arXtr5J2QaJrD,37
7dy8heSXUKaX3nRLkQ69NetzQxZYNQgUQsCsvTeV8MVt,36
DZGyo9uB61bXihsKNv2yEie7XuwHqFwAnoPxqM1ML9yg,34
HGDgNDA2zuYXdPkiU2JCgQ2h8NThYFCTvV1Gp6Q2vyw7,33
G6bfDikmBmntCLcLdFTQhZ2zhqcuWygDpgou2Nq8YqX1,31
THthoAPa4rKqfZLe7oqzW2G6BiQoAuyw4Ty7GK7a9WG,31
33FJ87MowgDpeQQr6dhq5JwPSDMLPxJqESdHrQhDjWvM,30
DenXVLRxRR3yrXFzwMEpnuizCcP6YMpaN9jUdZy2N8hB,29
7yEKqyfRMMw7idsttmkqXp2Jtc1ooDgT6aZ6jm3Vmqgn,28
DmsFcT68wqampP78Hm9E29DBLG99FuZJJmZAYw34uvrF,28
BdsrCk3DRm66usFF37XnNqJWsCX8WPgwsZ6Nw9gxik7c,28
GmFonBFUe4m8YEmd2rNsjxFCV5nNwFwN5s3PT1tR4rev,27
gCv41sQZpWwVx7K8ec8GqtMqVqJBkmb6p1bXwbNZEUJ,27
J4BKzARbSSrPYUn417JsSRnHHwNAKf6YVeQPpokaYMnQ,27
5Mic1WZXEySfSaeghLahBkqbS52i35vwmG6eAPEc3oph,26
C4yo35zPv7x1MxRpMYeDzvAYYsaWur22mrZ282b54ySM,26
3HpsMQv5vnUHW3Pc8sbU8U3KTGVd98Aa6pJUu7zgQwzU,26
HMoZN3FEvxuecjGETQMa8EGPsCvibAbPfXP6h3cL4E8b,25
ABeZH1Hsivkcwq1Kngy7iqqMaTjC3Mo87bnrw1ytp1Ym,22
7pLVofwG8ydYt6nyhgsH46ZxchyUno5RgWBDmAeDBD4b,20
