owner,nftmint
5UVsPwdZSVX6pdoqMYp87mAtUvn835R6ytjGdXCWNy8n,JEJjExfuxq9aRsynNRgttDtw5YPjDtyQRRDNV151pUR7
3NDa6Erd4seca4sbM5nUcKA2RYgjNQPWus4JbuC4o25q,JECWsWznrbV7aMs6siaSgYfBqxTc9BqmPJntMm1fMrEk
Fq6iiDg6peNyowqTR43vBkSu9YM4DNapCmg4iJdHchz3,JDygCeE3eH91GdmuqAv3HVCbUkcu4nsvqzt5VDTG7J8Y
45DdTTRvX6AQgshq1S27uaskMvNohT8ZG5FrFvAsYeii,JDuR3RZudxjj89WjaL3veiNzboryyEjK4Rut8A2W3tWr
5FK2PTd9Qqi15iJM26KTGqMrKC8jHTQSWjVmJXV9BcD5,JDTpw15qNMNVdq9RSyGhEUa4YAPcz42BumnZTNAKYi7M
AvCkWTm3mutaqVwP42xnSgCUHPWDj8Gtrb3JawpvA9uo,JDMsmoeJkFqid16CfKos6a8BJFDro2sJsjj5pm9nAzfz
5H7QGdRCzmzkK5vkPE1NfsDyDJnpQnuWyZK6Ldfw9K4V,JDMSzeVZWE4cUDXLF4cSgZwPaGB6JJsHivbjAxfXRYdF
5phNdpnu4yq1L2NWVZ3KW4xefzBJK3D4SsKGhik4ZzvY,JDAsVdbrNJ3Upo4sFJ3HCuQVn2gD6bWeiX4e9TCFjDij
3NeeQWW87KfGmWrhh1pwUc5wWSLHad9AMM2i8Dbw4PDz,JCyagzwoy9gR222dDxP12mwophvGLLGstVdJFPti3FXQ
3VhVM4XuuU2x7Aef5QkqQfYfn3aVrxLGpVcLSsejRsk1,JCqa6TcX3qr5LMJUUdDQ4N1wnpyw3N49sPKkFKZHdNML
D3Sgy4gyABs6eut6srtJyLNCjRgeLkCx8qDSfPUk72Ad,JCnZL552WMURDT8wz8Dy85qybEjBrQQQ1hhpKd4vKFoc
6PAiZjLmsZwdwkwDqZRGXQBKpSqcn6v4JyzyZGNPGbAs,JCTwbu3REAjxTiLu1jQ7znjzV5XLkXKSLSXo86HAvAAS
