owner,count
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,454
5FK2PTd9Qqi15iJM26KTGqMrKC8jHTQSWjVmJXV9BcD5,288
3hs4t5cDNHUHoh97FkwvzEaFQocNNWYM1esyhjqis7o5,216
3s4vvHaUBvijciz2faENneeAoSgWcsz5DTpXLCfdZ1xQ,155
ERBX7p7RMjJXJtZg1F71XVybD4fWJE1RpHNX5CMCqM5G,155
2Tpe3aJae4QPDWSgmdRPUHnjeGkscj8zSJjpuyEW44Y4,131
73zRfSisNDpjKfnboMHG51ocZALwaqEggneZTWtvumn5,116
EbXqWqaahnzS2B1ykNnkepFeVZdcEi48GfcZPoR65SD3,110
5qydATT1osDnN3GrKdm5nZnBvCyE6HrCTgpLAmvegbKi,105
PuiTTpBxc4WdGvX1LmLZ9VkKJd2DMTRiHTwtyw9yNJ8,100
6PRjyRAmmTRnyZYVgbhxgKvziLhoPWjqqaAtnFmamdAG,89
3D49QorJyNaL4rcpiynbuS3pRH4Y7EXEM6v6ZGaqfFGK,89
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,85
H44mTiQVyLXyoWFmMzvhVrAE22FuPdWfQcobWv38ok3S,76
TMeJ4TouqG3uUJmBchbWWSM95SYSAix2Kw6cewJ1Hun,75
6zunZbEa2LbXuuAWaZ4yYq7ZXAdwwu6zV3yBXwTkMuF4,73
8X7XptKE2LMMo86UgKEirFsLDZVk8MmbQvwaKuaC7iUf,73
5SgXKLNYUi16P7YJqFuwun49qv7nFBkLiecBDrtjMBob,72
8zVrqKbBci6a4d6F1nXQ2ys6mu3XiKu8ftvNwMjuq42r,68
A4PA8VmAMeXjMrYX6p8sb4vndC9rwadsuc3mJJ3j77vG,68
9LRBSS2HVSqB8n5WUPG7546Bwk3aeybrvqKTWZRULnAL,57
9FBQj7Z6Ew2b2JDPn6ZkBKt8c4CfzurTtrSsQt9a9T2U,57
9yUvTN9RojmFUxmdtYUEbQsPHcKjTV6KxPJ78rQ4F5tU,53
