owner,count
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,467
Fzx2MEY6fuwjoL1g4Mh5D6dcxp24HEcdZ1QsrVxE5sfs,159
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,149
DgzWqku67fPeuWgmyZbNa7U7yicKRhbjM7nB86Yx2ojQ,97
HePQVrFZ8JGb55BXGZNEzpLYDoospmrtH93gmUEU4Ss9,66
Ez2U27TRScksd6q7xoVgX44gX9HAjviN2cdKAL3cFBFE,55
EvTDXK3R2fagBbix97mrfYWkZ4h9PDufQDhsuX5Xq497,50
DtS73P7Xq5xroDunSmd5Tvav2neLwiAj8MTh36mq6Mwu,44
HFPaT6WKk9SkwtYVZ5m5Sqw7ZbyehGu9GHjsctigm49S,44
7dUAauiRM6YxSXPyNqK6MU2x6hFwZXrw6eJmjv45EoKU,42
Et48kzgJZE8waWKD8Jfqt8E8UyMfQQUgNK5irzeFMFhi,41
9URtmiu2813mdRUZaMtzPMDsG44PLPHGGpNennZChzuC,39
9VkxkUMM7kiUPsNzrYy7dnczJicCaL7iAjt7CdngB6zD,37
HEoqe7SV8vQbLsWZJHYQJ1FB5ASem1Jw63UjyXRcWjnq,35
AgutR4HgVQuDdcLGFWcgq9FTjTRMeCXJd1UAFyqkyjUz,34
GEkfDHSyEsMHywevvkhjSGcsSoEDT6o9UqxEtm8nwkTo,32
GsaZdYyBfKemRyz8reSD5v1fx2xWCFpHGRBJ1mFr5Uju,32
3kyio5QtGG3gwJnqAReWjSWNyc8ssQv6qFsp3MVZ2dqw,30
Fni7b9HLdAL1fPNHLYzQxAyZYN1y7MVKmjxhn8QnyMWH,28
CpnSYt9Rx8YTYWwFPaKTLvkNvUYEVst1iwkHtRHPxFyv,27
58ywpjdibNVXRzZAFkn2vaQRhmtats6x79d1jUbiyV8b,26
57LRSrGBcURMcuxbDXy5U7VWmrM2TD6YoyG7EEw23wKC,25
9YHQK2FKKsiBJDyuvJKbp3PtBWR9UQQV3ZVUgd4xbhaG,25
5R1yyccnjX4whqUXii1PeptnVEkSEbnaFca2JrYR1CXY,25
9SDXTECfCaH3UkndRRkMDpraVXfsKRAVwBDzvzfiHCBJ,25
GQipWRHWLZcXQQBYrXTTw1rSEWRpSE4skva1j39gBgw6,23
3vVrS8f6t84mbbSAoUqxg1P2PYWjEmNJ5mdZuuZwCMNA,22
FRcfhfbffT6qyHwQRWAJAK2PoiEQS9AEgURtXrbYexUB,21
7tkDdh1wqxqxbmdPZzX9UziewbVhe4Zyw1mSqCZLCJpP,20
2fxwut3BKjLW36Xu6AJiUzsANz2HDPNmdoKzA3aEsXnf,20
QovnjuMTGgWMiA7hRj5d9dnf5DJkrMM9Gs1st6rZtnk,19
F34xaeydpSomtk3wvvKqPXKHkubMQbPX1FD93bNu8Ffj,18
5HNtipZjTpnuEcZQD4eqmhT2CLiJNU5QbiqtC8tEs7r1,18
5jhuaL9ucnXGyY2kyyECE7SCEoJBYUHLYENvV2ZatRsv,18
BFueewMjQFs2kK4MjwnnQUnNA4C6zFeVzCmR6YsTpjPG,18
