owner,count
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,412
Ez2U27TRScksd6q7xoVgX44gX9HAjviN2cdKAL3cFBFE,190
913DCm7N5FpTqGMN2rBBnK5n2tvR3aXvYsMA8SEetZzK,176
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,157
8WsvVe7fnaQS8eaSAqBq8LFHyxEqcYAgLqbwMsubyaWn,130
oZHCCFeTEeuK3EhfWmLDnmd99mo5C1NeZX93noWK8HT,97
5DGBRgeGnzpErheFM8KMpruqctHmsioTACrCn5sfx6by,96
G64MC845iQSBLtscgN9wCzRE8f7cjr4uctZPyhAznEVh,92
4qmsb51y2EBLQHdTdR7RiNz5GD4Vr1aPNPFbgYMVBA9q,81
EV3uKB4BsdTjrFAhPcFYUyKZrCSBjYBABxas1QCFC299,78
5sAWyJFEYnXpTT4mEqGZXce1jS6ic1zbbkAm5TWWigTN,74
5AsKgxeYRaHRcZivZDXoCK6PmVCbc7Nnc4LURpBV7tPv,73
8GdNevinTsZ5QyoNBrCzniPuxicYGTmteHpfNZ3EQWqD,70
4yoGMy6C1AF2uzLXuuBXU1iMsDFTfXTLXqd2qGa2uFFR,69
D7fJHkyxwG2XbsCH3CgCgdp8UxJ2VJTCDKfSdv41DGvY,68
3r7gZ2sLKxxHp6c5oVUcDURwhziVXig6xkj9pU57CWdd,67
J8aCDd4YwiPeFUiEp5Yy5Uw67NgjKady5ZuWKVFwCp5S,59
6L5RBdXqDGSHzcFe3YTvxDAtv4uUpE1HMexJLH8N4Kc4,55
FQQVK9jUGYwE6bwNUFr6uJ2EC4wSBnUfrjdki7cUF6uG,55
CrPEbjwR3Lfub45jNTk4h4Ei3dtSpArvh4qQSCrbX5vb,54
5MS6moGXs8ATsVD5HrhowD3nAKYDdyTS76BsFQLmgyLw,53
DUqs2Nuwf5L66FPjcX7CpScmp2Vg6n39vxffsPYhaAtk,51
BooTrK5TiWCeyHFQbkU4qnsXQS4wee4eL4dCqqJn1u5j,50
8yHRXycCW7XjYVnE6VfWYFLMR7AwHHCJsRhQtzHrXgj2,49
8u5fhU2GrV4r3SFCDEL7pHFDc99qnnRCFHsg2TXYs1w2,47
6ipj8nAvbPLhwhTpoHd74LXcf8zMVZmg3iRgpNscxgKT,42
4CMy41eAnpC3bzSntUdK7txk6HRBYeAgZie4HxwKZH2b,42
GuhA6Gpx6SCAWLD4iCQTUX78muStXyq9eETTAwZLA4Lk,40
FyM8muUaCH2kRwbbNJggSA5DSkZRHnorxbq1PRAvG82a,40
8Q8KdGt9iNKtvxq2K5UhbmKybQRaoVjkLPkY1bfm4Gaa,38
Cf83KTLvYHSF7GuSSE8VaHKAAhMG83tNj8qRePYTVtd2,35
4PwQMSNFYtDpfmpQvaduUx3NpKFxCCWjTQR2NyHfNoEF,34
Eg9Z1bhtqY2sjuLB72k9tLNWrjUHY6FsZuCb8CVKxey6,33
HWJCqtn94cgY5TFENrcuBSnor7sTt5FrwuFwLmxXqgBm,32
3dv5bCfqonPC9K5hVenSVfUVVjPw9JxeGsUyyQzQbiZK,30
