owner,nftmint
FcFk52FQSNdaJZkBib9H7svEhA7qZcLVzLZ8SyeFczZH,JE8AUhHbeNkV5kAk9EC61Uy7fNJqDEZHoS6kcJciFA7U
FjTbo44wkaFeEpKdALaau6gfRMKmEFVit8nc9iZhMtZG,JE5deknSuG78R4mPbAMJCkJNRbsdtaVmsNRRpG8hbDUp
9zjxoKgsQSkcUTv7P4fSYDPFFQn2fUCy7pSwM27dc1jn,JE5JfSyzaUvzpQQqN7Zqb83Fcakvef4dRNfV4ChxiTx6
HNMvXaTBPu6FrjxZ7QwoLHXL6LmHC2wK7V451c457gPL,JDxTiVhXeCx4XXxQAVQEtgQAcs42k2JsoS5oByBoWb3c
35v6gwHJHYXJeBSuZmda6jNP4p1SULa9EXmBTqtAtZUc,JDrfx5okgLNXfVBk2uzw24isBvU9U4Bfyqeeq25DZaMM
C7VrNura6NJNtozDmGLJZh3YQnHgX2fQ1jTpXVbAf7bE,JDiR6MHtxmg12bPYEPqSzyeS5uqfBt7bLzSGydf25P8S
2dBG9kwcHTfiYQxRhESMTyGWpHhVFeXnPLfhB8XmEGza,JDca6Duns1Waf96Vtt4G5UtqUp2xkYSwzYFsdS2zE2Qy
Bk7citr8JXRqmjmxVbLJgAbhaXvpczZmXpLXD7DmHGXF,JDJZopd33UVdqknTutNo98wsuLEeQimCrWmQGgwdhND2
81YXeRrzi52bVtsE2nBuY1peiR4QrvS1PSHnyT3adFmt,JDAPVLtKa77M3CR8oLrVuZVVjomvKiHAnM23AShwdr4S
HiNvC6vjM2aoMfWqw4FaTumu8hajDiBRXnFyTGKSKcv3,JCtSJtoZRkxXk7VwkCXrtsJqA52HuSwowfQyS5YTfvak
6QACPURmdARDqcWft67ViwmGZAPh8cDqZ2qA8ze59EDe,JCg3ZbHg5RrUJv3GXsTCeJMWH3sbe5jXATSizMW5niAN
2ZcWeaoftcr5YYRu6QQtsByW3gX64HAthKtgerv5xWXW,JCC8Q7Fv4A13GdCFC1wTsbnRqkZuxwurJWEXnUNLTuwM
3QPMxKVZEVBVxRJFZGeC8sw7ZayiaA8fwa5hANFba2vH,JC15dhwMCXPpqgHinutFxxXAQGCGChh5oBjBitCGKdYL
C14e2MXcHLdueM29b7eWQvMwuZGQUBKPxvRN2Av9bBq2,JBvNaEEVJcQ29Rtbmw8y8qnQkFs25SUVtMm9smPvhoR8
DHa1PmMwoSfWNpc2cgMKUsykQt75tpLayD63moAk8nKz,JBgbfsDNNQCgAJVQNp7dWWRpWKAeoxxQPuhHfNFUoJcv
J1juewahZLTEcLqDpf3eH91ofuN3EtC4Mdv7AfeEaVwg,JBZeTwSoiah3tBj1nGdt2ZvDqHMkskNUR7LCTMkeCN5A
3pHssyaTXZjCaXhv7CdhXziMrVLCs9o8htqTtoy5kMT2,JBVsfqwrZ9RhSSLi5bQYZ9erUoNFx2tr2dSrf2FyQZmb
GbK4RFo6Pq7rz2LJoDNfRjt8wMPms6UbARHA2xdoXGxj,JBQyvPbJn7imE4M88vPEfCEpgmb9wJJ3chejzcakdkbD
6YVH8fz4wyfWHf9pBLaoui7Un42WucejJuXqUHio5C8q,JBQngpz1sQoLuDtaViXqesH4paECn2uTaHGLcb4vSkYN
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,JBQgxQHaJcsJnKJHyPmgeqESSF5kzDn6v8aCBHdQiixp
GK3bfY7RiU1NKToJxJxtXHkuy8TUNi2dF5awNVqActXP,JBJXT53LmXscrLsstmbZALNwsd7mSH2ZJdFtG5sXdsBF
BeameRGdZmYRhXKQeuRBG1Xkk1cufA1tFhwv59AyRxoR,JBBnAikYofnfoZqDmEPLs6tbbvW3gSfQAvibWdRFUELD
BJ2Gy7X53LqGWskJ4nD2JJrzG9tY3ynDrTJFQGBq9Czs,JAvGSjPg4kBk1CoyTTmxve4EEcbArjTS6EmK1Z455TjP
BwqV4jm28jKrrL1Qpir8wMkHpva5DSfffBCASUTp8q6N,JAfNDJsRRCWcAz6LBgaQt3sjsA1Vwjr4YRpg65SBkf9B
2cB3mq5YoE2P3y3wThGizduTnjLMMon5SMranvUJjos3,JAN9GFWswR7KaDScdMb3nRimWTGx4qv6kUfsWFw77rTo
64bKnsg1khRzkDjpNdGsyNTffm98bWM1fqBQ77ZVZSEb,J9y2yTrgxtvWGQLQtueqyjFJ89mg5Bej1h2CqjJmJQam
