owner,count
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,364
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,214
zYjkXxPLq6f72FEGJ1AWcSeqoXj9KQUwpZckf7nwnBF,182
B8sqMzv6FaJXiq2gyXCxDedeKit5CUFkXUfVjd1fxdb5,153
9oeCFus3WC5mXtRTaMYY7GSFCf8aNcAyhbHpgm2tKQz7,93
3g2TUkrZf86bfGQXcfJ7xMCFSmnssdpeTxe5V7y5GDpb,85
Hpyp46YTiMrpTKyHtbaNFpWu7Mq1UhdEh8Tkw2SxxJnS,75
51GbMqvckT4yatNhzYLiRUT4VWWpxnb9sNbrJoD2i7d1,68
CVULJUwJ1yy2CJqSvj6zwnB6vgthQeLercAzs3aceuN,54
35v6gwHJHYXJeBSuZmda6jNP4p1SULa9EXmBTqtAtZUc,52
BJ2Gy7X53LqGWskJ4nD2JJrzG9tY3ynDrTJFQGBq9Czs,48
FEYEXTpyexGLJeCiKUUc285ic1iETn5jHMTqHc6StJ5g,47
FcFk52FQSNdaJZkBib9H7svEhA7qZcLVzLZ8SyeFczZH,45
6YVH8fz4wyfWHf9pBLaoui7Un42WucejJuXqUHio5C8q,43
38UaHkLvirhYwNqUYwpySx2Fq18Cf4vDDGJUPnJN5a5h,42
9Q4FBoxkDeEcA5eYMizsrSCxb4jkYtNXssjB6SxrgtKw,40
DCLNy3XtMgzAUBseM3BatZE1Bf5KgA67hWkcGTqUgALd,40
HNMvXaTBPu6FrjxZ7QwoLHXL6LmHC2wK7V451c457gPL,39
bUh8GaGEWp79cgF9Z5PHH4UKavNMZ9BCHj1oum6Ne5y,39
BdpqSFXwTsK8KRQVALHj1irnqeq1uKdzbwrNajKtuier,38
Gc5c99KHpqgEXEJU2ZU9B3aDT17hWBbKJDLiSsiW2wPQ,37
5otYd7QTgFZbfD8QsFwm78Dq2efaY6YaJmWc7i8bGBbU,37
DVUm8qFo9wWDFcCZDWABZ7FzdF4ctymSdrhXTDsaw9hh,36
92J7oq9o3mytY5h1DndoE6y2tK1wd3P1Hoq94WFvjzpF,36
AEQ4qTvKkV8BKgpYv2pRhwHHHNbKP34isp3bHZGSXUAq,36
4AmtBCt4wyrnw5K8tJCbVBUNdvsii2scyQ3Ff6gFyTEE,35
B5oPXrikx1cweg5fqciyqpFRWnxtmcucpWiYz1An9cU2,35
Ez2U27TRScksd6q7xoVgX44gX9HAjviN2cdKAL3cFBFE,33
GK3bfY7RiU1NKToJxJxtXHkuy8TUNi2dF5awNVqActXP,32
CZyv4ABaadFKK6DEMEF8UbZ852scVApk5wmhMMuPuRLE,31
AbYhh2Uf7JbaenKT1xt6mbthw2VQajv2QVPqaWGNJ7mu,31
54YTixZ7TcMiKPoLY6nrReB3Eo9atHxnC3SaVBfZ5ZdL,31
Bk7citr8JXRqmjmxVbLJgAbhaXvpczZmXpLXD7DmHGXF,28
4wapeK7JGnjf8kDTEoX3iVQQaSX9znNAnNzh2bzHjzc3,26
3Csarb2NnqUd9qe3nbDh3x9rMjJGDmWYxdfjUFTu2o86,26
dyC36Tx9uAZCPTPytqA9entQDxGP9Tzz7rLwCvMdWim,26
tD5cbD1CbF1yPkg5vSEAgY65K9HZBuSWhaXM74k6NMQ,25
EySteEHtG3JXk2pFuq1H77vk1Ta4yVFD27rgrXpVC9qp,25
uFymRh2ZMvAKnPvF1kUgBUz9auEVmkvz95RrYkuaDe1,23
9zjxoKgsQSkcUTv7P4fSYDPFFQn2fUCy7pSwM27dc1jn,22
8hbJB13TkukY8RdofLpC4qhNaqd2iRYifQ7YzuafkLYP,22
FZBUHrcF1McE9L3t4ca2F38HKTGX74cuXYqp1X82FNpp,20
Ght2YarktgyHzrs6ZAh5HCTwHsxRcgCkpvMxf2UNhYvW,20
BuGcHGDyMVx5SjeTjVnxU3oeTCTwPcMcQzo3ZjtiA33d,20
97DySRZGiNTZpwhM3mAEacaroQWjnu7sYdrxzb371yvs,19
3JXzQMcBpkgNoT2zDxEoXe3wCndjd8p8XuW8My3Xw6Lr,19
BpCKpuR3Zj6xNmAUTC4hG111Ee2MJHqTMzvtpkZyrvYG,19
6n6Y42FtYzk27oHZqAsbjRmXTXkuRpRnQwvf292yGgtK,18
BziMQ9VGVgXFQXrSSzrbEwPMM9Z29zNYoJko8nmWZK3,18
5WvCjwRmytJsTmayD8t26CPmuZmgkaSJC9wAGHHQUeUz,17
g71QhepRaU35yJerCf9RgAEDChssKCfmWHx9wJVupgv,17
AVN8bt5qGGJ8KzsRB5Gf775c5f4DcEnHH7CfgqgRq4Hp,16
DVtPTMGQVnxoBgqMmh94aF76VDYMGuzrmXYTAaLjnqbt,16
E4MNRP6zqgKQuoFmJEudtxwJN9f9y7gyQqi18TxmSSNK,16
GWpZZmo6joJeH1YjGcbBPc1F2PeJa2Rmu9eFon3ypB8S,16
DUu9aWJzmjZE7rkDdkrgCyJtJ1Pc8xTptL7bW2gCrdgg,16
BiVyVyDDVwikxWa2B3CwHCncECwA6DUK8Dma1eiDCa2r,16
4RwsTUivkX1br5grTt5e1QnSxn4RyzdYj2ZYNy5CnRoX,16
7Em2UHpXAfu19JjGjQ3YamSadrjmN4EG4gA6oeGbZJZz,15
7gLAZDuoK1BM6dGGyQwCZkkDSx9pVBpR5fbhYmAbt5dk,15
D52KQzQhLzJnB53FbDajj2ANLHEwf5JKAUNap7R61x8e,15
B8sVkRMRWjP2iiTXYDm4BabnSUHftcKMnU9AK2XPACZc,15
8ZQtAcHsUSzp94B8GVj6MztKdoY5AwiPWb4pf9SPcgFw,15
4eg5GmsZ4wVr3zEyAzXFJivqDigjU6KziQH3NASEekQz,14
T7dvimdXpcVNd6NANCjoK9deV2PtYzj6DxFPAyiEvFV,14
7TCPZ3Gz5JrrF3A2B2vwrjTWK5e9tjcV2NGB8pB8H58P,14
GYNT1qUj9Ew45WpHaVZqGSz7R97ve2EjJEEfTcNVrJvQ,13
y8FsC8qSYCfnmzcjoaszBH16gaYhpRvPgZ79YJAugCP,13
hEdshoAjmkkFusr9Mt6TfdF8crwsD95ipyq2zwGnaV7,13
2qWk8uXh1SiEqh7hbaVtKLY26gyCiaCJnqQXbjByX124,13
93fo3xbhAoaiyy9CFf8SffACoJaVssiefv2VVQJ8CSsb,13
AGNTY24avV25LPZfc17VSX2FZ3HXHKXFezF9QSJdZPHr,12
HAbZoEEAA2D8C78ccVynr27JHLQa8qctF8fMb2uyjWmx,12
DsX3HPGPUc3vkty3pjDscjW8ivioqRzJEKWNjx9hpPrf,12
J3J6WQBugt6aB2JE2fUETEY75LVR6JqJU9C1tBEHQmiK,12
46nwMhCLnXqxpfmnRbLxuAyxJCFhn8n6z9ADD1YmvqXr,12
8bsBxMGuFD2cwucieaPKmD3axz4egsW6kRzgucgV39df,12
Cj5HpvffHYb8EM1gE21uzHZrdWgjDAUhXKKvtZ5sSzU5,11
3ovDaHpvxoVQ9EycH2HGo8bsbAy49CnU5VAHR1wmVypN,11
34CyZFfaYHNtJhZksH6VbXa282uEUqumfXuNdptGffY7,11
6mqE2bTX22APBDBhiXmBmV4hCdzhdaqL7kLi5LRzosL,11
BUERZPAR7y5U4RYmUupYZeeqS62J1jAbqCj3ECrd4ufE,11
42i4VhjfjDv1DYdSfGsZXW53eGqFhBdWU6Lg6FcoPNg8,11
6KV25fxXuicjar1gTFaZpTRuMXWGZBr1nKhUNitGgziM,11
64bKnsg1khRzkDjpNdGsyNTffm98bWM1fqBQ77ZVZSEb,10
CniU9YTzji6tH4LeBmdSrDnbr1YWha2kNSLeoRzC8Mzi,10
GMqwf2ct8runQarHgHxkbXgcMBJzwjVoL525ZLCAFLB2,10
8p746dm6HyaDNGMNfrnkSLYqCStwusLYfscazZAbce8k,10
3S5zioyJ9s3RFSvKtio2UvsvLaSbyySqPP8rQ1iBHim1,10
BA79LNLDyrNHFCHfDwfuJ8oQoMNN8sNMku8xHgXB8uH4,10
