owner,count
JD9JqyQSkceQLQNEDJDwMSA9aqdTRSWXMSwhggkr8s5S,536
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,79
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,65
EJsPCMrLmku7RiupGqvkuGdwsqp3WKSqGAccGk1z4WwU,63
91XFnmZHBR1bp1GZ8H9GWZkc85w72fnJp6CETcQENxoj,51
EQJaLU7sHgjRn8uSnwSuzuDZLB15uVdTLjpXeUPhYxT4,45
GVzBr7eFdhq7R5PG5j4kTbydkynd4jj71vWCLZHBTgB6,36
4YXeZ7jZgdZpZViBV591zfd5P9XUzmVuXdP27Ek19Gzg,32
4DJKp3bRj3L6f6PZnfKNXtXMv9mGyUoNf83XAjRFhXc8,30
7LJuDBm2JUgc4dek8AaVkNYpXUw2fmFUAKFGF9q9NJc5,30
H2Ey8nCvaN9hRUUuWKgDfqG9fMVbgpgBAPUsprV3abso,30
BcvyRKzPFHkYBurmDHzxkNGxDKmSuDjwWQSvctuDZpzL,29
HMrXFP1nxgzHdHYgYbcTUSpHSvg6yRtyqBLA4itsa9Gi,28
GcpjY4AnoyYvvDvDJPVjm9W9JTuQ98LxwaJdQRRAgASn,28
DvCBZz2C1TxTwW8H9VPyUGQwsoBzzax5uFSsEQ55TozS,28
8AThr4fWUn4jALMtCvZrMR8RXZxR6nfnjeEK7w5gebR7,28
Btr1fcaRMPZQVGEA3TrWZCZmWcCB5CfzuBYoEqg7WbTL,27
EbyqGwSeDMoxuMPCQVnsEDZM9S34hze9dJGryP1v5mCD,26
97RVdUx4dZs1A2kNsofcQ2N7DDauUwqUEKBnkjt2LkA4,26
9wv2mRaMVkvdFmrxkffET4XGn37AfGjvDnXcwKqgysfC,26
34MAE1cbYcQq7oPQM9u3AgAfeveiMUkWMTokPB22ryvE,25
8TZH9527E2xqFY2BjNKGX87fZX4e8WNrm4yqAkHeksLw,25
w99yUf4vMapJ3FHWBSN93vKhrt8UpC5ip5KgpRaSETY,24
B5oPXrikx1cweg5fqciyqpFRWnxtmcucpWiYz1An9cU2,24
XCdKJ5F7ozrMbH6KubWYWC6hbUYwd9uPHMGuekUYMBa,24
A4UQfDvCJ7Es6VjuF1Kf6g1ZWDzXRYARGYKb9ni7z8Qq,23
3Y3qqAn7XiE6tLayAFuAoxq4xA8D7poZvA3UBPfoofmJ,23
ESK5AAwtfjQgxwrea4W4UrrvNi7j6bMKp3caKxw58AQo,20
Ex5B5fpvZvAxrEcPPRJ1MzDQfTKqwLGzSqpKVQYKnx7N,20
5euGuiXs3mXdJmQ5FoJW4d4rWwS9pLq1rJcyYEbNJBFh,19
RdHuDTPhNUfRURvRR9TM7esFj8s4sNV9ebaRXQtavTm,18
CykXYG1ZFoAiA3HcnS7WrkNtkT3XXMpDQ8yhwn8pJK4K,18
9JfAwR7xiThiKyyQyESbkUwrRkkV4bPrdcpzApDFQ1dv,15
9znVEEXfuJD8Z51qCnC2T6mWXjCrN67XaDpBDDXFCpSN,15
88sTGYC5YkuuvU8r6sD32k1tNJZRWCHs3QSaEvfCbDDP,15
HoHjp7mN3chWfV3Dy3SWa6mexoEdQauuc3jCqMpBarsR,13
3N33FvqEJHUF7egeC48oufLG86dgtkwSdfbgud51fJNb,13
DiNenhsZRsxAwz1tW9uBuAJ9HYrkGdfAmhJB6m46mJfx,13
