owner,nftmint
3uZbLCuwQ4dWqX5G6cUwBxyF41xL58CdAENRZJefn9Hh,GYr2iMwHLgWteJ63DSxwPj3Wk1xekZAYGrgQ3vynJWGR
JUjivgHz94Xq3ytnsqnU4cdc3ajCRu9kGhQzHQ2tJkL,Fq1MJVKbkekBkooxCgXfgQSnXuvvjiYQfcbE2GgQoFMW
4yybXD5LwSCc1D8vJNW2j9eiSRRvAUrV35J1AqT3f3PK,DaWNY74U3iDgMYffAZFCE6mkhQGTYqD4u2JBYMYfpyvQ
a7eQmsEgCcGAQyEHGjcHQquv9tyx33Vm4LG3Y58uvR4,Cy7r11HtEPVkCPhVfbzhC4xTcVCBe9ehGY1MM5Tqbpxx
9g5Kk8FE8Yj19La4tGgGMM53wsVMyw8CH7APX29idDC,BLrhu5JvU9WvJKCAr2rMYpKNjGnkPE24fJhNxLDt3QD6
3QLmeLCLgCmwmurz5i2QGqMh1HeS3GapxAShZ7NtWwW3,AgLUGecDgRnwoWRp9iLML8g9DkD2RcF6YvaY82WnYjYX
FYihM2DWt1Hq8dkxAnVrKVr1CM6Hsjajv9xjM19dYVkk,8zrVJoLo7sFVFYqcrKcLmKevMogqz93mHqfjUDqVS2Bp
8WohkkM2Sq1vHuzCnx4ThDP3cqNi1n8DVr74dTTfcYxn,5F34pgtnL24Puwr7ghbsUAVkBvbRgZKQwYZ6id5G3V8q
7iLYttLqyuVQCTkgKuToCF4hmhgXQPsEn3ZJPA3cGkX6,3LdMHHsmtp36AvehT4g68KNxtDj2ZmvRP6mE7Ej1GBcJ
EVKWaKJbAjCJjJ6oXLNDSxXSsUktxGt3UmpjKJ3TaW4P,WibfX3d6MGkGLD8m7C5HrXWtQaehViDtTDjgAH2BVEq
6bNnb8D3RXeCbnZZsgcbsj2yGs7bDE9iQB9ZUdtNBrXB,GMinnxg3RmdNt4hVBBzz53jiBxAtaav3VLc2bBrkqTi
45a6jRcsnC9yXF1zzvu2KbqFSDxdtGA3hFigoC8NZHSz,EAmR2ye2BpLpu8zLuzWuCqkDaL2V586kR7eAo3bEBck
