owner,count
3uZbLCuwQ4dWqX5G6cUwBxyF41xL58CdAENRZJefn9Hh,1
JUjivgHz94Xq3ytnsqnU4cdc3ajCRu9kGhQzHQ2tJkL,1
4yybXD5LwSCc1D8vJNW2j9eiSRRvAUrV35J1AqT3f3PK,1
a7eQmsEgCcGAQyEHGjcHQquv9tyx33Vm4LG3Y58uvR4,1
9g5Kk8FE8Yj19La4tGgGMM53wsVMyw8CH7APX29idDC,1
3QLmeLCLgCmwmurz5i2QGqMh1HeS3GapxAShZ7NtWwW3,1
FYihM2DWt1Hq8dkxAnVrKVr1CM6Hsjajv9xjM19dYVkk,1
8WohkkM2Sq1vHuzCnx4ThDP3cqNi1n8DVr74dTTfcYxn,1
7iLYttLqyuVQCTkgKuToCF4hmhgXQPsEn3ZJPA3cGkX6,1
EVKWaKJbAjCJjJ6oXLNDSxXSsUktxGt3UmpjKJ3TaW4P,1
6bNnb8D3RXeCbnZZsgcbsj2yGs7bDE9iQB9ZUdtNBrXB,1
45a6jRcsnC9yXF1zzvu2KbqFSDxdtGA3hFigoC8NZHSz,1
