owner,nftmint
CjYTP9jJVmCqnmdPf8tyafTHxTQtAjsFckVGZWMwprca,JDKba14uQou4mdfNWceYHBxj7WD5K1E3FkicnDSfGo1T
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,J3vTW6uSJmyR1vjyYz6DbwawdrDa13QrFxPE6M9yUwx7
CjYTP9jJVmCqnmdPf8tyafTHxTQtAjsFckVGZWMwprca,HrHX133PiQCqURrpPWtq4N3LAKRHjCXLf7q73tP6fBiK
CjYTP9jJVmCqnmdPf8tyafTHxTQtAjsFckVGZWMwprca,HhcAgJzsboYAtFNiyGjZXuw3C5gZaefkthgKHR5R7fFt
CjYTP9jJVmCqnmdPf8tyafTHxTQtAjsFckVGZWMwprca,Hav7MUZzUWbqAcbxNhdvRUEvyXAtQpCZprUH4ewDFJoV
FAEYozsZVkxhXwG1HnVJn58Ks3dff31zjtA8b3KezFJ6,HU3p3QiDpBAGrQoxSXxZG89Cgdc3qwSK1CcRefB2HuUR
EdsN43Us8oUT7FvxNbkqnYGvbAF19XN7evv4seBJ8uSz,HSB19vAWnKxDpSo1hdKPR8e6QxwDRYgf4jdYPfoUzXwK
FAEYozsZVkxhXwG1HnVJn58Ks3dff31zjtA8b3KezFJ6,HMmHvyzHyHVk71xWJwypo2zHhKoG1TVw1U5PLruDgEvZ
CjYTP9jJVmCqnmdPf8tyafTHxTQtAjsFckVGZWMwprca,HGZcAhHZsWoWCKFS5YczkCDJybw9MKqFBXnCKRyZuai6
CjYTP9jJVmCqnmdPf8tyafTHxTQtAjsFckVGZWMwprca,HAkyxGeQbemNBjzmJ3W8ErHJZUVA4WPbJkT9WT5fyxLn
RMCuMCgR5rW1MfZfRn9Ry3CZxQYhTtN35y1Z7WhXAS8,H6MpcUkZMKqTC4xrA8NwRXf77P4G68DjUaeMeFL7FsnP
CjYTP9jJVmCqnmdPf8tyafTHxTQtAjsFckVGZWMwprca,GPzjyCA4Ld5WTfcc5JZtU3mhdeQ9paQetd59SZiQhRFh
CjYTP9jJVmCqnmdPf8tyafTHxTQtAjsFckVGZWMwprca,GGXfCaTfdAJvGPDFsdXau2mjfeJ95D8yfovF5Kmt2y71
CjYTP9jJVmCqnmdPf8tyafTHxTQtAjsFckVGZWMwprca,GCsm6Jd3Vxgss5b5sKZg4U7FwuxqsWkjSBEAZcnn9oYK
CjYTP9jJVmCqnmdPf8tyafTHxTQtAjsFckVGZWMwprca,G3ZXdwyRqZXiaAfTTAXYhmdRj86JSfycpnWTgRntj9rM
CjYTP9jJVmCqnmdPf8tyafTHxTQtAjsFckVGZWMwprca,Fvpct2qBUuEAcvyZYpemNifmm5jC7DWRBPgbhgk1s1df
CjYTP9jJVmCqnmdPf8tyafTHxTQtAjsFckVGZWMwprca,FfuJrjSbye8vuwd9fJxFsRCDyyxEguvBzMCUVUmwCbfj
B4sPLzfPv8ZszXhrbjyf3Yekrq2kY4UwTd8iGQbv2XhJ,FQpmuM2ifAwz7rV8DVh9puwPYSTSz7j6nsjj4jTtm6Ra
FAEYozsZVkxhXwG1HnVJn58Ks3dff31zjtA8b3KezFJ6,FNBAto8RSgxiigwsFsGx93rNKHhS9E2nnkWwZaD7SSTu
FAEYozsZVkxhXwG1HnVJn58Ks3dff31zjtA8b3KezFJ6,FLd7s7KeJKMhCiuM2q62igfB5tGnTiC38sQzQdKffuPG
M2mfoQqghdS2JA4YPhVhx219hQWtmXNFFV7oNTLLJdd,FGfFa9t75wYUxMVRmoGgKb8YYyVDbuFWak5J1LUNhrQY
CjYTP9jJVmCqnmdPf8tyafTHxTQtAjsFckVGZWMwprca,FDZ6TAf7snah5LMr6CdgAJVXYs8kaQSqhf5mgAtBCK4U
CjYTP9jJVmCqnmdPf8tyafTHxTQtAjsFckVGZWMwprca,F2JvBtrpznmR7qVsJeDvtR7CcVoeEwZZ7G6wWSFwpEpP
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,EtTvhgMAYeQhicN69tNmydMJaYLSYbxUYBDcB7Ez85H7
CjYTP9jJVmCqnmdPf8tyafTHxTQtAjsFckVGZWMwprca,EkKN9fs5eewP2h4XAd7JSkoNqXPQQ3J8XpebrNTZtAXL
CjYTP9jJVmCqnmdPf8tyafTHxTQtAjsFckVGZWMwprca,DQnqNajC3hqmaCwwE7Q53m1zDbMtthQnB55sWLNoa1nX
CjYTP9jJVmCqnmdPf8tyafTHxTQtAjsFckVGZWMwprca,DKGDPV5Sghax6qdd11AfevMGQXWsTT6QMZXswk4jJvff
CjYTP9jJVmCqnmdPf8tyafTHxTQtAjsFckVGZWMwprca,Cp6d81zk1EFCHnZN9BXXRvuBBi2jDzJaBGWf21ue8wRY
CjYTP9jJVmCqnmdPf8tyafTHxTQtAjsFckVGZWMwprca,CZwnVCoxcPaPStcJP5L44wR1eEE8RaMVUapHnY16iRfH
Et8dPTThN1EdPj4U4UboVzxz6A47ZSepFnhLXU3Zum7,CWSj8LDka8uLqaWXc6yDmLE8pAGSXt8iW5z3dJKhTp33
