owner,count
CjYTP9jJVmCqnmdPf8tyafTHxTQtAjsFckVGZWMwprca,33
FAEYozsZVkxhXwG1HnVJn58Ks3dff31zjtA8b3KezFJ6,10
CinHb6Xt2PnqKUkmhRo9hwUkixCcsH1uviuQqaTxwT9i,5
3PKhzE9wuEkGPHHu2sNCvG86xNtDJduAcyBPXpE6cSNt,4
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,3
7pPJt2xoEoPy8x8Hf2D6U6oLfNa5uKmHHRwkENVoaxmA,2
Bw3ThDvrwnXkkETcDSC3GkcFbra7qc1aeGKR6S6F2ke2,2
mihXvCaJK9QnTrxJVLLEQXgemMrw1DcsrqkxpVw4tdh,2
6LYbz6v6FS5kvANp3hpGpvf5QZXaHSvZuPNUNoj5M8Gm,1
EdsN43Us8oUT7FvxNbkqnYGvbAF19XN7evv4seBJ8uSz,1
8m95q25FsDw1FpUBVvpk1WfUnSWzPamyY7jW3MitQXu6,1
RMCuMCgR5rW1MfZfRn9Ry3CZxQYhTtN35y1Z7WhXAS8,1
G3ZxS2dFx2mFnXAyuhxgnNQciVn74GUgrgvo7hxqB1vB,1
8mR9JwadNcpRtZXYAH711wh6SobFN4jWyAkQW8KZw6PE,1
Ev7kp4NfhVjvUqKMwhKCcvXRb2t828gDaSqWsD2gtPzT,1
B4sPLzfPv8ZszXhrbjyf3Yekrq2kY4UwTd8iGQbv2XhJ,1
M2mfoQqghdS2JA4YPhVhx219hQWtmXNFFV7oNTLLJdd,1
BormmDp6dW8LAHdagPUqCBDCZHoknGMVeFRjTQ3bvkwh,1
CRwwskVnCsC6ht3V8hJGUfvkHBqyPkK5P9gQJbRcFBME,1
Et8dPTThN1EdPj4U4UboVzxz6A47ZSepFnhLXU3Zum7,1
FJG8CZQXcgRzULKDuZCFC4n6Q5KnW5YkVYikKcJE8hvX,1
KfxsYDfifaLxH8uQ85tcX8ZCUN4BY8guqxFE1AnkAzu,1
GGqieUyW18ZForVxhYs6dttUVGELhATX6Hoj2KVTXvxK,1
Hbg4emqnQAWGf1bqumFWyvQQtjQifBCyewH9ezS7NA6m,1
7YYZE815j6bE3C1tgiAXKWh4FGwUagpxV9oUw6dgE1mU,1
BcgYRPQC4mE3e195FmTx4mspmGbDx5xdcdKuLwNG89ov,1
49pUSJ66XzE89uNJSzyupmtVKeXMFg6R8fh29K77Qwfb,1
GsTGWmPA9XRaSkzFd5np3SpnMZbrHf9nujeGihHa52H3,1
8sV942m3q6NWxHPvSWXqAVykZXeCUHiEBC1hCggWjrTA,1
DxvWEDKaUAMBwHVF22kCxG2jRWgMLdcWWUVdDjY9EJrH,1
Dm2D878htvtHZzvpDX93zpv6JdYaZW6yNxNkkFRdn5Jc,1
2sVE4nQXwqxgJ33Pbz8D7QLShYjKpAT2bbJbMgA7EeaC,1
HHX2R9dW5DyPqjg9pDSEjj5zEy11zg5AGr356PM6Exaq,1
5qAA279oK7WmR7nzAVVgS7mUAvfNCG1qnt3hXxMQ7oUw,1
3XN71ShwyPNYZ22fV4phQCnyPj6E6EbMLAD5ReLRvdRP,1
EZLvwGdGyeks3jQLWeBbjL1uGeGbqb2MYU4157pDP9ch,1
HPwfZUd7wqrBAyLUgkU8GmGvG44J3HCqXZ1mhXXpe6um,1
9iwKjQvv27KVaeexgrzzoTFQQH6nM4DWL7CBt7udgBEq,1
Qrw6y2DiogvivGah9Dj9BuDu8Cr7qxCRUEh63Z1dmpv,1
CLcXVZpCwF9QH2aNjFhPSzyeUVifkP9W88WHwfe6sMww,1
E8b7cCV7JjJDSVN3KDF7syR5oHZEdnNF72jVqZfcmZWV,1
EuoVktg82q5oxEA6LvLXF4Xi9rKT1ZrjYqwcd9JA7X1B,1
9WW4oiMyW6A9oP4R8jvxJLMZ3RUss18qsM4yBBHJPj94,1
AxSv4XsSeWisFhSq7C8MA1TV5BErjDi5K4zze6HPJy8F,1
G3M2y4xeGR841kY49KBzXLkMyfp5v2qrTesYcKhHQGaB,1
EFJr68nHAgLUfNagqCWp3rnusyf8u5xKWLzLXJTdrC1q,1
Fywb7YDCXxtD7pNKThJ36CAtVe23dEeEPf7HqKzJs1VG,1
