owner,nftmint
FB21Ctg3EqdKap5i9B2cFiMxmPs8SxMvoWoMzENM4f3t,J7Zx2XJ5Hn2rMi9NjojPLn1nU8yBMG58CeyaJRy9VXXn
48sCzarKJ3JsVmVUUg5VGZfDuZdQJihwKZgM2XypcoM1,HNXGJGYFMDD2JiTHna6VN9jFRdoPXSdTgc8m3WXcsRc3
EX1NwYiv36SyRwhRxRzSr4eE3JMZbyfmYrnjuM2Jbgf5,H3S83VNAATHHziu1GNp5xSTZCmneRoiYTN7xsXrukQ8f
3HpunBhpvBWuH3jhNCnLuJciCfuSjsQVs2z7oKQZigqA,GfcpCzmq11X2eEqriacHCe7VwkN9mj8wa9ccv3zcDFx6
5vnoBoq4seHtFh9sjjEcNmBSciL4gtiUgT72iAp81Hw2,GRpASMdSq4nL6Bzn7P4kvJEuL1b94kgLMhQXTohgu5Jp
EjR4X2BMCsfMcXnQJ55JvdJGiYmabWpbB9mpnYudnEdp,FnFiKh9jG7uTorJaqATt7jCvdmQ55tZcpVKBTrYaAaWr
BQCdNqJMPhtTtgMVSznXHeELHzZ2o6xm5PXW9RhwJyxF,FfDoX82gyodCPs7ohkcNWcjBJ59D2V7RWCkV69cVudzL
232PpcrPc6Kz7geafvbRzt5HnHP4kX88yvzUCN69WXQC,FX3x269uWbmCn9VRGEv7tfbKbo5CkxQaim17ZRLWR3g7
GuYtBMQxSoLmMC7cMSZ341F9958k7oGGkv5ztsU985SX,FRSTd2GtLWMr5KsjD6jXkzLjJmzUwFkNGLuQLgf8tdRB
37tyAEMWypXRvdagephXYXBHBVus4UVpChot5cskCtQU,F9NiQ7bsDDB2iknrJ4StVEdvBoRzqkq78Kmd9uULkPe9
GdM5EWkayF4VGdc4jxwiN7HXNBP12TrJJWB6rK2A34ZP,EyuMSAEhNoXcaJs8AZeRVPMztiF7xngFvj6ZeYVabJ8s
HKiNeY14zzN5y9pVh4MQqphopzbV6cyTkPtPyC17XtHt,ESbwaXFhp1hkqhU5yvQgYq3GNA6c9QczQLcDS6yjBF8S
BHBdyoR4hv1xZDNmVRFFCRJ1bfHS36g9rvQpS9o8uD3v,E5Y7je6Amyb7ZTyRooLqyxfCbf8JqK3dPHjRND4GpdvJ
7hmdovzHL8mws1iu7jU7Eg8k2PCacWeVdFHTZ5wNhXBw,DzEQedvLtmBZwoKxhaCdxxJNJe4KC5ENVfeH8zgzwGhy
BS61tv1KbsPhns3ppU8pmWozfReZjhxFL2MPhBdDWNEm,DnwmZqi8BCJz72LZXEHzkULCozMV2o6DDWT6st6bUUuE
Eg9Z1bhtqY2sjuLB72k9tLNWrjUHY6FsZuCb8CVKxey6,DmwiNk9B4SVLX66kLtJbH25a4sAcq5myXRkRGXjHfd2A
F8owpRdVD2GrHc3CKS5ySKpi5kPrBp1JEKP436LrPepn,DfEYhUZF1e6Tw4XXvvctrVRDE1vmWgYqpBW6fDXGwUpt
HoFFumsPaa8q6RTr1vLaM5yGofq3eqAw9zf9jsrStaKA,DLCF9CxFgytQ9icqNFXeQjvRavKhKQhwo2biGArszHmt
Gj11mzihVe6t78KUSZcf61Tn5LD5AXRn21gRzr58DKTQ,CwHfT4XF89jTNence8JFde3x3Zaf2NoSGraRDg2F3qzX
4nYxgt5umwwU2fdcDQGBhL4u8AN298Z8KV2HKCL2P1QJ,Cf4gVKM9AcvmMdriT21YszfgmAdzs7r423Zdre38TP8T
GXh5bfD2Dd5sMJEG37F9oVCDHYGUrHhebngGg55gLbop,BbGcnZVTRA8ravShpD2xDAHa9LSaB6FG3HF1g9AfNVwU
CrtmbUg4FVZ1Y7QkyUS37h3yeZuUvAgfhMRwhyrE2wgG,B58iPGesrhhwUXp45k7dhNfR8NDz2zFBsQgrQF3sYazJ
2HKmEGg2eeqGpWU83yhAoxM38ous4msCmAThyyjh11ba,Ax5NK7y7NHTMuPX1CWSJQykMNkWEc8M1icyKyPJz6zWW
DzTmFfjJCjtpAiQt8CePyFouyeBUNF1s79ETicL6ZL4n,AosvodHRi3DRNEAkb7ud9QvKNQaci1VJNJrpppzey4A5
DJAMxUxz5YmnHvqEEEk44JDuRQshW3ky37xUmk5sfwS8,An8JsYvYEwntEXfwThQqUAk3N3AsM8RQKpFyBMwPqvSb
6jRCQUSLAVdFRKBamyGuXu2uZduqNwniytWoxh2HYaD7,AUbwYZhhVEqRb5Z2YMPz843gZgr44aYpzfCQ9JLJeRm9
6dpSCv2X4StwxrkV9UGDZakb8aB9m2bHEiHrRGE7Vy2F,AG1EQXeLKKwEDkcQrTnz6PPZgNbeJXuDLpFqRTyeuUzy
7ugegoXh9hq5astjfkJwHR7vFW16kKzYqWGZ3fED8NNb,A1qXoXXgUcvcRBb2z5uNqMYpTbbL5TB7uhGgvk281irG
Cd124tLfHEdghi2q4CgyQ2X35UEwTePW3HanUaXFgm4a,9dAKBwfrRV38NPL5mAu6UCyJH3n6G5AghrvEDYQ2BC44
FsA4sroiWapoFJpuVdZCtmAs3oYCpDRwDLjJ599un7LD,9FgBJgcU3fi579Q5GvjBJeM83PmTLmGSFpwmEqQFrS6J
6G8Cu53PRgm5aPHxMaZRguYHJfaNxmnmgoR129cKMvJk,96MvNYiyN7or7GExDgf8zyVLFYu4X7Uj4wAT1Fkg42Uu
DDCWC5rG6EDTQx413L98rnB55ybdEphzdut1wYw3iTiU,8tzSD4BX3fmCMebPcdPiuVxFVWemnKVxh5n4vBVKqj4E
86xCnPeV69n6t3DnyGvkKobf9FdN2H9oiVDdaMpo2MMY,88UbEoCyjFp4YbeWGRnaxJGPXauBj2GLftyXh8cBQWj8
9s22TuFm1mm9vvk6m7uEJFajeg9c1pYuPmynpmWPEdMD,7pD8mghqvoYNQECpdWZUmNFW418iUk8XzjoBtDMdxGcE
6QMV5hUfNa1LWtyogJsK3Hjm5DHFM1TRof2bHKHd2F1Y,7RxXV1BvEq3E6TKXZKLMT3br9qeDHYgN1cT8NCZYrhjq
4DxNof5gzWs1KKDjLhZqHYk7XCHRMc9gHLGDbVyqqCLR,7RYLYpE8fJQ1kcs3bZKwYJwspPPnJyAyrjrqEDePXtE5
8u5fhU2GrV4r3SFCDEL7pHFDc99qnnRCFHsg2TXYs1w2,7PYbysSVKh62fxT9ACFKxQKHh2KpJCDmGZxv1rrq2nTU
5NW9azmkpqen1gL1dKruhv1d1jiGJgDuhGXEZ2jVGzP4,7GNEUsSZDPYYDrr8hdnzsrb4WUVSUrYPVuGMFduxAcCW
2dJmEG9a5priSWXMz4pY6XfTJXQqBdYTgyD35M1subNM,7C8Ufjpk3yA61VVnCFMUJPDit4SJPtarJte85WyqAvHy
8ub37tWVkhFTX2m3FqYvYvg2uVnQQCxPfZXggEMqi5V7,6jeuRiq38QVTagPXNtGb6wHSqkKbCjd2DZ2kUK9jMSRQ
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,6gNP8GQemrpP6NfKJt7C3AdVZoNPzjz3j5FME4wyh7mK
AVSFyeDdaVRU2bNpoYZjNZUqtbT2tzTLkP4SRYNMqShu,6WN1k4LkNWmhs5MWPd4nB2Ef8VPNzHsw42DYgtqiTnTq
Ecg37N2jjaf1gm2fUPfTVLEPob5w9KnswJnkCkJS15eR,6KoWgaHuYpFV61vi46uD6HbbycUDe3KJmCPF9GhAiNEq
Gia1N641h4Vgm2xGwuswuDHT7rh5bLfDcD7jtpVfR8iL,5vCTy6d81vojaVcfXMqk61VFbZyxtEANSXENrgEWdz5E
CfzB5hBA9qYxa9oWDdwxKeYsnV4vwHw5QXZcRNgqMkJf,5Wu684y2Nccg6ZryfFEYvGYB77STN7BPVVgmUqBVrjB2
Df4Bivx8xss1wVuYZ8QLjBWbM2oNV5LG8L6gJUvrwpS9,5PynJ3z4Uh648JzPLLZzkmuFMPQQmdvNKjN3NUmr4ANb
jXw8i3HyWPrgh9AK6XqQ26YKc9dCBcNkFDm52fuWYnW,4sbC4PnhLgyKYnrzBazNYZZ8owjpR5sC4VsdY42D6ZPp
HTh7iDddknKAD7NZcik9nY8HWnnCq9BiQv9bMbtPcsZx,4EUu6qsN51vC7UY6hJ7ficjxoJ3Prwtt1sp2r6xbTKHd
CoAqbc8AkMUHnRPA8hkfZgMDH9U6XmY2GZQuqitQ6SGJ,45aVYyTgkPzq4iTyYxh3d3sh7gEBwfi1ajkwAwGxeS5h
27krhRkpc2UJAg44tUv6kTLh5o9euFnyY6dKGRAphAi4,3yS9GQGm48853j1MPnSGsDz3FDLPtxJkko6Cby4zU24m
FMjzTkdjec589D9C48i71cyHB3kXE27PmunGsVRSDQuV,3UfHsm7AyEWNtt886AGJvC2JjW8keazHn7eCvt6wJmAX
2auc2eh1RhTgvUYFqyVJkunYZcdH5QeQS6jxTNC3jqcC,3Ty5cjPL26qKvmm8ocTj2ZBAHMJv9KHu1huUksPyJiSv
9S426eJi7Ydzc3bawR7DpxbMcGUuNvvj8ru2UePWr4x4,2qD9oQ6UxDRr75q7wMAzwGkAYr1BqBcMEfcfWGaUsaWR
BLjLmSV7KZxrGYtF8QPeVwNRZydv5uHwEgCNNumkN4un,2jSm4GuGJTGPvMt3wjitY4VLxMDByMQjqZ4cH8ReDm4Z
7LZ7epD7Gfm76UBTDQKih3eeewbQJfKJiT2Zs1HkedXz,2YQjK3eVzmzxAd7tEAzfBiZ9XQBLh5UQxZvoUmQE3VeG
3gZ7bsWobXeGiLLWdict4zN9jQvFeLU8Erfi7y9g4Rzb,2RRgpEMkF89cBw1PQNE9G2yVMt3ukufQkXQtn4KpU5QF
AWeJqHoMrmJEiZgokwsi8MVFhhvAAqZTpcQ18BsjVXjh,2QJ9vC96K8nGVomnWL5QqBU7gpd7NFtGQcVKybTrhHzu
CZn3kipcB9vhFb1rua4jXfWD1QzpJLQJTiUiGqvDGTEx,TZdvaWGjQG5NjXg3Zm4z6srWQGCCgthbBnDoJ8WuLXe
B7KX6SD5hzFdgWWTqeSF8zgePXWw8hfHzqH8kemZ2PCU,T4mUYwSudA2yAbybkyxCbA94oDGGh43F5qxpwQD2dw5
95YbCH3BU1y3dcCKMaLDZNnymQYAkrjnBo2PYo1DYdE7,Q2w8ANZHwtLjjCJ7CbN1oPYqEQm42crmZhePVrG88gP
GYgRP6UccbkaKRZLDNjCCVSDt8mtad9P12umyNYBYmAn,DvrymKARxnxL7Tz1HagBpuk9Q9f3c3QfxpPqn3wCJLm
