owner,count
37tyAEMWypXRvdagephXYXBHBVus4UVpChot5cskCtQU,3
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,2
FB21Ctg3EqdKap5i9B2cFiMxmPs8SxMvoWoMzENM4f3t,1
EX1NwYiv36SyRwhRxRzSr4eE3JMZbyfmYrnjuM2Jbgf5,1
3HpunBhpvBWuH3jhNCnLuJciCfuSjsQVs2z7oKQZigqA,1
5vnoBoq4seHtFh9sjjEcNmBSciL4gtiUgT72iAp81Hw2,1
BBw2yWoiPBVV6vzo7GhrH2gh1CHWccmcJQRHNGfNw9vT,1
EjR4X2BMCsfMcXnQJ55JvdJGiYmabWpbB9mpnYudnEdp,1
232PpcrPc6Kz7geafvbRzt5HnHP4kX88yvzUCN69WXQC,1
GuYtBMQxSoLmMC7cMSZ341F9958k7oGGkv5ztsU985SX,1
GdM5EWkayF4VGdc4jxwiN7HXNBP12TrJJWB6rK2A34ZP,1
HKiNeY14zzN5y9pVh4MQqphopzbV6cyTkPtPyC17XtHt,1
4htoLjCKwkEzZeJoNsV4qomG4qMoHQMG5yKCk7ugv8rb,1
7hmdovzHL8mws1iu7jU7Eg8k2PCacWeVdFHTZ5wNhXBw,1
BS61tv1KbsPhns3ppU8pmWozfReZjhxFL2MPhBdDWNEm,1
Eg9Z1bhtqY2sjuLB72k9tLNWrjUHY6FsZuCb8CVKxey6,1
F8owpRdVD2GrHc3CKS5ySKpi5kPrBp1JEKP436LrPepn,1
HoFFumsPaa8q6RTr1vLaM5yGofq3eqAw9zf9jsrStaKA,1
Gj11mzihVe6t78KUSZcf61Tn5LD5AXRn21gRzr58DKTQ,1
4nYxgt5umwwU2fdcDQGBhL4u8AN298Z8KV2HKCL2P1QJ,1
GSG48EVjwhsFqYUYTUzvu9gEan5yBFo3qGJgPsYgLbGL,1
GXh5bfD2Dd5sMJEG37F9oVCDHYGUrHhebngGg55gLbop,1
CrtmbUg4FVZ1Y7QkyUS37h3yeZuUvAgfhMRwhyrE2wgG,1
2HKmEGg2eeqGpWU83yhAoxM38ous4msCmAThyyjh11ba,1
DzTmFfjJCjtpAiQt8CePyFouyeBUNF1s79ETicL6ZL4n,1
DJAMxUxz5YmnHvqEEEk44JDuRQshW3ky37xUmk5sfwS8,1
6jRCQUSLAVdFRKBamyGuXu2uZduqNwniytWoxh2HYaD7,1
3BwT2FzGAQzkkUx7WFWuTWajmqZt3VpNq8ZeVdAZ7Wvq,1
6dpSCv2X4StwxrkV9UGDZakb8aB9m2bHEiHrRGE7Vy2F,1
7ugegoXh9hq5astjfkJwHR7vFW16kKzYqWGZ3fED8NNb,1
Ceziid5Z1wsk8ZXkcgu6hYa9sKpYrvTydrVrHBakaQtd,1
