owner,count
7aHAyuLY7y1VzqyAVMNjGb9qwTigGsWYXhT9ArJR83D,9572
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,609
HWF3y7FVF78JJ8WVKKzNCxsjsoUznKtfbtC2nGGETsLs,408
5eAwGjxfHEEVHzrFfScbUcpcLM6JVzkSwWRyygRci9Fb,333
An2Mo6wAp79QrnRiNzwofibAs3ipMRmJBNfqmyUvdsJu,263
DDJ3XN1F2sGZRC7w78QshM4o8FoMCbsgxF9UivbgZPJJ,258
BQiDXgUfArhNeCn3Tbh39nP1MzjdkXxFBDzN9kduyADb,165
58n19J9ZmtMZa2gqBCr3PZ3CHwG5GmrxQYVaDZaTwD56,147
7AL2cFK4dKUNHs9ZnkuDs8i4UcQxYXbstEFQcPmmtf56,124
D9KqWDuzWntQZBs6D951HwGL8q2H9dK9SpMRAnPMsyQs,120
7t78oMVj6NoLbNPP9h8mbY33xgtqoDxzPF5YjM1QGGtm,101
H2sbw5HnCrJVz3uZizS8d4yQZF71gyekAz2FrfLaZfJZ,75
JCp5Wo5yLKH9iNbTzpMRx1ZZCnvinL2mwkAPGgb9AvAc,69
28cnqLTRMcvL9vrstqEg9CZtQh9nG4YoJL4mYXnxEzFX,67
7s2x6pQ9rzm6dF1VNnBGjjRqDUfubnCBpoqVtS4Na2GX,62
Hz43293311dtaKgSJLNLExUagLmHDzZTNvUDYpKEzZcX,52
Hu9L8UPsKPcD1PKvnz5yvUEFCCBYbqvsFhZMzNPkZm7c,52
Hu9wnJEUu3QcBiGYiLexYnG6gxhvg8uNE5hTD6pZAqCY,52
5gDX7LG1kF9xEmJyMfKeD7TJjY4tctL7tadE6hZxwKgs,51
5h6ono7wGCbdDra9b91gJbYsaVjzJHVK66fg6ugu5et2,50
3KJbT9236nhJqVV2MdndXeH4gejmDj7PuiVsaHwMKzxT,50
BJs52wEfMW3upRfpp2RPrVmcaVeCDLqGQZDfYSLnMgfX,50
9wvmxNAXScpb5CJKczxEHAqd3h42NCJZW7xerKk3w86c,46
6KyVqHXXkiA2qe9H3er7rusj3r7FTVzEUD8fWyw1QpXq,40
3wizDZ4k7yLqPE29A6v4YFfZFgm4oSYPdhEh3Fmx7qzL,36
7krpA97C6DVaeonJENk8Mgrc2NUDv47RQZU4fntPcrYk,36
6uwMdqyfRAaQg91kRoGxsv7NyByKvCNsNRwzzGMcxeee,31
2WMpAQXZ6XfpPyoqtxvCMuwAWaLMmh7DNG9ZD5oiA8Yv,30
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,28
8nas2AfV6DkbxVGBrgA6DjWfHXeJqY3ZBYFVnQXJy3eD,27
D6G8nRsJ9a89oqn5h8K2mzScB7ePmuWDt6JqJJanUeL2,27
7BPnp5M74HXWXxAmLCSB9VMUnXN8VJmUnZpU31X3QkCQ,25
5dAa1WBTRKRphTm5NPGK3itDN1voCtY6ESBNNDxGNF5z,23
J1CMxUd1CMPK8A4u4ivJqSkae4piceGvvi4NRCt8XcFj,21
GnCabtUhW2TaeP8ycuKYfBR7hhtjqCyWS2zZzGEGryYt,21
CnQxfVuVYgS1e9B5RGAa7Ktf3zMGvEYSwZ4zrLa9sY3R,21
FW5de9xm4UGmuKVWQJEyiuiAxbf2ybxbaBa9xXDMALww,21
4MARagGkh6Ci2F7yL1AzZjBszH5NyH134VwYLqHixRAf,20
3jy4RvVbLvAm1QdyjoDAQq2wGoxydMwYNhvyuWeDPu82,20
8MKohrWtfdUrLaJpZ9P5mJJ35oZk5ZzsJXtS2aJvxuxA,18
FQW73HmEX5NBfsvPX9vTZ29m5sNkd5EVCBEULBd8oFJo,18
2brCKeDv6GAB7Ghn54EqNZR4cpXRS8CWhJm2dsVzpPoM,18
9HFEmaSUnTewSKXQCC7V2nyCBnTy7fsR1yyMiY8BCZF6,18
HKzzArVPzJkVdiLpaKiFuDMHVzHZ6y3v2o5SzWPHTRLR,17
4JVT8T24AuutdJnDCSFP8aoHCVRcz2MgCmJPE6Kggdvi,17
