owner,count
7SRVHKDL8YwMYiq9Bn1CwrsDtaLdPmC1PQJqv5sokqGN,6
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,4
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,3
Ez2U27TRScksd6q7xoVgX44gX9HAjviN2cdKAL3cFBFE,1
HFQ2z26nBwdBGdeYj7uBz9ozKuyYPEEAar7xxFXGR1Pe,1
BACJ68NuawFRuMbg5d4ooeSwoXZrHUeif88ocw7tBM5P,1
8BXx8o9QfJ2CSC8DMynxmTQuX6xyMtgjwBdWKf4UbrqM,1
GNAukYQFieUryRnf1TPrEVXRwJ4NAXeWzhLAgBmv5Yjr,1
8okzSDcbSHBH74pggsGWDDrU7rUzER5t8LfEJz9SdkLF,1
Hzd2c7KfhLW35FiqFF7t3BsrS3fr9aCLMqh8Nw7hyGsW,1
2XCpPxiPLTrqJhce63CwnAqR8n7otG3sNEGfpiqamuYt,1
CTe9kaDxyGimSE9ZnUabGmi1H3L2FeFCZgTXo1N3x9Zv,1
E7MwrNbFtDaymDxa5ah69z1EyynFkWKrWnrGNSuL8BUo,1
BwTsrCysuz4UrNjzFyBtgkVJeB11KvaTBWNWKbkCazkE,1
Gt7MgNQ5Cmt4hBucW9568wzLU9ZjYxBHkTErNdjLBcMA,1
6rF7ZEs84kAEA3bxcHeFJ2ej4vQxyhc5NrRpTvwkreTp,1
5VPLaiAwbrig2mtVNkNoLmAxKGFxiD1CDMoqvAkqhZzy,1
2aG4YxqynnYZAf3kaE66CqztJ6hXNNVnK9XN8iNwwFng,1
BFvLq3gN8aRMLHygobRoGnmTwSooyeByZx63RPViMxhj,1
4FcZ9AkCipq8RSG4ozGoukcqpEq2oK6cGpHJK18yEHvT,1
2HZZZL5ZXvBzT6w9pBYv9t22gKKekV5UGwQksD1LSosS,1
9fVu5HvhX2zBr1bGUYcRcxWfrGpzeCH5dsgi5aqS8W7f,1
CzDvEeEL8PWktErSofdDJLkE2JepnrMYQcGpY3ZRT1Ta,1
DH7o77d6uV7tXKRjfag98wDKvUipersLSjyicgQuNkLD,1
ECy1ZhnNrAhokCb2YDhLMkksmAUzDqoT3yCwbbJpLFzv,1
HGCA63GLV9o1SR7Bfjo3dUmUbttoEadBhU4cNXmekezR,1
7LJuDBm2JUgc4dek8AaVkNYpXUw2fmFUAKFGF9q9NJc5,1
GwyT2sNE3gF2PkvHtgjAmERmSz3enVf2qiL66gw6ZWqs,1
95TrE1EqeHDRz6fY2KkfwLMp4KmuSGzDseddFYqWHvRX,1
D38TbNSE5RVS7eaeU4YnkR4dbdRnuRSw2MqWos8f4XhL,1
6Fqkb9UC4jsm95ekE7dMpNVJiVb7VMpCLWcHVxnpoVkL,1
Hp7ULhw4iynnKHfz4vtcyHiTSzumozqFCUpikC8FfyTL,1
9fyRmY3yvSatBVadP27B63rzxgKTgjNAtqwaJnfgqQqE,1
4DXamFZbniDMSCSjt6usP1xPWhpbQ7TaejVJWastrjEK,1
ES5TFzkyXAMSsBMiTErXUDobiQcyu3SwAaa4afuLTZJ5,1
BjmjAVb2YRwSeF2YYCqiUJHoGiHByFra4pjnpsfxaazD,1
AykVDL2en6LqHtZaF1wczzCJ5g2F7bAH3GBYhZUTDZ1j,1
HfBN2Vj9kZ99T9cRQVj5MbS34Cwyh3iiuSNoWsh5SDZE,1
4DVEq2YcmRpbEhVDyLrAy3mbmdFThW9fs2K2uJoik18N,1
8hKpJpxbrXYUguf4SvofPtP4bbknXBFE95u7K5Lemta4,1
5QtqzXJDQbbVZrrWJhWcEFMZpCkcEM4WqBJLbGiPTQy5,1
BREkjhZVv1W6JjzjSdGE17EbyDA4koDoe6cVnQd6Czvz,1
GZg5uyDG5QSgVuprPzjFek6HboB9abHoXAaUCvxJTBC2,1
CPgJaANeNadhJj261hV89LAAcJL3v1f5mM8TVDxpBGmz,1
Eka2F5otfThVvnPYHkFBg8JAUc7fZJHgxuBBXjKnahCz,1
9YEdbHMQTUvHBXd7z7Q4KJGfZoL6DGPn7R9zoDyh5GhX,1
4khoEeQcJy6xy5ACGNsFqnyHnPtPnr8dtLd1dJoYLAxz,1
6J81KgSBU1WeURtGk8rGfAfcMzmuinG6xrkns7pgTPxr,1
FevvcbTbZKJJmbG85PUTrb2uEhpRXjVmdTiSLP9X32pk,1
9FbDHwS6zLYgP3MPCCHJJC76Hz5ajSiKeKQQgEEqVWUY,1
CRS5xXLM8ydMUSPCA4u9WHkdHthWvvVrfPvQAdRSYJHN,1
GQHbfaW7NyUvMidFhLRkFrnm8JLcXJ5CbXJgREvtz6vj,1
8cwGjrhJchYvyf4E5sy2AUZJr8hhXLqZcK8VrQfwZnt,1
HMAkZcbB5ebc8CgQR7sPkcGkFqbrupK5X2huQ4Hthfwh,1
6oTEhnuj4FsA4BVGePodYH2iJp2awYywfpuFQh82q1L3,1
4Da6xDrsp65ckqS2Ejv8sbewbBjiULr4n8MDLAJGhiaZ,1
3R3kP2ev6chEA58uYahxpcahmnsVtqMYuNu4Dz9SdKVT,1
