owner,count
4R5p1AphEpDadR96Eq3SmmHXt2DvBd298wHSLEB6DGo3,513
Dfr62LqbNCJPVNmdpU72AGKLajYp7ceTkKQzex3Vr6rb,498
G4Q18xFQSyEcySSf6i6aAXGPhm69sdy9m7U5MmuZ5QGx,461
41zetAYpmybNVX7omVTCyKJDZis3rEGuVyEwmrjasYYK,233
FYgH6TXkRYjxTmcyfLSXxu2ydf1ZRrQYiWANAMoMhpmD,225
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,143
8wAegPe9jkNhwyKH5NSD1JiG7dDcsnWW5hw3kWAriYyA,135
GbFzfaZv7kPnkvMqWdmrg6oQuRHbvVEipjs5UNVPQK4C,100
8Lur6ZHpEfgtXcrWGBGjaXR4df7R4jw9qaRbSJLsheLw,100
7ZCdErVezhZ4DMA59oLkwqTyeekrgt3xv1jhP5HS1U1q,100
3YbZpUUnGkaNLWEgcKcEatySY6zdV7x5NKZGCNcA7274,84
23xrRTYdTmosbC8Z3oeG4C2522j2jqhqTCHR5V7fNexb,82
4STvkUCohtbrBmm4JuWP8F8FxPRwg7CGwYP8QS1J4KNY,75
6LY1t9qw1wP1aiwfGvPkxQL7LrpWVDYsM3uPfip9vrCh,67
6ty4jnCsA2hhAFN7ym8VEEGvmo1XCgkC3esVKEBYSM4c,65
KzcZ2HJc4m5Q7n38CGs2HgVyReyvRmVPPdicxWkVamw,58
7hQyfXBXauoUNqWs9R7NQnj35CWiWnNEvtqyxUgeR74F,46
7FsJ4w52h5De1CAgSqRrRzTte6v4zVqy4Ks4JCQobXrR,43
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,36
4WDQcAEVn9JzRabtf5vtn7aFi59bFCous4LiXsqA4Wav,32
9LXbfw249HSAcmAzRfMoufBoZYWGk4C7EDFP1ubmBsHw,30
mWWsoNqDCTZLAohpxbH4hkbuvhLTPJWpTY7UNju9M2V,30
fVdNxGvxqFMbj68HD4x6mmaKBTBAvUSJ3rjzRGBNfFf,28
911MTbi97jDiqCwrtP6tDPx9FuC8HSETboTKcSfcqtpT,26
9gqgm9tPYVo7eruLBcx6Qbs4xQp8tyTixFRxzbVeNneS,25
59MPK1LnkhD64Evb8Hw1E9zeT4WcpmGsd25sCqyYkvRe,23
6Fqkb9UC4jsm95ekE7dMpNVJiVb7VMpCLWcHVxnpoVkL,22
2dyoGm9pXjUk6MoEHiEWzYp9xwbQgTEWVdrG41bCwoMz,22
JSBx99kVZxAGG4sTm81wZRPMWfjn4fLN2KH8Cor1UGd,20
DjXKETEYzkkG6YzegWgy78vpaPH1eBxaiGTVoQrkQNFP,20
4nftFjLmRSZtKAAAiZspjiiLQ3WjeBSzCB57vcskVBAj,19
7qqH2DArViNSZ4wfCjPyfdP1iTv98Z4LpDvCDwFkYRMe,18
D4FsQXcnJrGSKZuoJudnYNNHQajhARTALEsJ2C6fP3E9,18
Echtvk4sc8reyx9C8npSSbG968Q2ZQeMEzZZ2BVQFGo9,17
6zrgj6JxTY95RQapGnPb1Dq9ezBgzzVa8QfGzyaKrvTh,16
5H4PUxF8PJSBentHPHLuohhCKgHf5wCnZxz1u9kc5mqb,16
2kje6BxnreCWofYBvQUpuigJmNJwCTa52i8V6VXkPxZz,16
nMnN7Lu8RxkoCAQ5jXGcoHkmPzEEHBGdfEpP6DNRT2Z,16
8rjBZep7iTKBec3fHXh3KaK47gmujbvGQzVqZ18TeS5W,15
ByK9REszeehpyQwZbCU6ndfpUhSunP8m35bvdfNrbQp9,15
88nuCLNA4bop9rwS7P7HpXrAXjxEjLzFhfkv9ojhGWxz,15
BVZa992V4hbixxoBApgR9ZLiMjgKT24SqCsDvYRmA87K,14
8XCUnZ2Er44sD34xzH1iaiZTfKY7e8mAatLBvhPySm2Q,14
BrdK3RuowPHsxmuzsSgyZBLSB6A1erztn2Sj5U9Ab4Wf,14
AKQ7emDc9MtLieraXsy5ELJMCcMtbMs7YLFEdGwfPZj1,13
FFkaMFNr4jK8meScjhNczH44vocosnYsN7DNxAS31N91,13
Ei5x1wiMPY23ASMrzEkGFJd9pbq2A4uacLoUv6NwxQzo,12
9fYhrf7NrxGt6Rs15bhNjYc9VPiZukh3zMLniM4arNqn,12
AP4bgDbfMAfEue84kTt5VcSbYYxeqEFsEN2FB4C4akK,12
FevvcbTbZKJJmbG85PUTrb2uEhpRXjVmdTiSLP9X32pk,12
