owner,nftmint
AthaKYrHCCT1tk84p7eyqPD9ZE7foX9UWQFPd6j48RyC,JE9WBDvKW35EkzPJhRfYXniBuPNZNZ5XbWVYfojwYRg5
HW94zzUVXLKrMzfvRXJHhp8US85KvbXRRYtfddgaGHwJ,JDym4FjmtreMrfUAyYAh6xYtjrsU6LAacn8voXSTQy8Q
68R2FMceXBHPE1dwnDEd7u4DAqUcXTEq6wkvSvrVgbbA,JDtp5ce3hGtYc4ksCFFFW9HqKVLoS33SiLe6otDYHwJX
CVQyfnDyM5FWPwJt5r9PHuxyzqgYFytwxio7g8u4F32a,JDmuV21XvNBV4fu1g7NBLHYkGRx8tTSvtPA71NksY3bT
HJ5dGEcviTz8v1W7JWvsxV1kExLeCvD8sAkoNp1vDF89,JDSvVtQsbj9Zwb3VneJv6qmp7kERTsKax8M3RZoW2gtX
13gP8Vq9rPptduu4JtmCKYtRmBGwUfbeo3doHXL4q7Rb,JCiCY6P9nm8CGtyTxALkuKuC2xzGHudrKD9V8sMWGUNT
34ZNBsSiehTzFSiGFqFmYP8rpUde8Peiq2mBJJHeUeQG,JCSqUz8WGm3LD8ZFEeCQJNryRF4Tc1ALWyvwBpfQQQog
8zwn2J7oqXstbHUjYrhGnDTXKYQeSGU19mSAuENwFn51,JBqX3Wjns9NEviNfnQhxB9EbyPGttD85YZFP1DeyWyxd
39gJgdnbmtv1LaGCgnKgV9HN97mKG9AxtW4mxRPKXezJ,JBqAETV12iPceyEZMT6fonGV7gWWMZZ4U4se7cXdmj98
34ZNBsSiehTzFSiGFqFmYP8rpUde8Peiq2mBJJHeUeQG,JBnXEt5xrcNRUs5FxquhoWXgpUTxzqd7KGpRuj5v5cH5
34ZNBsSiehTzFSiGFqFmYP8rpUde8Peiq2mBJJHeUeQG,JBkTxDheJTowPYt2NRDspntJbyeXm6HHbhJKGipNYbRV
2MRdcquh9uW8AWFTDstGAd3GSTWRWBddkBYCycQRywqZ,JAySJrH7UNoxMshNJAcYsMZtT8r5PqDtBXfQh5fRiXf3
95gfEY1e26nQQRsRkSHoufxdLfgoxhFhss1ECA1nNGTF,JAmKNnAt3bbKHSAzReNbz8CqJffnaoxSUdMaWpXRFM7j
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,JAe7aLC9EFUZPnSCJiXteMqFjRxXsBzzgqXsYwpJj1sH
77orh7Fx89rXHmi8g6qB5Efe3Bb5YURGHPSf8Wtv2vLi,JAYbkMbGb4Nr1n59GrfQUcsYjKMhkPQn4Nr7c4z1GoFd
FCUDBMhdTvSeD4TdR8zw9r4ZR9TcFABp9tDDdRm14Q97,J9hKamPsSBT9g769D4M4PjdLAddg1F6sfoCBDm5YLY5A
HKHQZwJvDGgN1GmywrYpMDj6PQX7a3sVJoveu3FpPMmY,J9baoW5eEoFLhev2HXzTRFY4FWPzoR8Yfu2csrN6rLQ5
9MzLm6jRsFizYNUzzT5xe9Av2viYBc84hhWwWt1oAycK,J8GqVofmMGMTW8vBWA8axBtsJnKdDamSFnkAgcdfqm7T
8zwn2J7oqXstbHUjYrhGnDTXKYQeSGU19mSAuENwFn51,J8DJ6StJqzNYE8boDQ5LQLEbsDa45aBHc46JU2BmuoMH
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,J81A5w4kMN481q8XQYDguJyktWTggB2QzBp65vJHXhTg
