owner,count
34ZNBsSiehTzFSiGFqFmYP8rpUde8Peiq2mBJJHeUeQG,217
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,212
HNUGBKPFB3uyAJfJG6cVXhEu5fzRnfRfgvV2bqfwXNR2,116
68R2FMceXBHPE1dwnDEd7u4DAqUcXTEq6wkvSvrVgbbA,110
8zwn2J7oqXstbHUjYrhGnDTXKYQeSGU19mSAuENwFn51,81
3pGzL3hNQUcHqQJd1NX7Gg4jMqKH2wy2SQJP6pzBincD,81
8NCaW6dhEexbexPS9zhYGoEVAepEjBwRzXxUGf1AvhK2,78
8ghjgXBDMqjiEXx3Y83QizuyafvhqysN17Z3jwmoiGNE,72
12au67n5qgnNk9kCeNicQs4dpatg4nGAeaD96AxF9Tkz,71
He9vRAZ3WnvJQGxqfJQbzHcdB8Yky9NCRZYhf17Ze1uq,53
95gfEY1e26nQQRsRkSHoufxdLfgoxhFhss1ECA1nNGTF,49
9kUrDijTbaQK3G8BonxsuZCw41ph6aBpjb3WFnZ7hw7t,47
EJiiTded8cJRYbub6ivGtT5m5VJHCA15jPcVzTsRMw3t,42
Hr31mmEsjg6eqZFGHZWtCcv7msrz9ZqTkHF5Gp2BmdGV,37
Da1on881zWJ5FdcxfuL4bmAVizTHfTeC8TEuWXU8HRBj,34
ANXaWmVgFPKa1ngqx1KnUhKi6Xi81B9KXvmp8cKqtqcp,31
H7VKRDcjU3WFjdBFM45dRQHwgpQFHhC7kjH9L37JHfPP,28
3jbDDZhAF9MbsrEJCgvARcWQL8ke2aTEsaJjxUvw82E5,25
9MzLm6jRsFizYNUzzT5xe9Av2viYBc84hhWwWt1oAycK,24
BM7VgVTvJie7oTgKqxfz7S5AGSz2kooH8Rpe1v3JkUYu,22
ngVMwhjF9DXGmXqW7Zs34gyT4BMsV2GqJPyRD4Wxhqm,20
34immgGS9iPsQCgwq2jGLVUHpdhkvLDB8DZodLVPPskn,20
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,19
7STRypBqZ7cUUaatPfCP89nUiND2KXxFQWE7xrS1ruUV,19
8it8yz4z3PJwNBfnKW54gYVpBt7GtyduVX8Aoknu1H9T,16
BUx8jJZxMVfDfDXsbuB92NWuD8pXkY2BsnkZaJWJ5Vk1,16
CRrqCCYrzQzZezvkRC25BZpFNNUp5S7ixLRA4oL6aMqV,16
AZMWfWBdMhA2FNr3tH4Bo7GZsfwkt5YFcHHcLF12jZAT,15
HEJQ6CXSJd2WnSuyPjbhWLqsFkPL2QCJHvrCzkYDSXdb,14
45v5Qsn5pwdojEJPYRxxoTFxdSFvzLrTgCEqp1tNXywt,14
CBTowfX6zwBjg4CyCXhE6jciNkGRxFMBPTDw6zZZxHL1,12
22ZCa7ZGBF2hJBbHsTakpgbRzoFBzLGBLSA181C82rPK,11
2mVprgBjgxL91h2WA2tPcCAZSKQGLip9vXY4i4CF7ZaH,11
Ehbxj8aKsiGnnBMRFMA6qj82Hg3o3nNfqW1tBtxwgDCA,11
J6mgv2skgw9eq3XQnwnKnmkCwYGCva616q4X5XUr54hD,10
ETHLepYdXDzbEbMJo4rTxVqk36sx332dm6HckpUogByS,10
8PMikrKUqWLFSQexUBPBdW2ZhB85WnhPcGMp7dHzFb8L,10
AANwD74mjNTsuY5V7GJwMd75jCkAhbbSXg9uW4ip2TUc,10
CPfHjBc19U5Ka1HUcjK6CbDWEJvY3dic54V3vbgDGgEc,9
E4vPpuSdKSZG8HvpndJQbmnMw2r6c1sxXuR6AAT2FeaB,9
Aw5XXpSG78xGineAMZPe1wpX9LbwhbAhnHxqEsAxZjFv,9
7HLjfngPUj5inDWLqc6Bu4vWS6HQx3C2ttvrtRDUAngb,9
B1YHcWb373kpHqgM6Srm1oreLzHrf7jpmsM35St6aSaW,9
b49VKJYzoGpRmHUEufwyhfVrdVBEuemmQvzchPtpAiz,9
HT7kJqBpVHEpoQ6L84QoDeRbiQBqjtbDH2JWWWKQz4QT,8
G1VAVGN1iV2QzCzqKvURCdjaGrkefyn1iohvyt9cfphh,8
DouhZqu867kSDJ72Fn4NNx2UDHSiHNbzUQQ93FKfiyuX,8
2cc3UirVpHshgX1SxJkRmNhjG3VHYBMEeNGp1XkA4BdR,8
HZu7U3WwubqxkZPQf5KXsgZbeidmWDCZAqs1Q8KWQW4x,8
y7f4BzKE6N93DRkHTXJfWTygWkSBXGnNxQxBSeVgvf1,8
13gP8Vq9rPptduu4JtmCKYtRmBGwUfbeo3doHXL4q7Rb,7
91UVK5nbyWfz9bXwrcicYKeBfkdR82TNHZfj3NQJoeAq,7
3WAnJjZBXgRi9fo4kF6ARiCTyoFDepoknaEzKZUtzN4V,7
82VbpX1KHQ7KNpC37UQkn9chKPeSHRPzUdbro8RTGADL,7
8yDT47DvLCcryqqjATuhadvY7MiTKrrbnP1D2QuoHBo5,6
HhLNjmnbxJfjn2MzZ1J4vdCgFAmx9grBcs96EYceg5uk,6
FSkUFA3rKv4pqQe1qA3QJbCf1ZDLNqYea3uwkCtAc4S6,6
54grbLQHZsNK4qTyXb8kXAU12Af9QUNFMujuzLLHHHef,6
3g6U1nG1aTnYkoENK3xdGMkne2JWJZQ1LLRAztnRU7pU,6
C6fMA7tuZoAnv9cNPC7eo4BPPVX4Dzsp1trPxJYqnYiz,6
8o5o9od5VpLDFMc8JqT3CDtqgw11oeUiAvquLQRKu8R2,6
DhaEKjZDEzqzHbBgJBacM4WPKRqCZcAxts7coL1Jz5nG,6
5ZwkZ4ncCeo5gLKbcZjNFdYRF4Fer3majQnT4srtuVTu,6
EH4n42EPgdKQUPUFWzB3XHKv6XPfWwizyy2zwHiMUbCq,6
9bP2euDFPaihT484iSZaYCwvGBWsKGLpqJCRh7nQGPaA,6
8QEpoDywv2XBHjwMGhWT9Z8R6MyYPmdotEwdNcevGM3E,6
A67UsxaSwE3ZSoRqf2HUcQhPChNsSjdfVtv2M3oncCdH,6
EW5DPLdLkUMbXJf1JBQgEmXtc6JWDv5ThC1GgNuptwdd,6
9yCsfHZTxeUH9StapvNsRLSUQLfqCqwc8TMF3oVKHFrZ,6
39gJgdnbmtv1LaGCgnKgV9HN97mKG9AxtW4mxRPKXezJ,5
FCUDBMhdTvSeD4TdR8zw9r4ZR9TcFABp9tDDdRm14Q97,5
6rHRF8qFEJ7uBCTkgRPhsPiWJDtQX2uZCPJxzXDZArbn,5
85ypJ9juRv7fXSMmqobCKo43wEhuYTh6GeuG2ez61qtG,5
2jnfWFEAL9qmRZAXT2u8qwxNCGk5H6La96vNeKZ684n2,5
8EsDz44PvRAnQZpurPS35mYPUa78tUsXCFD5Zdwdqmhp,5
3xSxBVwNCUq5paYjv7DrhZ63dLm8ayBCFWmQPz3YhH7g,5
EwhJwcXjMYGFbCH4jnS9CMGGfuAwgCqJH5fL5Fv9B523,5
H48EDPyj5x3rQPtj1z2PazZRsXctFmRR6jD6Tnr5JP34,5
BLsn1NAxgWFeQEnrgb6FRgfeLQzd2zdbQRBYR8MW67Vk,5
9tj4JZKghiF2UGm2eKv1GAPKYXyimmyXXqS8ncvb71oV,5
5EiH8hMjiiGHd1Sav1rWKipEPsk6ZVK3kENL8BH9Yo8S,5
DqkYk5eyxPv8B4B7h6uphZUZCEjmeYskFaBv7mY3CXH7,5
BRX7SRcaHATExByBsBmCHUXqJzdB4MHsp4RtoZA6XkzL,5
G83HF9J2SWNRH9b84s2unfywYVkw4xEd6x1Hs8XpLLtz,5
5w38CdLsGejAJcLWTS4g4NHMYee42yG428dBpLWNp4aU,5
C5FEKJkUAyft75Qy5pdovXYG1SmW3UkQnVvuMWnWBRPZ,5
GKWX4SAXbtHjgCYshBj3p3YF1CZhHuS3WrvqE9JFJ5Tw,5
CFSEyZQs6rTfyFbc1Kzu4bXkyponbmGh81QjXgnUqbFX,5
BkfNzKSYAwT2fbVJCfsuxZfm5oMaeatAWztcDKzC7HD3,5
5msNYrJebJ8CxWhkoFmQqM3ggiU8B87Bz32t1RN7W8VC,5
8zFq2h7sq6D8xjv3ZYgWML4e91YgbENgzaMMFb8KKXMQ,5
9gtFnDDZQHm15npaoAELc6hpKSPFpAPpzTFF7vKCwV4o,5
EwkYAjPGzEDvJiSF9LEtXwuZioaCm2P82qA5J5ddMpRn,5
77orh7Fx89rXHmi8g6qB5Efe3Bb5YURGHPSf8Wtv2vLi,4
HKHQZwJvDGgN1GmywrYpMDj6PQX7a3sVJoveu3FpPMmY,4
BLrosziLi9426a31anBcNeEizXjk1FHfNAwUpa9CuqEc,4
BcrtK6QqwCjVdEZAVQh9xfAh51GPwbj6jRm3iX6MbXa5,4
J6ZV478hi5UgeNS1PLzGZUDr7JycpimKTVmDtU2kVXMM,4
dw6SMbwhbcXii7mNaT9ib7iQwB2xWjP9WAhfmwqWV99,4
A4qEHoTELLYhh9G5eR4uXafcATsYu1vQmGsHTmoHhhj3,4
7pDsmc1seCdVyCCXGLKBAxrmzSKVFVtjhkY42FJdkGyY,4
6iNvTxP3i2U6L3VUbij397oj5RXchSbLbrKow1PvN2Pk,4
CRBqQXJtrEPgB2mS9hp7vQZ2HnJnEyWgKTrbvdHzHar7,4
CgKZA3GVDjyKihStxnLCBsP7maakXcLQHbyYup43p3TQ,4
Bp89T2mTKiejKoDhVQ9GQ76n4i6Dn6ae5FJRFmgxNW7F,4
6UpUHTdbo1FMfeeqFTuPFwbYDps4EJspb78jb1ZyDbL7,4
GYrL93tJi6vGcLLSwaCEmTWzxPU7F1fW86QKaUxyXFLM,4
6G6kXbPpLqa5nWbaBsfzvjKK5wrhh1kw6PHjGmmz5BjZ,4
E5uV3w7NJZDq5KZRPteG4uiNiu6SfAQ56WGCZmUPaso6,4
6DT5oQ8sNqzQrdnPMMaPvcM269njXShpTk72a9Z9r6qv,4
6dmAdJVGLKmgfcSA1qvRePXvditPjXsKiM3zkCj6Adx1,4
3mojo9TPeP9xFPQdfbHbTLV7DMhSMRoWZYYADSCPSH6F,4
AvB1xkHeWxEkMvpe6BhcYLnYPWgzee1cupvKQHVD8Ghb,4
23GugJi9fY5pfYeHWzr9CgrWAKUwMr68iCf2pyLCFqaH,4
BHQPxSYoTNiYyWQvPq2EPMRgHEWCguT2aA5uZrYq74Mf,4
CvYfJ2cuX1pXrfuViepFhqX1tkW7jzSKQLdm7WS2fGLu,4
5QGFJbHbPiToyRGhhwcnMtMKMwNc7L1jNpnDUSCzTXg5,4
BXGDL3VmQvkwEiVxVHrwqvCEDBKhZd4mgo54wJxapCj3,4
6dt48K6A5K4tgsbACYV1Mupw7SvFkDjFPnimX66EPCDK,4
CVQyfnDyM5FWPwJt5r9PHuxyzqgYFytwxio7g8u4F32a,3
HJ5dGEcviTz8v1W7JWvsxV1kExLeCvD8sAkoNp1vDF89,3
BoSywizMDSkTtt4XVHSJVwHcVJcSZ9qM8DB28XJ2ahXF,3
499vC8PLboAxsLmCV5RwwzqwPX2ztwrt4EaTQkXCXuNC,3
5TE8fLrAqgGDtHCgkGgNnRmYUSSNPVp1GgJGEiJk3iFz,3
EiThKFhpnUSwA8uBpHePQNH9acpXny2Vv7eJmDEMqXoZ,3
CUaBjoZYJTuh3XhNeCEFnpcmqBSKVoxg9x7UswragNE,3
6Z9DAAa13pixB4gWwyp18WJwEZkgEqWJrJ2hEbFF3X1U,3
GGJJGdqsKT7uMkBDXxR7upGUoL651uRSpLoku6UR6YB5,3
BTsL9xkyuhoMjViys3b2nW7PPRnUiTebHpa76VRkKnTo,3
DRxaxTq3siECodzNzcTBGpQNoZKFtAHPXDqVDi78ZNjD,3
4qT72mgNw8V9tdWrttTtz1mjPjWre5nRcdDXLwH5Nr9x,3
EhRaF4rc1s2uR9pgQAhKpqwLBuq5ZNjWH77WKc23bARf,3
3ooTnU4quRNztapYE5vVojHZSFqPeH2xnWC6mbbtAUSE,3
9WRnKtYZMnE5AHktncakUUQJB3nPXLS3dwi5YJN7rFJA,3
CJgTQhDCh6yVZKUMai1vkJwHkdb6vaJWV1HXsWu6LYMg,3
Hzw2VhfkzUwm6s1gRMDRoWFypnYT83pYupXLE9yEnaZm,3
4ZLL14KYDHHR4xJRbfJHh7USZEC1tVyXXoaGmfJDwGtV,3
9qEuzVfgN8aKsHGC9qRqFNSkyC4pfQPLGt74nNx7wJxw,3
9XcjUgbuH7gZfMrfJsdsqKuPUo7jSpBmiBaup2Tjrsws,3
Fkfmxmi4DNPne3Bv3mokkpXqPNg4jfajqqX92eTDNxjn,3
4yBYasMxFy3eQc8vZpmGe8KhF4ibRAVioh2vS2VHPDj8,3
BAwT8XCwhtgU9VMdChUZtt9MUmaxfqTMoXPU7rQuqeZJ,3
G6qtfMikDyzUSfhnzzZaRCUtEzPf9Yqb4Zuk15uoUbHA,3
HtJYknmJLFdR9Rm8pFNFuvFS7V7VCTvFwdsrsF7DAfz2,3
B1R1TRMn3tbSyWjAuM7QadFjNb9yppCZ4xMSdev9uAyK,3
8YwniPeiGDNuT55eyA8gdnKSHfD8Kfmi3yELHg1yWYqT,3
8KJPfnmsh9ExkKUF6crfiLBDXo87VxXEp9WFnkUjVEtY,3
6fRZuFGiKBY1YxrHwjPNfHA2UtGw7oB8rH8ynV5omvhC,3
BUhdf6wBTfGQXSUzESziwHdYQft67L4eDxEsUJcQMeFc,3
AvNY7Lo6upyb83zinDt1hemnspLLur8urWYiY6uddWmj,3
AGPVtd1Dxk9dVWsWTEUK4ZJYJ2byD897H98Kfbz8xLng,3
qT9aj9sbrNphbsL3gfU8scEwNCZZb8VMUcBTmEfz4gZ,3
y6QGsrXdUKFnCtujSuw7tVTsbmekwKLvVGiPAHAiywv,3
Fk2E4A6N5uTATDHETGnNwrnGxP6cEbn3zv45EuT44gL1,2
A8uCnrCJmFM2ZsrHuXsJSn2SKcZXihT7Ziw5Yahg5Ben,2
AhAoMcLLBxW2sLWjRLpgAosqZaMZXXib9rHHeirLV2QC,2
3qpRBZAnWejxfkW5BnNLehuW8PvQD7Hzez4v4h8PPgtm,2
6Tg8HXTLKdX7ccJ3h5caTdWoQtqYpsRGCPZqahSYGeun,2
CfZCzJgGSqYnbCvNgmE3j5R4CS8StYJaArSWTW6naFpv,2
8CxSvtpVQFohp9ps3wDWTyygUHqRAhFNKnXcmx2YhEr2,2
Bkpc18NA5mE6NmhiZLwcttygBteDHsPsFBCwmTqMtXmC,2
CWTXhAs6C6Rv2xMPiaiq22a37mdDn8PujLAwqPWK2fGP,2
GTnyivsC2K9uJQ6QP3D6QDYYy6Xb6ez4ewoG6LcomxMU,2
2nNpQB4q3kahwis4TjCb7wTzdjyS1AkM26sZuMvGMgGm,2
AGTS5AwoCkpv7AqXVSYyZaCkkFuDSgeP79TdaTewoEys,2
5F5Rf2Qsmcf36KmvP9V9Yanoay8vCNGHZgEPk7CbYYpT,2
6jTsMsw3eZZeZToFGni2P1q8kQVkQJjeKhPW2ndvGwCD,2
AETHkP8Zo6eSjcqmur7fVhvVkn3WCkeBKsbv7yeuy8U3,2
3yiSdEeuvRwR34c2zkDmxFSMPNQUbSpMjFaMbe47jhWU,2
2AQqqJrZcvrQd3vyL4ev4eUZr8UFjGNJ6UgsrKjzVSM6,2
8VazVBTPFou9geqjkmB8fXy95AArtHFtcY3kR6RF1UHg,2
36BAsy6om8QzPAzgYcmkEcEEuQyX8YY2aMi6wP9wkjji,2
DiV6uLUFgKBjDQQD5Ah8iCbvFSD5Ruh2oPDRphYHSS5W,2
deEVjmum9S2muA7h16QMn76FA37vjw7eZupdJDTGtNR,2
EeSpQFWue7cbyoPRCf19xAaUT27isQuJAbpzTjrF1tdM,2
F6xcBo9ANE1xzuzXqdwuRFddCJXShzjXqhdHrB9ARUgh,2
5yiSRPV6hrBvaUwjDX7k4GHMY1hQLE9B7zWyy1BYiqxd,2
Gyg5bqNj8fMUuw1rLndWaVxTvvQwwfr27x1DV94Hp6dw,2
H9nYsDs5YPkE2wH9tjL9wE9fvY918xEJ1VyxdaGDuCZY,2
8rk5D9iQt2xQaL7h6Ayt481qaGmQC2LbdLamdED2tHmf,2
5ws8TSt9EB3e1BqoKePky8p8AaJUxg5j1gP72Hz7FB7Q,2
J9jrTwY89wdhAqnu2XQAEL4wiRYNr7zK44pV4aeRj89D,2
3jU3v3hgPR1zowZg8ybk5Qp2BiwBYA1UcToz693miXx2,2
ApVA1FC9hgHwaFb9RQmut7z2B1JExjkkURgkR4zFDAoY,2
78zkjP85jGYHGhGwVYXw3MTwQKC7pKLCXBFAiWV6kM8j,2
9DWuwF5DX6b8Yg7EWA5xZsNmy1nUS5LNZKLP34DkG3Pf,2
7CvJdTHYNVqowMxAojkJEiQML7ogztnaGJwdw4MFKudk,2
HEDtSjER7zoyoekzAq6pbf7FZZywFRPs9AKrPAngnxho,2
CbRwn1DpQUVYgRkHgE1GX5stzpZ3wY5hCsVp4EMDKxRa,2
5eRPMe67N6iz1MPUELSanxMoJLRRXJ6bneRBhPHTuJBX,2
9gzRTnB4xDq4P5dvfLowDTviQfdJMdBVAGzpDibar6YM,2
8iyTE6PHh8DTQCeNF2EipUEN1aphM4A9h8Edj9jBUL2Z,2
e1AoGCaqE82LZstWpdm78EetNAfyqcrYMyYCtwfmKcK,2
2xY7PwdEhxhUzZ2zPCLcwmqhtDkYY2pUmxQtqN5aata6,2
