owner,count
FDiLdtmNPWG7JikuvgMqYF7umENSzqJJtoJHpSVGBnPQ,101
Fb8dJfGpizV2rb3c783DAvWnVrJTF8RZKcLvHPLUdn1a,100
1BWutmTvYPwDtmw9abTkS4Ssr8no61spGAvW1X6NDix,98
FvppoC3ae9GC6Lc3538rwuzmXfXVeb8Qo2uicEtMoxP6,51
FT9Lr22crwZRhTcco4m62a8fbrjVUqa4ppHPaCbeDTc1,49
85YK84ReFwLbpjBf5Pd16XuSHasvCzc5WQtTdsjdK6r9,43
BU8XpHexE7vJsmNXTkXL3fwmhzkirTwXo9uXbVu7Sni,38
DhfAkBZWMAmD6pYsWdpMb9Q7vKHQECv9m5eg6Yu9DZSj,37
2Q6xikZapyRmyA1fbpAw16RAtZhoUXsJw5BEk6CTUrTU,30
xW2Qpcyf2L7JQX8fGrXMt6wZ4Kfgvo1fb8D39JeMbQT,30
FjHzR9tggL3YzRKgfTWtbYSsAs2Nydu48z7xFAmtE1C9,27
4zdNGgAtFsW1cQgHqkiWyRsxaAgxrSRRynnuunxzjxue,25
6fPeCrroRH17Hra7tuztUJ3RUfbDETrrVYSmEyG19S1R,24
Dt3UgdJ2kFag3Dmb1DgSeKgYSDXBjnhDkVoapPHRtbXc,23
9bsqLuHSn1Gz6tcYjGHKbDAXoy5xvp6UTcgAo7d3oAuz,22
Echtvk4sc8reyx9C8npSSbG968Q2ZQeMEzZZ2BVQFGo9,22
5kmYpbL5SKJw5U6ijE5rKsS7z7g9ZJhKB5k1T8boPWzt,21
5RRzt5impbDhzGepEZj44JqTu7o6NmXNRKSM4rSQPX1z,21
HH5oT2AvhS2iyd4J1jGoaWiCbC5zzbpmehCsKSXdcjnB,20
8sFmZeZ3sDpNex3kJiF5z3XE59PgNDoP6eXwm97JCAxc,19
Gj15k2wbW4eswiyE7BEELTzYFXJ954JHzzggUzFErgry,18
DaSyY4Azzq6h7k3GxdCby9PdGsg6GvoCXp4XPgFrSjqt,18
2qu35BmQ98uRV8jSarry4ZTpTtYwveLx9ASzzMwBM5Ck,18
BYNp7VUPXNdYREe1E5Xd3mMPSNpYRkHWUcD4RXotHUG,18
68hjCvKxhKk5CUpeyFkXm2LVzkYYTkSt1eirPQSnC7Ay,17
C3jFGkvXpLLaT717HKBi6wnhpDKTe7eHyuGi7mZGxySH,17
AzFkVUJxCQ77xvbpzn28SSRer3MQWbuTTuXHyiNRN6ec,17
26XiuWDmXpj4btMCN8qJLM2Thik4BVU7VfA5orAUgQEF,14
AJxWoTnqez1BwBgxPPN315qnfq8Fhi16NfUn6BqiBuQy,14
6Fqkb9UC4jsm95ekE7dMpNVJiVb7VMpCLWcHVxnpoVkL,13
3jBd3p2HeyqwbXeqTtE8AfD1xYesxVEvUseNAeNjADZ3,12
5SNPWYJXMVv23atTMj2xNvqs8oSJ6Ue4Vkbnvn5CngAS,12
AchcRZsRyJ9MdTZDPsUyo15QEypKKKyLeitsPYfiYvyg,12
73DdHEcuEZ8MhmSdK2vJiHPR9sWwfBA9J1ZQ8MXHtdzD,12
E8CgzJCSj94wrfMS4Da7ZyqoTZmhhoYkkK3WdZ7JXaFY,12
GZg5uyDG5QSgVuprPzjFek6HboB9abHoXAaUCvxJTBC2,12
7s6g9JGg3P5vZMnW1NXqfCWMhz7q1ZYrJVaQL1CNsqmk,11
4piWQGJ4b6c6ukEzuxYCYWJk8b21fBGXTVT3nVR5FJjL,11
DrwaAEvSVYo1eP8KaQ2wMs4LcC52FioHPjfYw4nYfMvo,11
GPDJxGX4S9DmhtzyDbdQdBd33VNw3oMjv1ET9aeW7Er8,11
J3KAkrKMM429iJRAUm2t6Gweeta8qnnEY1iRMztZTMcU,10
2PS94D76WNetGuEP38AxX391WPwJR3Zn9DLinpaGmVDD,10
8bd4vS98hahqAs6pyxxoBts9syj61AYKWJtDK632zn6H,10
HgHX1o9CT1reaDGswR3mWywj1uw59N1jccUGAZQtbutZ,10
3uZbLCuwQ4dWqX5G6cUwBxyF41xL58CdAENRZJefn9Hh,10
GShK8kZ4KVTrzMYBe4UCiKU8d9QUFWsSz93Z3hGDe8wG,10
DNRrDnPWMKfQsSLCZCa9th1SBsd2n5TYAzqcfEGZafpH,10
7DC2JmnUPa4RnUMff9NmUWjp2psFYeNYQ9GufaEho2Cv,10
4vYBR1AkdtQ1hTeVyKyNMH8B1iaANYhnBaT1HbXx6zw6,10
BqAe2oQx9PMdawKAe1Jw8PPwWsFCfiLG71Gg3omU8u1e,9
HbVpCR5NRmXSZtbP1JazWiTscWsQxfyoneU2WdAR7Za8,9
FATDbVNCXx3TpMjXtQypqTA4nrJcLDjeJggkfZ8gzvaZ,9
GUkRs2gEr8jDcdi7kCd9mWffUxRLUPeJpfsKEWKVALdy,9
8rjBZep7iTKBec3fHXh3KaK47gmujbvGQzVqZ18TeS5W,8
C2koBfj7Lrku5Xe5JAnETSWoeFW34ReHdLWTZTj2m3iy,8
55QM7e2bJ1KskEM9ZX2ig1VZG9VGFWizTVABzf82SrFR,7
HWH5F8cLteBF2BEELMWZoZ3VQ1qrR3fxnb7VbSZ86aV6,7
5u7YxcfWvh2wMf5yQP1pujNmxQTohzSgp1w3umJXEASV,7
A1DZeL4TBtGvKb11ei4eBoAs1aRN9fB6wjgkLY8ER2dg,7
mWWsoNqDCTZLAohpxbH4hkbuvhLTPJWpTY7UNju9M2V,7
Dfc8UPuSpYtPaMLc7UjcUdMXkfW3X1yojDLzp26WVzWH,7
DWcFRJrpzsrn624983W3qTuYccYnwLnL582gQ8CLohvY,7
35rUwH1SmjkJCAtrDVdPXeo4D4ejm9VXHAD1K6pgfwnt,7
HLTaecCNtcZuReVbnPnEgkWpRGAKjpGHMX3VDhYV7YgX,6
5i9nPYuEZErLgeYxQfLCZ8a62nS37ocue91zDZpfw8fV,6
GZDZFmuPbpMmpey7RahXzWoE6exgF6uToRcEFzD8fQSE,6
4n3J58xezLUorD62tR2gDE4QSahsEmb6U1ZhF245dW5r,6
vGXmWxQ7NiDNymd6DvRQizoaC71NDS1XfPTkBvtRThb,6
AyohRtTUXSKFj4Wphik6NAcyRXQoG4eDmPtai4hCtyzi,6
3MMbPP7hewvCsWjdbq8GmknNgAxQ1z87qbtZaM7BDaXV,6
2afpXhJnC8GjhrXqe35vHobJKZd3KiG6gZGtB9VpSYCQ,6
8Kypb1jatQfZBKuFD8WWSLGTKpVuRAnfZoLRsaKGoHUE,6
FcKK8hoJa5hZo5Ue75A54y1bEvoHWt44PqQkp48vFaJJ,6
CifS4Rw8iLd1ApmAPgALnrCcXLECU6ewAoJeAbU2fzcP,5
7dckCLQsjiKAp7Tx1ekuX1K1619fN7XtQYEjT1extzSo,5
8GbDMiWNeSvK3q14akvpFCtDH4XwLM9ATJHS2ydqBTqN,5
GFyZoB8TEcg4zZcYjeLbWM3YrqmDw4GdmmvTQBi8oqq9,5
AMaybhkytr4eB1CwAbub4TWXRXsGWCYegfT4zSHgosi3,5
7oBj4pUzcNAH1SKpDbKZqChBWq86NcdKtFh7zKKJZd86,5
A7R41Hv2CCnspShP9mbT3kyKnBpJK4pp41Fj4UiKeWkx,5
6M78Y5bgWTsipiYszY9jMvHqGxJtzHHZkoye7kihzVHr,5
HwnDqr3H5CcfYMGQqC3c3hnPjf1jj8XgGoHkrY1ACdfH,5
FkuQdGyvdKBpo4me4DnFf9u1Wz3PUaG4yv5n6viRzMBz,5
85ZkWEGLTcXhvsRHoMfbcKT18xR8qi8Jj1ZHKaSyiHti,5
5fwUXV3bviv346gdUuG7HL9d9m29cr5gt15zdYpHp1pj,5
G3eheQwhdtdb971VzR3xQv6CxHcGLhCmtjfkkmfozjak,5
4nftFjLmRSZtKAAAiZspjiiLQ3WjeBSzCB57vcskVBAj,5
JSBx99kVZxAGG4sTm81wZRPMWfjn4fLN2KH8Cor1UGd,5
6yDHA4KqVqo8KNzRJZwpp54QhM6nQR7WyD88XDBXwJk1,5
6HZ5BjrnLRkxC1V5E8mW2t9V8SxPhzz1RM8mBUQxxQ7Q,4
93ccg27u1tHK1FzqoyRtaUVh3kRwbvYNJcz4NbWWSt1P,4
BdNMWL35qtTSckUQrnBy5tUCKvcQjBTMhdybDP551u6C,4
GBSLgRrVF7KBTmVzaZimt6quoi6a7QmcRmMBHArMYTX7,4
45a6jRcsnC9yXF1zzvu2KbqFSDxdtGA3hFigoC8NZHSz,4
9YoKcGjGQq6EErBYNVgKDoy3hKppK6uNDFRa4GLT92yV,4
DUyo5efa4j16CdJga7vbXtPLZRSSpfrNLrB9hXfkCALv,4
4GzSh5dzT6cy5PQQCrb2yfNah2XETRv9RobnG9Ng16Uk,4
2gWkQUaApvpdsHRGfVB6oYoTfaaD8wWGzTsJXC9hLF39,4
7uwUCfRg5oyBWKBSFcM3Rz8VtTW7u3h9ZbvF24b2FRFM,4
4rzPrKwC9ycPjKWkUnPsvYvyx4M2Jpwco5UD5oGx2MWV,4
68qZUb4UviBobRWxaMJQPjGzEpVkb6xuY5k3YMfU5zCN,4
5hSpZpSHBR5Mf8tafLF6Bz2Z3uDm2n8LsZgED6e1ZgB7,4
5RrfxsAXTHZHzqBkqdYH6kJAuWnek4bdLSKDRcdaVjmN,4
4khoEeQcJy6xy5ACGNsFqnyHnPtPnr8dtLd1dJoYLAxz,4
Hk7msejLhc3Ra7F5eGZE462YXs9VHjTMNHRDg2qhiiCC,4
5SEhicCmWywYKC4WsVmvE36jKayjSBEMoANCdvqufzC9,4
13SL6GULz6SnjAjzRdaArGrcHX4TWd4v66EKtWbYZi7r,4
3DKnStcKsThLN5kse9RmNWAmof81zRpEZzhkVs8zj7Uq,4
2Vrm2UPK4W2Ay4vXhBg8xo7jBnQZABtChh3rHbytzU1c,4
86yekMeEdBBqp9YS4udziRvSnoCBhgGXHdTa5R4i5cio,4
JGsER6vkXBReSyJbpH2vSyws4n8czRgmzeWTKCjep1h,4
CU3MJLRUvSZWCk228zYTDoQodTWoNir7E8nPWmKkSkGE,4
H1yoCzK1pYrxKXT6Bh8eaPrdHFPmkSYu6h22u9av26uL,4
8gQzxZtvM3GwAKR4YPbUqCbCL6f1pgJtMHaMe2ym9eHC,4
Fr1ro5htPoVfKe4jRBKVLbDjpUGqKrVxEsi8UpZPxDYZ,4
6hezBg94yF9Job3gb7PSgxvEbKPbwiZNMPLTDSRRkUFH,4
3t7GrFKEjY3Ef9dZdgqYNpfctRVkC413aN13EKx1Wwcx,4
CAH8MBL3B5L9XzyxF3srx6tM4V48MajtBoqLL9Ga7Rf9,4
BPBpowk2grgf2x95MZkRZhNwVhdW4eEMxkpUqPUk6Ak6,3
J1kuHGJF5FQey9eVYvBSaRFiWBH8u6RrLQnZmgHYjrQg,3
6MbGnUQRdXneLqPZUcBEYEfpF4zCBcvYPg4ojesD3ws9,3
B979a9nhMpQtdUm7eM754t6Ci3XR1s2QEbw2pWruFCZ3,3
F6qwQhpZGBdgSrZkBFWehtzWK5pRHa15ra7CAUZmPpxF,3
6QFmUMjs4RX8cmq11tD72UD8stkCzgaJopUkiib4NLXh,3
Ecg37N2jjaf1gm2fUPfTVLEPob5w9KnswJnkCkJS15eR,3
H8jQTnXqbyZ9keygdQDmonbEN8Ttxb3Cq4cBzxGk5cgQ,3
3o5MzmynZvxz4ZfmYmVLnChHCyRtRVmj1Aaca4FyaFm7,3
D3MXkHJGJGWMDTwxsEjwEzygr7FYjikMUzWQFcewdDpm,3
GHpmaYCQpsHdia7qJLzSANwCXjQGhBaqrjcJkQF1WxhA,3
5mvZFRMT4aguVvpQCKeaQiPD3tYeDiGaBzh1zC1hQNoH,3
2iVT6HPRieoMWED5WqYNMueSU5hSBUp7GRGzqX47NtUn,3
ez6u979Kis4N3oALByozLpdYmZBhLyZiKEx7D4TgWbF,3
4xRVhs1dHvEHrGUN1kRfSU2NvA1kAqR4UTw1Pg6Yi4e3,3
FBzLZUcQQx7PXymcg7Tt1uFdhberpTtYVqEH792i5Hpb,3
4ZWjQrKrTb3qXxR9ACaRpHdy4WazdTvhre63kKLLt7Lr,3
GvugKZrUqQ8b2g3DYDJNd4yqnFTTxGLYwhSVvTpgyd5J,3
GHAzzBHB744TLpQNBwuiyceSgWrnsuNgCVwNiBt96rVS,3
GCnsNEC59Er3FRMpdBVsWoJepNP2XpZKdLnngcd75M3G,3
Hev1svvAGVPbyAw6Bb8YshvvBomRvscbSEY18DpoPxF8,3
FWexLiFem7V19iRSmvNuJ9e43xm6QKBS8bsL88patVwQ,3
HCLf2PJbyoarCMQ9gdSwWPF3Sso2wxh1iwbeNftdAM2s,3
3LEAuhVasjqvvZTYGH9f3ELCewTAh3VUTQVkq19mz7NF,3
DqDksj1tbRAKmBhQCT9UBrRA2gi7r8i8TyKwYfg34roL,3
AwQM4hmepeZeCmnHLibA35Mvaj3Z4aVV6F6Duq3k6jT6,3
EotgvWEELpjkxXvc9VrvWsvYQM9GSW9U3HdG6eXqdhNm,3
555v9UUC4z6aJaU2zeX1ES6AiZBHXEUTVVbeUufy1QEb,3
FepBit8n3u4126z85RKSkgeA7h1GdnHTJbsVzgbH8qVb,3
98ccTMQkUkJGh3Q3anN5pFa34PeBecyzmsc4pMV42MKg,3
Fh9c4e5gtvWJowUCQy2BwHrNZcvUgFbMa2e5ik6KXikR,3
Fx1DGU8PHmQFn4zZUwiuMQomfaSHMLaSCaW7Yx82NbAm,3
DtYQwUSMn9AuHDPJPWcjZ1jsBp6nUfPj2hkwnaetRt3g,3
9EiZgoq483T2c5PEqQC79ACva6opzNNSTCGkZP6qiPTN,2
4cabgmJpDM8AHYTSzqyFLQ7p2SGEigwtuCkfPNqJhE5S,2
C4yo35zPv7x1MxRpMYeDzvAYYsaWur22mrZ282b54ySM,2
3PRscKDmrWrp3bkMDpkaGXhZWo5uyRZMqR9ecWLaDREi,2
7fa9Q7U7RRQFfG4w8Br8B3utg28EX3m1uGoQtEXg7eS5,2
AwxnQeEskNcZcR3oR75GMsyQN9wST1zCyK1TRkcktpVQ,2
3FTeNsneProe6ewTZrN3McP7MULggjbybJuqHauuF9mW,2
8s4yBZdaikdbwJA3SSXGWDC8vACwghXSRArfFFwfBm6,2
DRPeMowpMdNNLzmsq6TydXPiMUosLAgtcJGmxPAVDNYA,2
8B2tArEWo35YqqHKv4caDztShMBPP4FK8o8XmuEmiKe7,2
HazsuX3HbrGVNrbhdSx4RMZxnuhN1eENECeSKnjL1VMV,2
EJm3fZTL48r1XpRAqgHkVtwWFcBvZ8QkL4mUExjf4JZS,2
6goGeBKrdhJCLRcTdKY4bTbqGdKW5FXerz9hcfnhjGSk,2
5w5cGfKxNwxYWS3AEL9EDRpsF9EkVqj4hN3L1HcpsAJr,2
7iiwWT1Yvd18gDRX3P2c9QhArKKunnwZng81btQ3KgLY,2
EtWNam7b9i1jU87EVRZPzpbZVBab7MpPdivZ6oHy6BcN,2
84R4MzASbWiufm5wGbQP9mgq32Ndo2VWNV9297gaJJcW,2
Chpw2CMLVTm5yYZvdRAsCkFsDiZszJbqCMmyXcoYMDyy,2
9jEECaB7yMJZym86zCFTfyzpaLrdDDJcBgKYEmfpBcXe,2
3iBXmiPPozoVd3VhKGrCjH3R1TMG5fpzdv1uDrs4Q1A7,2
4vL9gR3nfhh3Gzg3kpyBQ9QfSirsJhqyFjVatkFSV2yg,2
5TtQwdrvWScZrsNxF7snYE9rNS3tkcVef4DBJsXndfRm,2
G46y1sADk9zrQStAxRu4W8ad1DK9ceccEzMVMCc2XUTM,2
AZkHPqyjzCx3FfTLVRNSjvLgtnpchUrZcJQfwKS9koJm,2
Bdz56n2b53VioBVVxSGabBd1WGZXyxEo5RN5QkQQ8yP8,2
3E924AfkxptCqm13Tm7vq2cJkLQDBiYsXTCBVf3vjwft,2
GK3SXJFkBsqzTyCpreNbXMJ89ZBMa9g2yJgH5xgmvkZT,2
GXAdZChgvHLgCwp5uSEkTDfHT8bmPYK8QibbtK3w2nZ1,2
5Bpa4tToxC6enfi8FrCjN38FDQc6edxf7rBNoKAfv83K,2
Hjz6pQZhmPFb3uMVf2ggTRU9hFpxQB6xxW9t5bi2P55x,2
8guaBkWV8YF6LjDE6mukK4SbZ9K3uQ8Y2sYAQzWHeRC3,2
6ny8vzuCpVuKd4Ei2CY9HWj8k6tRcVEULbmtjE8zHFqo,2
2cvvkGkdgBCJ64qr5xrtF7cD5VhfhU2sDJFxhE7meFV6,2
B1CQjxx2DwnDpCPrADNAV7FrCU4ZeWvUiEsZkpfjh3JS,2
Ds9ZESHreCg7FtSAbj2srajdbFPhcaEiyVEUdxjDD1rS,2
HTW7ed3Dmh5Mb5btuYz2b1XwzQYabjcPE7DRYPxUeF5S,2
FKhNzgSY8ZU12ydREfNGks97ew7dBgyRu2CWhrwnVZEy,2
78ztHyTQviFMDWUYHgkoH4PvTgt2wtiHXrZucysSxiY8,2
BLjtsrixbNWyDd3w5z33wyrttZ5MoqweSsnUJU9CBknJ,2
9T8nuteeVWqMHUGd5UnhgoTEC55W2oiSW5VehEqUMgsp,2
3c3VDcBQkjUMoQhRXa8NGLJxwpJ4n1oR25JNhxxfdMZ9,2
CsFxxD7pjeXt6FMGE8sT5LzMkNxxy6GztjxPFUsqBXeC,2
8hrnPfrEUgRKVRE6Q7bCHEsHHj2VpBWFPzPRa1hzkuYc,2
4ynhVo3L3B4r9PmMCbsx9KFXgYxTfcL9ZEy6mjbFELpW,2
4QZrTXjGfaGNxnxZzpKTmvKojQc6VFw6Bw56kjkq9aoC,2
51wuraRqTamzownwRA6FXahzhaXAAdaoKzP5dE7xGHcK,2
5LKmDC6wvZMpJuY3npwr4yNkPGQYJ2EZfRLguphiYkA2,2
GNdb7FNJfTznE3YnhA8zzzXGPzQZtqWE5uX5VuGmGfh3,2
6jKoMo97ify51J2ZdHNj8d8vBvU9VdQvNfBCyEUaqagC,2
EyGVD7qFHFNyG6Cs9vfGZa9UnPGShi3ae8GaPK1j9Mib,2
BusfckqbS9sxfBP3tU7EExdpGLX3EHDspaJWZectEwAy,2
2SkeDrTcQu9HQhRdRskaEAhzzPShQG9o7613BDWfNnZ8,2
59MPK1LnkhD64Evb8Hw1E9zeT4WcpmGsd25sCqyYkvRe,2
ET6F9cvtBPnkzoX7kdSPbRqzuVMUGVwUwokRL4DC4vtH,2
FweYVpbjvccrJYx6NxDvimxrLtju3XiopW2BbZGxP1KN,2
27XKk8czUfSt3kS1kWHZRCe88PSowKM3r6RRP3Po1m1u,2
3CwFNTQNsubFtBGNgnsvPW4EXP31uCmEDEiM35nDPCPL,2
77W6x8WYa5NGphid1EestzaeXK4bNqtRJJRbVsFiL6yo,2
8Dw3A4hE7kEYxruqw5Nd7GjcwLzKnCtXsXsJxtygJdbE,2
AK5gKnu9awqRvxPwA81tNsPvK3w8D3tNPrYhLwKtUcyS,2
7SKeebk8fA6m3QmoTrjLjNCp8KACcxqLXT17F2YJcbVX,2
Bc9xVcu6RY77EHHWrPPkKiLJQtdCfWTauyqFWry1cQt,2
A9sZ1fv41QEhog4VdYcbd7qnfPQaTrd1dLhooFgK57dQ,2
4STvkUCohtbrBmm4JuWP8F8FxPRwg7CGwYP8QS1J4KNY,2
EZrXLNqMNyNG6xwiSm16RV3jmJhE1tGWRFuwAhmT5GbV,2
FRURkrX8j5bXYhWng1HzkuFD5ihiGJD78mr6uczhq5cV,2
HZrhvqmJrnz9NcZW1ezy83Hs2sDSEXSFnkZaT6h3DrYS,2
A9KHxwCgS35QeVPBqtMvXrRfvLbaPXtad57GiRaDJ5zM,2
7RgZweSbKdQGN8u3x35VvfGruXhP4KX6sKRErAXPL2Ww,2
GFtxzYYA4NCqcq9GoqLkcMrUNRVGgRUQgNakvPLi7Fan,2
H2ya7syvPkaondUNxH4FMhapHwHznyswpa4wnPtggMjb,2
Bm5jF24nnWS6EGJLokwmztwtnNVdFdvvM1h98ZU8t8fG,2
DenXVLRxRR3yrXFzwMEpnuizCcP6YMpaN9jUdZy2N8hB,2
EztpTKr2qE1Xz8EZHcmGMUKV8ywJbdiDQGfVm3MGsd85,2
7853D2TzGXoehHnoVFZ65SYd7rVTTKLCdytC7gYm7boX,2
7NJ1d6coUJRk3sGsiP8cM21SviZHLzFpDZzUkjpW8zCW,2
3QZ6nZggxDZh6tXZALLBAc4xydeT3i9B2gfP75gqHa1L,2
DLRPZSrex3dk58mbJxfKEaxPMazchNogvZDSh26BhgRi,2
GfqA2bDPN2munnwP3CJnqKK7XYHhswYiJf4rKHAu1ptb,2
6Kk8kwJfFUg2snFnx2Yjpzs2VLAq27pexjCbazDtoYg7,2
7gxTghaVZPNNwaNEdtQHh4QDCJ4JgigYMd4MMCC9VtFo,2
6WFHNZxsKDoQDVxbyB9yid6Pv4z2AB7McgzDEz8K9ecV,2
H6273971YDoFgEy4SegXYcQNnpLvnniCNsUV9GK8Fc2C,2
E2xiRyiTjNULmJgHYbFeJACHqFaUSwptPcLANctL5ocP,2
4JsYUuvwA3fNjGdhzJohwoJ9PxLRHS8CxESyYfHn9ynU,1
